Verkiezing;;Gemeenteraad Wierden 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wierden;;;;;;;;;;;;;;;;;;;;;
Nummer;;0189;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Plantsoenlaan 1;Chris Soumokilstraat 69A;Wilhelminastraat 28;Oude Pastoriestraat 9;Oude Pastoriestraat 9;Nieuwe Schoolweg 5;Van Kregtenweg 9;Ypeloschoolweg 2B;Lage Dijk 12A;Weusteweg 15;Plantsoenlaan 1;Plantsoenlaan 1;Mettenkampsweg 5;Mettenkampsweg 5;Mettenkampsweg 5;Wilhelminastraat 28;Spoorstraat 5;Dahliastraat 4;Spoorstraat 5
Gebiednummer;;;;;1;3;4;8;9;10;11;12;14;18;20;21;22;23;24;25;26;27;28
Postcode;;;;;7642 EC;7642 XX;7642 CS;7468 GC;7468 GC;7645 AV;7467 PL;7468 RE;7468 EZ;7641 AG;7642 EC;7642 EC;7468 AH;7468 AH;7468 AH;7642 CS;7641 BJ;7641 VZ;7641 BJ
;;1;van Dijk, C.;560;63;30;16;47;42;38;31;12;35;25;33;35;19;8;27;17;24;45;13
;;2;Krist, J.O.;100;17;5;1;5;3;9;7;0;6;11;1;2;3;0;4;7;3;13;3
;;3;Timmerman, J.F.;239;54;17;4;1;5;8;4;4;0;23;15;33;1;0;2;6;16;37;9
;;4;Post, J.J.;32;0;0;0;11;11;0;3;1;1;0;0;0;2;1;1;0;0;1;0
;;5;Jonas - van Dijk, J.;79;9;10;2;4;9;2;0;1;4;6;3;7;4;0;3;1;5;7;2
;;6;Brinkman - Jansen, H.G.;50;1;1;0;16;10;1;0;0;7;0;0;1;4;4;4;0;0;1;0
;;7;de Vries, K.;14;0;0;0;1;3;0;0;1;1;0;0;0;2;2;4;0;0;0;0
;;8;van Dorth, A.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
;;9;Jaspers Faijer, H.J.;27;2;6;1;0;0;3;0;0;1;2;2;0;0;0;1;2;0;4;3
;;10;Nieuwenhuis, H.W.;20;0;0;0;4;6;0;0;0;7;0;0;0;2;0;0;0;0;0;1
;;11;Wessels, L.;20;5;3;1;0;0;1;1;0;0;0;1;2;0;0;0;1;0;3;2
;;12;de Jong, H.S.;35;1;0;0;10;9;0;0;1;8;0;0;0;2;0;4;0;0;0;0
;;13;Göçer - Eksen, B.;33;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;18;4
;;14;Velten, H.;11;0;0;0;5;1;0;0;0;1;0;0;0;0;0;4;0;0;0;0
;;15;Westerman - Boerman, M.G.;4;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0
;;16;ten Brinke, E.D.;15;0;0;0;4;4;0;0;0;2;0;0;0;3;0;1;0;0;1;0
;;17;de Boer, D.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;18;van Harten, M.J.;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1
;;19;van Dorth - Verkerk, J.E.;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0
;;20;Eshuis - Egberts, F.G.;23;2;0;0;0;0;6;6;0;1;2;1;1;0;2;0;0;0;1;1
4;Progressief Wierden;;;1478;169;68;52;99;69;30;28;20;85;119;85;137;65;42;62;52;31;226;39
;;1;Slagers-Bekhuis, F.R.B.M.;843;81;24;26;75;39;23;20;14;61;60;41;68;51;39;42;21;12;125;21
;;2;Kok, C.W.;90;16;9;7;4;4;1;0;1;1;7;3;7;1;0;0;5;3;17;4
;;3;Klaas, A.J.;149;24;10;6;5;4;0;1;1;3;17;15;26;2;0;2;6;2;22;3
;;4;Nieboer, J;80;7;2;2;5;7;2;2;3;4;7;2;6;6;0;6;5;3;9;2
;;5;Everts, A;22;2;0;1;0;0;0;1;0;0;2;4;6;0;0;0;0;0;6;0
;;6;van Gaalen, J.H.;72;13;8;1;0;1;0;1;0;0;11;7;13;0;0;0;3;1;10;3
;;7;van der Linden, B.M.Y.;20;0;0;0;0;5;0;0;0;7;0;1;0;0;1;3;0;1;1;1
;;8;Denneman, H.P.J.M.;9;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;1;1
;;9;Oude Luttikhuis, D.J.M.;58;9;4;6;1;2;1;0;1;2;4;6;1;1;0;0;7;2;10;1
;;10;Homan, J.F.;11;2;0;0;1;1;0;3;0;0;1;0;0;0;0;2;0;0;1;0
;;11;Tijhof, P.C.;20;0;0;0;4;4;0;0;0;4;0;0;0;3;1;4;0;0;0;0
;;12;Benard, C.T.;46;7;2;2;0;0;2;0;0;0;2;4;5;0;0;0;1;2;18;1
;;13;Kleinjan, N;39;6;8;1;0;1;1;0;0;0;4;1;5;0;0;0;4;2;5;1
;;14;Rutgers-Platenkamp, E.S.H.;8;0;1;0;2;0;0;0;0;1;0;0;0;1;0;2;0;0;1;0
;;15;ten Berge-Antonissen, W.M.M.;11;1;0;0;2;1;0;0;0;2;0;1;0;0;1;1;0;1;0;1
5;VVD;;;1171;180;35;42;77;85;29;37;32;83;125;46;106;53;22;26;42;31;96;24
;;1;Harberink-Elferink, D.;405;49;8;8;27;31;11;23;11;33;39;21;36;26;11;10;9;11;36;5
;;2;Schasfoort-Platenkamp, A.L.;306;82;12;15;3;5;9;3;4;2;56;18;37;1;1;0;13;2;37;6
