Verkiezing;;Gemeenteraad Hengelo (O) 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hengelo (O);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Hengelo;Gereformeerde Kerk Morgenster;Suroyo TV (A);Suroyo TV (B);Mor Augin kerk;Wijkcentrum De Hengelose Es (A);Wijkcentrum De Hengelose Es (B);Fiora Zorg;Thuiszorgorganisatie Oriant Zorg;Wijkcentrum De Sterrentuin (A);Wijkcentrum De Sterrentuin (B);Bibliotheek Hengelo Stad;Baptistengemeente Hengelo (A);Baptistengemeente Hengelo (B);Denksportcentrum Hengelo;Wijkcentrum De Tempel (A);Wijkcentrum De Tempel (B);Kristalkerk (A);Kristalkerk (B);Remonstrantse Gemeente Twente;MFA 't Berflo;Nivoncentrum Hengelo (A);Nivoncentrum Hengelo (B);ROC van Twente (A);Buurtcentrum 't Lansink (A);Buurtcentrum 't Lansink (B);Kantine Sportvereniging T.V.O.;ROC van Twente (B);Gymlokaal Breemarsweg 481 A  (A);Gymlokaal Breemarsweg 481 A  (B);Gymlokaal Klaas de Rookstraat 61;Thaborkerk;Wijkcentrum Kulturhus Hasselo (A);Gymlokaal Cruys Voorberghstraat 105 (A);Gymlokaal Cruys Voorberghstraat 105 (B);Wijkcentrum Kulturhus Hasselo (B);Sportpark Slangenbeek ATC'65;Wijkcentrum Slangenbeek (A);Wijkcentrum Slangenbeek (B);Ontmoetingsruimte Bastion;Stadhuis Hengelo;Wijkcentrum De Hengelose Es;Wijkcentrum De Sterrentuin;Wijkcentrum De Tempel;MFA 't Berflo;Buurtcentrum 't Lansink;Wijkcentrum Kulturhus Hasselo;Wijkcentrum Slangenbeek;Stadhuis Hengelo;Wijkcentrum De Hengelose Es;Wijkcentrum De Sterrentuin;Wijkcentrum De Tempel;MFA 't Berflo;Buurtcentrum 't Lansink;Wijkcentrum Kulturhus Hasselo;Wijkcentrum Slangenbeek
;;10;van Grouw, F.;65;4;0;0;1;2;1;2;0;2;0;0;0;0;0;1;3;3;2;1;1;1;1;0;0;2;0;0;0;2;0;1;1;4;3;0;4;0;3;0;0;2;1;0;1;0;0;2;0;2;3;3;1;0;1;3;1
;;11;Stolp, E.R.;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;1;2;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0
;;12;Zweers, H.G.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;13;ten Cate, J.;39;1;0;2;1;1;1;6;0;0;0;0;1;1;1;1;1;3;0;0;1;0;1;1;0;0;1;1;4;1;1;0;0;1;2;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0
;;14;de Lang, J.A.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;15;Meuffels, G.P.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kusters-Dijkstra, T.;10;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Paalman-Huiskes, A.M.J.;20;1;0;1;2;1;2;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;0
;;18;Herder, E.;33;2;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;3;0;3;3;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;1;2;2
;;19;Scheltema-Kuipers, T.;12;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0
;;20;Agterbosch, M.C.;30;1;0;1;0;2;2;0;1;0;0;0;1;0;0;1;0;1;1;0;3;1;0;2;0;2;0;0;1;0;1;0;2;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
;;21;Brugman, W.E.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;22;Kassenberg, H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;23;Kamphuis, J.M.;6;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Lindeman-Eduardo, O.C.;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;25;Oosterwal, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Janszen, H.W.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Kippers, H.;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;2;1;0;0;0;0;2;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;28;Oude Reimer, M.J.J.;15;1;0;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0
