Verkiezing;;Gemeenteraad Kampen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Kampen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskazerne;Stembureau De Burgwal;Stembureau Wijkcentrum Reijersdam;Stembureau Westerkerk;Stembureau De Leuke Hanzestad;Stembureau Stadhuis;Stembureau Sporthal KHC;Stembureau De Ommeland;Stembureau Vakgarage Van Winsum;Stembureau Kerkelijk Centrum Open Hof;Stembureau Eudokiakerk;Stembureau Sporthal Cellesbroek;Stembureau De Veenhof;Stembureau IJsclub VZOD Kampen;Stembureau De Schalmei;Stembureau Hoornbeeck College;Stembureau Oosterholthoeve;Stembureau Wijkcentrum Het Lokaal;Stembureau De Bron;Stembureau De Hoeksteen;Stembureau De Herberg;Stembureau Hervormd Verenigingsgebouw;Stembureau De Kandelaar;Stembureau An de Steege;Stembureau Quintus;Stembureau Impact;Stembureau Almere College/ISK;Stembureau Bazuinkerk;Stembureau De Rank;Stembureau Mobiel stembureau verzorgingshuizen 1;Stembureau Mobiel stembureau verzorgingshuizen 2;Stembureau Stadskazerne;Stembureau Stadhuis;Stembureau Eudokiakerk;Stembureau De Hoeksteen;Stembureau Stadskazerne;Stembureau Stadhuis;Stembureau Eudokiakerk;Stembureau De Hoeksteen
;aangetroffen stembiljetten;;;25903;731;546;620;689;770;888;846;728;601;1066;635;606;442;852;719;784;1082;695;849;1745;982;506;463;463;790;550;578;740;663;121;153;259;499;362;484;373;781;495;747
;meer stembiljetten dan toegelaten kiezers;;;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;4;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1;ChristenUnie;;;5074;72;82;78;104;147;131;155;109;105;174;150;90;100;122;125;162;276;192;194;474;142;149;96;140;117;57;89;114;157;27;42;49;100;108;123;54;126;161;181
;;1;van der Sluis, J.P.;2611;30;30;40;46;65;46;77;53;57;101;67;35;55;63;64;70;151;112;117;274;64;78;67;69;33;24;37;50;90;18;31;29;55;60;74;24;60;85;110
;;2;Wiltjer-Rozema, M.R.;580;12;16;13;14;15;30;27;8;10;16;30;19;13;16;26;33;7;5;17;20;11;10;6;13;17;6;10;24;7;1;3;3;14;26;4;8;20;39;11
;;3;Schutte, J.W.;269;1;2;3;9;12;6;2;10;10;9;9;1;6;8;6;4;9;6;14;13;22;11;8;9;8;5;7;10;9;0;3;3;7;4;0;6;6;4;7
;;4;Pruijssen, H.;86;0;3;2;3;0;4;1;0;1;4;5;2;2;3;2;4;4;2;2;3;1;0;0;1;10;3;1;4;2;1;0;2;1;3;2;1;5;2;0
;;5;Posthumus, K.;171;2;2;0;2;0;1;0;2;2;0;4;1;1;2;3;0;18;10;8;53;4;3;0;6;2;0;1;0;5;2;0;0;3;0;12;1;1;1;19
;;6;Schilder, R.H.;105;3;2;0;0;3;2;1;3;1;0;1;1;0;2;0;1;19;9;5;12;3;0;0;0;3;0;5;5;5;0;0;1;1;0;7;1;4;2;3
;;7;van der Kolk, K.E.G.H.;221;6;3;7;4;26;10;16;10;4;10;5;6;1;3;6;8;7;0;6;9;8;1;0;0;6;7;4;4;2;2;1;2;4;3;2;4;13;5;6
;;8;Wagteveld-Osborn, M.J.;101;3;5;3;7;4;4;2;2;3;4;3;1;2;4;0;2;1;2;2;6;1;3;0;2;8;4;1;4;1;0;0;1;2;3;2;2;6;1;0
;;9;de Jong, H.J.;36;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;9;5;7;5;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0
;;10;Hakvoort, J.;34;0;0;1;0;2;0;1;0;0;0;0;2;0;0;3;0;9;2;0;5;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;1;3
;;11;Ram, T.F.;46;0;0;1;0;2;2;4;1;1;2;5;1;0;0;2;5;0;0;0;5;0;0;0;0;0;1;1;2;0;1;0;1;0;1;0;1;0;6;1
;;12;Schrijver, G.G.;31;0;0;0;2;2;3;0;2;0;1;0;0;0;0;0;1;3;1;2;4;1;1;2;0;0;0;0;0;0;0;0;0;2;0;1;1;0;1;1
;;13;Koelewijn, P.B.;84;2;5;2;2;3;10;3;0;3;2;6;3;0;1;2;5;8;0;0;3;5;2;0;2;4;2;1;1;0;0;0;0;3;1;0;0;0;0;3
;;14;Riezebos-Naberman, J.L.;60;3;3;1;1;2;2;5;1;1;2;2;1;5;4;1;4;1;1;2;5;0;0;1;0;2;0;1;0;5;1;0;1;0;0;0;0;1;1;0
;;15;Nentjes, L.;34;2;1;0;0;1;0;2;1;0;1;0;0;0;1;0;1;4;2;1;9;1;0;0;0;1;1;0;0;2;0;0;0;0;0;1;0;0;0;2
;;16;Oostendorp-Onstwedder, H.;42;0;1;0;1;2;2;2;0;0;2;4;0;2;0;0;6;2;3;1;1;0;0;0;1;1;0;7;2;0;0;0;0;0;0;0;0;1;0;1
;;17;Meijering, G.R.;56;3;2;1;2;0;2;3;5;4;1;4;3;1;7;4;1;1;1;0;3;0;1;0;0;1;0;0;1;1;0;1;0;2;0;0;0;1;0;0
;;18;Kuiperij - van der Veen, J.J.;18;0;0;0;1;0;0;1;2;0;0;0;0;0;2;0;3;1;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;3;0;0
;;19;van 't Ende, A.;82;0;0;1;3;2;2;0;0;0;3;0;3;0;0;0;2;7;8;2;8;10;1;0;0;3;0;2;0;11;0;1;0;0;0;5;2;0;1;5
;;20;van der Velde-Buist, R.A.;20;0;0;0;1;0;0;0;0;0;1;1;4;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;2;3;1;0;1;1;0
;;21;Kraan, J.J.;44;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;4;3;11;2;0;1;0;0;1;0;0;5;0;0;0;0;0;6;0;0;0;1
;;22;van Dam-Maaijen, J.P.;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;23;Stam, C.;30;0;1;1;1;1;2;1;1;2;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;1;3;1;0;0;1;3;1
;;24;Kingma, J.E.J.;23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;14;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;25;Kroeze-Baan, F.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Boeve, J.;28;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;18;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
;;27;van Bruggen-Beltman, J.M.;18;0;0;0;1;0;0;0;1;0;0;0;1;9;0;0;1;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Steen Redeker, H.;20;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;2;1;3;1;0;0;0;0;1;0;1;0;4;0;0;1;0;0;0;0;0;0;1
;;29;van der Wal, H.W.;16;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;2;1;0;1;0;1;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;1
;;30;van der Maarel, A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;31;Knol, A.W.;11;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;32;Amelink, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Nieuwenhuis-Mulder, J.M.B.;8;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0
;;34;Dreschler, S.T.;18;1;1;0;0;0;0;0;1;0;1;2;1;0;0;2;2;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0
;;35;Witteveen-Pronk, S.M.;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1
;;36;van de Wetering, H.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;19;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Huls-Geleijnse, G.E.;15;0;0;0;1;0;1;0;0;0;1;1;2;0;0;1;2;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
;;38;Zielman-Walinga, M.D.;24;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;12;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1
;;39;Voerman, K.C.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Slendebroek, H.B.;15;0;0;0;0;0;1;1;1;2;0;0;0;0;0;1;0;1;1;0;2;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0
;;41;Blijdorp, A.D.;12;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0
;;42;van Raalte, E.;10;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0
;;43;Veldhoen, G.J.;8;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;44;Zweers, A.;17;0;0;0;0;0;0;1;0;1;6;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0
2;Gemeente Belang Kampen;;;3209;96;63;181;118;89;115;118;196;94;225;117;166;16;144;78;73;71;48;85;154;67;38;13;24;70;152;99;84;41;11;8;29;45;32;26;37;85;57;44
;;1;Schmidt - Blokzijl, H.I;1120;37;33;52;36;36;50;36;41;40;51;27;37;12;44;27;28;25;27;33;60;19;14;9;15;25;71;33;32;17;3;1;15;17;17;11;12;33;24;20
;;2;Azer, S.;1122;20;5;65;45;31;40;35;126;28;108;59;74;0;40;25;20;23;13;20;47;19;16;2;5;20;33;39;29;16;4;2;5;14;12;8;12;30;17;15
;;3;Zwitser, S.;265;21;9;17;7;3;10;14;8;14;16;5;16;0;21;6;10;4;2;6;11;6;0;0;2;6;9;9;11;0;0;0;4;1;2;1;3;4;4;3
;;4;Van der Harst, H.A.L;29;0;4;2;0;0;2;1;0;2;0;1;1;0;1;0;0;0;0;2;1;1;0;0;0;0;2;0;1;1;0;1;3;0;0;0;1;1;1;0
;;5;Borneman, W.;9;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Gerlofsma, S.;16;0;0;0;0;0;0;0;0;0;3;0;2;0;1;1;1;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;3;0;0
;;7;van den Berg, C.;38;2;0;2;1;1;0;1;1;1;1;1;7;0;2;1;1;1;0;0;2;3;0;0;0;0;0;2;0;0;0;1;0;0;0;2;1;1;3;0
;;8;van Bruggen - Pander, M.;94;3;6;2;4;3;2;8;1;2;11;2;4;2;2;5;2;3;0;4;7;5;0;0;0;1;2;0;0;1;1;0;2;5;0;0;0;3;1;0
;;9;Hanekamp, H.G.;50;4;0;9;1;1;2;0;0;0;5;2;3;0;4;1;2;2;0;2;0;1;0;0;0;3;5;0;3;0;0;0;0;0;0;0;0;0;0;0
;;10;Bottenberg, J.K.;75;1;1;2;5;2;1;0;4;0;12;2;9;0;1;3;1;0;3;3;9;0;0;0;0;1;1;4;2;2;1;0;0;0;0;0;1;0;2;2
;;11;Flier, F.F.X.;38;1;2;2;0;2;2;1;2;0;1;0;3;0;2;2;1;0;0;1;0;0;0;0;0;5;5;1;2;0;0;0;0;0;0;0;1;2;0;0
;;12;de Vries, R.P;42;0;0;0;3;0;0;2;2;0;1;1;1;0;1;0;0;7;1;4;2;2;2;0;0;2;2;0;0;1;0;0;0;1;0;1;0;1;1;4
;;13;Ismaïl, M.I;56;0;0;2;2;4;0;5;3;0;4;6;1;0;3;2;0;0;1;1;3;0;0;0;0;3;1;4;0;0;0;0;0;2;0;3;1;2;3;0
;;14;van Nieuwenhoven, G.;22;1;0;6;0;0;0;0;1;0;3;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;Koops, R.;47;1;0;0;2;0;2;0;1;0;1;1;1;1;7;0;1;1;0;3;3;6;0;1;1;1;3;3;1;0;2;1;0;0;0;0;2;0;1;0
;;16;Hamer, W.;9;0;0;0;0;0;2;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;Scheltinga, A.P;28;0;0;1;1;1;0;4;0;4;3;0;0;0;1;1;1;1;0;0;2;1;0;0;0;0;1;2;0;0;0;2;0;0;0;0;1;1;0;0
;;18;Koops - Elhorst, A.;24;0;1;3;2;1;0;0;0;0;1;3;1;0;0;0;3;1;0;0;1;1;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;1;0;0
;;19;Koops, G.;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Borneman - Zwerver, C.J;6;2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Beverwijk, L.;116;2;2;14;7;3;2;9;6;2;4;4;3;0;12;3;1;2;1;4;3;3;5;1;1;2;10;1;0;1;0;0;0;3;1;0;1;3;0;0
3;CDA;;;3305;68;45;50;68;82;104;110;77;61;90;43;53;66;115;95;77;132;69;138;260;117;150;234;101;50;55;58;127;96;24;32;23;45;40;90;48;67;43;102
;;1;Wonink, A.B.;1140;27;12;17;30;28;41;44;49;33;46;16;23;16;69;35;28;36;25;51;56;19;17;8;11;24;36;29;52;33;12;25;14;22;23;31;20;31;28;23
;;2;van de Wetering-de Groot, E.J.;778;7;8;2;6;14;12;12;6;4;14;6;5;22;2;15;4;24;11;30;37;25;110;208;77;5;7;9;11;20;2;2;4;8;5;11;7;6;3;17
;;3;Selles, H.E.;328;5;0;3;0;4;3;2;0;1;4;4;2;12;5;2;2;28;13;20;68;51;1;12;3;3;1;2;1;15;4;1;0;2;0;19;0;1;0;34
;;4;de Wilde, R.;174;6;5;3;8;3;7;9;3;1;4;0;3;0;8;7;5;13;2;9;20;6;1;2;0;3;0;1;10;12;0;0;0;0;3;5;1;3;3;8
;;5;Teune, N.;120;3;2;1;0;3;0;3;0;0;0;0;4;0;1;4;4;7;10;8;34;2;0;0;0;2;4;1;2;3;1;0;1;0;0;6;1;2;0;11
;;6;Postuma, H.M.;111;2;0;1;4;4;6;8;0;1;1;4;6;2;8;10;7;2;4;1;3;0;1;0;0;5;1;0;15;3;0;0;1;1;1;0;2;5;2;0
;;7;van der Maat-Bosma, A.H.;93;1;2;3;0;7;12;2;3;3;1;0;1;7;0;3;2;5;3;4;11;0;1;2;0;0;0;6;0;2;0;1;1;0;1;1;0;3;1;4
;;8;van Dijk, G.;83;1;1;2;1;2;7;7;3;2;3;1;0;0;7;6;11;2;0;1;2;0;1;0;0;0;0;2;9;1;0;0;0;0;0;7;1;2;0;1
;;9;Adema-Poelstra, S.A.M.;112;4;6;6;6;5;4;4;6;3;3;4;2;0;2;3;2;3;1;5;3;3;0;0;0;4;0;2;11;1;1;0;0;3;5;1;5;3;0;1
;;10;Broekhuizen, S.;64;1;3;1;4;3;1;10;2;2;2;1;3;0;6;2;6;1;0;1;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;3;1;1;1
;;11;de Graaf, G.;7;0;1;2;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Nies-Knol, C.H.;49;1;2;3;1;2;1;1;1;1;0;1;0;5;1;1;0;4;0;2;0;5;2;2;0;3;3;1;1;0;0;0;0;2;0;1;2;0;0;0
;;13;Adema, A.;25;3;0;2;2;0;0;0;1;2;2;2;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;2;1;0
;;14;Koperdraat-Gosker, R.;10;0;0;2;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0
;;15;Bolwerk, J.T.M.;19;0;0;0;1;2;2;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;3;1;0;0;1;0;0
;;16;Zweers, J.M.;4;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Schrijver, C.;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
;;18;Kuiper, D.;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Limburg, W.;9;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Smit, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;21;Helleman, F.K.;10;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;1;2;0;0
;;22;Hofstra, S.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Dijk, K.;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Beckmann, C.H.D.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Witteveen, I.F.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Zijlstra-Dijkstra, P.E.;8;0;0;0;1;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;27;Duitman, W.P.;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van der Steege, H.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;29;Adema, C.H.;16;1;0;0;1;1;0;2;0;1;1;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0
;;30;Wellenberg, G.M.;18;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;3;3;0;1;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0
;;31;de Kleine-Brink, J.E.;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
;;32;Marskamp, J.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;33;Meijering, G.;13;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0;1;2;0;0;1;2;0;0
;;34;Rietkerk, T.W.;21;0;0;0;3;0;0;0;2;1;2;0;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;2;3;1;0;0;0;1;0;0;1;0;0;0
;;35;Palland-Mulder, H.M.;33;3;0;1;0;0;6;3;1;1;3;1;0;1;2;3;0;1;0;0;2;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0
4;Staatkundig Gereformeerde Partij (SGP);;;3636;39;23;19;37;62;71;96;41;36;85;44;56;186;67;56;142;279;182;161;354;535;70;51;86;31;45;40;54;155;16;24;12;53;29;103;17;61;36;182
;;1;van den Belt, B.;2278;26;12;16;31;39;46;57;28;31;54;25;28;105;46;34;92;153;130;111;207;337;48;40;41;27;24;24;32;99;15;17;7;27;25;54;9;42;26;113
;;2;van den Bosch, K.;141;0;2;0;1;6;9;7;3;0;2;2;5;0;3;4;11;8;7;5;10;17;1;1;0;0;3;2;2;5;0;3;0;10;0;3;3;1;0;5
;;3;Noorland, J.T.;333;1;4;2;2;2;1;8;1;2;5;5;3;11;8;2;5;43;15;11;47;57;10;1;1;0;5;7;2;18;0;0;0;3;0;15;0;10;1;25
;;4;Nentjes, S.;232;0;1;1;2;5;4;7;2;1;4;4;3;39;1;3;7;20;10;8;22;26;1;3;7;2;8;5;5;10;1;3;0;5;1;1;0;3;1;6
