Verkiezing;;Gemeenteraad Deventer 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Deventer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Het Stadhuis;Stembureau Groote-en Voorster Gasthuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Speeltuinvereniging De IJssel;Stembureau Woon- en zorgcentrum St.Jurriën;Stembureau Het Enkhuis;Stembureau Speeltuin De Driehoek;Stembureau Woon- en zorgcentrum De Bloemendal;Stembureau Wijkcentrum De Schalm;Stembureau Woonzorgcentrum Ludgerus;Stembureau Woon- en zorgcentrum Humanitas;Stembureau De Kroon;Stembureau De Finsehof;Stembureau Grand Café, Sint Jozef Verpleeghuis;Stembureau Huis van de Wijk;Stembureau Saxion Hogeschool;Stembureau Buurthuis Wijk 16;Stembureau Kunstcircuit Deventer;Stembureau SV Colmschate'33;Stembureau Openbare basisschool De Wiz@rd;Stembureau Gezondheidscentrum Spikvoorde;Stembureau De Vijf-er;Stembureau Gemeenschapshuis De Kuip;Stembureau Gebouw voetbalvereniging Helios;Stembureau Bej.centrum 't Dijkhuis;Stembureau Cultuurhuus Braakhekke;Stembureau Kulturhus De Spil;Stembureau Kulturhus Diepenveen;Stembureau Ons Centrum;Stembureau Brasserie De Lindeboom;Stembureau Atheneumbibliotheek;Stembureau Deventer Schouwburg;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Kindcentrum Olijfboom, gymzaal;Stembureau Tafeltennisvereniging Swift;Stembureau Etty Hillesum Lyceum - Het Vlier;Stembureau Stichting Masohi;Stembureau De Kei;Stembureau Koningskerk, ingang Van Hetenstraat;Stembureau Kindercentrum Rivierenwijk;Stembureau De Scheg 2;Stembureau Tapperij/Eethuis Hof van Colmschate;Stembureau De Scheg 1;Stembureau Boode;Stembureau Sporthal Uutvlog;Stembureau Sporthal Schalkhaar;Stembureau Voetbalvereniging Diepenveen;Stembureau Nieuw Sion;Stembureau Sporthal Keizerslanden;Stembureau Bibliotheek;Stembureau Eerste Deventer Montess.sch.;Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk;Stembureau Stembus;Stembureau Het Stadhuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Het Enkhuis;Stembureau De Finsehof (ingang Dapperstraat);Stembureau Kunstcircuit Deventer;Stembureau De Vijf-er;Stembureau Cultuurhuus Braakhekke;Stembureau Brasserie De Lindeboom;Stembureau Het Stadhuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Het Enkhuis;Stembureau De Finsehof;Stembureau Kunstcircuit Deventer;Stembureau De Vijf-er;Stembureau Cultuurhuus Braakhekke;Stembureau Brasserie De Lindeboom;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk
;;17;de Vries, B.J.;31;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;2;0;4;3;0;0;0;0;0;0;0;1;1;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
;;18;Hoek, M.H.A.;28;0;0;0;2;0;0;1;0;1;0;0;1;0;0;0;3;0;0;0;0;0;0;0;2;0;1;0;2;0;1;0;2;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;19;van der Hust, D.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Brinkhuis, L.G.P.;60;0;0;0;1;0;0;0;0;1;0;0;2;2;0;0;2;0;4;0;1;0;0;0;1;0;0;0;1;0;21;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;6;0;2;0;3;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0
;;21;Verhaar, C.J.;79;1;0;5;6;0;2;1;0;0;0;0;0;0;0;0;2;2;0;0;3;0;2;1;1;0;1;1;5;1;5;3;3;1;0;5;1;0;0;0;1;0;2;1;0;0;0;0;2;0;0;4;0;1;0;2;0;0;0;0;0;1;3;3;4;0;0;0;1;0;0;0;0;0;0;2;0
5;D66;;;3905;144;2;81;110;4;85;116;0;59;7;2;58;67;3;89;82;96;68;94;169;5;139;112;56;1;49;16;188;9;92;76;179;30;48;95;48;51;12;64;63;27;46;62;72;32;24;32;68;15;20;72;64;28;3;67;16;18;25;26;34;21;34;101;16;19;29;36;73;24;48;5;13;7;13;30;16
;;1;Schuring, J.;1362;42;1;19;30;1;19;27;0;30;6;0;21;24;1;10;27;33;30;38;55;4;45;53;20;0;19;8;72;2;28;28;51;12;18;25;13;20;6;16;18;8;16;24;22;13;10;14;36;5;12;19;18;11;3;34;4;9;5;12;17;11;12;36;9;6;9;10;30;13;24;2;6;4;5;15;6
;;2;van Wijk, R.;140;2;0;5;2;0;3;1;0;2;0;2;4;0;0;5;1;2;4;1;8;0;8;3;2;0;1;7;3;0;1;1;5;0;2;3;0;2;0;19;4;0;0;3;2;1;1;0;1;0;0;2;2;1;0;2;1;1;2;2;1;1;0;2;0;1;3;2;4;0;2;0;0;0;0;0;0
;;3;de Bokx, A.S.;125;12;0;7;3;0;1;5;0;0;1;0;2;5;0;1;6;7;1;1;4;0;2;1;0;0;0;0;7;0;2;3;7;0;4;1;3;0;0;3;2;1;1;1;4;0;1;2;2;0;0;2;3;2;0;3;1;0;1;0;1;0;0;4;1;0;0;0;1;1;0;1;0;0;0;1;0
;;4;Welling, R.H.J.;87;3;0;3;2;0;1;2;0;1;0;0;0;0;0;1;1;1;1;2;1;0;1;1;0;0;1;0;2;0;17;1;0;0;0;4;1;0;0;3;0;0;0;1;5;1;0;6;1;0;0;2;1;1;0;0;0;0;0;0;1;0;3;1;0;0;1;0;1;0;12;0;0;0;0;0;0
;;5;Kerkdijk, S.H.;1146;44;1;29;20;1;22;34;0;19;0;0;17;19;2;9;26;29;13;36;64;1;44;39;15;1;17;0;53;2;29;24;59;9;17;31;12;15;1;0;22;1;18;18;23;10;9;8;21;9;3;25;20;10;0;20;7;5;10;5;8;6;13;28;4;2;11;5;27;7;10;2;4;2;3;9;7
;;6;Terpstra, J.;34;0;0;3;3;0;0;1;0;1;0;0;0;2;0;0;3;1;3;2;1;0;1;0;1;0;0;0;2;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;7;Schuiling, C.E.M.;268;8;0;8;11;0;10;2;0;2;0;0;4;10;0;6;5;7;5;7;8;0;8;5;7;0;1;1;8;0;0;9;26;4;3;8;2;6;1;3;4;1;1;3;3;0;0;1;2;0;3;10;9;1;0;3;0;2;2;1;1;1;3;10;2;0;2;7;4;0;0;0;0;0;4;2;1
;;8;Akdemir, O.A.;281;8;0;3;26;2;15;18;0;2;0;0;5;2;0;46;7;7;5;4;12;0;14;1;0;0;2;0;1;0;7;1;12;0;3;12;1;1;0;12;5;14;0;3;3;1;0;0;0;0;2;5;3;0;0;1;1;1;1;3;1;0;0;0;0;5;1;1;0;0;0;0;0;1;0;0;0
;;9;Henneke, M.C.;18;3;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;10;van Haarlem, R.J.E.C.;18;2;0;0;1;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;11;Hedeman, N.E.;86;1;0;1;6;0;3;7;0;1;0;0;2;0;0;1;1;4;0;0;1;0;0;2;2;0;1;0;8;0;3;4;6;1;0;4;0;2;0;3;1;0;1;0;2;0;0;0;0;1;0;1;3;0;0;4;1;0;0;0;0;1;0;3;0;1;0;1;0;0;0;0;2;0;0;0;0
;;12;Evers, B.M.;42;2;0;0;0;0;2;3;0;0;0;0;0;1;0;0;0;0;2;1;3;0;2;1;1;0;0;0;2;0;0;0;0;0;0;3;2;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;2;0;0;0;2;2;0;0;0;1;0;1;0;1
;;13;Teeken, P.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Ruiter, H.L.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Tomruk, G.;56;0;0;0;0;0;0;6;0;0;0;0;0;0;0;8;0;1;2;0;4;0;1;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;3;1;2;0;8;4;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Stegeman, G.H.;31;1;0;1;3;0;2;5;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;2;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0
;;17;Rietman, H.C.;25;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;5;0;0;0;2;0;2;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0
;;18;Janssens, H.;9;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;19;Teunissen, H.W.A.;9;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Schuiling, A.;23;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;6;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;2;0
;;21;Kemmerling, Y.C.;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;Viveen-van den Bosch, M.;30;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;2;0;2;2;1;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;Bakker, W.;30;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Walder, T.C.;54;3;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;2;0;3;1;7;0;0;0;4;0;0;1;3;4;0;1;0;0;0;2;2;1;1;1;4;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;1
6;Deventer Belang;;;2924;48;7;47;60;7;36;43;0;109;20;1;42;46;0;33;35;88;105;83;145;3;64;151;196;1;20;24;65;5;76;23;48;27;36;24;26;71;33;50;43;7;60;112;102;24;14;34;35;29;10;20;46;56;7;20;7;8;9;39;36;10;18;32;12;10;25;63;27;19;36;6;8;6;7;10;19
;;1;Kleine Schaars, S.R.J.;1470;19;5;13;32;5;13;18;0;55;10;1;21;32;0;17;19;15;46;42;69;3;27;69;82;0;11;10;36;5;50;12;20;11;17;12;11;40;22;25;21;1;31;55;62;22;8;26;21;27;6;8;31;31;4;12;3;5;5;22;19;7;13;12;3;8;11;27;12;15;23;4;3;3;4;1;9
;;2;Kamphuis, C.;107;2;0;3;1;1;3;3;0;5;0;0;2;0;0;0;0;0;4;5;3;0;6;5;2;0;4;0;2;0;8;0;3;2;0;2;0;3;0;0;1;0;1;5;2;0;0;3;1;2;1;0;1;1;0;0;0;0;0;0;1;1;2;1;0;0;3;3;1;0;4;0;0;0;2;1;1
;;3;Emens, A.;326;7;1;5;5;0;4;9;0;20;3;0;3;4;0;8;4;57;13;9;11;0;4;11;12;0;0;0;7;0;0;2;5;4;4;0;6;5;2;3;7;0;6;10;7;0;0;0;2;0;1;2;7;8;1;4;1;2;0;6;3;1;1;8;2;1;2;6;1;1;2;0;1;1;1;1;2
;;4;Zieverink-Veenstra, K.;524;7;0;10;8;0;4;9;0;10;1;0;7;8;0;2;6;5;18;16;29;0;14;54;85;0;1;0;11;0;8;8;7;6;4;5;3;11;8;11;6;1;11;23;16;2;3;3;6;0;2;7;3;7;0;1;2;1;1;7;5;0;2;7;2;0;0;13;4;2;3;1;1;1;0;4;1
;;5;Eikelenberg, E.J.;133;3;0;7;2;0;3;1;0;8;0;0;2;1;0;2;1;5;6;1;9;0;6;2;0;0;0;1;2;0;3;0;6;0;1;0;2;3;0;2;4;2;3;4;2;0;0;0;0;0;0;1;0;2;0;1;0;0;3;0;6;0;0;2;2;0;6;6;7;0;1;0;0;0;0;2;0
;;6;de Jager-Stegeman, M.J.G;166;5;1;2;5;0;5;3;0;8;2;0;4;1;0;1;1;3;8;3;10;0;3;4;4;0;3;1;2;0;3;1;4;3;6;3;1;6;0;4;2;3;0;4;5;0;0;2;5;0;0;2;1;3;1;2;1;0;0;3;2;1;0;2;1;0;2;4;2;1;2;0;3;1;0;1;0
;;7;Tempelman, F.H.G.;31;1;0;6;2;0;2;0;0;0;1;0;1;0;0;0;1;1;1;0;1;0;1;0;2;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;8;Haaxman, R.P.;24;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;12;0;0;2;0;1;0;1;0;0;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Dinçkal, A.E.;28;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;2;7;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;10;van Harsselaar, H.;44;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;4;3;0;0;2;6;1;0;0;1;0;0;0;0;0;1;0;0;1;1;2;0;0;3;6;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;11;Oguray, H.N.;30;0;0;0;5;0;2;0;0;1;1;0;1;0;0;0;1;0;0;2;2;0;1;0;1;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;12;Borkent, A.;41;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;1;5;0;1;4;2;0;1;0;1;0;0;0;0;0;2;0;1;0;0;1;1;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;5
7;CDA;;;2745;70;6;49;45;9;22;41;0;59;27;0;33;42;0;39;29;35;61;83;101;2;84;97;60;6;88;69;141;32;131;16;56;21;33;42;17;39;15;39;47;5;37;54;57;71;65;33;41;10;10;43;21;27;6;30;8;6;13;17;15;43;31;45;13;6;13;33;36;70;54;3;14;6;6;11;6
;;1;Scholthof, T.W.;1576;41;4;28;24;6;10;22;0;32;15;0;20;16;0;20;18;23;33;46;57;2;43;52;43;5;77;42;82;19;61;12;24;10;13;16;10;19;10;23;24;2;25;32;32;64;47;13;18;7;6;20;7;7;5;18;1;4;4;9;9;38;21;25;7;2;7;18;22;59;26;1;7;4;1;4;2
;;2;Evers, M.H.J. Evers;364;9;1;7;5;1;7;5;0;10;0;0;5;10;0;2;2;6;12;14;10;0;17;12;9;0;2;2;5;0;10;2;11;6;13;17;2;6;1;4;12;1;2;7;11;0;0;3;8;0;1;8;3;11;1;6;4;0;6;4;2;3;1;8;1;2;3;7;5;0;3;2;4;1;3;2;4
;;3;van der Mik, E;379;9;0;8;8;0;2;5;0;2;2;0;2;9;0;9;3;2;9;10;17;0;15;15;3;0;2;8;9;10;52;2;14;0;5;2;1;4;2;8;5;2;5;9;8;5;1;15;3;2;2;7;3;3;0;4;0;1;3;2;4;0;7;5;2;2;1;1;2;2;19;0;3;1;0;1;0
;;4;van der Linde, A.G.J.M.;62;1;0;1;1;0;0;2;0;8;0;0;0;0;0;0;0;2;0;1;1;0;0;3;0;0;6;0;2;0;2;0;1;0;0;0;0;0;1;2;0;0;0;0;0;2;15;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;5;0;0;0;0;0;0;0
;;5;Molenaar - Braaksma, S.H.;116;4;1;0;1;0;0;1;0;0;1;0;2;4;0;1;1;0;4;2;1;0;3;3;0;0;0;0;40;0;4;0;0;1;0;2;0;1;0;0;1;0;1;2;1;0;0;0;12;0;1;4;2;1;0;1;0;0;0;1;0;0;0;3;0;0;0;1;1;0;4;0;0;0;2;1;0
;;6;Koning, N.J.;50;0;0;1;2;1;0;0;0;4;0;0;0;1;0;2;0;1;2;3;1;0;0;3;2;0;0;0;2;0;0;0;0;1;1;0;0;1;0;1;2;0;1;0;2;0;1;0;0;1;0;2;1;1;0;0;3;0;0;0;0;0;0;1;2;0;1;1;1;0;1;0;0;0;0;0;0
;;7;Oosterwijk, H.F.M.;52;0;0;2;0;0;1;0;0;0;9;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;17;0;3;1;0;0;1;0;2;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0
;;8;Vaartjes, W.K.;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0
;;9;Andela, A.G.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;10;Rave, N.A.H.;125;6;0;2;4;1;2;6;0;3;0;0;2;2;0;3;4;1;1;5;12;0;3;9;2;0;0;0;1;0;1;0;5;2;1;3;4;6;0;1;3;0;2;3;3;0;0;1;0;0;0;2;4;3;0;1;0;0;0;0;0;0;0;1;1;0;1;2;2;0;1;0;0;0;0;3;0
8;DENK;;;1336;10;0;4;42;6;67;69;0;25;2;0;14;32;1;244;20;24;19;19;57;0;56;6;8;0;0;0;9;1;33;2;34;11;5;38;4;13;10;93;40;49;19;16;29;4;1;2;0;2;53;9;4;3;0;4;0;4;2;8;14;0;2;14;0;11;16;12;20;0;5;0;3;2;0;2;8
;;1;Kaya, A.;775;4;0;2;29;5;39;44;0;15;2;0;7;23;1;156;15;14;10;11;30;0;35;0;2;0;0;0;5;1;22;1;18;2;4;22;1;5;8;46;18;32;9;12;17;0;0;1;0;1;26;2;4;3;0;3;0;0;1;2;11;0;2;4;0;9;10;12;9;0;1;0;1;0;0;1;5
;;2;Aktaş, N.;50;1;0;0;0;0;2;0;0;2;0;0;0;0;0;12;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;7;0;5;2;1;3;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;3;Berkaoui, M.;35;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;0;0;0;1;0;0;0;0;1;1;0;0;1;0;4;0;1;0;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;4;Kaya, M.;118;1;0;2;6;1;7;3;0;0;0;0;3;2;0;9;1;3;1;1;7;0;4;2;2;0;0;0;0;0;3;1;8;1;0;5;1;1;1;5;3;0;3;0;0;0;0;1;0;0;2;4;0;0;0;1;0;2;0;0;1;0;0;9;0;1;1;0;7;0;0;0;0;0;0;1;1
;;5;Acun, M.I.;44;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;1;0;5;0;5;0;0;0;0;0;0;0;2;0;0;1;0;4;0;0;0;8;2;4;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Seker, I.;245;4;0;0;4;0;14;17;0;4;0;0;4;7;0;36;4;5;6;6;10;0;11;4;0;0;0;0;3;0;6;0;7;5;0;4;2;5;0;14;15;6;4;2;6;4;1;0;0;1;6;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;3;0;4;0;4;0;1;2;0;0;0
;;7;Halac, C.;25;0;0;0;1;0;2;0;0;3;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;8;Peker, F.;44;0;0;0;1;0;1;1;0;1;0;0;0;0;0;27;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;ChristenUnie;;;1545;31;1;22;36;0;11;43;0;43;8;0;21;25;0;21;13;30;65;60;78;1;43;55;41;0;9;8;38;6;52;22;26;8;19;61;12;46;15;20;44;3;37;51;31;3;4;9;13;17;4;21;18;15;6;21;2;3;12;8;28;5;7;29;1;2;14;48;27;7;34;5;9;4;1;5;7
;;1;de Niet, A.C.;706;16;1;7;17;0;6;18;0;18;6;0;3;8;0;8;3;16;29;26;43;1;28;23;15;0;7;6;16;3;20;10;12;2;7;22;6;16;6;8;24;1;17;30;11;3;1;5;4;7;3;10;10;6;6;10;0;1;5;1;21;3;2;15;1;2;6;18;13;3;19;2;4;3;0;2;4
;;2;Nijman-Visscher, H.G.;386;5;0;7;10;0;1;13;0;8;0;0;5;3;0;4;5;10;16;17;15;0;8;17;15;0;1;0;11;2;15;5;3;2;7;19;4;9;3;7;11;2;10;13;10;0;1;3;7;5;1;4;5;2;0;7;2;0;3;4;5;2;2;8;0;0;4;11;4;0;4;1;4;0;1;2;1
;;3;Banninga, L.M.;56;3;0;1;2;0;1;1;0;2;0;0;1;5;0;6;1;0;2;1;3;0;1;1;0;0;0;0;2;0;3;0;4;2;1;2;1;1;0;0;1;0;0;1;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
;;4;van Maanen, C.;84;1;0;2;2;0;1;1;0;2;0;0;2;2;0;1;2;1;3;7;2;0;0;5;1;0;0;1;3;0;2;1;4;0;0;1;0;5;0;0;1;0;1;0;2;0;0;0;0;4;0;2;1;2;0;0;0;1;0;1;0;0;0;2;0;0;0;6;1;2;3;1;0;1;0;1;0
;;5;Buist, J.P.;26;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;2;0;3;0;0;0;0;0;0;1;0;0;0;3;0;2;0;0;0;0;1;2;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Paap, K.J.;8;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;7;Lindenholz, J.G.;35;0;0;0;0;0;0;1;0;2;2;0;0;1;0;0;0;0;0;1;5;0;0;0;1;0;0;0;0;1;4;2;0;2;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;3;0;0;0;0;0;0
