Verkiezing;;Gemeenteraad Deventer 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Deventer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Het Stadhuis;Stembureau Groote-en Voorster Gasthuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Speeltuinvereniging De IJssel;Stembureau Woon- en zorgcentrum St.Jurriën;Stembureau Het Enkhuis;Stembureau Speeltuin De Driehoek;Stembureau Woon- en zorgcentrum De Bloemendal;Stembureau Wijkcentrum De Schalm;Stembureau Woonzorgcentrum Ludgerus;Stembureau Woon- en zorgcentrum Humanitas;Stembureau De Kroon;Stembureau De Finsehof;Stembureau Grand Café, Sint Jozef Verpleeghuis;Stembureau Huis van de Wijk;Stembureau Saxion Hogeschool;Stembureau Buurthuis Wijk 16;Stembureau Kunstcircuit Deventer;Stembureau SV Colmschate'33;Stembureau Openbare basisschool De Wiz@rd;Stembureau Gezondheidscentrum Spikvoorde;Stembureau De Vijf-er;Stembureau Gemeenschapshuis De Kuip;Stembureau Gebouw voetbalvereniging Helios;Stembureau Bej.centrum 't Dijkhuis;Stembureau Cultuurhuus Braakhekke;Stembureau Kulturhus De Spil;Stembureau Kulturhus Diepenveen;Stembureau Ons Centrum;Stembureau Brasserie De Lindeboom;Stembureau Atheneumbibliotheek;Stembureau Deventer Schouwburg;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Kindcentrum Olijfboom, gymzaal;Stembureau Tafeltennisvereniging Swift;Stembureau Etty Hillesum Lyceum - Het Vlier;Stembureau Stichting Masohi;Stembureau De Kei;Stembureau Koningskerk, ingang Van Hetenstraat;Stembureau Kindercentrum Rivierenwijk;Stembureau De Scheg 2;Stembureau Tapperij/Eethuis Hof van Colmschate;Stembureau De Scheg 1;Stembureau Boode;Stembureau Sporthal Uutvlog;Stembureau Sporthal Schalkhaar;Stembureau Voetbalvereniging Diepenveen;Stembureau Nieuw Sion;Stembureau Sporthal Keizerslanden;Stembureau Bibliotheek;Stembureau Eerste Deventer Montess.sch.;Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk;Stembureau Stembus;Stembureau Het Stadhuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Het Enkhuis;Stembureau De Finsehof (ingang Dapperstraat);Stembureau Kunstcircuit Deventer;Stembureau De Vijf-er;Stembureau Cultuurhuus Braakhekke;Stembureau Brasserie De Lindeboom;Stembureau Het Stadhuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Het Enkhuis;Stembureau De Finsehof;Stembureau Kunstcircuit Deventer;Stembureau De Vijf-er;Stembureau Cultuurhuus Braakhekke;Stembureau Brasserie De Lindeboom;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk
;;9;Groot Koerkamp e/v te Riele, B.J.M.;176;1;0;1;2;0;0;1;0;3;2;0;4;0;0;4;1;2;3;1;6;0;2;2;4;2;1;2;23;0;12;1;2;0;2;1;0;5;0;4;1;0;2;0;1;1;0;7;28;14;0;0;2;0;1;2;0;0;1;0;0;0;8;0;0;0;0;0;3;0;10;0;0;0;1;0;0
;;10;Wijnhoud, L.H.;60;10;0;0;0;0;1;6;0;2;0;0;0;3;0;0;0;1;0;2;3;0;6;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;1;2;1;0;4;0;0;0;0;0;0;2;7;0;0;0;0;2;0;0;0;0;0;0;0;0
;;11;Eggen, J.;112;1;0;0;2;0;1;0;0;0;0;0;2;0;0;0;1;0;2;0;1;0;0;0;0;0;6;6;1;68;3;0;0;0;0;1;0;1;3;0;0;0;1;0;2;1;3;2;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;van Eijndhoven e/v Wartena, B.J.M.;96;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;26;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;12;14;1;0;0;1;2;0;1;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;12;0;0;0;1;0;0;0
;;13;Alebate, R.;60;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;3;4;0;4;2;0;0;6;0;0;0;2;0;1;0;0;0;0;0;0;1;2;0;0;4;0;9;3;0;2;0;0;0;1;2;0;1;0;0;0;0;0;2;0;1;0;0;0;1;1;4;0;0;0;0;0;0;0
;;14;Brinkman e/v Möller, B.J.;22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;2;0;1;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;15;Gregory, A.F.L.;66;0;0;2;2;0;0;0;0;1;0;0;1;1;0;0;0;0;0;2;0;0;0;5;0;0;2;0;20;0;1;0;1;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Lueks e/v Tempelman, K.;87;1;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;2;2;1;1;0;0;0;0;8;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0;11;30;1;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0
;;17;Faddegon, J.A.;27;1;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Obdeijn, H.J.A;273;2;0;2;0;0;3;4;0;2;1;0;2;1;0;1;0;6;3;1;3;0;8;0;2;0;1;0;1;0;86;2;6;0;2;4;0;2;4;2;3;2;1;7;4;1;1;19;2;0;0;3;2;2;0;2;0;0;0;0;1;0;19;7;1;0;1;5;2;0;29;2;0;4;0;2;0
;;19;Hettinga, L.J.A.;52;1;0;2;0;0;0;1;0;1;1;0;0;1;0;1;0;0;4;6;5;0;6;0;1;0;0;0;1;0;1;0;0;1;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0
