Verkiezing;;Gemeenteraad Raalte 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Raalte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis raadzaal (Raalte);Gemeentehuis trouwzaal (Raalte);Swaenewoerd (Raalte);Spelzaal Kwintijn (Raalte);Dorpshuis Lierderholthuis;Tent Raalte Zuid;Helpende Handen (Raalte);Hotel Inn Salland (Raalte);Gymzaal het Raan (Raalte);De Noaber/Schuilenburg (Raalte);Hoftheater (Raalte);Elckerlyc (Luttenberg);De Schalm (Mariënheem);De Belte (Nieuw Heeten);KulturhusTrefpunt (Heeten);Sporthal Heeten (Heeten);Café De Hoppe (Broekland);Dorpshuis het Trefpunt (Laag Zuthem);De Veldhoek (Heino);Bij Ne9en (Heino);Dorpshuus Heino;Sporthal Hoogerheyne (Heino);Het Wooldhuis (Heino);Gemeentehuis raadzaal (Raalte);Elckerlyc (Luttenberg);KulturhusTrefpunt (Heeten);Café de Hoppe (Broekland);Dorpshuus Heino;Gemeentehuis raadzaal (Raalte);Elckerlyc (Luttenberg);Stembureau KulturhusTrefpunt (Heeten);Café de Hoppe (Broekland);Dorpshuus Heino;Mobiel stembureau (meerdere plaatsen);Mobiel stembureau (meerdere plaatsen);Mobiel stembureau (meerdere plaatsen)
;;25;Pont, P.J.T.;5;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Marsman, M.G.J.;14;0;3;0;4;0;0;0;0;1;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Leerkes-Boerhof, K.M.;42;5;2;3;4;0;1;0;2;2;6;6;0;1;1;0;0;0;0;0;0;0;2;0;2;0;0;0;1;1;1;0;1;1;0;0;0
;;28;ter Laak, R.P.;29;1;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;6;2;13;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;29;Koerhuis, D.A.N.;14;2;0;1;0;0;1;2;0;2;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
5;Lokaal Alternatief;;;414;10;7;2;5;6;5;6;2;3;4;3;2;3;1;2;8;0;35;32;48;73;84;1;2;0;0;0;23;6;0;0;0;37;2;2;0
;;1;den Daas, E.;257;7;6;2;2;5;4;4;2;2;2;3;1;3;0;2;6;0;6;22;29;44;51;1;1;0;0;0;17;6;0;0;0;26;2;1;0
;;2;Datema, J.;62;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;11;6;5;12;15;0;1;0;0;0;3;0;0;0;0;4;0;1;0
;;3;Hofman, J.J.G.;36;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;18;1;2;4;3;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;4;Godeschalk, R.;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Wassink-Beerekamp, M.A.T.V.;18;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;6;4;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;6;Rosenthal, M.;25;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;2;4;5;4;0;0;0;0;0;2;0;0;0;0;3;0;0;0
6;GROENLINKS;;;924;43;27;17;38;14;61;51;14;83;25;20;20;19;16;36;23;42;36;25;46;50;50;0;30;1;9;0;21;38;5;11;6;32;3;10;2
;;1;Mulders, R.J.P.;429;29;15;11;24;6;40;25;7;38;13;10;12;9;2;17;13;18;13;7;9;21;9;0;14;1;7;0;4;21;1;7;2;16;0;7;1
;;2;van der Eerden, P.M.;38;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;1;8;3;11;0;0;0;0;0;6;0;0;1;0;2;0;1;0
;;3;Mastenbroek, M.;301;7;7;4;9;6;10;11;6;26;6;8;6;9;2;10;6;10;19;13;23;23;28;0;9;0;1;0;8;13;0;3;0;14;2;1;1
;;4;Appelman, J.H.;22;0;0;0;1;0;0;3;0;2;0;0;0;0;0;2;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;5;Haaima-Boin, A.B.M.;39;1;1;0;2;1;1;3;0;3;3;0;2;0;5;2;1;2;0;4;2;1;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0
;;6;de Haan, A.J.;16;1;1;1;0;0;5;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0
;;7;Legebeke-Holtmaat, J.M.J.;47;3;3;1;1;0;5;7;1;5;0;0;0;1;0;1;1;1;0;0;4;1;1;0;5;0;0;0;1;1;3;0;0;0;1;0;0
;;8;Marselis, M.H.;14;1;0;0;0;1;0;1;0;6;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;Tepper, E.J.;18;1;0;0;1;0;0;1;0;0;0;0;0;0;6;4;2;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
7;D66;;;782;32;20;17;39;8;35;31;9;74;32;29;14;8;15;29;26;8;16;32;50;53;56;0;24;7;4;2;28;37;3;19;2;17;4;2;0
;;1;Folgers, N.G.;389;9;11;7;18;7;19;12;2;27;12;11;9;4;7;11;11;4;9;24;37;36;25;0;12;4;1;1;11;19;2;7;2;12;4;2;0
;;2;Hunneman, J.G.;54;5;1;0;1;0;3;0;2;2;1;1;1;0;3;8;9;1;0;1;0;1;0;0;0;1;2;0;0;2;0;9;0;0;0;0;0
;;3;Moorman, P.W.M.;48;1;1;0;0;0;0;1;0;3;0;0;0;0;0;1;0;1;0;4;6;4;18;0;0;0;0;0;6;1;1;0;0;0;0;0;0
;;4;van Holten, W.J.;15;0;0;0;3;0;0;1;0;2;0;0;0;0;1;4;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
;;5;Holtmaat, C.J.M.;198;11;6;7;11;1;9;12;4;28;12;15;4;4;4;5;4;2;7;2;5;8;6;0;9;2;1;1;2;11;0;2;0;3;0;0;0
;;6;Berghuis, E.;14;0;0;2;1;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0
;;7;Perton, M.;17;2;1;0;1;0;2;2;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
;;8;Folgers, P.;14;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0
;;9;Kiekebosch, H.L.M.;33;4;0;1;3;0;0;3;1;6;3;2;0;0;0;0;1;0;0;1;0;1;3;0;1;0;0;0;1;2;0;0;0;0;0;0;0
8;Partij van de Arbeid (P.v.d.A.);;;725;35;24;27;40;10;57;60;19;73;38;37;10;5;7;16;7;12;16;14;14;18;29;0;44;4;10;0;16;50;1;2;2;25;1;1;1
;;1;van der Wilt, A.;357;21;14;14;17;5;22;23;14;33;16;17;4;1;2;6;5;5;6;6;10;13;20;0;24;2;9;0;7;23;0;1;1;13;1;1;1
;;2;Verdaasdonk, J.C.P.W.;117;4;1;4;2;0;19;6;3;23;15;9;1;0;2;2;1;1;1;2;0;2;0;0;10;1;0;0;0;8;0;0;0;0;0;0;0
;;3;van Assem-Tielbeke, E.J.M.;149;9;6;7;18;1;4;18;2;9;4;8;3;3;3;4;1;4;3;0;1;2;3;0;8;1;0;0;6;10;1;1;1;8;0;0;0
;;4;Schrijver, C.J.G.;33;1;2;0;1;1;5;4;0;4;1;3;1;0;0;2;0;2;1;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0
;;5;Vrielink, G.J.;13;0;0;0;0;0;4;7;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Gundlach, J.C.P.;16;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;1;4;0;0;0;0;0;1;2;0;0;0;3;0;0;0
;;7;Leijten, I.J.C.;5;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;8;Kamphuis, H.;15;0;0;1;2;0;3;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
;;9;Blokland, H.;11;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Kemper, G.J.J.;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
