Verkiezing;;Gemeenteraad Rijssen-Holten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rijssen-Holten;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1742;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Rijssen;Gemeentehuis maandag;Gemeentehuis dinsdag;Open Hof;Het Parkgebouw;Het Parkgebouw maandag;Het Parkgebouw dinsdag;Gebouw Schietvereniging;Sion;Gymnastieklokaal Welleweg;Willem-Alexanderschool;voormalige basisschool de Salto;De Hoeksteen;Sporthal de Stroekeld;Kulturhus Holten;Kulturhus Holten maandag;Kulturhus Holten dinsdag;Sporthal 't Mossink (voorheen Diessenplas);Kulturhus Dijkerhoek;Gymnastieklokaal Lageweg;Sporthal 't Mossink (voorheen Haarschool);De Tabernakel;Mobiel Stembureau dinsdag;De Ark;De Ark maandag;De Ark dinsdag
;;14;van Belzen, W.;11;1;0;1;2;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0
;;15;Schulenburg, G.;32;4;2;1;2;3;0;1;0;3;0;1;5;2;5;0;0;0;0;0;0;0;0;0;3;0;0
;;16;van Kralingen, R.;25;0;1;1;1;3;0;0;0;0;5;3;1;2;0;0;0;0;0;0;0;0;6;0;0;2;0
;;17;Morsink, G.;24;0;0;1;0;1;1;2;3;2;0;0;3;3;7;0;0;0;0;0;0;0;1;0;0;0;0
;;18;van Dijke, C.P.;33;0;2;0;1;0;0;2;5;3;3;3;5;2;1;0;0;0;0;0;0;1;2;0;1;1;1
;;19;Weenink, G.W.;78;5;0;3;3;14;3;2;11;5;8;4;7;4;3;2;0;0;0;0;0;0;0;0;0;2;2
;;20;Kamphuis, A.J.;18;0;0;2;1;1;0;0;0;3;0;1;1;2;1;1;0;0;0;0;0;0;2;0;2;0;1
;;21;Timmerman, M.F.;23;2;1;0;0;1;0;0;5;1;2;2;5;2;1;0;0;0;0;0;0;0;0;0;1;0;0
;;22;de Bruin, E.J.;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Boerman, M.C.;20;1;0;2;1;1;0;0;5;3;0;2;0;0;1;0;0;0;0;0;0;0;2;0;1;0;1
