Verkiezing;;Gemeenteraad Dalfsen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dalfsen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0148;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Wiekelaar;Parochiehuis Hoonhorst;Rest. Het Roode Hert;Geref. Kerk(Vrijgem.);Gemeentehuis;Ned. Gereformeerde Kerk;Kulturhus De Mozaiek;Hofje van Buisman;NH Jeugdgebouw;Restaurant Madrid;Kulturhus De Spil;Maranathakerk;Gemeentewerf Dalfsen;Brugkerk;Partycentrum Het Witte Peerd;Kerkelijk Centrum De Overkant;CBS De Spiegel;Ontmoetingskerk;Gemeentehuis maandag;Gemeentehuis dinsdag;Kulturhus De Mozaiek maandag;Kulturhus De Mozaiek dinsdag;Kulturhus De Spil maandag;Kulturhus De Spil dinsdag
;;11;Bekius-ten Dam, F.A.H.M.;24;0;0;3;2;4;2;0;0;0;0;0;2;1;0;0;0;5;0;3;2;0;0;0;0
;;12;Jansen Holleboom, E.A.A.;47;0;1;2;0;2;0;6;13;0;1;0;0;1;4;0;0;0;0;0;0;8;9;0;0
;;13;Meijerink, J.V.J.;32;0;25;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;4;0;0;0;0
;;14;Oegema, H.;89;5;3;14;8;3;7;0;0;4;2;0;0;11;0;0;6;12;3;1;8;0;0;0;2
;;15;van Zijl-Laarman, G.M.;47;2;0;0;2;5;1;7;7;0;4;0;0;2;6;0;0;0;0;3;4;3;1;0;0
;;16;Lahuis, G.J.;13;0;0;0;0;0;0;0;0;4;0;0;3;0;0;3;0;0;2;0;0;0;0;0;1
;;17;Westra, M.;19;1;0;0;1;0;8;0;0;0;0;0;0;1;0;0;3;2;0;2;1;0;0;0;0
;;18;Brinkman, A.C.;23;0;0;0;0;0;1;0;0;7;0;4;1;0;0;2;0;0;5;0;0;0;0;2;1
;;19;Uitslag, J.W.;101;4;1;5;18;8;13;0;0;2;2;3;0;8;0;3;6;13;0;6;9;0;0;0;0
3;ChristenUnie;;;1966;68;65;64;211;67;201;18;8;99;15;131;160;144;15;98;75;107;98;80;84;8;6;50;94
;;1;Lassche-Visscher, H.;1072;33;35;34;94;23;98;3;5;74;6;90;115;58;9;63;29;47;70;41;33;6;4;39;63
;;2;van Gelder, D.J.;339;12;6;13;45;23;46;1;1;3;3;10;9;41;1;13;28;17;8;25;28;0;0;0;6
;;3;Homans, D.B.;80;1;4;5;4;2;15;0;0;2;3;2;1;5;2;0;2;20;5;4;3;0;0;0;0
;;4;Kloppenburg, J.M.;53;2;0;1;15;4;4;0;0;3;0;0;0;4;1;2;4;4;1;2;6;0;0;0;0
;;5;Jonker, B.;22;1;1;0;2;0;3;0;0;0;0;2;0;3;0;0;0;3;0;0;3;0;0;2;2
;;6;Pruim, G.;79;3;6;5;19;1;8;0;0;1;1;2;0;7;1;3;4;6;1;6;5;0;0;0;0
;;7;Oosterhoff-Zielman, M.;40;0;1;1;1;4;11;1;0;1;2;1;2;3;0;0;2;4;1;0;1;0;1;0;3
;;8;Odink, T.;36;2;4;0;3;4;2;0;0;2;0;3;6;0;0;2;0;0;0;1;1;0;0;3;3
;;9;van Pijkeren, M.G.;7;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;10;Kapoen-Nijburg, D.G.;11;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;3;0;0;1;0
;;11;Zieleman, W.;54;2;0;0;1;1;0;0;0;11;0;7;13;0;0;9;0;0;4;0;0;0;0;1;5
;;12;Kuiterman, M.;11;0;0;0;0;2;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;5
;;13;Laarman, H.J.;12;4;0;1;0;0;1;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;1
;;14;Duim-van der Velde, A.E.D.;19;0;0;0;0;0;0;13;2;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0
;;15;Post-Zielman, M.J.;19;2;1;2;6;0;1;0;0;0;0;0;0;3;0;0;0;1;2;0;0;0;0;0;1
;;16;Keesmaat, T.M.;16;2;0;1;0;0;2;0;0;1;0;1;3;1;0;0;0;0;3;0;0;0;0;0;2
;;17;Batterink, P.G.K.;9;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;3;0
;;18;Veldkamp, G.J.;10;0;0;0;2;0;0;0;0;0;0;1;4;2;0;1;0;0;0;0;0;0;0;0;0
;;19;Velthuis, F.W.;40;2;3;1;7;1;8;0;0;0;0;2;2;11;0;0;2;0;0;0;0;0;0;0;1
;;20;Nijkamp, L.M.;37;2;3;0;8;2;1;0;0;1;0;4;0;6;0;0;4;2;0;1;0;0;0;1;2
4;Partij van de Arbeid (P.v.d.A.);;;1374;15;68;23;65;111;107;33;22;95;16;67;58;39;48;47;50;72;59;93;105;24;29;58;70
;;1;Broere, L.;503;6;38;9;32;53;55;15;13;12;6;12;11;13;21;15;24;31;9;46;40;12;10;15;5
;;2;Melis, S.;66;0;3;1;9;8;7;0;0;0;1;0;0;2;0;2;2;5;1;12;11;0;0;0;2
;;3;Lozekoot, R.F.C.W.;28;4;1;0;1;2;2;0;0;0;0;0;0;5;0;1;0;7;0;1;2;0;0;1;1
;;4;de Vries, T.;368;1;0;0;2;3;8;0;0;73;0;49;44;1;0;20;5;7;42;12;7;0;0;35;59
;;5;Weerstra, P.;28;0;3;1;1;2;9;0;0;0;0;0;0;1;0;0;3;0;0;0;7;0;1;0;0
;;6;Bloeming, J.S.;244;2;18;9;9;30;11;9;6;7;7;5;3;12;16;6;7;15;4;16;28;9;10;3;2
;;7;Wiltvank, J.J.;53;1;0;3;7;7;9;0;0;1;0;0;0;0;0;0;8;6;0;5;4;0;0;1;1
;;8;van Driessen, J.J.J.;14;0;0;0;0;2;0;0;0;0;0;0;0;1;5;0;0;0;1;0;1;0;4;0;0
;;9;Eilert-Herbrink, J.M.A.;44;1;2;0;3;3;2;5;3;2;2;0;0;0;6;2;1;0;2;0;3;2;4;1;0
;;10;Scholten Meilink Lenferink, C.;14;0;2;0;1;1;0;2;0;0;0;1;0;3;0;0;0;0;0;1;1;1;0;1;0
;;11;Klaver, B.A.;12;0;1;0;0;0;4;2;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
5;VVD;;;752;35;37;17;45;39;48;22;20;30;26;25;38;49;16;41;38;66;12;40;64;9;8;10;17
;;1;Veldhuis, GJ;430;19;26;10;34;20;29;13;15;21;18;10;18;30;14;18;26;27;3;21;39;5;4;6;4
;;2;Visscher, JM;49;3;3;0;2;3;1;3;1;1;1;3;7;1;0;1;1;4;2;2;3;2;2;0;3
;;3;Klein, S;120;7;4;5;4;4;8;5;1;3;5;4;3;9;1;9;8;11;5;4;10;2;1;2;5
;;4;Brandsema, VCA;95;4;1;0;1;4;7;0;0;3;1;8;10;5;1;12;1;13;2;8;7;0;1;2;4
;;5;Endeman, HVP;40;1;2;2;4;7;3;0;0;0;1;0;0;4;0;0;1;8;0;5;2;0;0;0;0
;;6;van Riezen, MG;10;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;3;0;0;2;0;0;0;1
;;7;Kok, HR;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;8;Warmelink, R;4;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;D66;;;1075;33;74;32;59;80;112;31;23;24;23;45;11;70;36;25;49;92;7;58;110;15;14;15;37
;;1;Smalbraak, J.B.;424;8;42;13;26;34;62;7;3;5;8;18;1;28;4;9;22;50;2;16;42;5;3;7;9
;;2;de Boer, J.J.;121;4;7;2;10;14;15;0;2;1;4;0;1;14;3;2;4;9;0;8;17;0;1;1;2
;;3;Schrijver, B.H.M.;109;0;3;0;3;2;4;18;15;0;1;1;0;2;26;2;2;1;1;6;4;10;7;0;1
;;4;Prins, H.W.E.;28;0;0;1;1;1;1;1;0;0;0;2;0;6;3;0;1;2;0;5;4;0;0;0;0
;;5;Bouwman, A.T.P.;270;12;20;13;15;22;22;4;3;9;8;12;5;14;0;6;15;25;2;15;31;0;3;1;13
;;6;Seuters, A.M.;24;1;0;2;2;5;1;0;0;1;1;1;0;2;0;1;0;0;0;3;4;0;0;0;0
;;7;van Hofwegen, G.;46;0;1;0;0;0;0;0;0;6;0;11;4;0;0;4;0;0;2;0;0;0;0;6;12
;;8;Rooijakkers, J.T.P.M.;36;6;1;1;2;1;3;1;0;2;0;0;0;2;0;1;1;4;0;5;6;0;0;0;0
;;9;Klomp, G.H.;17;2;0;0;0;1;4;0;0;0;1;0;0;2;0;0;4;1;0;0;2;0;0;0;0
