Verkiezing;;Gemeenteraad Hof van Twente 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hof van Twente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Hof van Twente 1;Gemeentehuis Hof van Twente 2;Zalencentrum De Bebsel;Kantine Goorse Mixed Hockey Club;Wijkvoorziening 't Doesgoor;Villa 70, 't Gijminkhuis;Kantine sporthal de Mossendam;Kantine vv Twenthe Goor;Kantine vv GFC Goor;Grand Café de Kroon;Sporthal de Haverkamp 1;Sporthal de Haverkamp 2;Het Gebouwtje, buurtgebouw Stokkum;Café Spoolder;Gemeenschapscentrum de Pol;Gemeenschapscentrum Esbrook;Gemeenschapscentrum De Marke 1;Gemeenschapscentrum De Marke 2;Het Noaberhoes;Stadscentrum Het Parochiehuis;Sporthal de Reiger 1;Sporthal de Reiger 2;Sportzaal Raesfelt;Schietvereniging Delden;Zalencentrum Beltman;Cultureel centrum Herberg de Pol;Gemeentehuis Hof van Twente;Gemeentehuis Hof van Twente;Sporthal de Haverkamp;Sporthal de Haverkamp;Gemeenschapscentrum de Pol;Gemeenschapscentrum de Pol;Gemeenschapscentrum De Marke;Gemeenschapscentrum De Marke;Sporthal de Reiger;Sporthal de Reiger;Cultureel centrum Herberg de Pol;Cultureel centrum Herberg de Pol;Mobiel stembureau met beperkte toegang - Verzorgingstehuizen
;aangetroffen stembiljetten;;;16266;790;450;410;595;493;528;590;339;193;988;657;649;441;334;518;385;511;461;414;734;703;456;348;453;523;517;301;551;206;324;35;117;77;137;269;475;105;133;56
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;5;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;4;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;4499;136;79;119;101;69;89;168;64;52;177;129;133;65;166;302;156;331;313;165;212;169;131;114;162;65;52;61;111;41;74;18;62;46;92;82;145;12;12;24
;;1;Scholten, H.J.;1420;23;23;34;19;23;24;23;18;15;26;31;23;9;62;136;34;203;166;22;63;32;29;30;35;24;15;20;36;6;13;11;35;23;49;24;43;1;3;14
;;2;Nijhof-Sander, Y.T.;562;4;6;6;3;1;5;7;2;4;3;2;3;2;22;23;21;10;5;53;67;56;47;42;54;4;4;1;4;2;3;1;5;2;1;31;52;3;0;1
;;3;Zandvoort, A.;387;4;1;5;5;6;2;2;3;2;100;48;58;35;5;5;6;0;6;1;0;4;0;1;2;11;13;0;5;21;30;0;0;0;0;2;1;1;1;1
;;4;Rikkert, H.L.M.;394;34;21;41;25;15;31;97;16;14;1;4;1;2;3;13;4;1;1;1;1;2;5;0;0;1;4;17;34;0;0;0;1;0;0;2;0;0;0;2
;;5;Mulder, A.H.;376;3;2;0;0;0;0;0;0;0;2;0;1;0;0;2;7;0;0;69;49;57;40;33;57;0;2;0;0;1;0;0;0;0;0;18;32;0;0;1
;;6;van Groningen-Lantink, J.H.;83;3;0;0;1;1;0;0;0;3;1;1;0;0;5;5;42;1;1;3;7;2;3;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
;;7;Bijleveld, R.J.;292;49;15;9;45;18;19;25;18;2;2;1;1;1;2;1;0;0;1;1;9;1;0;1;0;4;2;19;21;2;1;0;1;2;6;1;0;3;6;3
;;8;Doeschot-Reuver, M.H.M.;235;2;1;5;1;0;0;0;0;0;1;0;0;0;5;18;1;66;83;1;1;1;0;0;0;1;1;0;3;0;0;0;0;16;27;1;0;0;0;0
;;9;Hargeerds, J.H.B.;88;1;1;2;0;0;1;0;2;0;22;25;9;3;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;5;11;0;0;0;0;0;0;0;1;0
;;10;Leeftink-Nijland, A.;71;0;1;1;0;0;0;1;1;0;8;14;22;1;0;2;0;0;1;0;0;0;0;0;0;3;0;0;0;2;12;0;0;0;0;0;0;1;0;1
;;11;Pierik, A.J.M.;100;2;2;8;0;2;1;1;1;0;1;0;0;0;12;13;13;7;5;3;2;1;3;1;4;0;0;2;3;0;0;4;5;2;0;0;2;0;0;0
;;12;Semmekrot, A.J.M.;33;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;14;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0
;;13;Flierman, A.H.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Blanckenborg-Vollenbroek, J.M.B.;70;0;0;0;0;0;1;0;2;0;0;0;0;1;5;7;7;11;15;1;0;1;0;0;0;8;6;0;0;0;0;0;1;0;2;0;0;2;0;0
;;15;Doeschot-Workel, C.J.H.;111;3;0;2;0;0;0;4;0;7;0;0;0;0;13;32;15;8;3;3;2;3;0;1;0;0;0;2;0;0;0;2;5;1;2;0;3;0;0;0
;;16;ten Hove, J.G.;27;1;0;0;0;2;0;0;0;0;3;2;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0
;;17;van der Veen, G.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Schreurs, J.H.;10;0;0;0;0;0;1;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Vehof-Busger op Vollenbroek, G.A.M.;18;1;0;0;1;0;2;5;0;4;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Borghuis, G.;3;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Bartelink, E.H.G.M;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;22;Verbeek, M.;23;3;1;0;0;0;0;0;0;0;5;0;2;0;0;0;3;0;0;0;1;0;0;0;0;3;1;0;0;0;4;0;0;0;0;0;0;0;0;0
;;23;Eshuis, B.M.J.;28;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;1;9;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;24;Weber, J.C.J.;45;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;6;8;7;3;3;4;0;0;0;0;0;0;0;0;0;0;2;9;0;0;0
;;25;van Zwanenburg, P.;19;2;2;2;1;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;1
;;26;Buschers, R.H.J.;87;0;2;2;0;0;0;0;0;0;1;0;0;0;29;38;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0
2;VVD;;;2859;149;88;56;101;70;64;115;65;41;197;133;126;83;97;117;105;57;64;56;131;137;92;55;42;62;90;39;87;50;59;8;26;6;14;50;82;19;22;4
;;1;Meulenkamp, W.J.H.;1423;73;40;31;47;20;28;47;20;8;64;53;39;39;85;84;80;29;26;35;89;88;55;33;31;20;31;16;35;20;23;4;19;3;10;30;48;8;11;1
;;2;Elbert, J.B.;126;6;1;2;1;2;2;4;3;1;6;1;3;9;1;4;0;7;15;0;2;1;0;2;0;20;20;1;3;0;1;0;0;0;2;0;1;3;2;0
;;3;Overmeer, M.E.F.J.;257;9;8;2;1;4;5;5;4;4;56;28;24;16;1;1;3;2;5;3;3;7;4;1;3;0;5;1;7;16;16;0;1;0;0;4;5;0;2;1
;;4;Scheperman, E.;126;18;11;4;13;8;6;25;5;11;1;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;11;1;0;0;0;0;0;0;0;0;0;0
;;5;Lugtmeier, M.;221;21;21;12;21;21;9;22;17;7;1;3;1;4;0;0;4;4;4;1;3;1;0;4;1;4;1;5;17;2;0;0;1;1;0;2;4;1;1;0
;;6;Mordjaneh, A.;42;7;2;0;1;9;4;1;1;1;1;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;2;0;0;0;0
;;7;Schoneveld, W.M.B.;90;1;1;0;0;0;0;1;0;1;17;21;20;8;0;0;1;2;0;0;2;1;0;0;0;0;0;2;0;5;4;0;0;0;0;0;2;1;0;0
;;8;Lammertink, G.J.;28;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;3;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
;;9;Bruins, E.;91;5;0;1;2;3;4;1;2;2;25;12;16;1;0;0;1;1;0;0;1;2;2;0;0;0;1;2;0;1;4;0;0;1;0;0;0;0;0;1
;;10;Exterkate, R.J.H.;52;0;0;0;0;0;0;0;0;2;5;0;0;0;2;18;1;0;1;4;0;2;2;2;0;0;0;1;0;0;0;3;4;0;0;1;0;4;0;0
;;11;Dijkerman, M.G.H.;56;0;0;0;0;0;2;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;14;28;0;1;0;0;1;0;0;0;0;0;0;6;0
;;12;Gereke, E.;69;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;14;15;9;6;4;0;0;0;0;0;2;0;0;0;0;4;9;0;0;0
;;13;Nijhuis, J.W.M.;16;0;0;0;0;0;1;0;0;0;0;1;0;0;3;5;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;14;Naafs, G.H.;25;2;1;3;4;2;1;1;3;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;15;Geerlings, M.;56;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;5;15;11;6;1;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0
;;16;van der Werf-Kamphuis, H.J.P.;10;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0
;;17;Reijnders, T.W.;21;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;18;Haverkamp, E.J.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;19;Leferink, D.J.;41;2;1;1;6;0;2;5;8;1;1;2;2;0;0;0;0;0;0;0;2;1;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;2;0;0
;;20;Bruins-Veltkamp, G.;21;1;0;0;0;0;0;0;1;0;4;3;3;0;0;2;1;0;0;0;1;0;0;0;0;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0
;;21;Doeschot, F.J.;26;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0
;;22;Oplaat, G.J.;41;1;0;0;0;1;0;2;1;0;5;7;3;3;4;1;0;1;2;1;0;0;0;1;0;0;1;0;1;1;4;0;0;0;0;1;0;0;0;0
;;23;Veltkamp, J.H.;15;0;0;0;3;0;0;1;0;1;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
3;Partij van de Arbeid (P.v.d.A.);;;1844;138;58;45;109;77;110;74;47;28;96;56;67;36;12;8;13;12;10;28;64;75;37;32;57;87;101;44;107;21;31;2;8;8;4;29;56;25;20;12
;;1;Rijkens, F.;687;67;22;20;46;36;47;51;22;11;22;15;23;20;1;1;5;5;6;9;16;21;7;7;14;18;30;22;46;13;15;1;1;6;1;11;12;9;3;5
;;2;Bordes, O.;221;3;1;2;2;0;4;1;1;3;0;2;2;2;3;1;2;0;1;15;30;33;19;20;32;1;0;2;3;0;0;0;0;0;1;14;21;0;0;0
;;3;Sligman, H.G.J.;294;40;20;17;27;14;22;11;12;9;7;4;7;2;1;0;1;6;1;0;8;4;3;3;1;7;6;10;34;1;3;1;0;0;1;0;1;7;2;1
;;4;Nijland, E.E.A.M.;190;7;2;1;4;4;5;6;2;1;40;21;21;6;6;5;3;0;2;2;2;6;1;0;6;3;0;4;5;1;6;0;6;1;1;1;7;0;2;0
;;5;Groothengel, C.W.;147;21;10;5;26;19;28;2;9;1;0;2;1;1;0;1;0;0;0;0;0;0;2;0;0;0;0;4;13;0;0;0;0;1;0;0;0;0;0;1
;;6;Bittink, G.J.;157;0;2;0;0;2;1;0;0;0;7;3;4;1;0;0;0;0;0;0;1;1;0;0;0;51;56;1;3;0;2;0;0;0;0;0;0;9;12;1
;;7;Minkjan, W.H.;31;0;0;0;2;0;0;0;0;0;13;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;2
;;8;Hoogeveen, S.;58;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;2;1;0;2;7;10;5;2;4;2;0;0;1;0;0;0;1;0;0;3;15;0;0;0
;;9;Aaftink, M.;23;0;1;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;9;1;0;0;0;0;0;0;0;0;0;0;1;1
;;10;Sprokkereef, G.J.A.;4;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Hilbrink-Dekker, P.W.;32;0;0;0;2;1;0;0;0;3;7;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;0;0;0;0;0;0;0;0;1
4;Gemeente Belangen;;;3006;86;69;38;81;99;72;57;45;17;365;238;242;189;27;40;51;30;24;60;102;106;57;49;48;210;149;30;77;64;102;1;2;7;6;27;59;32;41;7
;;1;Rohaan-Vlijm, J.;898;31;25;18;31;31;24;21;13;2;43;32;29;18;11;20;20;19;12;24;37;24;14;17;7;128;110;17;23;4;13;1;1;5;2;10;19;18;22;2
;;2;Nijenhuis, B.J.;530;8;1;3;6;7;2;3;4;4;109;94;85;64;9;7;3;1;1;1;2;1;0;1;2;15;10;1;11;23;43;0;0;0;0;0;1;0;5;3
;;3;Titshof-Leushuis, J.W.;313;5;0;0;1;3;2;1;3;0;0;1;0;1;0;5;5;0;1;24;49;65;31;29;31;0;0;0;5;1;0;0;1;0;0;16;33;0;0;0
;;4;de Valk, E.J.;40;0;2;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;19;8;0;0;0;0;0;0;0;0;0;0;1;4;0
;;5;de Wilde-Smale, M.;115;3;2;1;2;5;0;0;1;0;23;16;13;5;0;0;2;3;0;0;0;2;1;0;0;9;3;0;5;8;7;0;0;0;0;0;0;1;3;0
;;6;Klaassen-Klein Velderman, H.A.W.J.;124;1;5;0;0;4;1;2;0;0;34;18;29;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;11;0;0;0;0;0;0;0;0;1
;;7;Mensink, C.G.W.;290;2;4;1;3;0;1;0;1;2;105;37;47;38;0;0;1;0;0;0;0;1;2;0;4;4;0;0;7;11;15;0;0;2;0;0;0;2;0;0
;;8;Titshof, M.E.;50;1;0;1;1;2;4;3;3;0;0;0;1;1;0;1;0;1;0;5;8;4;5;1;0;0;0;2;1;1;0;0;0;0;0;0;4;0;0;0
;;9;Kottelenberg, A.H.;170;1;3;1;3;6;2;0;0;1;40;16;22;44;1;4;3;0;2;0;0;1;2;0;0;3;0;0;0;8;6;0;0;0;0;1;0;0;0;0
;;10;Bomans, M.;203;23;16;8;24;22;27;16;19;6;1;2;4;0;0;0;0;1;2;0;0;0;0;0;0;0;2;6;21;0;2;0;0;0;0;0;0;1;0;0
;;11;Ensing, G.H.;42;3;7;3;7;5;3;2;0;2;2;2;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;12;Kornet, J.H.A.;54;1;0;0;0;0;0;2;0;0;1;1;3;0;2;1;17;1;1;4;6;6;1;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;1
;;13;Bokhove-Lusink, G.F.;29;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;11;6;0;0;1;0;0;0;0;2;0;0;2;3;0
;;14;Tellmann-Hassink, H.W.;27;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;3;0;0;0;0;0;0;0;1;0;0;3;1;0
;;15;Bronninkreef, J.H.G.;29;0;0;0;0;8;0;0;0;0;2;3;8;0;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0
;;16;Berendsen, H.J.H.;35;0;1;1;1;2;0;0;0;0;5;13;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0
;;17;Rotman, J.A.H.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0
;;18;Hofhuis, G.J.;28;6;1;1;2;2;3;5;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Altena, J.H.;21;1;0;0;0;2;2;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;1;4;0;1;0;0;0;0;0;0;0;0;0;4;1;0
5;D66;;;1282;63;33;17;44;31;26;41;18;12;72;43;39;19;7;13;21;16;10;51;117;79;66;37;72;35;53;27;50;16;28;1;12;2;5;32;50;3;16;5
;;1;de Visser, A.R.;536;16;9;12;10;8;9;13;5;2;10;7;9;8;5;9;11;7;3;38;61;44;43;24;52;9;15;11;11;1;9;0;8;2;1;20;24;0;5;5
;;2;Vinkenvleugel, C.;113;4;0;0;2;1;1;1;1;0;35;16;18;1;0;1;0;1;1;1;2;1;1;0;0;2;2;0;2;10;7;0;0;0;0;1;0;0;1;0
;;3;Rugenbrink, A.G.;292;24;20;3;22;17;10;23;9;8;6;9;2;6;1;0;3;4;2;7;19;6;1;5;8;4;12;10;22;1;3;0;2;0;4;1;11;2;5;0
;;4;Schuddebeurs, M.;21;0;0;0;1;0;0;1;1;0;6;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;4;2;0;0;0;0;0;1;0;0;0
;;5;Busschers, I.;64;3;0;0;0;2;1;0;0;0;3;0;2;1;1;0;3;1;1;1;9;1;3;2;0;7;16;0;1;0;0;1;1;0;0;2;0;0;2;0
;;6;Vis, M.L.;30;3;0;0;5;1;2;0;1;1;0;0;1;1;0;1;0;2;1;0;2;2;2;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;7;van Wijhe, M.;45;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;1;9;5;4;2;4;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0
;;8;Slijkhuis, A.;38;1;2;0;1;1;0;0;0;0;8;9;3;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;1;0;6;0;0;0;0;0;1;0;0;0
;;9;Bökkerink, V.M.;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;6;14;10;3;6;0;0;2;0;0;0;0;0;0;0;0;5;0;0;0
;;10;Brinkhuis, H.;7;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;Elkink, J.H.;27;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;2;0;0;0;6;6;3;0;0;0;0;0;0;0;0;0;1;3;0
;;12;Lentelink, J.H.;34;10;2;1;2;0;2;3;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0
;;13;Olde Reuver of Briel - Bosveld, A.;18;0;0;0;0;0;1;0;0;0;1;0;0;1;0;2;0;0;1;0;1;2;0;0;0;6;1;0;1;0;0;0;1;0;0;0;0;0;0;0
;;14;de Priester, H.;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;SP (Socialistische Partij);;;760;41;27;31;39;29;40;29;29;2;17;10;7;6;11;12;11;28;12;20;42;57;27;21;26;23;23;15;39;5;8;1;4;2;4;20;29;6;6;1
;;1;Kalter, J.C.H.;359;17;6;13;13;3;10;11;10;2;11;7;4;4;3;8;7;10;8;16;27;35;14;12;15;10;5;5;15;4;6;1;2;0;3;17;21;1;3;0
;;2;Hagreis, J.H.;103;8;8;9;16;9;9;14;9;0;2;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;3;10;0;0;0;0;0;0;0;0;0;0;1
;;3;Laarhuis, G.;67;1;0;1;0;4;1;0;1;0;1;1;0;2;0;0;1;0;0;2;7;14;6;5;7;0;3;0;1;0;0;0;1;0;0;3;5;0;0;0
;;4;Cival, J.P.C.;24;0;1;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;7;10;0;0;0;0;0;0;0;0;0;1;1;0;0
;;5;Rook, H.H.;107;3;3;0;3;5;5;0;2;0;2;2;0;0;6;1;3;18;4;2;5;6;5;2;3;5;5;0;6;1;0;0;1;2;1;0;0;3;3;0
;;6;Houtman, C.;47;4;6;5;5;3;4;3;4;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;1;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0
;;7;Houtman, P.;10;3;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;de Klerk, I.;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
