Verkiezing;;Gemeenteraad Zwolle 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zwolle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Sionskerk;Stembureau Wijkcentrum De Enk;Stembureau Wijkcentrum De Weijenbelt;Stembureau Stadhuis;Stembureau Dienstencentrum De Terp;Stembureau Rode Kruisgebouw;Stembureau Wijkcentrum S.I.O.;Stembureau IJsselhallen drive though - stemstraat 1;Stembureau IJsselhallen drive through -stemstraat 2;Stembureau Koningskerk;Stembureau De Bierton;Stembureau Cultuurhuis Stadshagen;Stembureau Gymzaal Sportlaan 10;Stembureau Het Anker;Stembureau Wijkcentrum De Bestevaer;Stembureau Sionskerk;Stembureau Wijkcentrum De Enk;Stembureau Wijkcentrum De Weijenbelt;Stembureau Stadhuis;Stembureau Dienstencentrum De Terp;Stembureau Rode Kruisgebouw;Stembureau Wijkcentrum S.I.O;Stembureau IJsselhallen drive though - stemstraat 1;Stembureau IJsselhallen drive through -stemstraat 2;Stembureau Koningskerk;Stembureau De Bierton;Stembureau Cultuurhuis Stadshagen;Stembureau Gymzaal Sportlaan;Stembureau Het Anker;Stembureau Wijkcentrum De Bestevaer;Stembureau Gymzaal bij school De Wieden;Stembureau Kerk De Hoeksteen;Stembureau Gymzaal Gouwe;Stembureau Gymzaal bij school De Aquarel;Stembureau Gymzaal bij school De Aquarel;Stembureau Sionskerk;Stembureau Stadkamer Centrum;Stembureau Wijkcentrum De Enk;Stembureau Gymzaal bij school De Mozadance;Stembureau Stadskantoor;Stembureau Hogeschool KPZ (Pabo);Stembureau De Twijn (zij-ingang);Stembureau Wijkcentrum De Weijenbelt;Stembureau Kerk de Hoofdhof;Stembureau Stadhuis;Stembureau Papenstraattheater;Stembureau Gymzaal bij school Aquamarijn;Stembureau Historisch Centrum Overijssel;Stembureau Dienstencentrum De Terp;Stembureau Wijkcentrum De Vlasakkers;Stembureau Wijkcentrum Holtenbroek;Stembureau Aula van school Het Facet;Stembureau Deltion College;Stembureau Rode Kruisgebouw;Stembureau Wijkcentrum S.I.O;Stembureau Gymzaal De Marshof;Stembureau Gymzaal De Marshof;Stembureau Bewonersvereniging Ittersummerbroek;Stembureau Gymzaal bij scholen IJsselhof en Talentum;Stembureau Gymzaal bij scholen IJsselhof en Talentum;Stembureau Wijkcentrum De Pol;Stembureau IJsselhallen drive through - stemstraat 1;Stembureau IJsselhallen drive through - stemstraat 2;Stembureau Bioscoop Pathé;Stembureau Gymzaal achter Carolus Clusius;Stembureau IJsselhal;Stembureau Kulturhus Wijthmen;Stembureau Gymzaal bij scholen De Ark en De Markesteen;Stembureau Gymzaal bij school De Sluis;Stembureau Koningskerk;Stembureau Hogeschool Windesheim;Stembureau De Bierton;Stembureau Dorpshuis De Molenkamp;Stembureau Cultuurhuis Stadshagen;Stembureau Kerk De Fontein;Stembureau Strandhuis Milligers;Stembureau Kantine CSV'28 op sportpark De Verbinding;Stembureau Gymzaal Sportlaan;Stembureau Kerk Open Kring;Stembureau School De Krullevaar;Stembureau SV HTC;Stembureau Gebouw van de IJsvereniging WVF;Stembureau Stinskerk;Stembureau Het Anker;Stembureau Gymzaal bij Geert Grooteschool;Stembureau Wijkcentrum De Bestevaer;Stembureau Recreatiezaal Parkzicht;Stembureau Mobiel stembureau 1;Stembureau Mobiel stembureau 2;Stembureau Mobiel stembureau 3;Stembureau Mobiel stembureau 4
;;3;van der Veen, M.K.;286;4;0;0;1;1;0;0;0;0;2;2;5;1;0;0;3;0;4;3;1;2;6;2;0;5;0;14;1;1;0;4;8;1;4;2;2;6;4;0;3;1;4;3;4;9;0;5;2;4;0;5;1;1;1;10;2;3;5;3;4;2;1;2;7;4;0;1;13;3;3;2;7;3;17;3;13;4;8;13;4;2;0;4;4;3;1;0;0;1;1;1
;;4;Renkema, A.J.;193;4;0;7;2;0;1;0;0;0;0;1;2;0;0;0;2;1;9;0;0;1;2;1;1;3;1;1;0;2;1;1;3;1;4;0;1;1;2;1;2;1;0;20;13;2;1;1;1;5;0;4;0;0;1;3;3;1;4;0;0;4;0;3;3;3;1;15;1;1;6;1;5;4;5;2;2;0;0;2;1;3;2;4;2;2;1;0;0;0;2;0
;;5;Schaap, A.J.D.;78;1;0;0;0;0;1;1;0;0;2;3;4;1;0;1;0;0;1;0;0;0;1;1;0;2;0;3;0;1;0;1;1;0;0;0;2;1;1;1;1;0;4;1;1;0;0;0;0;0;0;2;0;1;0;2;1;1;1;0;1;0;0;0;0;0;0;4;6;0;1;0;1;1;3;1;7;1;1;2;2;0;0;1;0;1;0;0;0;0;0;0
;;6;Hoorn, N.I.;150;2;1;2;0;3;0;2;0;1;1;1;2;0;1;0;1;1;2;0;1;0;1;3;1;3;1;1;0;0;2;3;3;1;2;0;3;2;0;0;2;0;0;3;5;4;1;5;4;2;0;3;1;2;0;1;0;3;1;1;1;2;2;0;0;7;0;3;3;0;2;2;1;7;6;1;7;1;1;2;0;4;0;4;2;2;3;0;0;1;1;0
;;7;Suurling, D.;21;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;8;de Witte, P.C.F.;15;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0
;;9;van Scheepstal, I.M.;64;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;4;0;0;0;2;0;0;0;0;1;0;0;1;1;0;2;0;0;1;0;0;2;1;1;0;4;0;2;0;1;1;0;0;0;1;0;1;6;0;1;2;0;1;1;0;0;2;1;1;2;3;0;0;0;4;0;0;0;1;0;0;1;1;2;0;2;2;1;0;1;0;0;0;0
;;10;Borkhuis, H.L.;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;2;0;0;0;0;1;0;0;0;1;2;2;0;0;0;1;1;0;2;0;0;1;0;5;3;2;3;3;2;0;1;1;0;7;1;0;0;3;1;2;0;0;3;0;1;0;2;1;0;0;1;0;6;1;0;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0
;;11;Spaans, A.;68;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;1;1;0;3;0;1;1;2;0;0;0;1;1;0;0;0;0;0;2;0;1;0;13;0;2;4;5;10;2;0;0;1;4;1;0;0;0;0;0;0
;;12;van Es, E.A.;39;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;1;0;0;2;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;0;0;3;2;0;0;4;1;0;0;0;0;0;0;0
;;13;Stoel, L.;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;1;0;1;1;1;0;0;1;1;3;0;0;1;0;0;1;2;1;1;1;2;0;0;0;0;2;0;0;0;1;2;1;0;1;1;3;0;1;0;0;0;0;0
;;14;van Beekhuizen, B.;19;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;0;0;1;0;0;2;0;1;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Krone, A.G.M.;19;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0
;;16;Reinders, M.;17;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;2;2;1;0;0;0;0;0;0;0
;;17;Koops, P.G.;28;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;8;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0
;;18;Eijsink, J.F.H.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;19;Werksma, M.P.A.;17;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
;;20;Kruizinga, H.H.R.;31;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;4;0;0;0;2;2;0;0;2;0;3;0;1;0;0;0;0;0
;;21;Helfferich, F.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Colenbrander, F.D.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;23;van der Veen, M.G.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0
;;24;Slabbekoorn, H.;21;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0;1;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;25;Scholtens, H.;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;26;Duenk, J.;16;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Kortenhorst, R.W.F.;8;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;28;Kingma, T.J.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;29;van Iersel, J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
;;30;Oomen, E.F.M.;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;3;1;0;0;0;0;0;0;0
;;31;Smit, A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Hofsteenge, H.A.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Hofstede, J.N.;16;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;34;Bosselaar, J.W.A.;34;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;3;0;0;0;0;2;0;0;0;2;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;2;0;0;0;0;1;0;0
6;D66;;;6618;48;38;33;49;14;20;57;6;5;28;48;68;10;17;37;61;52;57;96;36;15;89;12;11;56;55;130;40;35;57;100;98;41;70;47;64;166;207;142;100;56;40;144;56;234;65;98;101;103;63;144;15;49;41;149;84;63;80;62;78;100;16;24;137;186;27;33;126;113;93;82;134;21;267;106;102;57;89;112;118;37;35;74;100;206;129;34;6;8;4;2
;;1;van Driel, M.;2309;21;10;19;18;3;12;21;1;3;14;15;27;2;10;19;24;22;22;34;8;7;19;4;4;16;24;56;15;19;20;48;51;11;28;19;12;50;51;35;42;18;13;67;23;64;11;29;29;40;13;63;7;14;18;45;22;20;25;31;41;41;4;5;37;41;8;19;43;35;38;32;46;9;84;46;28;20;31;42;47;22;17;31;37;67;30;10;1;5;3;1
;;2;Guldemond, P.V.;131;1;1;0;1;0;0;0;2;0;1;2;0;0;1;0;1;0;0;0;2;1;1;0;0;2;1;1;0;0;0;1;2;0;1;1;4;2;3;4;1;1;1;4;1;7;1;3;1;0;0;2;0;1;0;3;2;2;1;0;2;1;0;0;1;6;0;0;1;8;1;4;9;2;11;0;0;0;0;4;1;0;0;1;2;7;2;1;0;0;0;0
;;3;Oldengarm, H.S.;143;0;3;2;1;0;0;0;0;0;2;0;1;0;0;0;1;1;2;4;0;0;3;0;0;1;1;2;1;0;1;2;0;3;1;0;0;4;1;6;2;3;3;5;2;7;1;3;1;0;2;2;0;0;0;3;3;2;0;2;1;1;0;0;5;7;0;0;4;2;1;2;2;0;5;1;3;2;2;2;1;1;7;2;2;4;2;0;0;0;0;0
;;4;de Sevren Jacquet, S.;1832;11;14;6;10;3;4;8;3;0;5;16;18;5;5;13;14;10;19;21;9;2;23;5;4;16;13;37;8;8;15;26;24;15;21;18;22;48;61;40;21;18;16;36;18;72;20;26;28;29;19;29;7;12;12;60;32;21;24;12;17;24;5;12;39;48;6;9;24;36;25;15;30;8;83;27;36;19;27;34;30;8;0;20;30;64;36;5;2;1;0;0
;;5;Klein Nagelvoort, L.E.;511;2;1;2;6;2;1;5;0;0;4;7;1;0;0;2;4;2;0;6;4;1;7;2;0;3;5;4;1;2;8;6;9;2;5;3;8;12;22;11;10;3;1;7;2;15;8;11;13;5;8;18;0;5;4;12;2;6;6;4;0;14;2;1;8;13;2;1;13;9;6;12;14;0;18;7;4;3;9;5;10;4;4;3;9;22;15;1;1;0;1;0
;;6;Brouwer, B.;366;1;6;1;3;1;1;8;0;0;0;2;1;0;0;1;4;6;6;5;0;0;5;0;2;5;1;3;3;0;3;5;5;2;1;1;6;12;20;8;8;2;1;6;1;18;6;1;6;9;3;7;0;0;1;7;4;2;5;0;3;5;3;1;11;11;2;0;11;4;7;5;6;0;18;9;12;4;2;4;6;0;1;4;5;8;4;5;0;0;0;0
;;7;Wessels, W.C.;115;3;0;1;2;4;0;3;0;0;0;1;3;0;0;0;4;1;1;1;1;1;4;0;0;1;0;2;1;0;0;1;0;0;6;0;2;2;4;5;1;1;1;1;0;8;1;1;8;4;1;3;0;1;0;3;3;2;3;0;0;0;0;0;6;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;3;2;2;0;0;0;0
;;8;Hof, D.;112;1;0;0;1;0;0;2;0;0;0;1;1;0;0;0;0;0;1;1;2;1;3;1;0;2;1;1;1;3;0;0;1;0;0;1;1;1;4;0;2;0;0;0;3;6;0;1;1;0;1;1;0;1;0;5;1;0;1;2;1;2;0;0;2;8;0;0;6;2;3;1;3;0;8;0;4;1;0;4;5;0;0;2;1;1;2;0;0;0;0;0
;;9;van Dam, O.J.;44;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;3;1;1;0;2;0;0;0;2;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;2;1;12;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;3;0;0;0;0;0
;;10;van der Flier, G.J.;64;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;1;0;0;1;0;0;0;0;1;2;1;1;2;0;0;1;3;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;3;0;0;0;3;0;0;0;0;3;2;0;0;5;3;5;1;1;0;0;3;1;1;0;0;0;1
;;11;van der Zee, J.J.;157;3;0;0;1;0;1;1;0;0;1;2;1;2;0;1;3;2;0;3;3;2;4;0;1;3;0;0;1;0;0;0;1;1;2;0;0;2;3;2;1;1;1;3;2;2;3;0;4;5;2;5;0;3;0;1;5;3;5;2;7;4;2;1;6;3;1;0;9;2;4;0;2;0;7;1;1;0;2;0;1;1;1;2;0;2;3;1;0;0;0;0
;;12;Dees, A.;48;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;4;3;1;0;1;0;0;1;0;0;3;1;0;0;3;1;0;0;0;0;0;0;1;0;1;0;2;2;2;2;0;5;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
;;13;van Nijen, A.B.;72;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;1;1;0;0;0;2;1;0;0;1;0;0;2;2;2;3;0;0;2;1;2;2;2;2;1;8;0;0;1;0;0;2;0;0;1;1;0;0;0;2;0;0;0;0;0;2;2;2;0;5;0;1;0;1;1;1;0;0;0;0;7;3;0;0;0;0;0
;;14;Wiertz, F.J.G.;137;3;0;1;1;0;0;4;0;0;0;1;2;0;0;1;0;1;4;3;3;0;3;0;0;3;6;2;0;0;4;0;1;0;0;1;0;3;0;3;3;0;1;3;1;7;2;8;1;0;0;0;0;0;0;0;3;1;5;0;0;2;0;0;3;7;0;4;1;1;1;3;6;0;1;1;2;0;1;0;0;0;0;0;0;6;9;2;2;0;0;0
;;15;van Bekkum, O.J.H.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;de Vries Robles, B.T.;17;0;0;0;1;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;17;Kenter, W.;19;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0
;;18;de Groot, B.;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;3;2;0;0;0;0;1;0;0;1;0;0;0;0;0
;;19;Kerkhof, F.G.M.;126;0;1;0;2;0;0;2;0;0;0;0;0;0;0;0;4;1;0;9;0;0;0;0;0;0;0;2;4;0;0;0;0;1;1;1;4;10;6;1;2;0;0;1;0;2;6;0;3;2;3;4;0;0;0;2;0;0;0;1;1;0;0;0;2;4;0;0;1;1;0;1;1;0;10;6;3;1;2;5;1;0;1;2;2;4;3;0;0;0;0;0
;;20;van der Gaag, M.;80;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;2;1;0;0;0;0;3;0;0;1;1;0;0;5;7;0;3;0;1;0;3;0;1;1;0;0;4;0;4;1;1;1;0;0;1;0;1;0;0;3;6;0;0;2;2;0;1;0;0;1;2;0;2;0;1;1;0;0;0;2;4;4;2;0;1;0;0
;;21;Leistra, Q.B.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;22;van der Bovenkamp, M.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;van Dijk, F.;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;24;Meijer, R.T.;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;4;4;0;0;0;1;0;5;1;0;0;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Veenendaal, D.G.;21;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
;;26;Duijzer, E.J.;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
