Verkiezing;;Gemeenteraad Hellendoorn 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hellendoorn;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0163;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis voor Cultuur & Bestuur;Gebouw OZO;Prinses Marijkeschool;Wijkgebouw de Brake;Wijkgebouw Blokkendoos;Wijkgebouw 't Diekhuus;Wijkcentrum Groot Lochter;Basisschool de Meander;Wijkgebouw Wilhelminawijk;Het Noaberhuus;Leerkamer Protestantse Gemeente;Dorpshuis Sion;Sporthal Kruidenwijk;Dorpshuis 'n Kadiek;Kulturhus 't Trefpunt;Sporthal De Veldkamp;Buurthuis de Leemkamp;Jan Barbierschool;Gebouw Bunga Tandjung;Kulturhus Kruidenwijk;Mobiel Stembureau;Huis voor Cultuur & Bestuur;Huis voor Cultuur & Bestuur;Leerkamer Protestantse Gemeente;Leerkamer Protestantse Gemeente
;;1;Dubbink, A.F.;4496;169;209;178;175;160;143;204;156;223;348;387;228;237;239;100;79;131;118;148;384;27;104;149;67;133
;;2;ten Have, T.H.M.;901;40;37;25;29;32;18;33;16;26;29;35;25;19;13;19;365;4;6;33;34;2;17;27;4;13
;;3;Knobben, M.A.;614;26;41;20;32;27;22;108;33;31;12;13;34;53;3;0;5;3;1;29;64;1;19;28;2;7
;;4;Weierink-Siers, G.M.;380;26;24;22;10;19;46;48;23;26;6;9;4;10;0;3;2;2;0;25;32;1;13;21;3;5
;;5;Meijerman, D.;187;5;6;10;7;2;1;6;5;5;15;6;20;25;4;0;0;3;26;3;25;0;6;4;0;3
;;6;Runneboom, F.J.B.;190;8;11;5;5;1;4;2;7;7;22;40;7;4;0;0;1;0;28;7;8;1;0;2;6;14
;;7;Dollen, J.H.A.J.;61;1;2;3;2;0;0;2;3;1;4;16;2;1;0;0;0;0;12;0;5;1;1;0;0;5
;;8;Haselhorst, G.J.;137;3;4;3;4;0;3;0;2;2;9;14;2;3;3;1;1;65;3;6;2;3;1;0;1;2
;;9;Veneman, J.;462;10;14;15;20;16;16;21;34;19;19;13;85;50;3;1;1;1;10;15;61;3;9;19;4;3
;;10;ter Horst, G.;251;15;5;8;5;14;0;1;6;7;57;55;8;8;0;0;0;4;9;4;5;0;0;6;10;24
;;11;Lusink, J.A.;89;4;6;5;5;26;10;5;4;0;1;0;3;4;0;1;2;0;2;1;8;0;2;0;0;0
;;12;Krukkert, H.G.;186;2;1;0;3;4;0;3;3;3;0;3;0;2;0;0;145;1;3;0;3;0;4;1;1;4
;;13;Bargboer, T.;237;3;3;6;8;4;1;5;3;1;2;2;5;0;139;36;0;4;1;2;6;0;4;0;1;1
;;14;Wolterink, J.J.;61;0;3;0;1;1;1;5;0;2;7;16;3;4;0;0;2;0;2;0;2;2;0;2;3;5
;;15;Versmissen, M.J.J.;25;2;3;4;3;3;0;1;0;0;0;0;2;3;0;1;0;0;0;2;0;0;0;1;0;0
;;16;Buter, E.;27;0;0;2;0;1;1;5;0;0;0;3;3;2;0;0;0;0;5;0;3;0;2;0;0;0
;;17;Schraa-op den Dries, J.E.;52;2;0;0;2;6;4;7;0;1;0;3;7;8;1;0;1;0;1;1;6;0;1;1;0;0
;;18;van de Merwe, G.;76;4;13;9;5;3;3;4;2;5;3;1;0;2;0;1;2;0;0;5;3;0;5;3;1;2
;;19;Witteveen, M.E.J.;25;0;2;1;0;0;0;0;0;0;4;5;3;0;0;1;0;0;0;0;0;0;0;2;3;4
;;20;Ligtenberg, H.R.;23;0;0;3;0;1;0;0;0;1;0;1;0;0;0;2;0;10;1;0;1;0;0;0;3;0
;;21;Bakhuis, J.H.;21;0;0;2;0;0;1;0;1;0;2;2;1;0;0;2;0;4;1;0;1;0;1;3;0;0
;;22;Heinen, R.;17;0;3;0;0;0;3;4;0;1;1;0;1;0;0;0;0;1;0;2;0;0;0;1;0;0
;;23;Heemskerk, A.;8;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;0;0
;;24;Koning, E.;19;0;4;0;0;0;0;0;0;4;1;4;0;0;0;0;1;0;0;2;0;0;0;2;0;1
;;25;Bakhuis, H.;15;0;1;0;0;0;1;0;0;1;4;3;0;0;0;0;0;1;2;0;2;0;0;0;0;0
;;26;de Vries, A.;43;3;1;2;2;6;3;0;0;2;0;0;4;2;0;2;0;0;0;3;6;0;1;5;1;0
2;CDA;;;3104;133;178;188;93;79;104;90;75;115;92;151;118;112;290;233;277;88;34;119;178;34;88;142;51;42
;;1;Zijlstra, R.;1403;87;114;124;58;57;71;55;45;77;41;56;72;79;13;8;16;10;7;77;127;25;48;100;21;15
;;2;Immink, J.H.;395;3;10;6;3;4;8;5;2;1;3;4;7;2;259;2;0;41;12;7;6;3;1;2;1;3
;;3;Vorderman-Bonthuis, J.;293;0;7;8;3;1;2;2;0;3;3;2;2;2;10;222;1;3;2;2;8;1;5;3;0;1
;;4;Kemper, W.A.H.;285;5;2;0;3;0;0;1;3;1;1;0;0;2;1;0;251;0;0;3;4;0;0;5;0;3
;;5;Evers, J.J.;54;2;5;4;2;1;0;3;3;0;0;0;3;9;0;0;0;1;1;4;4;0;3;7;1;1
;;6;Mak, L.M.A.;123;5;10;4;1;2;3;1;9;3;10;27;6;6;1;0;2;3;2;4;6;1;3;4;6;4
;;7;Haitsma, E.H.;101;9;9;15;0;3;4;8;1;5;2;8;6;0;0;0;0;0;0;4;4;0;14;4;3;2
;;8;Piksen, J.;296;16;17;14;13;2;12;10;5;19;24;52;18;7;3;1;1;5;3;15;11;3;9;8;18;10
;;9;Bouwhuis, J.;41;1;2;9;3;2;0;0;5;0;0;1;2;5;0;0;0;0;0;1;6;1;1;2;0;0
;;10;Dijk, G.J.H.;6;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;11;van Nijen-Klink, J.M.E.A.;39;1;1;2;3;2;2;3;2;3;5;0;2;0;2;0;0;1;2;0;0;0;1;6;0;1
;;12;Stokvis-Scholten, H.J.;36;0;0;0;0;0;0;1;0;1;2;1;0;0;1;0;0;23;5;0;1;0;0;0;0;1
;;13;Beintema, J.J.;12;2;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0
;;14;Roessink, C.J.;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
;;15;Keizer, H.;12;2;1;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1
3;VVD;;;1524;75;58;130;38;44;44;44;63;75;132;129;102;52;25;23;94;40;66;35;90;7;32;58;22;46
;;1;ter Horst, J.J.;917;46;35;61;29;25;25;28;40;30;105;96;65;23;15;16;27;35;56;14;49;4;16;29;15;33
;;2;Berends, R.;161;10;5;14;2;8;12;4;9;14;6;15;9;8;0;0;0;3;3;9;15;0;7;6;1;1
;;3;Vloedgraven, R.H.W.;87;2;2;3;1;2;1;0;1;1;1;2;0;0;2;0;61;0;0;1;3;1;1;2;0;0
;;4;Gennisse, M.C.;29;2;2;1;1;2;0;1;0;2;0;1;7;2;0;0;1;0;0;2;2;0;0;3;0;0
;;5;Hengstman, N.;47;2;3;6;0;0;0;3;4;6;1;1;9;3;0;0;0;0;0;0;2;1;2;1;0;3
;;6;de Klerk, M.J.F.;26;1;0;3;1;0;0;1;0;4;1;0;0;4;0;0;0;0;0;1;4;0;0;3;2;1
;;7;Nekkers, W.J.;14;0;0;0;0;1;0;3;1;0;0;0;2;1;0;0;0;0;0;1;3;0;0;2;0;0
;;8;Hospers, H.D.;39;2;2;22;1;0;2;0;0;2;0;4;1;2;0;0;0;0;0;0;0;0;0;1;0;0
;;9;Nijhuis, E.G.J.;26;1;2;4;2;4;1;1;4;0;0;0;0;0;0;0;0;2;0;3;0;0;0;2;0;0
;;10;Müller, W.C.;40;6;3;3;1;2;1;1;1;2;1;1;1;0;1;0;0;0;1;2;4;0;4;3;0;2
;;11;Andela, J.;11;1;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;1;0;1;0;0;0
;;12;Korendijk, H.P.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;13;Koning, H.;67;0;3;8;0;0;1;1;1;7;13;4;4;5;2;0;0;0;1;2;2;0;0;5;3;5
;;14;van der Straat, F.;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;1;0
;;15;Hollatz, I.C.;5;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;1;0;0;0;0;0;0;0
;;16;Gennisse, J.B.;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van der Veer, P.L.;7;0;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0
;;18;Westenenk, W.A.J.;4;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;19;Nijenbanning, E.;19;1;1;1;0;0;0;0;0;7;3;2;0;0;0;0;0;0;0;0;2;0;1;0;0;1
;;20;Bakhuis, A.P.J.;15;1;0;3;0;0;1;0;0;0;1;0;0;0;4;0;0;0;4;0;1;0;0;0;0;0
4;GROENLINKS;;;1691;118;89;117;55;67;61;95;57;94;90;89;80;109;16;26;58;5;15;53;182;11;54;87;19;44
;;1;ter Harmsel, A.;922;53;44;58;37;41;40;57;38;40;39;51;41;52;10;21;25;5;11;22;103;4;34;57;10;29
;;2;Struikenkamp, A.;207;14;13;25;4;5;3;5;1;16;9;13;12;27;0;1;1;0;1;11;18;1;8;10;3;6
;;3;Mels, C.;221;19;10;13;2;8;10;13;5;12;21;9;7;21;4;2;11;0;1;10;21;2;5;7;3;5
;;4;Lage Venterink, P.T.G.;26;2;1;7;1;2;0;0;3;1;3;1;2;1;0;0;1;0;0;1;0;0;0;0;0;0
;;5;Bom, R.J.;67;9;3;2;4;7;2;5;2;5;1;0;1;2;0;1;3;0;1;3;10;0;0;5;0;1
;;6;Besten, J.C.;27;0;2;0;0;0;0;0;0;0;3;1;0;0;0;0;15;0;0;1;2;1;1;0;1;0
;;7;Olthof, H.J.B.;28;1;1;0;1;2;1;2;2;5;2;1;1;0;0;0;0;0;0;3;3;0;2;0;0;1
;;8;Hekman, G.J.;48;8;7;2;4;1;1;3;1;2;4;2;0;0;1;0;0;0;0;2;8;1;1;0;0;0
;;9;Oonk, B.J.;73;8;4;7;0;0;2;6;1;9;7;6;5;3;0;0;0;0;1;0;8;0;1;2;2;1
;;10;Meijberg, J.W.;7;1;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;11;Hoeksma, C.C.;13;0;0;0;0;0;1;2;0;0;0;0;2;0;0;1;1;0;0;0;3;0;0;3;0;0
;;12;Knol, M.;13;1;0;0;0;0;1;0;1;1;0;0;6;2;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Felix, W.;26;0;3;1;2;1;0;1;0;2;1;1;3;0;0;0;0;0;0;0;5;2;1;2;0;1
;;14;Nijhof, H.J.;13;2;0;1;0;0;0;1;3;1;0;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0
5;ChristenUnie;;;1131;61;43;59;51;46;39;78;41;37;32;44;61;71;71;57;11;28;17;48;125;5;33;56;7;10
;;1;Krommendijk-Grit, M.K.;643;44;27;32;28;25;21;48;24;21;24;18;32;41;20;31;4;20;12;28;59;5;24;41;6;8
;;2;Kerklaan, E.M.;138;1;8;6;9;1;7;10;3;4;2;11;9;15;5;2;2;0;0;11;23;0;3;4;0;2
;;3;Janssen, A.H.;30;0;4;2;3;4;1;0;2;1;1;0;0;1;2;0;0;0;0;1;5;0;2;1;0;0
;;4;Samsen, L.H.;37;4;1;2;1;2;2;3;1;1;0;2;2;7;0;0;1;0;0;3;5;0;0;0;0;0
;;5;Minkjan, R.;88;7;2;13;4;3;2;8;8;5;0;2;12;3;0;0;2;1;1;3;7;0;2;3;0;0
;;6;van der Veen, M.;20;0;0;0;0;1;0;0;0;0;1;0;2;2;0;0;0;0;0;0;13;0;1;0;0;0
;;7;Kleinjan, J.H.;58;0;0;0;0;0;0;1;0;1;0;1;0;0;41;4;1;4;2;0;3;0;0;0;0;0
;;8;Welleweerd-Bollemaat, G.;24;5;0;1;1;0;0;6;1;0;0;0;2;1;0;0;0;1;0;1;3;0;0;2;0;0
;;9;de Jong, R.R.;15;0;0;0;0;0;0;0;0;0;3;6;1;0;0;0;0;1;0;0;3;0;1;0;0;0
;;10;Noppers-Maneschijn, W.T.;19;0;0;0;1;0;0;0;0;0;0;0;0;0;2;15;1;0;0;0;0;0;0;0;0;0
;;11;ten Brinke, N.A.;19;0;1;2;0;5;2;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;5;0;0
;;12;Kroeze-Welleweerd, J.G.;8;0;0;0;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;13;de Roo-Snoeij, C.H.J.;10;0;0;0;2;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Nijland- van Beuzekom, S.S.M.;9;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0;1;1;0;0;0;0;0;1;0
;;15;Ligtenberg, M.;5;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;16;Dam, F.B.;8;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5;0;0;1;0;0;0;0;0;0;0
6;D66;;;717;58;29;65;24;18;16;28;28;49;42;45;39;27;1;5;18;4;14;24;79;3;25;54;11;11
;;1;op den Dries, E.D.;344;28;14;31;16;11;11;15;14;18;16;11;18;13;1;3;9;4;6;11;44;2;6;31;7;4
;;2;Webbink, L.;156;11;5;12;6;1;0;3;8;10;21;19;10;8;0;0;0;0;7;5;8;1;4;10;3;4
;;3;Veltkamp, S.G.;74;11;3;4;1;1;1;5;3;11;1;6;4;1;0;0;2;0;0;3;9;0;5;3;0;0
;;4;Butink, M.H.G.;10;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;2;0;1;2
;;5;Middag, R.;19;0;2;0;0;0;0;1;0;3;0;2;2;1;0;0;0;0;0;0;4;0;3;1;0;0
;;6;Mostert, A.;17;1;0;4;0;0;1;0;1;2;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0
;;7;Reimert, G.J.J.;12;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;1
;;8;op den Dries, A.G.;6;0;0;0;0;0;1;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Overmeen-Bakhuis, G.J.;79;7;5;14;1;5;1;1;2;5;0;3;5;3;0;0;3;0;1;5;10;0;3;5;0;0
7;Partij van de Arbeid (P.v.d.A.);;;648;43;37;36;29;22;40;61;24;30;25;17;21;30;4;16;17;3;4;18;71;9;29;42;9;11
;;1;Paalman, M.;346;28;17;18;18;12;22;36;11;7;16;6;10;15;1;9;11;3;3;11;37;5;19;22;6;3
;;2;de Noord, P.F.;134;8;13;11;5;5;8;13;3;10;5;4;6;4;0;2;3;0;1;4;7;0;7;11;1;3
;;3;Geujen, G.C.;16;1;0;0;0;0;0;1;0;2;0;0;0;3;0;1;1;0;0;0;4;0;0;3;0;0
;;4;Vree, E.E.J.;14;2;0;0;0;0;2;1;0;3;0;0;0;1;1;0;0;0;0;0;1;2;0;1;0;0
;;5;van Brink, B.;12;1;0;0;0;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;5;0;0;1;0;0
;;6;van den Born, J.;28;0;2;5;2;1;1;0;3;3;0;1;0;0;1;1;0;0;0;1;5;0;2;0;0;0
;;7;Bom, M.;8;0;0;0;0;1;2;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
;;8;Broekmate, M.S.;24;0;0;0;2;0;2;2;2;1;3;3;1;1;0;1;0;0;0;0;2;1;0;0;2;1
;;9;Felix-Elsinga, T.;54;3;4;2;2;1;3;6;4;2;1;2;3;1;1;2;1;0;0;2;5;1;1;3;0;4
;;10;Logtmeijer, G.Z.;12;0;1;0;0;2;0;2;1;0;0;0;1;0;0;0;1;0;0;0;3;0;0;1;0;0
