Verkiezing;;Gemeenteraad Haaksbergen 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Haaksbergen;;;;;;;;;;;;;;;;;;;;;
Nummer;;0158;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Theater de Kappen;De Trefkoel,Buurse;'t Meuken,Isidorushoeve;Basisschool Holthuizen bureau 5;De Oude Molen;Het Schuttershoes;Montessorischool;Het Bakkershuis;Basisschool de Kameleon;Basisschool Dr. Ariens;Sporthal de Els;Basisschool Los Hoes;Gemeentehuis;Gemeentehuis;'t Meuken,Isidorushoeve;De Trefkoel,Buurse;Het Saalmerink;De Wiedenhof
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20
Postcode;;;;;7481 EB;7481 EB;7481 RP;7482 ST;7482 ET;7481 BG;7481 VP;7481 BC;7481 GL;7482 TW;7482 ZK;7482 VX;7483 CT;7481 EB;7481 EB;7482 ST;7481 RP;7481 EN;7481 CB
;;2;Mekking, A.;283;17;8;64;8;28;12;8;13;28;13;11;23;16;14;9;2;9;0;0
;;3;Hendriks, A.;90;3;5;6;9;7;2;4;0;3;4;7;13;18;6;1;2;0;0;0
;;4;ten Asbroek, G.B.;105;2;6;3;11;14;5;6;10;10;14;2;4;7;5;6;0;0;0;0
;;5;Wielens, E.;107;10;6;4;10;13;6;2;4;5;10;6;5;7;6;10;3;0;0;0
;;6;Prinsen, D.L.P.;158;6;5;14;5;13;9;5;18;8;11;15;14;18;6;5;2;1;3;0
;;7;Bossewinkel, Y.H.;84;4;5;3;8;14;10;3;2;6;2;5;10;5;4;1;1;1;0;0
;;8;van Egmond, F.M.D.;135;9;3;18;6;19;4;8;7;10;10;3;4;12;6;10;0;6;0;0
;;9;Rietman, J.H.;120;15;6;4;1;16;9;2;6;8;10;5;12;15;5;6;0;0;0;0
;;10;Hendriks, J.E.J.;88;14;4;1;11;7;2;6;2;6;6;7;11;8;0;2;1;0;0;0
;;11;Nijhuis, G.J.B.H.;19;2;1;0;7;3;0;0;0;1;0;4;0;1;0;0;0;0;0;0
;;12;Kroeze, J.H.F.;51;4;0;1;7;7;9;0;10;1;3;0;4;0;2;2;1;0;0;0
;;13;Oude Groen, J.A.M.;52;8;0;1;0;9;3;0;1;4;5;0;9;1;6;5;0;0;0;0
;;14;Rietman, J.T.M.;30;2;2;0;0;5;0;0;5;3;1;1;3;4;3;1;0;0;0;0
;;15;Nijhuis, A.;90;10;1;6;0;7;2;9;5;8;5;7;5;6;6;11;1;1;0;0
