Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau DAS;Stembureau CNS;Stembureau De Reestkerk;Stembureau PG Kerk Oud Avereest-Balkbrug;Stembureau Geref.Ver.gebouw 't Kruispunt;Stembureau Ver. gebouw De Bo;Stembureau Dorpshuis De Heujmansbelt;Stembureau Kantine DKB;Stembureau Dorpshuis De Krim;Stembureau Dedemsvaart - Clubgebouw Korfbal;Stembureau Kerkelijk Centrum De Fontein;Stembureau MFC De Baron 16 maart;Stembureau MFC de Baron 2e zaal;Stembureau Chr. Geref. Kerk.;Stembureau Chr. Daltonschool De Groen;Stembureau Tent bij de Kiefer;Stembureau Kantine DVC Dedemsvaart;Stembureau MFC de Binder 16 maart;Stembureau MFC de Binder 2e zaal;Stembureau Café Bolte Gramsbergen;Stembureau Wijkcentrum Baalder;Stembureau Zaal Mulder;Stembureau Zaal Mulder 2e zaal;Stembureau Wijkcentrum De Wiekstee;Stembureau Sporthal de Beek;Stembureau De Schakel;Stembureau Sporthal de Meet;Stembureau 't Uilenest;Stembureau Gemeentehuis 16 maart;Stembureau De Smidse;Stembureau Ver. gebouw  de Esch;Stembureau Wijkcentrum Norden-Hazenbos;Stembureau Marslanden - Restaurant Het Heemse;Stembureau De Levensbron;Stembureau Tent bij de Schoutenhof;Stembureau Camping 't Rheezerwold;Stembureau Ver.gebouw Hoogenweg;Stembureau 't Haarschut Kloosterhaar 16 maart;Stembureau Hervormd Jeugdgebouw De Rank;Stembureau Ver. geb. a/d Lutteresweg;Stembureau MFC Lutten;Stembureau De Wingerd;"Stembureau Dorpshuis ""De Heugte""  Radewijk";Stembureau Ons Trefpunt Schuinesloot;Stembureau De Horst Sibculo;Stembureau R.K. kerk H. Alphonsus de Liguori;Stembureau Kantine SC Lutten;Stembureau Jeugdgebouw  Kronkelhonk;Stembureau MFC de Baron 14 maart;Stembureau MFC de Baron 15 maart;Stembureau MFC de Binder 14 maart;Stembureau MFC de Binder 15 maart;Stembureau Gemeentehuis 14 maart;Stembureau Gemeentehuis 15 maart;Stembureau 't Haarschut Kloosterhaar 14 maart;Stembureau 't Haarschut Kloosterhaar 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1214;1215;1814;1815;2914;2915;3814;3815
Postcode;;;;;7784 CG;7707 DZ;7707 PM;7707 AK;7691 BA;7691 CG;7695 TJ;7782 RA;7782 RN;7701 VT;7701 JE;7701 GM;7701 GM;7701 EA;7701 AT;7701 PZ;7701 VP;7783 HA;7783 HA;7783 BX;7772 DP;7772 PB;7772 PB;7772 LZ;7772 LX;7772 BL;7772 ZH;7771 AC;7772 HZ;7771 CV;7771 RD;7771 WX;7773 AH;7773 AA;7773 CC;7696 HT;7793 HP;7694 AA;7775 AT;7775 PP;7775 CA;7692 AE;7791 RK;7777 RN;7693 PH;7776 AG;7776 PA;7776 PL;7772 TV;7772 TV;7772 TV;7772 TV;7772 HZ;7772 HZ;7694 AA;7694 AA
;;23;Rusken - van Noord, B.;54;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;1;4;1;5;0;3;4;3;3;3;1;1;1;6;0;2;2;4;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Rossen, P.F.G.;12;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;ChristenUnie;;;5019;31;121;84;69;400;231;74;33;28;57;35;34;24;49;50;69;44;57;38;33;151;163;132;155;163;130;85;124;101;335;233;150;159;143;175;55;38;16;49;43;99;322;23;31;22;5;2;14;31;50;8;32;88;117;1;13
;;1;te Rietstap, A.H.;2922;22;26;22;20;262;169;49;23;18;19;16;16;10;26;26;27;17;30;21;18;88;94;75;104;83;85;57;75;60;230;151;101;89;78;95;47;23;14;25;35;47;192;14;11;17;4;0;7;19;26;7;16;52;54;0;10
;;2;Hof, S.E.;264;1;30;27;19;5;7;4;1;3;6;3;6;1;8;8;9;8;2;4;1;6;4;4;4;7;3;2;0;0;10;7;3;3;6;6;1;2;0;3;1;1;11;2;1;0;0;0;1;4;6;0;2;3;7;1;0
;;3;Odink, J.;187;1;1;7;1;17;1;1;0;0;0;1;1;0;0;0;1;0;1;1;3;6;10;15;15;8;5;3;4;5;13;6;4;5;4;8;3;4;0;2;0;3;9;0;0;1;0;0;1;1;3;0;0;3;9;0;0
;;4;Kuckelkorn, M.G.M.C.;125;0;0;0;0;2;1;0;0;0;0;0;0;2;0;0;0;1;1;1;0;3;2;0;2;6;9;1;6;4;9;6;7;12;16;9;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;16;0;0
;;5;van der Veen - Vriesinga, W.M.;95;0;5;0;0;2;0;0;1;0;8;5;3;2;5;5;7;1;1;0;0;3;2;0;0;1;0;0;2;1;3;1;1;0;3;2;0;0;0;0;0;5;3;2;11;0;1;1;3;0;1;1;2;0;1;0;0
;;6;Kuipers, G.J.B.;200;0;0;2;1;10;7;3;0;0;0;0;3;0;1;1;1;1;2;0;3;11;7;11;8;23;12;3;9;8;10;8;7;1;10;5;0;3;0;0;1;6;7;0;0;0;0;0;0;0;0;0;0;2;13;0;0
;;7;Lennips, H.;47;0;0;0;0;9;1;3;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;1;1;0;3;0;5;1;8;0;3;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0
;;8;Peltjes - Mooi, G.H.;133;0;1;1;0;36;24;3;4;0;0;2;0;0;0;0;0;0;0;0;2;2;1;0;1;1;3;1;4;6;1;8;0;3;0;1;0;0;1;0;0;7;7;0;2;2;0;0;1;0;0;0;3;3;0;0;2
;;9;van de Grampel, E.S.P.;69;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;8;10;2;6;1;3;3;0;0;0;2;3;2;6;0;0;0;0;0;1;0;2;0;2;0;0;0;1;0;0;3;5;3;0;0
