Verkiezing;;Gemeenteraad Achtkarspelen 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Achtkarspelen;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0059;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Buitenpost, Raadzaal Gemeentehuis 16 maart;Buitenpost, pand voormalige Rabobank 16 maart;Buitenpost, Fonteinkerk 16 maart;Surhuisterveen, CGKV De Regenboog 16 maart;Surhuisterveen, It Mennohûs 16 maart;Surhuisterveen, Zalencentrum De Lantearne 16 maart;Harkema, Sporthal De Fûgelkamp 16 maart;Harkema, Clubhuis 16 maart;Kootstertille, MFA Tillehûs 16 maart;Twijzelerheide, Dorpshuis De Jister 16 maart;Drogeham, De Doarpskeamer 16 maart;Surhuizum, MFC De Delfeart 16 maart;Augustinusga, Seniorencomplex Nij Stiensgea 16 maart;Boelenslaan, Dorpshuis De Smoutte 16 maart;Gerkesklooster, Dorpshuis Rehoboth 16 maart;Twijzel, Dorpshuis De Bining 16 maart;Buitenpost, Raadzaal Gemeentehuis 14 maart;Surhuisterveen, Zalencentrum De Lantearne 14 maart;Buitenpost, Raadzaal Gemeentehuis 15 maart;Surhuisterveen, Zalencentrum De Lantearne 15 maart;Mobiel Stembureau Stemtruck
;;26;Hager, C.;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;27;De Vries, K.J.;10;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;3;0;0
;;28;Van der Veen, J.T.;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0
;;29;Postma, J.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;30;Dijkstra, S.;13;0;4;1;0;0;1;2;0;0;0;0;0;4;0;0;0;0;1;0;0;0
2;FNP;;;2109;62;101;94;44;49;83;142;119;195;282;121;91;127;113;109;234;27;27;44;36;9
;;1;van Kammen, IJ.;475;12;19;24;11;14;25;66;43;28;45;39;25;19;28;17;21;6;6;14;11;2
;;2;Brinkman, T.O.;297;11;10;8;2;5;5;9;10;28;38;7;2;3;3;2;137;8;4;5;0;0
;;3;Poelman, W.;194;5;35;20;6;7;3;3;3;4;17;4;7;5;8;46;3;2;3;10;2;1
;;4;Veenstra, W.B.;70;1;2;0;1;3;4;14;7;0;2;4;2;2;24;1;0;0;1;0;2;0
;;5;van der Meer, S.D.;100;0;3;2;0;0;1;0;0;74;3;2;2;4;3;0;2;1;0;2;1;0
;;6;Bouma, A.D.;103;4;2;1;0;0;0;0;0;3;85;2;0;1;2;0;2;1;0;0;0;0
;;7;van der Wijk, L.;39;5;7;14;0;2;0;0;0;0;0;0;0;2;0;0;1;2;0;6;0;0
;;8;van der Wal, R.;35;0;0;0;1;5;13;0;1;0;0;0;0;0;5;0;0;0;7;0;3;0
;;9;Land-Dotinga, S.S.;88;5;3;8;7;3;3;4;2;4;1;2;33;5;1;1;0;0;2;4;0;0
;;10;Groenhof, S.;58;0;0;0;1;1;3;19;23;0;0;1;2;0;2;0;0;0;2;0;4;0
;;11;van der Kooi, B.;87;5;6;1;0;0;2;1;0;0;1;2;4;59;0;3;0;0;0;2;1;0
;;12;Huisma, H.;67;1;0;1;2;0;0;0;5;5;7;1;0;0;1;0;44;0;0;0;0;0
;;13;Adema-Dijkstra, M.;34;0;1;0;3;2;0;1;0;0;1;0;0;2;23;0;0;0;0;0;1;0
;;14;Doek, A.;7;0;0;0;2;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
;;15;Bloembergen, J.;23;0;0;0;0;0;1;0;0;17;1;0;0;0;0;3;0;0;0;0;0;1
;;16;Poelman, B.J.;13;0;0;0;0;0;2;0;0;0;0;0;2;0;0;9;0;0;0;0;0;0
;;17;Lammers, J.;15;0;0;0;2;5;3;0;0;0;0;0;0;0;0;0;1;0;1;0;3;0
;;18;Lourens-Veenstra, A.;5;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;19;van der Heide-Wijma, A.T.;15;0;0;0;0;0;0;0;0;14;0;1;0;0;0;0;0;0;0;0;0;0
;;20;de Jong, P.;12;0;1;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
;;21;Schievink, W.F.;18;0;0;0;0;0;0;10;5;0;0;1;1;0;0;0;0;0;0;0;1;0
;;22;Alma, K.;39;0;0;1;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;1;0
;;23;Benedictus, J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3;0
;;24;Dam, T.J.;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Vries, A.;3;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;de Boer, T.;14;0;0;0;0;0;0;2;0;0;0;10;0;1;0;0;0;0;0;0;0;1
;;27;Kirlew, M.D.;36;0;0;3;0;0;3;0;0;0;7;0;2;0;0;10;11;0;0;0;0;0
;;28;Plomp, C.;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0
;;29;Beerstra, L.;7;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;0;0
;;30;Huisma, J.;8;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0
;;31;Brinkman, J.W.;4;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van der Veen, J.R.;10;0;0;1;0;0;1;0;0;0;4;0;0;1;0;0;3;0;0;0;0;0
;;33;de Vries, L.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;34;Kloosterman, P.;25;0;2;2;0;0;0;3;10;5;1;0;0;1;0;0;0;0;0;0;0;1
;;35;Buruma, A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;36;Vogel, R.;4;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;37;Nicolai, M.;4;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Bijma, S.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Dekken, L.;11;0;0;0;3;0;0;0;6;0;1;0;0;1;0;0;0;0;0;0;0;0
;;40;de Klein, H.C.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;41;van Kammen, S.;6;0;0;0;1;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
;;42;Combs, A.C.H.;5;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;43;Piersma, A.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van der Veen, P.;22;0;0;0;0;0;0;0;0;0;12;0;6;1;0;0;1;0;0;0;2;0
;;45;van Dijk, M.;10;0;3;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
;;46;Terpstra, E.G.;15;2;1;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2
;;47;van der Velde, G.;18;0;1;0;0;2;5;1;0;0;1;6;0;0;0;0;0;0;1;0;0;1
;;48;Visser-Heringa, E.;9;1;2;0;0;0;0;0;0;3;0;0;0;0;0;0;1;2;0;0;0;0
;;49;Buruma, W.;18;0;0;0;1;0;4;2;0;0;0;0;0;7;2;1;0;0;0;0;1;0
;;50;van der Veen, M.;52;3;0;0;0;0;0;0;0;5;34;0;1;2;4;0;1;2;0;0;0;0
3;GBA;;;1703;58;85;105;115;104;181;143;158;161;33;80;99;73;70;40;15;24;51;39;62;7
;;1;Vegelin, S.W.;666;31;36;38;74;59;96;52;32;22;18;12;35;23;25;24;7;12;22;19;27;2
;;2;de Vries, E.J.;48;0;0;0;4;12;14;0;2;3;0;0;0;1;2;1;0;0;2;0;6;1
;;3;Terpstra, B.;177;2;12;11;4;5;5;3;1;83;5;9;12;3;1;5;3;2;3;3;3;2
;;4;Hooghiemstra, J.;48;1;1;0;1;1;2;1;1;1;0;0;31;0;1;1;1;2;0;1;2;0
;;5;ter Veld, P.;73;1;2;0;1;8;6;2;9;6;2;21;2;0;0;0;0;3;2;1;7;0
;;6;Holthuis, G.G.;114;2;0;4;4;2;7;22;43;4;0;1;0;6;4;3;1;0;3;3;3;2
;;7;Pander, J.T.;20;0;0;0;0;0;0;3;1;0;0;15;1;0;0;0;0;0;0;0;0;0
;;8;de Jong, M.;29;0;0;2;0;0;0;0;0;1;0;0;0;0;23;0;0;0;0;0;3;0
;;9;Heeringa, S.;16;0;1;0;0;0;1;8;5;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;van der Veen, T.;30;0;13;0;0;0;1;1;2;0;0;0;0;13;0;0;0;0;0;0;0;0
;;11;Frijling, A.T.;31;5;0;17;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;6;0;0
;;12;Vegelin, S.S.;17;0;0;0;2;3;7;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0
;;13;van der Werff, W.J.;22;1;0;0;3;4;2;1;1;0;1;0;5;2;0;0;0;0;1;1;0;0
;;14;Schippers, J.H.;29;0;0;0;0;1;1;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hamstra, A.;19;2;0;0;2;0;7;0;3;3;0;0;0;2;0;0;0;0;0;0;0;0
;;16;de Jong, H.W.;16;0;0;1;1;0;0;0;0;1;0;13;0;0;0;0;0;0;0;0;0;0
;;17;Zijlstra, M.;35;7;7;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0
;;18;Zwaagstra, J.;25;0;0;2;0;0;0;0;0;18;0;0;1;0;2;0;2;0;0;0;0;0
;;19;van der Hoek, C.;20;0;0;0;4;0;9;1;1;0;0;0;1;1;0;0;0;0;3;0;0;0
;;20;Kloetstra, J.J.;19;2;8;3;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;2;0;0
;;21;Alma, A.;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;22;Alma, A.T.;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;23;Brandsma, S.N.;12;0;0;0;0;0;0;1;0;0;1;0;1;7;0;1;0;0;0;1;0;0
;;24;Koopmans, J.;20;0;0;0;0;0;1;0;0;17;1;1;0;0;0;0;0;0;0;0;0;0
;;25;Alma, P.;16;0;0;0;1;3;7;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0
;;26;de Clerck, J.A.;4;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;27;Wester, M.;17;4;2;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0
;;28;Nicolai, W.W.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;29;Vegelin, W.W.;19;0;0;1;2;0;3;2;5;0;0;1;1;0;0;0;0;0;3;0;1;0
;;30;Hoekstra, F.D.;9;0;0;0;0;0;1;1;4;0;0;0;0;0;2;0;0;0;1;0;0;0
;;31;van der Ploeg, L.;7;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0
;;32;van der Werff, F.C.;11;0;0;0;0;1;4;0;1;0;0;1;3;0;0;0;0;0;0;0;1;0
;;33;Kramer, A.;13;0;0;0;0;1;1;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0
;;34;Spoelstra, J.;8;0;0;0;1;0;0;0;4;0;0;0;0;1;0;1;0;0;1;0;0;0
;;35;Stienstra, H.;9;0;0;0;0;3;2;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0
;;36;van Dekken, J.;15;0;0;0;1;0;0;0;2;0;0;1;0;1;9;1;0;0;0;0;0;0
;;37;van der Meulen, G.;7;0;0;0;1;0;0;2;0;0;0;0;3;0;0;0;0;1;0;0;0;0
;;38;de Haan, M.;77;0;3;3;8;0;3;22;21;2;2;2;1;1;0;2;0;0;4;0;3;0
4;ChristenUnie;;;1706;56;150;233;91;62;117;67;70;158;66;137;79;58;31;48;74;55;28;62;60;4
;;1;van der Vaart-Kralt, D.A.;973;38;68;134;61;36;65;42;45;51;38;75;53;32;27;38;56;28;16;33;34;3
;;2;van der Wal, K.S.;165;3;36;35;6;5;6;6;5;9;6;5;5;6;0;3;3;14;0;8;4;0
;;3;Vellema-Plazier, A.;131;1;3;7;1;3;9;1;1;64;6;7;4;5;3;1;6;1;2;2;4;0
;;4;van Dekken, T.;62;1;2;1;6;9;8;2;2;7;1;8;1;1;0;0;4;1;2;0;6;0
;;5;Spinder, T.D.;89;1;4;10;2;2;5;7;6;8;1;25;5;6;0;0;0;1;0;3;3;0
;;6;van Oosten, D.;35;3;5;4;0;0;0;0;0;11;0;0;0;0;0;2;0;4;0;6;0;0
;;7;Hooghiemstra, E.;20;0;1;0;2;2;0;0;2;0;0;10;0;1;0;0;0;2;0;0;0;0
;;8;van der Sluis-Alkema, A.S.J.A.;29;4;7;8;1;0;2;0;0;0;0;1;1;0;0;0;1;1;0;2;0;1
;;9;Rus, P.;54;3;19;20;0;0;1;0;0;0;0;0;2;2;0;0;0;1;2;4;0;0
;;10;de Vries-Oegema, G.W.;19;1;0;0;0;0;0;1;1;0;13;0;0;0;0;0;2;0;0;0;1;0
;;11;Hoksbergen, H.J.;8;0;0;3;0;0;1;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0
;;12;Dijkstra-Wisse, J.W.;27;1;5;6;0;0;1;1;1;5;0;1;1;4;0;0;0;0;0;1;0;0
;;13;Dorst, A.;68;0;0;4;11;4;18;4;5;2;0;1;3;0;1;1;0;0;5;1;8;0
;;14;IJtsma, A.;26;0;0;1;1;1;1;3;2;1;0;4;4;1;0;2;2;0;1;2;0;0
5;Partij van de Arbeid (P.v.d.A.);;;1103;54;74;132;49;73;79;55;67;49;37;25;25;36;82;11;37;52;25;81;60;0
;;1;Speulman, H.K.;458;22;45;74;22;22;29;15;19;20;10;11;10;12;20;6;23;21;6;45;26;0
;;2;Visser, A.H.V.;135;4;8;4;4;11;8;13;9;5;3;1;3;1;27;3;5;10;4;3;9;0
;;3;Sikkema, A.;46;0;0;1;0;0;1;4;8;9;0;11;1;1;5;0;4;0;0;0;1;0
;;4;Kootstra, J.;63;9;4;21;0;0;2;11;2;0;0;0;0;0;0;0;1;2;0;9;2;0
;;5;Boonstra, W.A.;90;5;2;0;11;8;19;0;13;2;0;1;0;0;6;1;0;1;7;3;11;0
;;6;Postma, A.;65;6;2;20;0;7;2;0;1;1;1;0;1;1;1;0;1;10;2;9;0;0
;;7;Ferwerda, A.J.;17;1;0;1;0;0;1;2;0;0;0;0;0;12;0;0;0;0;0;0;0;0
;;8;Nicolai, S.;26;0;0;0;0;0;0;1;0;1;22;0;0;1;0;0;1;0;0;0;0;0
;;9;Veenstra, O.R.;25;0;0;1;0;1;3;1;2;1;0;0;7;6;0;0;0;1;0;1;1;0
;;10;Nicolai, T.;17;0;0;1;0;2;2;1;8;1;0;1;0;1;0;0;0;0;0;0;0;0
;;11;Hoving, J.;12;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;4;0;0
;;12;Postma-Veenstra, H.;12;1;2;0;1;1;0;0;0;3;0;0;0;1;0;0;0;1;1;1;0;0
;;13;Hofstra, A.;19;2;8;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;5;0;0
;;14;Hoekstra, S.J.;30;0;0;0;6;9;9;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0
;;15;Kloosterman, J.;7;1;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
;;16;Postma, G.;22;0;0;2;4;9;1;1;0;0;0;0;0;0;3;0;0;0;0;0;2;0
;;17;Rodenhuis, J.;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;18;Bekkema, J.;11;0;0;0;0;0;1;2;3;2;0;0;0;0;0;0;0;0;0;0;3;0
;;19;Jongejan, J.I.;28;1;0;0;1;2;1;3;0;1;0;0;0;0;18;0;0;0;0;0;1;0
;;20;Stellinga, J.;17;1;0;3;0;1;0;0;1;2;0;0;0;0;1;0;2;2;0;0;4;0
6;PVV (Partij voor de Vrijheid);;;839;21;26;39;38;25;74;91;90;51;39;38;33;45;70;39;24;14;25;13;40;4
;;1;Graansma, H.J.;522;14;20;30;25;16;43;56;47;16;25;31;17;30;47;20;19;11;15;9;30;1
;;2;Graansma, J.W.F.;58;3;3;6;5;1;6;5;2;2;3;4;1;2;8;2;0;0;0;0;3;2
;;3;Ettema, L.;80;0;1;1;6;7;15;0;4;3;2;0;6;2;9;8;1;2;7;1;4;1
;;4;Alma, G.;61;4;0;0;1;1;4;2;2;26;2;0;2;3;0;7;2;0;1;3;1;0
;;5;Beijert, W.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van der Tuin, M.;93;0;1;1;1;0;4;26;28;3;2;2;6;5;6;2;1;1;2;0;2;0
;;7;van der Tuin, W.J.;25;0;1;1;0;0;2;2;7;1;5;1;1;3;0;0;1;0;0;0;0;0
7;GROENLINKS;;;580;63;56;80;26;28;37;18;17;24;23;12;18;15;29;16;17;21;14;40;24;2
;;1;Veenstra, T.I.;444;46;45;67;22;17;30;15;15;23;15;10;11;11;22;14;12;17;8;27;17;0
;;2;Weggen, R.H.M.;23;3;6;4;0;0;1;0;1;0;1;0;0;1;2;0;0;1;0;2;1;0
;;3;Miedema, M.C.;60;11;5;6;1;2;2;2;1;1;6;1;2;0;0;2;5;3;0;9;0;1
;;4;van den Broek, H.L.;19;0;0;0;3;3;3;0;0;0;0;0;0;0;2;0;0;0;6;0;2;0
;;5;Meines, H.;22;2;0;2;0;3;0;1;0;0;0;1;5;1;3;0;0;0;0;2;2;0
;;6;Kooi, J.;5;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
;;7;Kolp, L.W.;7;1;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
8;VVD;;;433;33;25;42;18;27;47;21;17;18;12;8;24;25;19;15;15;8;8;23;24;4
;;1;Hoekstra, F.J.;210;12;8;15;12;10;29;11;9;13;9;4;10;4;7;7;9;6;5;9;19;2
;;2;Pool, D.;62;4;3;8;1;3;3;7;8;2;0;3;3;6;0;0;0;0;2;3;5;1
;;3;van der Boon, D.;42;7;6;14;0;1;2;0;0;2;1;0;0;0;0;0;2;1;0;5;0;1
;;4;de Vries, W.J.;37;4;1;2;2;10;4;2;0;0;0;0;6;0;1;0;3;0;0;2;0;0
;;5;Stellaard, N.M.;10;0;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0
;;6;de Kluijver-Weterings, A.M.;36;3;3;3;2;1;5;0;0;1;2;0;1;9;2;0;1;1;1;1;0;0
;;7;Weterings, W.J.C.A.;11;1;0;0;0;0;2;0;0;0;0;0;3;4;0;1;0;0;0;0;0;0
;;8;de Boer, J.F.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Hiddema, J.;9;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;10;Palstra, M.D.;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;Palstra-Dijkstra, W.P.;3;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Veenstra, J.;10;1;0;0;0;0;0;0;0;0;0;1;1;0;0;7;0;0;0;0;0;0
9;Forum voor Democratie;;;674;40;28;61;42;14;72;56;70;45;45;35;28;31;20;32;22;3;3;10;11;6
;;1;van Dijk, A.G.;230;18;3;19;11;5;16;6;14;16;29;14;15;17;5;24;8;1;1;4;1;3
;;2;Baas, T.J.;168;1;1;3;3;3;16;33;40;14;8;12;4;7;9;5;5;0;0;2;1;1
;;3;de Jong, P.I.V.;82;14;14;17;2;1;3;4;3;6;3;2;0;2;1;1;6;0;0;3;0;0
;;4;Graansma, M.C.;55;5;7;18;4;0;6;0;0;2;3;0;0;3;0;0;1;2;1;1;0;2
;;5;Liano Y Gil, E.T.;23;2;0;0;0;0;4;6;3;1;1;1;2;2;0;0;1;0;0;0;0;0
;;6;de Poel, K.;113;0;3;4;22;5;27;7;10;6;1;6;7;0;3;2;0;0;1;0;9;0
;;7;Heeres, F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
