Verkiezing;;Gemeenteraad Opsterland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Opsterland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0086;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Beetsterzwaag, Gemeentehuis;Beetsterzwaag, Dorpshuis;Bakkeveen, Dúndelle;Frieschepalen, De Dobber;Gorredijk, Sportcentrum Kortezwaag;Gorredijk, De Skâns;Gorredijk, R.K.-kerk;Hemrik, Dorpshuis;Langezwaag, Dorpshuis;Lippenhuizen, MFA It Kobunderhús;Nij Beets, Dorpshuis;Siegerswoude, Dorpshuis;Terwispel, Dorpshuis;Tijnje, Dorpshuis;Ureterp, Geref. kerk Mounestrjitte;Ureterp, De Wier;Wijnjewoude, MFC de Swingel;Gorredijk, Ontmoetingskerk;Mobiel stembureau;Beetsterzwaag, Dorpshuis;Gorredijk, De Skâns;Ureterp, De Wier;Beetsterzwaag, Dorpshuis;Gorredijk, De Skâns;Ureterp, De Wier
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;1402;1406;1416;1502;1506;1516
Postcode;;;;;9244 CR;9244 CH;9243 SK;9249 MC;8401 AA;8401 DV;8401 RV;8409 JW;8404 BV;8408 JA;9245 HP;9248 KS;8407 ES;8406 ES;9247 AM;9247 BH;9241 GL;8401 RX;;9244 CH;8401 DV;9247 BH;9244 CH;8401 DV;9247 BH
;;14;Vogelzang, R.;13;0;6;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0
4;ChristenUnie;;;1382;31;20;49;169;5;22;11;9;10;14;120;71;5;20;347;189;58;28;10;19;10;52;25;15;73
;;1;van der Veen, O.R.;574;17;5;20;78;3;7;3;3;4;5;17;22;3;7;163;84;27;9;8;12;2;17;12;9;37
;;2;Jonkman, R.;206;8;4;12;18;0;0;4;2;1;2;9;20;0;2;51;25;13;3;2;1;3;11;4;1;10
;;3;Mulder-de Jong, E.;158;3;5;3;10;0;5;2;3;1;2;61;8;1;4;13;9;5;8;0;3;1;1;7;1;2
;;4;Bonthuis, A.J.;105;0;0;0;10;0;0;0;0;0;0;0;0;0;0;46;28;1;2;0;0;1;7;0;0;10
;;5;Zandbergen, F.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;3;0;0;0;0;0;1;0;0;0
;;6;Veldman-Zeldenrust, D.;9;0;0;0;0;1;0;0;0;4;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0
;;7;Bergsma, A.;23;0;2;1;0;0;0;0;0;0;1;15;0;1;0;1;2;0;0;0;0;0;0;0;0;0
;;8;Jongsma-van Kammen, R.;38;0;0;1;2;0;0;0;0;0;0;0;1;0;0;17;5;0;1;0;0;0;7;0;0;4
;;9;Spinder-Schuurman, T.;19;0;0;7;4;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0
;;10;Jongsma, W.;52;0;0;1;24;0;0;0;0;0;1;1;10;0;0;6;2;2;0;0;0;0;1;1;1;2
;;11;Jongsma, J.W.;14;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;1
;;12;Baron-de Boer, A.;11;0;0;0;1;0;0;0;0;0;0;1;0;0;0;6;3;0;0;0;0;0;0;0;0;0
;;13;Bruinsma, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;14;Hovius-Dijkstra, G.;10;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;3;0;0;0;0;0;0;0;0;0
;;15;Jongsma, J.B.;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
;;16;Jongsma, J.;15;0;0;0;11;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;17;Stelpstra, D.;20;0;0;1;2;0;0;0;0;0;0;0;1;0;0;9;4;1;0;0;0;0;0;0;0;2
;;18;de Reus, T.;16;0;1;0;1;0;0;0;0;0;0;11;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;19;Feenstra, J.;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0
;;20;de Goede, J.M.;11;0;1;0;0;0;3;0;0;0;0;0;0;0;0;2;1;0;0;0;3;0;0;1;0;0
;;21;Wiersma, G.P.;34;0;0;0;6;0;1;0;0;0;0;3;1;0;2;9;7;0;0;0;0;0;5;0;0;0
;;22;van der Molen, T.;20;0;0;0;0;1;6;2;0;0;2;0;0;0;1;0;0;0;3;0;0;2;0;0;2;1
;;23;Hoekstra, G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4
;;24;Feenstra, H.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;25;Weening, G.;7;0;0;0;1;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;1;0
5;VVD;;;1208;83;65;49;21;74;118;37;42;78;59;33;13;56;65;28;33;45;100;4;21;40;8;40;78;18
;;1;Geertsma, W.A.;628;43;37;19;13;40;56;23;27;13;17;17;8;23;42;21;13;23;56;4;10;29;2;22;54;16
;;2;Dekker, H.A.;38;1;3;0;1;0;1;1;0;13;0;1;1;0;4;1;1;2;3;0;0;1;2;0;2;0
;;3;de Vries, H.;159;5;7;2;1;10;17;0;3;49;18;8;0;11;6;0;3;2;7;0;1;4;0;3;2;0
;;4;de Boer, Y.;52;3;1;0;1;2;7;0;2;1;0;3;0;18;4;0;1;3;1;0;1;1;0;1;1;1
;;5;Tenhage, S.;89;1;1;0;0;15;19;11;1;1;2;0;0;3;1;0;1;0;21;0;0;1;1;0;10;0
;;6;Hol, R.W.;18;3;4;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;3;0;0;3;0;0
;;7;Breuker-de Haan, M.G.;32;3;0;13;0;1;0;0;1;0;1;0;0;0;1;0;1;8;0;0;2;1;0;0;0;0
;;8;Dijkstra, S.J.;10;1;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;1;0
;;9;Nienhuis, S.;11;5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0
;;10;Matien, A.W.;10;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;5;0
;;11;van Noordenburg, H.;36;0;0;0;0;0;1;1;5;1;21;0;0;0;2;0;0;3;0;0;0;0;0;0;2;0
;;12;Broekens, R.M.;21;2;0;2;0;1;7;1;1;0;0;0;0;0;1;0;0;0;4;0;0;0;0;1;1;0
;;13;Wilpshaar-Dijkstra, J.;23;6;3;0;0;0;0;0;1;0;0;2;0;0;1;0;3;0;0;0;2;0;0;5;0;0
;;14;van der Spek, R.S.;16;6;1;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;15;de Boer, H.B.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
;;16;Visser, R.J.;19;0;1;1;0;0;0;0;0;0;0;0;0;0;0;6;7;0;0;0;0;0;3;0;0;1
;;17;Haisma, R.;26;0;0;11;2;1;1;0;0;0;0;0;4;0;0;0;3;4;0;0;0;0;0;0;0;0
;;18;Janssen, J.E.M.B.;5;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Eerdmans, J.D.;11;4;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;2;0;0
6;D66;;;839;77;78;37;5;44;78;26;24;25;39;26;14;21;24;21;26;65;60;1;29;23;5;35;43;13
;;1;de Wagt, S.A.;254;18;21;13;1;14;26;4;13;5;13;8;6;7;8;6;9;20;21;1;7;8;2;6;12;5
;;2;Veenstra, M.C.;153;15;30;1;1;6;6;1;3;6;2;5;0;1;8;5;5;13;6;0;10;4;0;14;8;3
;;3;Louwsma, S.;45;1;0;13;1;2;0;0;1;2;1;0;0;1;0;2;3;14;2;0;0;0;0;0;0;2
;;4;Heijs, J.;151;29;11;5;0;3;11;5;2;5;8;7;6;5;5;6;6;9;9;0;2;2;1;8;5;1
;;5;Numan, H.H.;30;7;11;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;2;1;1;4;0;0
;;6;Kalf, C.A.B.D.;13;2;0;0;0;0;0;0;2;1;0;3;0;1;0;1;0;1;0;0;2;0;0;0;0;0
;;7;Kuin, M.C.;22;4;5;0;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0;0;4;0;1;2;0;1
;;8;Hempenius, S.;20;0;0;1;0;3;1;2;0;5;0;2;0;0;0;0;0;0;3;0;0;0;0;0;3;0
;;9;Garcia Hermida-van der Walle, R.;132;1;0;4;0;15;33;14;2;1;8;0;1;5;2;1;2;3;18;0;0;7;0;0;15;0
;;10;van der Weide-Hoogstad, D.;13;0;0;0;2;0;0;0;1;0;5;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1
;;11;Koopmans, R.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;1;0;0
7;FNP;;;2038;78;85;55;33;56;117;71;70;118;140;154;27;118;329;98;80;72;93;2;24;44;36;28;70;40
;;1;de Jong, H.;898;25;29;15;14;31;59;39;12;70;25;51;6;51;255;43;23;20;44;2;7;18;10;8;31;10
;;2;Bergsma, M.;466;22;20;10;7;9;24;15;30;38;108;35;4;23;18;7;11;16;17;0;7;10;4;7;20;4
;;3;Hofstee, H.;86;2;1;0;2;2;3;1;1;2;0;13;0;5;41;0;0;3;4;0;0;1;2;1;0;2
;;4;Veenstra-Paulusma, S.;91;3;2;3;0;0;1;0;2;3;1;1;6;1;2;15;21;5;2;0;0;0;10;1;2;10
;;5;Hosper, U.G.;101;3;7;0;6;2;3;1;0;2;3;4;5;1;2;21;15;3;0;0;0;5;5;2;2;9
;;6;Boomsma, M.H.;31;0;0;10;0;0;6;1;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;3;1;0
;;7;de Vries, J.;21;0;0;15;0;0;0;0;0;0;0;1;2;0;0;1;1;1;0;0;0;0;0;0;0;0
;;8;Arndt, J.;6;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;9;de Jong, H.;23;0;1;0;0;0;0;0;17;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0
