Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Speelgoedbank Heerenveen;OBS van Maasdijkschool;Gymzaal OBS De Optimist;Gymzaal OBS De Optimist;Heerenhage;Wijkcentrum de As;De Rinkelbom;Gymzaal OBS Het Vogelnest;Hotel Heidehof;Gymzaal MFC De Akkers;Sionskerk;Gymzaal MFC De Akkers;Wijkcentrum De Kempenaer;Trinitas;Bornego College;Museum Heerenveen;Kantine VV Heerenveen;Gymzaal de Spil;it Trefpunt;Dorpshuis de Kiekenhof;Dorpshuis de Kiekenhof;Pannenkoekboerderij De Koppenjan;Dorpshuis it Pipegaeltsje;De Kompenije;De Kompenije;De Barte;MFA Aengwirden;Lantearne;Obs Akkrum;It Andringahûs;It Deelshûs;Lantearne;Gymzaal De Spil;Gymzaal De Spil;Gemeentehuis;Wijkcentrum de As;VV Heerenveen;Dorpshuis de Kiekenhof;De Kompenije;OBS Akkrum;Gemeentehuis;Wijkcentrum de As;VV Heerenveen;Dorpshuis de Kiekenhof;De Kompenije;OBS Akkrum;Zorgcentrum Mariënbosch;Woonzorgcentrum Coornhert State;Woonzorgcentrum Herema State;Woonzorgcentrum Marijke Hiem;Leppehiem Mienskipssintrum
Gebiednummer;;;;;1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;101;107;119;122;126;131;201;207;219;222;226;231;502;510;513;516;531
Postcode;;;;;8441 ES;8441 BX;8441 CP;8447 BS;8447 BS;8446 DC;8446 SC;8446 KS;8446 HX;8445 SR;8443 AJ;8451 CD;8443 AJ;8442 EM;8442 EZ;8446 KZ;8442 CE;8448 MT;8448 RP;8454 KG;8414 LJ;8414 LJ;8411 ZD;8411 ZE;8411 VK;8411 VK;8456 HR;8458 CA;8491 CR;8491 HA;8495 KD;8468 BJ;8491 CR;8448 RP;8448 RP;8441 ES;8446 SC;8448 MT;8414 LJ;8411 VK;8491 HA;8441 ES;8446 SC;8448 MT;8414 LJ;8411 VK;8491 HA;8441 BN;8446 KE;8444 AN;8442 HK;8491 GJ
;;24;Fokkema, L.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;25;Liemburg, R.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van der Molen, J.;23;2;0;0;1;1;2;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;7;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
;;27;Mobron, A.C.;9;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;28;de Matos Fernandes, C.A.;32;3;0;2;0;0;0;2;6;0;1;2;1;1;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
2;VVD;;;2605;128;23;68;71;70;35;41;62;38;211;53;43;55;51;50;17;29;164;107;103;40;23;36;42;16;22;94;81;43;106;61;31;39;53;85;50;20;41;10;3;24;82;22;66;10;5;68;6;1;0;1;5
;;1;van Veen, J.;1247;59;15;29;42;32;20;18;33;13;93;31;25;26;24;25;7;13;61;49;59;33;15;14;13;9;7;61;33;21;49;42;10;19;17;34;19;10;23;6;2;13;36;8;27;6;0;36;5;1;0;1;3
;;2;Kuipers-Jansma, M.D.;361;13;2;3;5;5;2;5;7;6;33;5;5;11;5;3;0;3;21;10;15;5;3;2;0;1;2;13;40;6;17;13;7;8;6;16;7;2;8;1;0;3;20;3;11;0;0;5;1;0;0;0;2
;;3;Tromp, R.;189;12;1;14;5;3;4;6;6;3;14;4;1;5;8;3;2;5;19;7;0;0;0;1;0;0;1;2;3;5;2;0;2;2;8;14;9;1;4;0;0;0;6;2;4;0;0;1;0;0;0;0;0
;;4;Walsweer, G.;126;4;0;6;2;4;2;0;2;5;11;1;3;7;4;4;2;0;21;7;3;0;0;3;0;0;1;2;2;1;0;0;3;0;2;1;3;1;4;0;0;0;6;1;8;0;0;0;0;0;0;0;0
;;5;Kramp, A.J.;52;1;0;1;0;2;2;4;6;0;3;1;0;0;2;1;0;1;1;1;0;0;0;1;0;0;0;4;0;0;2;0;2;0;2;1;1;2;0;0;0;0;3;6;0;0;0;2;0;0;0;0;0
;;6;Terpstra, M.;139;2;0;1;4;1;2;1;0;0;6;0;2;0;0;3;0;2;6;7;3;1;1;14;26;6;10;3;1;1;7;1;3;2;3;4;0;1;1;1;1;1;3;0;1;1;5;1;0;0;0;0;0
;;7;Berendsen, J.A.W.;42;0;0;0;4;2;1;1;0;2;0;4;0;2;1;0;0;0;1;1;11;1;1;1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;1;0;0;0;1;0;0;0;0;0
;;8;Veldman, L.;13;2;0;1;1;1;0;1;1;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Waterlander, H.E.;137;15;1;2;1;11;1;2;3;1;19;3;3;1;4;3;0;2;5;11;3;0;2;0;0;0;1;3;0;2;6;3;2;1;5;6;8;0;1;0;0;0;1;0;4;0;0;1;0;0;0;0;0
;;10;Akkerman, M.P.;51;2;0;1;3;2;0;0;0;4;9;0;1;0;0;2;3;1;7;0;5;0;1;0;0;0;0;0;1;0;0;0;0;0;1;2;1;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0
;;11;Reinders, L.H.;38;5;1;2;1;0;0;0;1;0;5;1;0;0;1;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0
;;12;Rijkschroeff-Gordon, M.M.C.;11;1;0;0;1;2;0;0;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;13;de Jager, M.J.;8;0;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
