Verkiezing;;Gemeenteraad Súdwest-Fryslân 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Súdwest-Fryslân;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Waltaplein;Doarpshûs It Nije Formidden;ROC Friese Poort (achteringang);Ut Wykje;Wijkgebouw De Eekmolen;VBG De Bron Bureau I;"PKN Oosterkerk (ingang ""De Schutse"")";Gymzaal vm Sperkhemschool;VBG De Bron Bureau II;Gymzaal It Rak;Brede School Duinterpen I  (sporthal);Wijkgebouw De Schuttersheuvel Bureau I;Wijkgebouw De Spil;"Wijkgebouw ""De Watertoren""";'t Convenant;Wijkgebouw De Schuttersheuvel Bureau II;Brede School Duinterpen II (sporthal);"Café Restaurant ""De Kajuit""";Vergaderzaal achter het Witte Kerkje;Wijkgebouw de Zwetser (ingang via parkeerterrein);Wijkgebouw It Roefke;Museum en Werkplaats Houtstad-IJlst;De Eehof;MFC De Driuwpôlle;MFC It Heechhûs;MFC De Mande;MFC It Joo;Dorpshuis Scharnegoutum Bureau I;MFC It Harspit;Dorpshuis Oan it Far;De Freonskip;Dorpshuis It Himsterhûs;Dorpshuis Us Doarpshûs;Camping Mounewetter;Dorpshuis De Nije Bân;Herberg de Gekroonde Leeuw;MFC Piers' Stee;"Kerkelijk Centrum ""Het Anker""";Van Doniakerk;Dorpshuis It Doniahûs;Dorpshuis De Fûke;Dorpshuis It Waltahûs;Dorpshuis 't Honk;Johannes de Doperkerk;Dorpshuis De Nije Haven;"Dorpshuis ""De Utwyk""";Dorpshuis It String;Oer de Toer Bureau I;Kultuerhús Klameare;Dorpshuis It Swaeigat;Gemeenschapscentrum De Foeke;Doarpskultuerhûs De Spylder;Dorpshuis De Klink Bureau I;'t Swannenêst (De Doarpskeamer);MFC De Kaap;"Dorpshuis ""de Begine""";Dorpshuis De Klink Bureau II;Martinikerk Bureau I;Sporthal De Middelzee Bureau I;Sporthal De Middelzee Bureau II;Martinikerk Bureau II;Sporthal De Middelzee Bureau III;Centrum Gasthuiskerk;Doarpshûs De Trijesprong;Sporthal It Mingeltsje;Brede School Duinterpen III (sporthal);Oer de Toer Bureau II;café restaurant It Reade Hynder;"Partycentrum “It Dielshûs""";MFC De Tysker;Verenigingsgebouw “De Skoalleseize”;Dorpshuis Scharnegoutum Bureau II;Dorpshuis De Wier;Rondvaartboot Toerist VI;Waltaplein;Wijkgebouw De Schuttersheuvel Bureau I;MFC It Heechhûs;Camping Mounewetter;Kultuerhús Klameare;Dorpshuis De Klink Bureau I;Centrum Gasthuiskerk;"Partycentrum “It Dielshûs""";Waltaplein;Wijkgebouw De Schuttersheuvel Bureau I;MFC It Heechhûs;Camping Mounewetter;Kultuerhús Klameare;Dorpshuis De Klink Bureau I;Centrum Gasthuiskerk;"Partycentrum “It Dielshûs"""
;;28;Feenstra, W.J.;8;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;29;Pieters, M.L.H.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;30;Majoor-Boot, G.L.;39;0;0;4;0;3;0;1;0;1;1;4;1;3;0;1;0;1;4;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;31;Miedema, H.A.;16;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;32;Sinnema, W.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;2;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;33;van der Wall, J.W.C.;24;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;2;9;1;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Boonstra, K.;12;2;0;1;2;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van Oosten, M.;39;0;4;0;0;2;0;1;1;0;0;0;0;9;4;4;1;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0
;;36;van der Schaaf, H.;10;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;37;Jonker, W.G.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;38;Bax, R.A.;33;1;0;1;0;0;0;4;0;0;1;4;2;2;3;0;2;0;2;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;39;Tolsma, S.;18;0;1;0;2;0;1;2;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;40;Regeling-Snijder, M.G.;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;41;Liemburg, J.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;42;Helder, K.F.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;43;Ligthart, R.S.L.;12;0;2;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;44;van de Wall, T.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;45;de Boer, F.H.G.;14;0;0;0;2;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Konst-Boven, R.;10;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Hornstra, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Zijlstra, D.;12;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;49;de Hoop, H.E.;157;5;2;4;4;4;2;6;0;1;1;2;1;0;0;1;1;0;2;2;4;0;0;4;0;5;0;0;0;0;0;0;2;0;1;0;0;2;4;1;1;0;0;0;0;2;1;0;1;3;0;2;0;0;0;0;2;1;2;2;0;9;0;1;3;1;4;0;9;14;2;10;5;0;1;3;1;0;1;0;2;0;2;1;0;0;3;1;0;3;3
3;FNP;;;5655;49;81;48;22;42;68;55;46;53;24;47;30;55;66;35;41;51;63;33;67;40;101;89;195;124;99;112;105;251;151;180;94;44;54;17;49;21;128;68;42;33;59;28;39;29;30;11;90;138;39;97;96;79;44;114;50;86;35;45;44;34;54;47;84;142;56;56;86;100;106;166;44;26;37;32;21;11;23;31;28;21;22;33;38;27;29;53;46;35;41
;;1;Bouwhuis, T.A.;1872;15;21;25;13;24;24;22;14;12;9;13;5;19;25;13;16;15;27;13;23;16;32;22;47;40;28;26;41;216;27;16;28;15;16;8;19;6;36;17;7;18;22;16;11;12;17;2;20;31;12;14;31;14;17;63;19;12;5;13;12;10;16;12;31;47;23;7;32;39;38;43;15;12;14;5;7;2;9;11;7;9;12;14;10;7;16;12;9;11;20
;;2;Bergstra-Veldhuis, C.J.;655;17;14;9;7;8;28;15;13;21;7;11;7;11;17;10;7;12;20;11;24;10;12;11;9;9;9;6;10;6;7;0;13;2;0;0;4;9;13;5;9;5;2;3;2;2;1;4;3;1;2;3;8;7;1;10;4;7;5;4;1;3;3;3;8;15;15;2;15;9;13;12;3;6;10;8;2;1;1;1;0;0;3;8;4;3;3;4;2;4;6
;;3;Rypma, S.;512;4;8;1;0;0;2;3;0;2;0;1;4;2;0;1;1;1;3;3;2;2;13;12;4;21;11;28;4;3;2;150;18;10;3;1;3;2;5;3;6;4;23;0;12;1;2;0;3;13;7;3;2;2;7;1;0;1;2;5;3;4;7;4;3;2;2;4;5;6;0;8;1;0;1;2;0;1;0;5;0;1;1;2;4;8;3;1;3;3;1
;;4;Blom, D.J.F.;90;0;0;0;0;0;0;0;1;1;1;4;1;0;1;0;0;1;1;1;0;0;13;18;0;0;0;3;1;0;6;0;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;2;0;2;0;1;1;0;0;0;0;0;0;0;1;0;1;3;0;0;2;6;1;0;0;0;0;1;0;2;2;0;0;0;1;0;2
;;5;Ruiter-Postma, J.;355;0;1;2;0;1;0;0;0;0;1;1;4;1;3;1;0;4;2;0;2;0;1;3;2;0;1;0;0;0;2;2;2;1;2;0;3;3;3;2;0;3;1;2;7;0;1;0;44;74;9;4;32;1;4;13;7;7;1;4;1;2;0;0;0;6;0;26;1;5;1;1;0;1;0;0;0;0;4;12;3;1;0;0;0;1;0;25;0;1;0
;;6;van der Leij, R.J.;96;0;0;0;0;0;0;0;2;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;1;0;1;0;1;0;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;11;1;12;8;17;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;5;0;0;0;0;3;0;0;6;0
;;7;Hoekstra-Vleer, T.G.;132;0;7;1;0;0;2;0;2;2;0;0;0;0;1;0;1;0;0;0;0;2;5;0;0;4;2;4;9;0;4;1;0;3;4;0;2;0;0;0;4;0;0;1;1;0;1;0;1;0;0;1;2;0;0;0;0;2;1;0;1;0;0;0;4;3;1;0;8;5;9;18;3;0;1;1;0;2;0;1;0;0;0;3;0;1;0;0;0;0;1
;;8;Stoker, D.;174;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;18;0;0;1;0;1;0;2;0;2;1;0;0;1;0;0;0;0;1;1;0;0;0;3;37;3;6;7;36;1;1;0;1;2;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;20;0;0
;;9;van Netten, J.;136;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;3;0;2;0;0;0;0;0;109;1;1;0;0;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;10;de Boer, H.R.;179;5;1;0;0;1;0;1;1;2;3;2;1;1;4;0;2;4;0;0;1;0;4;2;2;17;0;3;1;0;94;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;1;0;0;2;1;0;1;0;0;2;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;6;0;0;0;1;0
;;11;Kuipers, M.;46;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;1;0;1;0;1;0;0;0;0;8;6;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0
;;12;Hofstee, A.C.;167;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;3;1;2;1;0;2;2;0;0;3;0;0;3;0;1;0;0;1;2;0;0;2;1;2;0;0;3;1;0;0;2;0;2;0;0;0;1;1;3;1;1;1;0;4;1;0;11;21;5;64;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;9
;;13;Rijpma, G.H.;39;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;4;0;1;5;0;0;0;0;2;9;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Boonstra, A.;53;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;28;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;4;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;15;de Boer, F.;98;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;49;30;1;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;16;Visser, A.S.;71;4;1;1;0;0;7;1;2;5;0;4;1;0;3;2;2;3;2;0;3;1;0;0;0;2;0;0;4;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;2;2;3;0;0;0;0;0;0;1;4;0;0;1;0;0;0
;;17;Kruis, J.F.;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;61;3;0;3;3;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;18;Albada, T.;42;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;1;1;0;2;0;0;1;3;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;1;2;1;3;0;3;0;2;0;0;0;0;1;2;0;1;0;0;2;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;19;Algra-Jagersma, T.;46;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;17;1;5;0;1;0;0;0;0;0;0;2;5;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0
;;20;Visser, K.;50;0;1;2;0;0;0;5;1;0;1;1;2;1;3;1;0;1;1;0;5;2;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;2;1;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;21;Flapper, L.;36;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;1;2;1;0;1;0;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
;;22;Gerbrandy, J.S.;41;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;10;4;0;0;1;0;4;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;4;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0
;;23;Bergsma, H.J.J.G.M.;23;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Huitema, L.;78;0;0;1;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;2;0;0;0;0;0;1;0;0;0;24;23;0;2;0;0;1;0;3;3;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
;;25;Feenstra, A.;51;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;12;0;2;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;8;0;0
;;26;de Boer, P.A.;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Krol, D.A.A.;26;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;3;2;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;28;van der Bij, H.;29;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;15;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Wester-Osinga, T.;15;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;30;Dijkstra-de Boer, A.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;3;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;31;de Jong, A.J.;19;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Nauta, H.;18;0;9;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;33;Tolsma, H.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Schotanus, M.;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;1;3;0;30;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;35;de Groot, K.;19;0;0;0;0;3;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Boer-Bergstra, J.;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;37;Faber, B.C.;23;1;4;2;0;0;0;1;5;1;1;0;0;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;38;Bakker, F.T.;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
