Verkiezing;;Gemeenteraad Dantumadiel 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dantumadiel;;;;;;;;;;;;;;;;;;;;
Nummer;;1891;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Doopsgezinde Kerk Damwâld;Dorpshuis De Nije Warf;Nij Tjaerda;MFC  De Beijer;Herberge De Trochreed;Dorpshuis  De Pipegael;Kerkelijk Centrum De Mienskip;Kantine SC Veenwouden;Lokaal Gemeenschap van Christus Fogelsang;Lokaal Chr.Geref. kerk;Lokaal De Ferbiningstsjerke;Gemeentehuis 14 maart;Gemeentehuis 15 maart;Kerkelijk Centrum De Mienskip 14 maart;Kerkelijk Centrum De Mienskip 15 maart;Lokaal De Ferbiningstsjerke 14 maart;Lokaal De Ferbiningstsjerke 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;9104 BR;9104 GM;9113 PA;9104 KA;9105 KG;9067 DM;9108 NE;9269 SW;9269 NB;9271 GB;9271 CH;9271 BP;9104 BR;9104 BR;9269 SW;9269 SW;9271 BP;9271 BP
;;19;Sietsma, D.;5;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0
;;20;Strikwerda, W.;12;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;2;0;0
;;21;Gros, D.;14;2;6;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;22;Wagenaar, J.;8;0;0;0;1;0;0;0;0;0;0;2;5;0;0;0;0;0;0
;;23;Aalberts, A.D.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;de Jong, E.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van der Ploeg, A.;29;3;2;0;2;3;9;3;3;0;0;0;3;1;0;0;0;0;0
;;26;Bos, R.;8;0;0;0;0;0;0;2;4;0;0;0;1;0;0;1;0;0;0
;;27;Visser, J.J.;67;9;7;6;9;0;0;21;0;4;1;2;2;1;3;2;0;0;0
2;Gemeentebelangen Dantumadiel;;;1257;118;104;122;95;106;15;100;107;50;62;92;69;33;66;23;36;20;39
;;1;Wielstra, C.A.;567;70;53;60;50;69;7;53;33;25;12;18;23;21;30;12;15;5;11
;;2;Braaksma, S.F.;102;5;7;27;3;5;1;8;12;4;3;9;3;3;4;1;6;0;1
