Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Burgum, Gemeentehuis 16 maart;Burgum, De Stryp 16 maart;Burgum, Glinstra State 16 maart;Burgum, Het Martinushuis 16 maart;Burgum, Observeum 16 maart;Noardburgum, Toutenburg (It Talint) 16 maart;Noardburgum, De Balstien 16 maart;Jistrum, Kantine Sportvereniging 16 maart;Eastermar, Gymnastieklokaal 16 maart;Sumar, De Kamp 16 maart;Garyp, It Geahûs 16 maart;Earnewâld, Hotel Princenhof 16 maart;Suwâld, Suderfinne 16 maart;Hurdegaryp, It Maskelyn 16 maart;Hurdegaryp, Nieuw Perspectief 16 maart;Hurdegaryp, Bennemastate 16 maart;Tytsjerk, Yn 'e Mande 16 maart;Ryptsjerk, De Einekoer 16 maart;Gytsjerk, Gymnastieklokaal 16 maart;Oentsjerk, Heemstra State 16 maart;Mûnein, De Mounestien 16 maart;Aldtsjerk, Oerein 16 maart;Wyns, De Skûle 16 maart;Burgum, Gemeentehuis 14 maart;Hurdegaryp, It Maskelyn 14 maart;Burgum, Gemeentehuis 15 maart;Hurdegaryp, It Maskelyn 15 maart;Mobiel Stembureau Stemtruck
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
Postcode;;;;;9251 GH;9251 BS;9251 CT;9251 KA;9251 LV;9257 ME;9257 VW;9258 CL;9261 VV;9262 NG;9263 PK;9264 TJ;9265 LS;9254 GM;9254 CV;9254 DE;9255 KC;9256 HR;9061 BM;9062 GX;9063 JL;9064 KE;9091 BC;9251 GH;9254 GM;9251 GH;9254 GM;9254 HA
;;11;Schenk, H.;14;0;0;1;0;0;0;1;1;1;0;1;4;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Bosgra, J.S.;10;0;1;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0
5;Partij van de Arbeid (P.v.d.A.);;;1821;78;91;116;97;51;13;57;29;56;45;55;31;9;126;82;13;105;31;168;178;29;45;25;71;54;87;73;6
;;1;van de Hoef, P.J.A.;788;49;54;78;51;28;6;24;18;29;17;16;6;4;48;38;7;29;11;49;62;12;17;8;41;13;46;23;4
;;2;Kleinhuis-Krol, S.;355;15;17;21;22;11;3;19;7;23;23;9;22;2;28;13;3;16;9;16;10;2;4;3;14;14;15;13;1
;;3;Agema, A.B.;211;0;3;5;5;1;1;4;1;0;0;1;0;1;12;5;1;9;6;66;31;7;14;10;3;10;1;13;1
;;4;Heida, H.P.;37;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;7;15;1;4;2;3;1;0;0;0
;;5;van der Werf-Bieleveld, S.E.;117;2;7;1;2;0;1;2;1;1;2;1;0;1;3;3;1;3;2;12;54;3;4;0;4;2;2;3;0
;;6;Dorreboom-Rosenboom, T.M.;34;1;0;1;0;0;0;1;0;1;0;26;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;7;Steenland, M.H.G.I.;38;1;4;2;9;3;0;2;0;0;0;0;1;1;3;0;0;1;0;1;1;2;0;0;1;0;6;0;0
;;8;Bastiaans-IJedema, R.M.;80;1;1;0;3;0;0;2;0;0;0;2;1;0;4;3;0;46;0;1;2;2;1;0;1;3;2;5;0
;;9;Koenders, I.S.;60;0;0;1;0;0;0;0;0;0;0;0;0;0;23;18;0;0;0;1;0;0;0;1;0;9;1;6;0
;;10;van Commenee, P.R.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;11;Hiemstra, K.;39;5;2;6;2;4;1;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;10;2;0
;;12;Bruins Slot-Janmaat, E.M.;33;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;15;1;0;1;1;1;2;2;0;0
;;13;Eizema, R.H.;26;2;1;1;1;2;1;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;8;0
6;ChristenUnie;;;1336;102;83;104;63;32;12;82;52;52;45;104;9;48;52;47;13;62;30;56;62;26;12;8;43;13;80;41;3
;;1;Hooijenga, D.T.;675;50;35;53;33;14;6;31;28;28;29;56;7;7;26;24;11;30;17;31;33;13;7;1;27;9;47;19;3
;;2;van der Meer, M.C.;203;12;10;7;8;3;0;6;3;12;10;13;0;35;7;6;1;18;5;9;5;7;3;0;1;1;11;10;0
;;3;Bruinsma, H.H.B.;42;3;0;1;0;0;0;2;1;0;0;0;0;0;1;1;0;4;0;8;16;1;2;1;0;0;0;1;0
;;4;van Kammen, IJ.;72;8;14;14;7;2;2;2;2;0;1;4;1;2;0;4;1;2;2;0;0;1;0;0;1;1;1;0;0
;;5;Hooghiemstra, F.;71;11;6;15;2;4;1;6;5;4;1;0;0;1;4;1;0;0;0;1;1;0;0;0;1;0;5;2;0
;;6;de Haan, M.;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;2;0;0;0;1;0;3;0
;;7;Jager, D.;7;0;0;1;1;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;8;Sikkema, A.J.;12;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;7;0;0;0;0;0;0;2;0;0;0;0
;;9;Hilverda, C.;17;1;0;0;0;0;0;2;1;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;1;2;0
;;10;Bootsman, B.;10;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0
;;11;Lambregtse, C.J.;11;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;5;0;0;0;0;0
;;12;Poeze, E.;54;2;3;6;1;0;0;20;1;0;2;0;1;0;6;3;0;0;0;0;0;0;0;0;3;0;6;0;0
;;13;van der Vliet, G.W.;22;4;3;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;3;2;0
;;14;Beens, J.H.;11;0;0;0;0;0;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;de Vink, I.E.;6;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
;;16;Koopman, J.;9;1;2;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;17;Kunnen, A.;19;2;1;3;5;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;1;2;0;0
;;18;Looij, S.M.;11;0;0;0;0;0;0;0;0;0;1;8;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Hooghiemstra, W.;8;0;0;0;0;0;1;1;0;0;0;1;0;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;20;van der Vaart, R.G.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;van der Wal-van der Meer, L.;11;4;1;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kootstra, B.;19;0;0;0;0;0;0;2;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;23;Stelwagen, G.;17;2;1;0;1;0;0;4;0;7;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;van der Veen-Zeilstra, J.;15;2;1;0;0;1;2;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0
7;D66;;;887;44;51;38;51;29;2;23;8;34;20;20;15;12;84;48;7;46;24;83;68;27;18;8;19;33;30;41;4
;;1;Duursma, E.F.H.;430;19;23;18;20;16;2;13;5;14;11;15;5;4;49;21;4;28;17;42;23;14;5;4;7;14;13;21;3
;;2;Hekkema, A.;202;8;7;5;13;6;0;3;2;11;2;3;3;2;16;12;3;8;4;22;28;0;5;2;4;13;9;11;0
;;3;Dassen, W.J.;32;1;2;0;0;1;0;0;0;1;1;0;1;1;1;2;0;1;0;5;9;2;1;0;0;2;1;0;0
;;4;Groen, L.;59;8;15;4;6;2;0;2;0;2;4;0;2;2;3;2;0;0;0;0;1;1;0;0;4;0;0;1;0
