Verkiezing;;Gemeenteraad Noardeast-Fryslân 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Noardeast-Fryslân;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Dokkum;Rehoboth Gemeente;Chr. Geref. Kerk de Oase;Gymzaal de Ljurk;De Fontein;Sporthal de Doelstien;Groen van Prinsterer;Sportzaal Kapellaan;De Doelstien 2;MFA de Dobbe;Dorpshuis De Nije Pôle;Dorpshuis De Terpring;Dorpshuis De Jister;Dorpshuis It Dykshûs;Dorpshuis d' Ald Skoalle;'t Sintrum;Lokaal De Gearkomst;De Schakel;Lokaal De Wynroas;De Stikel;Dorpshuis De Nespel;Nij Sion;Dorpshuis De Terp;Dorpshuis Tunawerth;Dorpshuis De Pipenâle;Gemeentehuis Kollum;De Colle;Pro Rege Kollum;Dorpshuis 't Trefpunt Kollumerpomp;M.F.C. Hústerwâld Oudwoude;M.F.C. De Tredder Westergeest;Dorpshuis De Trije Doarpen;Baptistengemeente 'De Thuishaven' Kollumerzwaag;Dorpshuis De Bosk Zwagerbosch;Dorpshuis Toutenburg Burum;Dorpshuis De Schans Munnekezijl;Gemeentehuis Ferwert;Doarpshûs De Nije Tille;MFC It Trefpunt;Offingaburg;MFC Het Spectrum;MFC Fjildsicht;Doarpshûs De Fjouwer;Dorpshuis De Tarin;Gemeentehuis Dokkum 14 maart;Gemeentehuis Dokkum 15 maart;Gemeentehuis Kollum 14 maart;Gemeentehuis Kollum 15 maart;Gemeentehuis Ferwert 14 maart;Gemeentehuis Ferwert 15 maart;MFA de Dobbe 14 maart;MFA de Dobbe 15 maart;Mobiel Stembureau 14 maart;Mobiel Stembureau 15 maart;Mobiel stembureau 3
;;8;van der Staal, M.;335;9;5;6;2;2;6;7;5;4;6;2;0;2;2;0;4;0;4;1;0;0;2;2;2;0;8;2;10;3;3;2;2;4;3;3;3;12;36;20;9;97;8;10;0;1;6;0;2;1;9;0;0;2;6;0
;;9;van Arkel, E. J. C.;12;1;2;0;1;2;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Torensma, R. J.;250;9;13;10;8;16;9;11;11;15;2;3;3;2;0;2;1;1;8;2;0;0;1;10;6;1;3;0;0;1;0;0;3;2;2;0;0;2;7;4;0;66;0;1;0;4;6;1;0;1;0;0;1;0;2;0
;;11;Visser, R.;15;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0
;;12;Admiraal, A. C. F.;45;3;2;2;3;9;3;2;3;2;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;2;3;0;0;0;0;0;0;0;0;0
;;13;Tubben, M. H. G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Baarda, A.;14;0;0;0;0;0;0;1;6;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Belmejdoub, A.;17;0;0;0;0;1;0;0;0;1;1;0;0;6;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;16;Hofman, S.;20;1;0;0;2;3;0;0;0;0;1;0;0;0;1;0;7;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Brouwer, H.;4;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Hoop, L.;21;1;0;0;0;1;0;2;0;2;0;0;0;0;0;4;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;1;0;2;0;0;0;0;0;0;1;0;0;0
;;19;van der Linden-de Haan, M. T. M.;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;10;0;0;1;0;0;15;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0
;;20;Brinkman, J. F.;5;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;Koopman, R. A. H.;5;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
;;22;Bijlstra, C.;34;0;4;0;0;5;1;0;2;0;0;0;9;2;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;1;0;0;0;0;0;0
;;23;van der Duim, J.;19;1;0;0;7;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0
;;24;van Swaaij, S. J.;9;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;25;de Wilt, F. J.;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;26;Kuipers, D.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Knijff, J. A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Holvast, J. J.;15;0;2;0;0;4;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
;;29;Vis, D.;81;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;36;36;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
4;ChristenUnie;;;2286;43;87;121;69;123;28;68;72;44;29;20;4;23;19;20;28;18;34;13;19;10;22;24;31;14;83;75;116;20;35;48;90;107;26;64;16;57;46;83;77;47;62;26;11;28;34;37;36;17;13;0;14;13;5;17
;;1;de Jager, K.;1142;13;35;56;26;47;11;37;31;23;13;15;3;13;12;6;15;5;21;11;15;5;15;19;15;10;58;61;83;7;18;31;39;57;17;40;10;27;13;17;15;18;28;10;6;13;15;28;28;3;2;0;9;7;1;9
;;2;Dekkema, J.;68;0;4;2;3;1;0;0;1;1;2;0;0;2;2;0;2;1;1;0;0;0;0;0;0;0;9;4;7;2;3;1;2;1;0;2;2;2;0;0;0;1;4;0;0;0;0;2;3;0;0;0;0;1;0;0
;;3;Vellinga-Zeilstra, E.;308;13;21;27;17;28;8;15;14;7;2;3;0;4;3;2;4;1;5;0;2;0;4;2;2;1;4;3;4;8;11;6;6;8;0;5;1;7;6;1;1;10;5;2;4;6;6;3;1;4;3;0;2;1;3;2
;;4;van der Meulen, D.;99;5;8;11;10;14;1;5;5;3;5;1;0;0;0;0;0;1;1;1;1;3;2;0;3;1;1;0;2;0;0;2;0;1;0;0;0;1;1;2;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;2
;;5;Visser-From, A.;107;0;1;2;1;1;1;0;2;0;0;0;0;0;1;2;0;0;1;0;0;0;1;1;0;0;0;1;0;1;2;3;1;0;0;1;0;12;16;19;14;0;5;2;0;1;0;0;1;8;6;0;0;0;0;0
;;6;Minkes, H.;36;0;0;4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;15;0;8;0;0;2;0;0;0;0;0;0;0;0;0
;;7;Keegstra-Schuiteboer, E.D.;45;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;2;3;2;0;0;1;17;9;1;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;8;Wijma, K.A.;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;7;12;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0
;;9;Wagenaar-Bandstra, D.;38;3;6;0;2;2;4;1;2;1;0;0;0;0;0;1;0;0;2;1;0;1;0;0;1;0;2;1;0;0;0;0;0;2;0;2;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;10;de Graaf, G.A.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;Riepma, P.J.;38;2;0;3;1;9;2;1;6;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;van der Zwaag-Veenstra, M.A.;26;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;2;8;0;0;0;0;0;1;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;van der Tol, J.J.;33;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;0;7;1;0;0;0;0;0;2;2;0;0;0;1;0
;;14;Sijtsma, P.;35;0;5;5;1;0;0;4;5;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;2
;;15;Hellema-Galema, J.;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;5;41;41;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2
;;16;Elsinga, A.S.;28;0;2;1;0;3;0;0;0;0;3;0;0;0;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;3;0;0;0
;;17;van der Wekken-Akkerman, M.A.;46;3;0;4;1;14;1;4;4;2;0;0;0;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;3;1;0;0;0;0;0;0;0;0;0
;;18;van der Boon, J.;38;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;14;14;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Andringa, J.;13;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Goodijk-Hijlkema, J.;20;1;1;1;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Dusschoten, L.;7;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Feenstra, W.;19;2;0;3;3;0;0;0;2;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;VVD;;;909;24;15;16;19;21;11;15;29;11;9;6;17;5;7;3;24;3;12;5;6;5;1;9;5;4;40;24;48;29;29;18;19;12;3;38;29;23;40;52;38;32;15;4;3;28;24;14;15;9;19;1;5;8;4;4
;;1;Ferwerda-Havenga, D.;356;2;3;7;8;7;2;5;11;3;4;2;6;2;1;2;13;0;4;2;5;1;0;4;1;4;11;7;14;8;2;7;9;3;3;8;3;17;8;34;21;27;10;4;2;11;8;10;11;6;8;0;4;1;0;0
;;2;van der Aar, A.R.;72;5;1;2;6;3;1;5;6;2;3;0;2;0;1;1;2;1;5;0;0;1;1;1;2;0;1;0;1;2;0;0;0;0;0;1;0;1;1;2;0;0;0;0;0;5;4;0;0;0;0;0;0;1;0;2
;;3;Visser, B.;63;1;0;0;0;2;1;0;3;1;1;1;1;1;0;0;0;0;0;3;0;1;0;1;0;0;6;0;7;1;11;7;5;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0
;;4;Osinga, P.K.;67;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;30;8;6;4;2;0;0;0;0;0;0;0;5;0;0;0;2;2
;;5;Hengst, T.H.;45;8;3;3;0;0;3;0;4;2;0;1;0;0;0;0;1;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;6;6;0;0;0;0;0;0;1;0;0
;;6;Dijkstra, J.M.;19;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;3;2;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
;;7;Bouma, R.A.;10;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;8;Klaver, E.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Otte-Feenstra, T.;19;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;2;1;0;0;0;0;1;0;0;2;5;0;0;0;0;0
;;10;de Groot, I.;34;0;0;0;1;0;1;2;0;0;0;2;3;0;2;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;9;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
;;11;Fokkema, T.;28;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0
;;12;Vogels, T.C.;20;0;1;0;1;2;1;1;2;2;0;0;0;0;1;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;13;Damstra, P.;25;4;1;4;1;3;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;1;0
;;14;Bosma-Douma, G.D.;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Visser, F.G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;16;Boerema, J.E.;126;2;4;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;13;12;22;17;8;4;0;0;0;20;11;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;3;0;0
6;Partij van de Arbeid (P.v.d.A.);;;1436;60;54;46;36;60;16;40;58;36;9;4;13;17;13;16;49;11;25;11;5;11;8;15;53;7;68;64;76;21;26;6;23;26;18;21;15;39;39;42;47;36;31;4;13;17;33;26;27;9;11;2;6;8;6;3
;;1;Schaafstal, G.T.;983;43;31;28;21;42;14;29;37;27;6;3;8;13;12;15;34;8;19;8;5;8;6;15;38;7;42;36;36;17;23;2;17;20;17;16;10;26;30;30;34;30;16;3;10;11;22;12;15;7;5;2;6;3;6;2
;;2;Lammering, J.H.;46;2;1;0;2;2;0;3;1;1;0;0;0;0;0;0;7;0;0;0;0;1;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;4;1;2;2;2;2;0;0;0;0;0;2;0;1;0;0;1;0;0
;;3;Boersma, R.J.;94;7;13;8;3;10;1;7;14;3;0;0;2;2;0;1;3;2;0;1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;2;7;0;0;1;0;0;0;0;0;0
;;4;Postma, G.;13;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;5;Dam, D.D.;64;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;18;1;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;5;5;0;1;0;0;2;0;0
;;6;Bril, G.;18;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;6;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;7;Ruben, R.C.J.;32;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;4;4;0;12;0;0;0;0;0;0;1;2;0;0;0;0;0
;;8;Oldenbroek, A.R.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;;9;Geluk, M.C.;76;4;1;1;2;3;1;0;3;2;3;1;2;2;0;0;3;0;0;1;0;0;0;0;2;0;3;1;1;0;1;0;3;1;0;1;4;3;3;3;6;4;1;0;0;2;3;2;0;0;2;0;0;1;0;0
;;10;Keizer, B.G.;13;1;0;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;11;Jongstra, B.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;12;Harsta, M.M.;16;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;6;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;13;Oosterhuis, W.F.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Vries, A.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Maasbommel, P.;17;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Harens, N.J.;10;0;0;5;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;17;Posthumus, E.N.;21;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0
7;Gemeentebelangen Noardeast-Fryslân;;;1121;48;32;21;23;52;17;28;31;30;13;16;6;24;27;19;40;55;21;22;24;8;23;34;50;26;19;15;20;5;12;8;11;9;6;7;5;54;14;38;22;33;13;16;17;17;26;4;9;7;15;1;14;6;2;6
;;1;Braaksma, P.L.;546;27;12;11;6;27;9;16;10;21;6;5;3;18;20;13;30;6;10;7;2;3;6;17;37;11;4;9;9;4;11;7;7;9;1;6;4;9;9;20;12;9;6;10;11;8;15;3;6;2;4;1;5;6;2;4
;;2;van Midlum-Huisman, J.M.;73;0;2;2;5;4;0;1;2;2;0;0;1;0;2;1;1;0;0;4;0;2;9;0;2;12;3;3;0;0;0;1;0;0;1;0;0;0;1;0;1;3;0;0;1;1;3;0;0;0;0;0;3;0;0;0
;;3;Braaksma, A.;140;2;5;0;3;3;2;1;1;0;4;0;0;2;1;5;2;47;1;4;20;1;1;7;3;1;0;1;2;0;1;0;2;0;0;1;0;1;0;0;0;5;0;3;3;1;2;1;0;0;0;0;1;0;0;0
;;4;Lap, H.P.;56;5;2;4;2;0;2;2;4;2;0;0;0;0;1;0;0;1;3;1;0;0;5;2;1;0;4;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;3;2;1;2;2;0;1;0;0;0;0;0;0;0
;;5;van der Lep, F.;44;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;18;1;4;5;2;0;0;1;0;0;0;1;1;6;0;0;0;0;0
;;6;Visser-van der Bij, J.;105;8;1;0;5;11;4;6;9;3;1;11;1;0;1;0;4;1;1;3;1;0;0;3;2;1;1;1;3;0;0;0;0;0;2;0;0;2;0;4;0;7;2;0;0;2;4;0;0;0;0;0;0;0;0;0
;;7;Wiersma, H.M.K.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;8;Buursma-de Jong, H.R.;42;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;18;1;4;1;1;0;0;0;2;0;0;0;4;5;0;0;0;0;0
;;9;Kampen, R.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Goris, IJ.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Plomp, R.A.W.;15;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;van der Lugt, C.F.;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Liemburg, W.;11;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
;;14;van Oosten, M.;10;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;15;Nagtegaal, M.;4;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van den Akker, M.;11;3;0;1;1;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Aartsma, H.;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van Kammen, Y.;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kuipers, G.;11;2;4;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Wijbenga-Kleinschmidt, B.H.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
