Verkiezing;;Gemeenteraad De Fryske Marren 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Fryske Marren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Vrije Evangelische Gemeente De Brug;Party- en Zalencentrum 't Haske;Sporthal De Stuit;De Oerdracht;De Brede School;Woon- zorgcomplex De Werf;Doarpshûs;De Rank;MFS It Heechein;Dorpshuis Trefpunt;Kulturhûs;Dorpshuis De Sethage;Doarpshûs De Stjelp;De Hoekstien;Zorgcentrum Doniahiem, Wijkcentrum;Zalencentrum Sint Nyk;Doarpshûs 't Spantsje;Dorpshuis De Hichte;Verenigingsgebouw TV De Skarslach;De Klokkenstoel;Dorpshuis De Buorkerij;Wijkgebouw Us Haven;Verenigingsgebouw De Zandbanken;Buurthuis Sterrehuis;SCC De Hege Fonnen;Dienstencentrum Senioren;MFA De Steiger;Kerkgebouw Baptistengemeente;Café De Jister;SCC De Pomp;Dorpshuis De Brêge;Gaasterlânhûs;Zorgcentrum Talma Hiem, De Cirkel;Zalencentrum De Treemter;Dorpshuis Irene;Doarpshûs De Bining;Doarpshûs Nijemardum;MFC It Klif;MFC De Gearte;MFC De Skeakel;It Lokaal;Ons Gebouw;SCC De Poarte;Party- en Zalencentrum 't Haske (maandag);Zalencentrum Sint Nyk (maandag);SCC De Hege Fonnen (maandag);Gaasterlânhûs (maandag);Party- en Zalencentrum 't Haske (dinsdag);Zalencentrum Sint Nyk (dinsdag);SCC De Hege Fonnen (dinsdag);Gaasterlânhûs (dinsdag)
;aangetroffen stembiljetten;;;24021;764;513;684;1061;908;863;465;502;739;184;296;913;231;245;536;550;619;193;332;329;161;382;390;550;727;509;436;539;546;411;299;651;590;406;412;318;213;295;715;558;172;191;358;347;496;145;365;223;583;243;519;344
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;5;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;andere verklaring;;;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;4505;118;109;108;187;169;141;85;49;93;28;52;118;42;106;118;182;190;70;26;91;7;39;59;70;119;91;63;56;66;51;42;100;106;102;76;57;54;77;120;182;57;37;113;67;84;49;55;44;106;89;94;91
;;1;Boelsma-Hoekstra, L.;2054;59;71;52;87;103;83;53;38;56;17;26;36;23;94;42;146;128;46;20;25;4;14;14;19;40;23;27;22;23;32;17;53;41;36;33;29;18;18;26;18;9;8;10;23;53;34;14;11;55;53;36;36
;;2;Flapper, C.;502;4;1;5;3;1;2;1;2;2;1;3;0;2;3;5;2;8;11;0;7;0;1;0;4;6;1;0;1;0;0;10;5;31;33;19;19;21;11;28;14;42;23;95;7;1;0;9;20;1;10;4;23
;;3;van Zanden, J.;262;12;15;13;35;13;15;8;3;5;0;2;51;2;0;7;1;0;1;2;1;0;0;25;3;0;1;5;0;2;1;0;5;0;0;2;0;0;1;0;0;0;0;0;0;7;0;3;0;15;2;1;3
;;4;Roelevink, R.J.;299;1;0;0;0;1;0;2;0;0;0;0;0;0;0;2;1;0;4;0;0;0;2;0;30;47;42;20;23;35;2;4;3;3;4;0;0;1;1;3;0;0;0;1;14;0;1;17;1;2;1;30;1
;;5;Homma-Visser, G.A.M.;226;2;0;0;12;3;0;1;1;1;0;0;1;2;1;0;1;2;0;0;1;0;0;0;0;0;1;2;0;3;0;1;2;2;5;2;1;2;1;5;145;0;1;2;3;0;0;0;4;2;0;2;12
;;6;de Wolff, B.J.;95;3;0;2;9;0;2;1;0;0;1;4;3;0;0;1;2;1;0;3;50;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;4;2;0;0
;;7;Nota, T.N.;128;4;2;1;1;3;1;0;0;2;2;1;0;0;8;2;26;36;2;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;11;0;0;0;15;3;0
;;8;Hoekstra, F.;67;2;1;0;0;1;1;1;0;1;0;0;0;0;0;47;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;4;0;0
;;9;Mulder, K.S.;111;7;9;18;10;13;11;2;0;1;2;4;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;3;0;7;0;0;0;16;0;0;0
;;10;Gardeniers, B.H.M.;51;0;0;1;1;4;2;0;2;1;3;0;0;1;0;3;0;3;0;0;0;1;17;0;0;0;0;0;0;0;2;1;3;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0
;;11;Bekedam-Koersen, J.W.;114;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;1;0;0;0;0;2;3;2;2;2;7;38;39;0;0;0;0;2;0;0;0;0;1;0;1;5
;;12;Holtrop, V.B.;50;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;2;5;7;3;1;1;3;2;12;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;5;0
;;13;Veenstra, G.;12;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Landman, S.T.;36;6;3;0;5;8;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0
;;15;Douma-Zijlstra, D.;61;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;13;3;9;9;2;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;0;0;0;8;0
;;16;Huitema, T.W.;39;0;0;0;2;1;1;0;2;1;0;5;19;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Jaarsma, S.;91;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;15;14;13;3;2;6;9;3;0;2;0;3;0;0;0;3;0;0;0;7
;;18;de Jong-Bouma, D.;21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;12;0;0;0;0;0;0;0;2
;;19;Veltman, J.G.;19;0;0;0;1;0;0;0;0;0;0;0;1;0;0;7;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
;;20;Akkerman, S.;19;0;0;1;0;0;0;0;1;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;21;Kooistra, T.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;Jonkers, J.P.;17;6;4;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;23;Tuinier, D.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;24;Derks, M.J.A.;18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;25;Wijnja, G.;22;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;2;2;0;3;1;0;1;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0
;;26;Bethlehem, P.E.;39;3;0;0;9;4;11;5;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
;;27;Stapensea, A.T.;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;2;2;0;0;0;2;0;0;1;0;0;0;0;0;3;0;0;0;2
;;28;Krist, J.G.B.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;29;Haarsma, D.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0
;;30;Veltman, F.;15;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;3;1;0;0;0;0;0;0;1;0;0;0
;;31;de Jong, S.;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;32;de Winter, B.;16;0;0;0;0;0;0;0;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;33;Benedictus, G.;21;2;0;0;5;2;1;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;34;Zwaga, D.T.G.;47;1;2;5;3;8;4;9;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;1;0;0;0
2;FNP;;;4912;168;102;119;205;179;204;94;112;228;40;92;193;59;44;121;125;112;31;98;75;32;89;43;55;78;39;46;32;70;34;29;84;167;125;143;99;46;76;220;169;71;46;92;96;83;35;25;48;123;54;54;108
;;1;de Vries-Suierveld, G.H.;1943;109;65;75;130;124;116;57;44;37;24;43;72;26;20;54;62;46;15;37;50;16;29;9;21;22;14;8;9;24;18;15;46;38;25;23;26;10;12;42;27;10;17;11;39;49;17;10;6;88;26;11;19
;;2;Volbeda, J.K.;662;0;2;2;3;6;7;3;2;2;1;2;4;1;2;3;2;3;2;2;2;1;3;2;3;3;1;3;0;5;1;2;2;66;52;69;25;18;15;61;37;55;25;60;23;6;2;0;18;2;2;8;41
;;3;Piersma, J.;455;4;3;4;3;5;4;3;6;2;3;1;4;1;1;7;2;4;4;2;1;0;5;9;0;5;2;4;5;2;2;2;7;27;17;28;24;13;38;67;39;4;4;14;17;2;1;4;16;1;3;2;27
;;4;Meester, J.;327;5;4;0;7;5;6;3;37;148;1;3;26;4;3;0;6;2;1;22;2;1;3;0;2;2;0;0;0;1;2;0;4;4;0;2;0;0;1;4;2;0;0;0;0;7;1;0;0;3;2;1;0
;;5;van Iddekinge, R.M.;203;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;18;21;32;10;27;15;23;0;0;6;0;0;0;3;0;3;0;2;0;0;0;4;0;0;10;0;0;0;23;0
;;6;Wouda, W.J.;74;4;0;6;7;3;14;3;2;1;1;0;1;1;0;2;0;2;0;2;4;2;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12;1;0;0
;;7;Hoekstra, W.;56;1;1;1;1;3;1;1;6;10;0;2;1;3;1;2;0;0;0;3;1;0;0;0;0;0;2;0;0;0;1;1;0;1;1;0;2;0;1;1;2;0;0;1;0;0;0;0;0;0;2;0;3
;;8;Mollema, S.;35;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;6;1;1;0;1;3;2;0;0;0;6;0;4;0;0;0;0;1;0
;;9;de Vries, J.T.;110;0;0;2;1;0;3;2;0;1;0;0;0;0;6;5;25;22;4;0;1;1;0;0;2;1;0;1;0;0;0;1;3;6;1;1;1;0;1;2;1;0;0;1;0;0;5;0;0;0;7;3;0
;;10;Quartel, J.W.;266;19;11;14;36;8;21;4;5;8;1;30;52;1;2;0;0;1;0;10;7;3;4;0;0;3;0;0;0;1;1;1;1;0;1;1;1;0;0;1;2;0;0;0;2;6;2;0;0;6;0;0;0
;;11;van Hes, C.;88;7;7;1;5;7;15;4;1;8;7;0;2;2;0;0;1;1;0;1;1;1;4;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;1
;;12;Swart, A.;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;15;11;5;2;0;1;2;0;0;1;1;0;0;0;2;0;0;0;6
;;13;Miedema, B.;97;0;1;1;0;0;2;1;0;3;0;0;0;1;0;1;0;0;0;2;0;1;0;2;0;0;0;0;0;0;1;1;0;2;3;1;3;1;1;8;48;0;0;3;1;0;0;0;4;0;0;0;5
;;14;de Wolff, H.T.;53;7;3;0;2;4;2;2;0;3;0;6;15;0;0;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;15;Durksz, D.L.;78;4;2;3;2;7;3;1;0;1;0;2;5;17;1;0;3;0;0;1;0;0;6;0;0;0;0;0;0;1;1;0;0;0;1;0;2;2;1;1;0;2;0;1;0;5;0;0;0;2;1;0;0
;;16;de Ree, A.K.;26;4;0;2;0;1;4;5;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;3;0;0;0
;;17;Bijlsma, A.;41;0;1;0;2;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;0;3;28;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Boomsma, W.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;19;van der Schaaf, G.;53;0;0;0;2;3;0;0;0;0;0;0;0;0;1;39;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0
;;20;Sikkes, S.;5;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Salverda, P.A.;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;27;2;0;0;0;0;0;0;0;0;0;0;0;0
;;22;de Jonge-Kampen, J.;37;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;11;11;1;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0
;;23;Meinema, G.B.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Boersma, J.H.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;25;van Strien, K.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;2;6;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;3
;;26;Bouwhuis, E.A.M.;18;0;1;2;0;2;3;1;1;0;0;0;0;1;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Westra, J.;20;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;28;Bijker, H.;27;1;0;0;2;0;1;0;2;3;0;0;1;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Hettinga, J.W.;10;0;0;1;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;de Jong, E.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;31;van der Honing, T.;20;1;0;1;0;0;0;1;2;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;1
;;32;van der Pal, J.;62;0;0;2;0;0;0;2;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;4;4;9;1;1;9;7;2;6;2;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4;0
3;VVD;;;2641;116;39;98;120;78;67;55;46;56;20;28;82;31;10;101;89;92;22;59;29;18;82;55;76;97;122;30;26;112;33;26;86;32;14;16;12;17;15;32;28;1;19;24;44;77;17;64;23;77;23;77;28
;;1;de Wolff, I.;1151;29;15;45;53;39;27;25;26;19;8;14;42;12;3;31;60;78;4;8;11;11;31;13;27;28;38;8;6;34;16;7;47;17;9;12;10;8;9;23;19;1;13;18;27;37;15;22;17;32;14;19;14
;;2;Boerland, J.H.;206;16;11;15;33;13;14;9;3;4;4;2;7;0;1;4;1;0;1;2;1;2;8;1;1;2;2;0;0;1;3;1;1;2;3;0;0;0;0;2;1;0;2;0;2;10;2;1;0;15;0;0;3
;;3;van Niekerk-Thie, M.J.;223;0;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;16;19;31;39;7;6;25;2;7;8;0;0;0;0;1;1;0;1;0;1;0;4;1;0;21;0;2;0;21;2
;;4;van Keimpema, A.;302;37;3;16;5;8;11;17;6;1;1;0;6;2;4;57;14;9;16;1;3;2;6;0;1;1;3;0;0;1;2;0;9;3;1;0;2;3;2;3;4;0;0;1;4;15;0;1;3;8;8;0;2
;;5;Miedema, M.P.;50;7;0;3;4;5;6;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;3;1;1;0;0;1;1;1;2;0;0;0;0;2;0;0;0;5;0;0;0
;;6;Wietsma, J.;67;1;1;2;0;0;0;1;7;9;1;4;0;5;0;2;0;0;0;22;6;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
;;7;Holtrop, N.;75;3;1;2;3;5;1;0;1;14;2;0;4;0;0;1;0;0;0;25;5;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0;0
;;8;de Vrij, E.T.;349;6;3;3;8;2;6;2;3;4;2;0;11;1;0;3;3;2;0;1;1;1;3;22;21;26;34;13;11;41;7;11;14;6;0;4;0;0;2;2;1;0;2;2;3;5;0;15;3;1;0;35;3
;;9;Pekema, G.;37;7;0;9;3;2;1;0;0;0;1;0;0;1;0;2;0;0;0;0;0;1;3;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0
