Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het gemeentehuis;Wijkcentrum De Utwyk;Wijkcentrum De Kouwe;Chr.Ger. Kerk;Sportcentrum Drachten;Buurthuis De Skûle;MOS - Brede School De Drait (A);Tienersoos Place 2 B (Dr.vaart);Wijkcentrum De Skammel;Basisschool 't Tweespan;Dorpshuis 't Bynt Boornbergum;Lokaliteit De Nije Kompe Dr.comp.;Dorpshuis De Huchte Houtigehage;Dorpshuis Op 'e Jister Nijega;Dorpshuis De Wringe Opeinde;MFC Oudega;Dorpshuis It Werflân;De Naturij;Dorpshuis De Tike;It Polderhûs;De Kakelhof;Sporthal De Drait;Sporthal De Waring;Trefpunt de Holdert;Watersportvereniging Drachten/De Veenhoop;Tennisvereniging Drachten;Dansschool Studio to B;Brede school de Wiken;Kerk de Oase;Adverium;Fonteinkerk;Het gemeentehuis;Het gemeentehuis;Dansschool Studio to B;Dansschool Studio to B;MOS - Brede School De Drait;MOS - Brede School De Drait;Sportcentrum Drachten;Sportcentrum Drachten;Brede school de Wiken;Brede school de Wiken
Gebiednummer;;;;;1;2;6;7;10;14;15;17;18;19;20;21;22;23;24;25;26;28;29;30;31;32;34;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58;59
Postcode;;;;;9203 RM;9201 XE;9201 TE;9203 AN;9202 LC;9203 ND;9204 JT;9204 LM;9205 DE;9205 BN;9212 PK;9222 NA;9223 LB;9217 RL;9218 PP;9216 WE;9221 TD;9204 WS;9219 VM;9215 VZ;9218 PA;9204 CM;9207 DD;9203 DH;9213 VP;9207 AB;9203 HH;9202 GV;9201 GT;9202 PD;9201 BW;9203 RM;9203 RM;9203 HH;9203 HH;9204 JT;9204 JT;9202 LC;9202 LC;9202 GV;9202 GV
;;25;Hollema, R.;10;0;0;0;0;1;0;1;0;0;0;2;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;26;Bruinsma, A.;3;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Triemstra, R.T.;6;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
2;ChristenUnie;;;3238;110;126;70;109;144;133;184;70;81;95;169;78;16;31;100;82;57;99;22;12;64;86;139;39;28;61;88;121;108;50;104;80;87;35;35;51;110;34;33;43;54
;;1;Roelofs, S.A.;1596;51;78;35;50;72;63;88;34;42;39;66;45;8;11;57;47;44;44;13;4;24;47;69;19;12;27;38;61;44;29;58;43;42;22;18;28;48;18;16;24;18
;;2;Ponne, C.;430;15;15;12;6;10;21;23;6;16;14;6;15;3;5;10;11;5;14;3;0;10;13;26;3;4;11;13;16;27;5;9;15;16;4;6;3;14;4;2;6;13
;;3;van Veelen, K.;205;10;6;3;7;10;15;14;5;6;4;4;5;4;0;4;1;2;2;0;0;4;5;5;1;1;5;5;12;8;9;7;5;3;5;1;4;13;2;2;5;1
;;4;Cnossen, W.C.F.;176;5;1;3;13;23;3;17;3;7;6;10;1;1;1;4;2;1;13;1;0;4;7;5;0;2;2;6;3;3;0;3;3;5;0;2;1;9;2;3;0;1
;;5;van der Wijk, O.;123;3;0;0;4;1;1;2;1;2;7;63;1;0;0;7;2;0;2;0;1;1;1;4;0;3;2;3;3;1;0;1;0;0;0;0;4;0;0;2;0;1
;;6;Barkmeijer, J.;36;1;0;0;0;0;2;0;1;1;1;0;1;0;0;0;2;0;2;0;0;0;0;0;2;0;0;3;1;6;0;2;1;2;0;0;0;4;2;0;1;1
