Verkiezing;;Gemeenteraad Terschelling 2022;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;
Gebied;;Gemeente Terschelling;;;;;;;;;
Nummer;;0093;;;;;;;;;
;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Dorpshuis De Stoek;Stembureau ET10;Stembureau Katholieke kerk Midsland;Stembureau Westerkerk;Stembureau Sportzaal West-Terschelling;Stembureau Dorpshuis de Stoek 15-3;Stembureau Sportzaal West-Terschelling 14-3
Gebiednummer;;;;;1;2;3;4;5;6;7
Postcode;;;;;8896 JG;8891 HT;8891 GJ;8881 AD;8881 CJ;8896 JG;8881 CJ
;;3;Romar, A.J.;33;4;2;12;7;6;2;0
;;4;Bakker - van der Heide, J.;35;6;4;6;6;7;1;5
;;5;Lettinga - Hogenesch, G.;13;0;0;1;4;6;1;1
;;6;Ruijg, I.C.;13;2;0;1;4;2;0;4
;;7;Damstra, F.J.;6;1;0;2;0;3;0;0
;;8;van Keulen, A.;10;1;0;6;0;0;1;2
;;9;Romar, I.;9;4;1;2;1;1;0;0
5;Samen Terschelling;;;522;62;43;113;91;136;32;45
;;1;Bos, G.;231;32;22;57;28;48;18;26
;;2;Smit, K.D.J.;44;4;5;12;6;12;3;2
;;3;van Rosmalen, J.G.M.;16;3;1;3;4;4;0;1
;;4;Schweigmann, A.C.;52;3;0;7;9;27;0;6
;;5;Smit, T.;2;0;0;0;2;0;0;0
;;6;Haan, J.;30;6;3;10;1;9;1;0
;;7;Wiegman, D.;51;5;4;6;15;13;5;3
;;8;Gorter, R.;43;0;1;4;19;13;0;6
;;9;Hettinga-Jongsma, M.S.;50;9;7;14;7;8;5;0
;;10;Lakeman, G.A.F.;3;0;0;0;0;2;0;1
