Verkiezing;;Gemeenteraad Montfoort 2022;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;
Gebied;;Gemeente Montfoort;;;;;;;;;;;;;
Nummer;;0335;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zalencentrum St. Joseph;Sporthal Hofland;Sporthal Hofland;School met de Bijbel;Zwembad het Knopenbad;Sporthal De Vaart;Sporthal De Vaart;Zalencentrum St. Joseph maandag 14 maart;Zalencentrum St. Joseph dinsdag 15 maart;Sporthal De Vaart maandag 14 maart;Sporthal De Vaart dinsdag 15 maart
;;14;Blonk-Borst, R.M.;9;0;1;0;0;0;0;5;1;2;0;0
;;15;Verkaik, L.J.C.;5;2;2;0;0;0;0;0;0;1;0;0
;;16;Lekkerkerker, R.J.;1;1;0;0;0;0;0;0;0;0;0;0
;;17;Marrée, A.C.M.;5;0;1;2;0;0;0;0;2;0;0;0
;;18;Broens, J.M.C.;5;0;1;1;0;1;0;0;0;1;0;1
;;19;Verkaik-de With, J.F.;11;2;0;0;1;0;2;0;6;0;0;0
;;20;Vlooswijk, C.A.P.;1;0;0;0;1;0;0;0;0;0;0;0
;;21;van den Berg, P.A.;3;0;0;0;1;0;0;0;2;0;0;0
;;22;Verkaik, S.W.E.;1;0;0;0;1;0;0;0;0;0;0;0
;;23;Borst, B.J.R.;7;0;0;0;0;0;1;0;0;1;2;3
;;24;van Zuijlen, C.A.;2;1;0;1;0;0;0;0;0;0;0;0
;;25;Kolfschoten, A.E.;17;3;1;2;4;2;0;0;2;3;0;0
6;ChristenUnie;;;540;35;27;35;46;25;96;138;22;22;37;57
;;1;Kok, T.J.;247;10;8;10;24;11;48;67;8;5;19;37
;;2;van de Poll, A.P.M.;94;15;9;16;14;8;5;4;8;12;2;1
;;3;van den Heuvel, J.P.;15;0;1;0;2;0;2;6;0;0;1;3
;;4;Reijersen van Buuren, L.;11;7;0;1;1;2;0;0;0;0;0;0
;;5;van der Berg, P.;40;0;0;0;0;1;11;23;0;0;2;3
;;6;de Jong, J.H.;14;0;0;0;0;0;5;8;0;0;0;1
;;7;Kool-Verburg, A.G.;11;1;3;0;1;2;2;1;0;0;0;1
;;8;Plaisier-Verweij, P.T.T.;16;0;0;2;0;0;2;9;0;0;1;2
;;9;Dronkert, J.;7;0;0;1;2;1;0;0;2;1;0;0
;;10;Kool, A.;5;0;0;1;0;0;0;0;0;1;3;0
;;11;Langerak-Oostrom, F.;5;0;0;0;0;0;0;2;0;0;0;3
;;12;Verkerk-Verweij, M.P.;3;0;0;0;0;0;0;1;0;0;2;0
;;13;Stam, J.;6;1;0;0;0;0;2;3;0;0;0;0
;;14;Froeling, E.E.;6;1;0;0;0;0;0;0;3;2;0;0
;;15;Langerak, G.B.;10;0;0;0;0;0;3;5;0;0;0;2
;;16;Verhoeff, M.P.B.;1;0;0;0;0;0;0;1;0;0;0;0
;;17;Verkerk, J.M.;2;0;2;0;0;0;0;0;0;0;0;0
;;18;Visser-van der Sterre, M.Y.;7;0;0;3;1;0;1;0;1;1;0;0
;;19;de Lange, J.;19;0;0;0;0;0;9;5;0;0;5;0
;;20;van Galen-van Bokhoven, E.A.;6;0;0;0;0;0;3;0;0;0;0;3
;;21;Meijer, J.H.;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Breedijk-Verburg, J.S.;1;0;0;1;0;0;0;0;0;0;0;0
;;23;Schaap, F.G.L.;4;0;4;0;0;0;0;0;0;0;0;0
;;24;Verweij, J.W.;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Elenbaas, P.;8;0;0;0;1;0;3;2;0;0;2;0
;;26;van Agthoven, P.M.;1;0;0;0;0;0;0;1;0;0;0;0
;;27;Langerak, G.A.;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Bokhoven, B.;1;0;0;0;0;0;0;0;0;0;0;1
7;Staatkundig Gereformeerde Partij (SGP);;;680;56;43;78;178;48;81;76;14;46;16;44
;;1;Timmerarends, B.C.;397;35;24;37;99;34;41;46;11;35;11;24
;;2;van den Berg, S.;45;2;1;5;15;6;2;3;3;3;2;3
;;3;van der Wind, J.;103;9;8;17;34;3;18;7;0;3;2;2
;;4;Oskam, A.J.C.;32;1;5;7;11;1;2;3;0;1;0;1
;;5;Belo, A.;31;2;1;1;1;1;8;6;0;1;1;9
;;6;van den Berg, J.;11;2;1;0;1;0;4;2;0;0;0;1
;;7;van Ieperen, W.;6;0;1;2;1;0;0;0;0;2;0;0
;;8;van Brummelen, G.J.A.;6;0;0;1;1;0;2;2;0;0;0;0
;;9;de Ruijter, A.D.;4;0;0;0;1;0;0;1;0;0;0;2
;;10;van Vulpen, E.L.;10;3;0;2;3;0;1;1;0;0;0;0
;;11;Kok, A.J.;1;0;0;0;0;0;0;1;0;0;0;0
;;12;Roozenboom, P.W.;6;1;0;1;3;1;0;0;0;0;0;0
;;13;Stigter, J.;4;0;0;0;2;0;1;1;0;0;0;0
;;14;van den End, C.;5;1;0;0;2;0;0;0;0;0;0;2
;;15;van der Wind, J.N.;4;0;0;0;3;0;0;0;0;1;0;0
;;16;de Jong, P.;1;0;0;0;0;0;1;0;0;0;0;0
;;17;Dolderman, J.W.G.;2;0;0;0;0;1;0;1;0;0;0;0
;;18;Rijneveld, C.;3;0;0;2;0;0;0;1;0;0;0;0
;;19;Boer, W.J.;6;0;2;3;0;0;0;1;0;0;0;0
;;20;Belo, N.;1;0;0;0;0;0;1;0;0;0;0;0
;;21;Timmerarends, H.;2;0;0;0;1;1;0;0;0;0;0;0
8;D66;;;429;24;29;34;48;32;61;101;7;21;29;43
;;1;Schrijver, C.;187;7;11;12;18;11;35;47;7;7;15;17
;;2;Bahlmann, J.P.;104;4;6;12;13;7;13;32;0;3;3;11
;;3;van Berlo, P.;4;0;0;0;0;0;0;0;0;0;1;3
;;4;den Houting-Leeuwestein, A.P.;19;0;1;0;0;0;3;5;0;0;6;4
;;5;Bus, S.;32;4;5;3;7;7;0;0;0;6;0;0
;;6;Grootegoed, C.N.;26;2;0;1;2;2;4;5;0;2;2;6
;;7;Hartsink, A.B.A.;8;0;2;0;0;0;2;3;0;0;1;0
;;8;Rorije-Wouts, N.A.;33;7;4;5;7;5;0;2;0;3;0;0
;;9;Heller, M.H.J.;10;0;0;1;0;0;1;5;0;0;1;2
;;10;de Jonge, P.C.;6;0;0;0;1;0;3;2;0;0;0;0
