Verkiezing;;Gemeenteraad De Bilt 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Bilt;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0310;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Jagtlust;Stembureau VvSo WVT;Stembureau Oosterlichtkerk;Stembureau De Woudkapel;Stembureau Centrumkerk;Stembureau OLV kerk;Stembureau NOVA kantine;Stembureau Kees Boekehal;Stembureau HF Witte Centrum;Stembureau Gebouw van het Rode Kruis;Stembureau MENS Servicecentrum De Bilt;Stembureau RK Michaelkerk;Stembureau Ontmoetingskerk;Stembureau SOJOS (Jongerencentrum);Stembureau De Groene Daan;Stembureau Dorpshuis Hollandsche Rading;Stembureau Dorpshuis Westbroek;Stembureau Jagtlust (14-3-22);Stembureau HF Wittecentrum (14-3-22);Stembureau Centrumkerk (14-3-22);Stembureau SOJOS (14-3-22);Stembureau Jagtlust (15-3-22);Stembureau HF Witte Centrum(15-3-22);Stembureau Centrumkerk (15-3-22);Stembureau SOJOS (15-3-22)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;30;31;32;33;34;35;36;37
Postcode;;;;;3721 AB;3721 EA;3721 MJ;3723 JG;3722 GR;3723 KR;3721 WZ;3723 BA;3731 CL;3732 BA;3732 EV;3731 EE;3738 VC;3738 CB;3737 RK;3739 KM;3615 AG;3721 AB;3731 CL;3722 GR;3738 EB;3721 AB;3731 CL;3722 GR;3738 CB
;;10;Bloem, J.;52;7;2;1;3;9;2;0;4;7;1;1;0;0;0;2;1;0;0;2;0;0;2;4;1;3
;;11;Looman, B.L.J.;43;0;0;0;0;2;0;0;0;1;0;0;0;1;0;36;0;0;0;0;2;0;0;0;0;1
;;12;Rademaker, L.;25;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;18;0;0;0;1;0;0;0;0
;;13;Weyers, P.M.M.;7;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
;;14;Blok, T.T.J.M.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;1;0;0;0;0;0
;;15;Kelfkens, G.;9;2;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0
;;16;Oude Lenferink, I.M.M.;25;0;2;2;0;1;0;0;0;2;1;1;0;0;0;15;0;0;0;0;0;0;1;0;0;0
;;17;Bansie, P.S.;45;3;0;0;0;0;1;0;1;2;0;1;1;11;10;3;2;0;0;0;0;3;0;0;0;7
;;18;Brommersma, A.E.;76;9;6;4;6;3;6;2;3;7;5;7;4;0;2;0;2;0;2;2;0;0;2;2;1;1
4;D66;;;2811;247;105;141;247;216;158;17;177;262;113;98;161;63;35;90;82;36;84;61;83;27;118;90;79;21
;;1;Hoevers, J.;1671;148;60;82;134;124;84;8;92;178;74;63;108;34;18;61;40;22;46;44;58;13;63;57;51;9
;;2;de Zwart, G.J.;364;47;16;6;48;37;37;2;31;22;9;5;6;6;2;8;5;6;15;5;11;2;18;8;10;2
;;3;den Boer, F.;101;8;6;5;17;3;12;0;9;10;3;4;1;2;1;3;0;2;2;1;2;0;3;3;3;1
;;4;Wielinga, B.;23;5;0;1;1;0;2;1;2;1;1;1;0;0;0;0;0;0;4;0;0;0;2;1;0;1
;;5;Obbens, A.;34;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;32;0;0;0;0;0;0;0;0;0
;;6;van der Horst, P.;54;10;4;5;3;2;0;0;1;5;6;3;1;5;0;0;1;0;1;1;0;0;4;2;0;0
;;7;Smolenaers, D.M.P.G.;84;5;2;4;5;8;5;0;8;5;1;6;4;0;1;2;2;3;5;1;2;1;11;0;3;0
;;8;Huysmans, M.;46;4;0;0;1;2;2;0;3;8;3;4;12;0;0;0;1;0;2;2;0;0;0;1;1;0
;;9;Voortman, B.R.;8;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
;;10;van Weele, M.;26;1;7;2;3;5;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;2;0;1;0
;;11;Smit, V.;104;4;2;10;8;8;2;1;6;15;7;6;7;1;0;5;0;2;1;5;3;4;2;4;1;0
;;12;van Brakel, J.F.;17;2;0;1;0;0;0;4;0;4;1;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0
;;13;Cazemier, M.I.;36;4;2;2;4;4;3;1;3;2;1;0;2;1;0;1;0;0;0;0;1;0;0;2;2;1
;;14;Thier, E.M.H.;19;0;2;0;5;2;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;2;0;0;3;0
;;15;Frissen, M.A.G.;15;2;0;2;2;2;0;0;0;0;1;0;0;1;0;2;0;0;0;0;3;0;0;0;0;0
;;16;van der Laan, G.;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Schuppert, J.;26;0;0;3;0;3;0;0;1;3;0;2;9;0;1;1;0;0;0;0;0;0;1;2;0;0
;;18;Sent, D.;30;0;1;0;8;7;0;0;5;1;0;0;1;0;0;0;1;0;0;0;0;0;5;1;0;0
;;19;van Dijke, J.J.;32;1;0;0;0;0;0;0;0;0;0;0;0;10;9;1;0;0;0;0;0;5;0;0;0;6
;;20;Nijenhuis, M.C.;14;0;0;2;0;1;0;0;0;1;2;0;5;0;0;1;0;0;1;0;0;0;0;1;0;0
