Verkiezing;;Gemeenteraad Lopik 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lopik;;;;;;;;;;;;;;;;;;
Nummer;;0331;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentewerf Lopik;Dorpshuis De Schouw;Schep Partyservice;Ver. gebouw Jaarsveld;In 't Witte Paard;Buurthuis 't Wilgegat;Dorpshuis Benschop;Buurthuis de Triangel;Dorpshuis  Polsbroek;Dorpshuis De Schouw (maandag);Dorpshuis De Schouw (dinsdag);Dorpshuis Benschop (maandag);Dorpshuis Benschop (dinsdag);Gemeentewerf Lopik (maandag);Gemeentewerf Lopik (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Postcode;;;;;3411 CH;3411 MB;3411 DJ;3412 KZ;3413 MP;3411 EC;3411 NC;3405 XJ;3405 CE;3415 PE;3411 DJ;3411 DJ;3405 XJ;3405 XJ;3411 MB;3411 MB
;;12;Vlooswijk, J.A.;34;3;0;1;4;1;2;0;13;5;1;0;0;1;3;0;0
;;13;Noorlandt, J.;21;0;0;7;0;0;0;13;1;0;0;0;0;0;0;0;0
;;14;Boele-Schep, R.;14;7;2;2;0;0;1;0;0;0;0;1;1;0;0;0;0
;;15;Straver-de Vos, M.J.;13;1;0;0;0;0;1;0;4;3;0;1;1;0;2;0;0
;;16;Aantjes, A.;15;2;0;1;5;2;0;0;2;2;0;0;0;0;1;0;0
;;17;Rijneveld, L.;7;1;0;2;1;0;0;2;0;0;0;0;1;0;0;0;0
;;18;Spelt, G.J.;69;4;1;9;4;1;5;0;21;2;4;4;4;1;6;2;1
4;Partij van de Arbeid (P.v.d.A.);;;576;61;17;94;48;40;32;21;80;21;22;41;40;22;24;4;9
;;1;Dekker, H.J.;218;21;3;35;16;18;13;9;26;9;7;17;21;7;12;2;2
;;2;Westland-Stigter, S.M.W.;203;21;2;31;29;15;15;7;33;7;10;8;4;8;6;1;6
;;3;van den Berg, R.;46;9;2;11;1;4;1;1;1;0;1;5;8;1;0;1;0
;;4;van Oostrom-van Breukelen, S.G.M.;23;3;2;3;0;3;1;2;2;0;1;2;1;1;2;0;0
;;5;Zopfi, R.A.;26;1;3;6;1;0;0;0;0;0;0;8;6;0;0;0;1
;;6;Perlot, W.F.;11;0;0;3;1;0;0;1;3;1;0;1;0;0;1;0;0
;;7;van der Sloot, A.J.;22;1;0;0;0;0;0;1;9;2;1;0;0;5;3;0;0
;;8;Kooijman, J.W.M.;27;5;5;5;0;0;2;0;6;2;2;0;0;0;0;0;0
5;Hart voor Lopik;;;1723;180;61;346;138;90;159;36;197;71;91;67;129;27;89;15;27
;;1;Slob, Y;994;127;38;216;70;66;42;28;85;45;64;45;77;15;46;10;20
;;2;van Engelen-de Bruijn, L.C.M.;81;6;1;24;18;4;2;3;6;4;6;1;2;1;1;1;1
;;3;van Beek, L.;306;33;15;56;8;3;109;4;16;3;12;9;28;0;2;2;6
;;4;Pekelharing-van Eijndhoven, A.M.C.;38;2;0;4;13;6;2;0;2;3;3;1;0;1;1;0;0
;;5;Slob, G;49;5;1;11;5;4;2;0;2;1;1;3;10;0;3;1;0
;;6;Dubbelman, C.F.S.;64;5;5;17;3;4;1;1;2;1;3;7;11;0;3;1;0
;;7;Graeler, H.C.;101;0;0;3;0;0;0;0;60;7;0;0;0;7;24;0;0
;;8;Dubbelman-van Esch, M.T.A.;61;1;0;13;2;2;1;0;23;6;0;1;1;3;8;0;0
;;9;Scheerboom, R.F.M.;29;1;1;2;19;1;0;0;1;1;2;0;0;0;1;0;0
