Verkiezing;;Gemeenteraad Nieuwegein 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nieuwegein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadshuis;"Stembureau Gemeenschapsruimte ""boerderij Bos""";Stembureau Buurtplein Doorslag;Stembureau t Veerhuis;Stembureau Petanquecentrum Nieuwegein;Stembureau Stadshuis;"Stembureau Gemeenschapsruimte ""boerderij Bos""";Stembureau Buurtplein Doorslag;Stembureau 't Veerhuis;Stembureau Petanquecentrum Nieuwegein;Stembureau Stadshuis I;Stembureau Stadshuis I I;Stembureau Buurtplein Batau;Stembureau Buurtplein Doorslag;Stembureau Enik Recovery College (Voorheen La CaZa);Stembureau 't Veerhuis;Stembureau Kerkelijk Centrum De Rank;Stembureau Dorpshuis Fort Vreeswijk;"Stembureau Gemeenschapsruimte ""boerderij Bos""";Stembureau Petanquecentrum Nieuwegein I;Stembureau Petanquecentrum Nieuwegein II;Stembureau Bouwspeeltuin Batau l;Stembureau Bouwspeeltuin Batau l l;Stembureau Examenadviesburo;Stembureau MeetingDistrict;Stembureau Sporthal Galecop l;Stembureau Sporthal Galecop l l;Stembureau Sporthal Galecop l l l;Stembureau Sporthal Merwestein l;Stembureau Sporthal Merwestein l l;Stembureau Sportzaal Wijkersloot l;Stembureau Sportzaal Wijkersloot l l;Stembureau Sportzaal De Sluis l;Stembureau Sportzaal De Sluis l l;Stembureau De Partner I;Stembureau De Partner II;Stembureau Gymnastieklokaal De Driemaster l;Stembureau Gymnastieklokaal De Driemaster l l;Stembureau Gymnastieklokaal De Triangel l;Stembureau Gymnastieklokaal De Triangel l l;Stembureau Gymnastieklokaal De Driehoek l;Stembureau Gymnastieklokaal De Driehoek l l;Stembureau Emmauskerk
;aangetroffen stembiljetten;;;22027;587;412;302;420;373;681;477;400;538;411;564;529;1576;941;847;581;800;1173;698;417;456;201;369;331;673;334;282;292;240;216;522;436;397;352;324;321;210;213;735;705;682;555;454
;meer stembiljetten dan toegelaten kiezers;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;8;0;1;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;10;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;3633;98;75;48;65;74;97;95;38;86;72;78;72;233;131;81;103;127;162;152;113;102;47;58;50;154;71;64;69;33;40;77;77;75;71;49;49;29;22;111;99;116;108;62
;;1;Eggengoor, W.;2117;61;55;34;40;44;59;56;22;54;46;40;44;137;85;48;70;68;81;101;70;61;24;30;26;87;52;39;37;12;25;50;31;43;43;27;25;15;10;45;54;63;67;36
;;2;Vizee, K.M.K.;523;12;7;1;5;12;12;17;3;13;7;11;6;31;14;18;15;26;19;14;18;17;10;11;3;23;7;9;8;13;8;14;14;16;14;2;9;2;4;20;12;13;19;14
;;3;Diekstra, M.E.;263;4;1;1;6;3;5;8;5;4;2;11;7;18;14;4;8;5;12;12;8;6;4;7;3;9;5;7;7;1;2;6;12;4;7;3;3;3;1;15;8;8;3;1
;;4;van der Lugt, A.M.P.M.;58;1;0;2;0;0;2;2;0;1;1;1;0;4;2;0;1;2;10;2;2;0;3;0;2;2;0;0;3;0;0;1;2;0;0;2;0;0;1;2;3;3;1;0
;;5;Gadella, J.A.N.;135;4;1;3;3;2;6;1;1;2;1;3;0;7;0;0;2;9;12;2;4;3;1;0;5;3;1;4;4;5;1;0;2;3;2;2;1;7;5;6;3;8;4;2
;;6;Kupers, J.F.C.;42;1;0;1;0;2;1;0;1;2;0;1;1;3;1;0;1;1;2;1;2;1;0;1;0;0;2;0;0;0;0;1;0;2;0;0;2;0;0;2;6;2;1;1
;;7;Verhagen, D.A.J.;57;5;0;1;1;1;4;1;0;2;0;2;0;5;2;2;1;0;0;4;1;0;1;3;0;0;0;0;0;0;0;1;2;2;0;6;2;1;0;2;1;1;2;1
;;8;de Wildt, C.S.;93;2;1;1;2;1;0;3;2;3;0;2;4;6;3;1;2;3;10;1;2;3;1;0;2;3;1;1;1;0;3;0;6;1;1;4;1;0;0;5;4;5;1;1
;;9;Stroeven, J.L.;16;0;0;2;0;1;1;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;1;3;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;10;Lamers-Tiecken, D.;27;1;2;0;1;0;1;0;0;1;4;0;1;0;0;0;0;0;1;2;2;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
;;11;van Middelkoop, G.H.;22;0;2;0;1;0;1;0;1;0;0;1;2;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;2;1;0;0
;;12;Walma van der Molen, T.H.;13;2;0;0;0;0;0;2;0;1;0;0;2;0;0;0;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Bevers, M.P.A.J.;23;0;0;1;0;1;0;0;0;0;0;1;2;1;0;0;0;0;2;0;0;1;0;1;1;1;0;1;3;0;0;0;2;0;0;0;0;0;0;1;1;1;0;2
;;14;van Ekeris - Van Zijl, E.;23;1;0;0;2;0;1;0;1;0;0;1;0;1;1;0;0;3;0;1;0;3;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;1;2
;;15;Snoeren, M.A.J.;143;2;0;0;3;7;2;3;1;3;7;2;1;15;4;0;1;5;4;10;3;2;0;4;1;18;1;0;3;1;1;1;3;3;3;1;6;0;0;9;3;5;5;0
;;16;de Keizer - Stehouwer, E.;78;2;6;1;1;0;2;2;1;0;4;2;2;3;4;4;0;4;9;1;0;0;0;0;1;7;1;2;2;0;0;0;1;0;1;1;0;0;1;3;2;3;4;1
2;VSP;;;2267;72;73;41;68;42;83;76;59;77;52;44;31;170;100;65;61;106;148;88;33;50;17;30;17;43;35;27;17;24;20;54;31;38;34;37;23;13;15;54;52;51;44;52
;;1;Zondag, G;1174;28;30;14;44;26;41;40;26;33;25;27;21;90;49;25;34;60;77;52;19;25;6;19;8;29;18;13;10;11;11;30;23;20;20;18;13;7;8;33;16;22;29;24
;;2;Feenstra, S.A.;157;4;6;1;4;4;5;5;4;9;3;9;4;7;8;4;3;7;19;9;2;4;0;0;1;5;3;2;1;0;0;4;2;5;1;3;0;0;1;2;0;3;3;0
;;3;Scholten, R.A.J.;120;4;5;1;3;2;3;5;5;7;2;2;1;15;11;4;0;6;3;2;1;4;3;5;1;2;1;1;0;0;0;0;0;1;1;2;1;0;0;4;7;1;1;3
;;4;Houwer, A;49;0;2;0;0;1;3;2;4;2;2;0;1;0;11;0;0;1;1;0;0;4;0;1;2;0;1;1;0;0;0;2;0;0;0;1;0;0;0;0;0;3;0;4
;;5;Hendriks, R.W.E.;153;5;4;4;2;0;2;2;1;4;3;0;0;10;1;19;9;5;16;4;1;2;0;2;0;0;1;1;0;6;6;4;1;5;7;0;0;2;4;6;8;4;0;2
;;6;van Nieuwenhoven, M.H.;48;4;2;0;1;4;4;3;3;0;0;1;1;6;0;0;1;0;0;0;0;2;0;0;0;1;3;4;3;0;0;0;1;1;0;1;0;0;0;0;2;0;0;0
;;7;Beeuwkes, H.;47;1;6;2;0;0;0;1;0;0;3;0;0;2;0;2;0;2;4;2;1;2;0;0;0;0;0;2;0;0;0;1;0;1;0;0;1;0;0;4;6;1;2;1
;;8;Littel, J;185;13;5;5;1;0;9;8;12;7;8;2;2;9;9;4;4;10;9;3;2;2;5;2;4;0;5;1;2;2;2;7;2;2;1;2;2;0;1;0;6;7;3;5
;;9;Vos, A;79;2;1;6;1;1;6;3;0;5;1;0;0;4;1;2;4;4;14;4;1;0;0;0;0;1;0;0;0;3;0;1;0;0;1;1;0;1;1;2;0;3;0;5
;;10;Hogenbirk-Padding, J.M.;56;6;0;2;3;2;2;0;1;0;2;0;0;6;1;4;3;4;3;2;0;0;0;0;1;0;0;0;0;0;0;4;1;0;0;1;1;0;0;0;3;2;1;1
;;11;Brettschneider, C.D.;68;0;5;1;2;0;4;3;0;4;2;1;1;5;4;0;1;4;0;1;2;0;2;1;0;1;2;1;0;0;0;0;0;0;1;7;4;0;0;0;3;3;1;2
;;12;Tienhoven, Y.A.C.J.;80;5;4;3;1;1;3;1;3;5;1;0;0;14;4;0;0;3;2;5;4;5;1;0;0;2;0;0;0;1;1;0;0;1;0;0;1;1;0;2;1;1;2;2
;;13;Hazelhorst, H;17;0;3;0;0;0;1;3;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;1;0
;;14;de Groot, J;34;0;0;2;6;1;0;0;0;0;0;2;0;1;1;0;2;0;0;4;0;0;0;0;0;0;1;1;1;1;0;0;0;2;2;1;0;0;0;1;0;1;1;3
3;Partij van de Arbeid (P.v.d.A.);;;2656;86;61;61;48;61;92;69;49;53;67;72;73;202;102;119;57;81;135;76;35;44;19;39;34;67;30;27;33;19;29;70;52;59;35;46;41;18;29;83;70;78;67;68
;;1;van Esch, V.F.;1149;39;34;33;19;28;41;25;17;26;34;22;28;93;45;39;24;45;59;43;11;18;6;14;8;32;8;13;10;11;15;35;17;32;20;22;15;7;11;34;32;36;22;26
;;2;Spalburg, M.;706;23;18;17;11;19;25;18;16;12;16;22;16;64;27;35;17;17;40;18;9;14;6;8;10;21;12;7;7;4;4;16;13;14;6;11;14;4;8;17;20;15;19;16
;;3;Holtermann, E.F.;55;1;0;2;1;1;2;1;1;0;2;2;0;2;0;1;1;1;3;1;0;1;0;3;1;2;1;0;1;0;2;2;3;1;1;0;0;0;0;8;5;1;1;0
;;4;Kieboom, A.;34;2;0;0;0;0;1;11;0;0;1;1;0;0;1;0;1;1;1;1;2;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;2
;;5;Assalmi, L.;285;8;0;1;5;3;6;4;3;8;1;17;19;16;15;33;6;6;13;5;7;7;3;3;5;2;5;3;7;0;0;8;7;7;4;8;5;2;2;6;5;0;12;8
;;6;Muyden, L.E.J.;38;0;2;1;0;0;5;0;0;0;1;0;3;1;0;0;2;2;1;0;1;2;0;0;3;1;0;1;2;0;0;2;0;0;0;0;0;0;0;2;0;2;3;1
;;7;van Gilst, P.T.;17;0;0;0;3;0;1;0;0;0;0;2;1;0;1;0;0;1;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;;8;Jägers, A.H.;27;0;0;0;0;0;1;0;2;1;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;3;1;0;0;2;0;8;0;0
;;9;Saat, M.A.;51;1;1;0;1;1;1;2;0;1;1;0;2;2;3;3;0;1;2;1;1;0;0;4;1;2;0;0;0;0;1;0;1;0;3;1;2;0;1;3;1;3;0;4
;;10;Caarls, J.J.L.;28;3;3;1;2;4;1;0;3;2;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
;;11;Elsendoorn, T.G.;14;1;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0
;;12;Helmes, A.T.M.;8;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Hensgens, A.M.;18;0;0;0;0;0;1;0;2;0;1;1;0;2;1;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;2
;;14;Jägers, A.H.;8;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
;;15;Klazema, J.;14;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0
;;16;van der Linden, M.C.;7;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
;;17;Steen, J.H.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Bamberg, G.;13;0;1;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0
;;19;Langerak, C.J.G.M.;24;1;0;2;0;1;0;0;1;0;0;0;2;0;0;2;1;1;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;2;2;1;0;1;0;1;0
;;20;van Alfen, I.H.;30;1;1;0;0;0;2;2;1;0;2;0;0;3;0;2;0;1;4;0;0;0;0;0;0;0;0;0;1;0;1;0;3;0;0;0;0;0;1;0;0;4;1;0
;;21;de Jongh-Boerkoel, C.;19;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;2;4;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;1;1;1;2
;;22;Adriani, A.J.;105;5;0;4;2;4;4;3;3;1;6;3;2;12;3;0;1;3;1;3;1;0;2;3;1;3;2;0;3;0;0;1;7;0;0;1;2;0;1;4;2;3;3;6
4;GROENLINKS;;;3795;82;47;53;65;52;126;59;91;67;55;142;108;249;200;202;107;137;182;85;65;67;24;59;85;128;45;40;48;45;32;79;75;64;50;51;65;53;40;138;140;112;85;96
;;1;Feenstra, A.M.;2663;53;30;45;53;34;80;44;60;47;41;104;74;179;135;143;83;98;135;62;47;43;16;42;52;85;30;30;29;31;23;53;53;41;37;28;58;40;26;97;95;77;62;68
;;2;van Keulen, M;93;2;1;1;0;4;1;0;2;1;0;7;2;10;6;6;2;7;2;3;2;2;1;1;0;6;1;1;1;1;0;0;0;1;0;2;0;1;3;1;4;3;3;2
;;3;Vosseberg, J;99;1;2;0;1;1;13;1;4;0;2;1;1;10;6;4;1;3;1;2;1;1;1;2;3;1;2;2;0;0;3;2;0;1;0;3;1;1;2;5;3;5;2;4
;;4;van de Siepkamp, J.P.S.;57;6;1;0;3;1;5;0;3;0;0;2;3;6;0;6;1;1;1;1;0;0;0;0;0;2;1;0;0;2;0;0;2;0;2;1;0;2;0;1;2;0;1;1
;;5;Gathier, M;367;3;7;2;2;2;15;9;8;8;5;13;15;11;19;14;7;13;23;6;9;11;1;4;15;14;3;3;9;5;4;12;8;12;7;6;1;3;4;12;16;12;5;9
;;6;Doosje, J;134;2;1;3;0;4;2;0;1;1;1;4;5;8;16;4;1;4;8;3;1;5;1;3;3;5;1;2;4;2;0;3;1;1;1;4;1;1;1;11;6;5;2;2
;;7;Wisselo, R.B.J.;18;0;1;0;0;0;2;2;1;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;2;0
;;8;Smink, K.M.;162;8;2;1;1;2;2;1;5;3;2;1;2;7;8;12;6;4;4;2;1;2;3;3;10;9;4;2;1;2;1;6;6;3;1;3;2;1;0;5;9;4;4;7
;;9;de Knecht, J.D.;19;0;0;0;0;1;2;0;1;0;0;1;1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;2;0;0;2;0
;;10;Schouten, M;183;7;2;1;5;3;4;2;6;7;4;8;5;18;6;10;5;7;7;6;4;3;1;4;2;6;3;0;4;1;1;2;5;4;2;2;2;2;2;4;5;6;2;3
5;D66;;;2141;72;40;22;39;34;75;44;35;66;33;58;72;138;97;69;48;69;111;62;37;47;23;32;37;78;38;23;27;31;18;47;39;38;29;33;31;17;23;68;73;63;49;56
;;1;Verhoeve, T.A.C.;991;37;22;11;23;15;37;24;16;30;15;23;26;63;51;23;31;35;48;33;25;20;10;16;10;44;11;12;11;9;5;20;20;21;14;12;11;7;8;30;31;35;23;23
;;2;Lamur, V.C.D.;371;4;5;2;2;7;9;3;5;11;9;11;13;22;14;13;6;6;23;4;10;10;3;6;11;20;7;1;5;4;7;10;7;4;4;9;6;0;1;13;18;14;13;19
;;3;Plomp-Van Rheenen, J.A.G.;295;9;2;7;2;4;12;8;4;13;4;4;8;20;14;16;3;12;15;7;0;8;6;4;3;7;6;5;5;7;4;4;3;3;4;6;10;7;3;12;3;7;4;10
;;4;Spooren, E.L.P.;31;2;1;0;0;0;4;0;0;0;1;3;3;2;2;2;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;3;0;0;0;0;2
;;5;van de Voort, E.M.M.;25;1;0;0;1;0;0;2;1;0;0;3;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;3;1;1;2;0;0;0;0
;;6;Snoeren, P.W.M.;42;3;0;1;1;1;1;0;0;5;0;1;0;2;1;0;0;1;7;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;2;0;6;2;1;1
;;7;van Schaik, A.M.;146;7;4;1;2;0;3;4;3;3;1;5;7;18;5;5;4;3;6;6;1;8;1;4;8;3;1;3;0;2;1;4;4;2;0;1;0;1;1;4;7;0;3;0
;;8;Toutouh, H.;78;4;1;0;2;1;1;0;0;1;2;2;6;5;6;4;1;1;5;1;0;0;0;0;0;1;8;0;0;5;0;4;3;1;2;1;0;0;3;1;5;0;1;0
;;9;Elbertse-Ma, K.L.;62;1;3;0;4;1;3;1;0;1;0;2;1;2;2;2;1;3;5;0;1;0;1;0;1;0;3;0;0;4;0;2;2;6;3;0;0;1;0;1;1;3;1;0
;;10;Kwantes, P.;11;2;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;11;Volbeda, I.G.;32;1;2;0;1;0;1;2;4;2;1;1;0;3;0;1;2;5;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;12;Poppink, G.B.J.;5;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;de Vries, I.;36;0;0;0;0;3;1;0;1;0;0;2;4;0;0;3;0;2;0;5;0;0;0;2;1;2;0;1;0;0;0;0;0;0;0;1;1;0;1;1;2;1;1;1
;;14;Reusch, J.H.;16;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;3;0;0;1;1;0;0;0;0;0;1;0;0
6;CDA;;;1742;37;33;27;42;45;50;34;39;61;38;42;39;142;77;47;60;81;103;36;27;29;11;31;18;47;30;18;18;18;7;60;54;25;23;21;27;18;16;52;51;46;37;25
;;1;Kuiper, J.;864;18;16;16;27;22;26;20;15;23;14;19;21;73;37;19;34;42;47;14;14;14;5;16;11;21;13;8;9;13;4;36;31;16;11;11;16;7;7;30;18;19;19;12
;;2;Adriani-Wempe, H.J.;313;5;8;5;6;8;11;10;8;14;8;8;6;32;11;11;10;12;10;5;5;8;4;6;2;10;8;2;3;2;2;6;1;3;6;1;5;5;1;7;14;9;6;9
;;3;Horst, G.;72;4;0;2;3;2;3;1;3;3;2;1;7;4;4;2;1;3;3;1;0;1;2;2;2;3;1;0;0;0;0;2;1;0;1;3;1;1;0;1;2;0;0;0
;;4;Aksakal-Ongan, S.;88;3;0;0;0;3;3;0;4;3;1;3;1;1;3;5;1;3;3;4;0;0;0;0;2;4;2;0;1;1;0;5;14;0;0;0;2;2;1;4;6;1;2;0
;;5;van der Sluiszen-de Jong, C.C.J.J.;53;1;0;0;1;0;0;0;1;6;3;0;0;8;1;1;4;5;6;0;1;1;0;4;1;0;1;0;1;0;0;0;0;1;1;2;0;1;0;1;0;1;0;0
;;6;Lensen, B.J.;67;0;0;0;4;6;1;2;0;3;1;3;1;3;0;0;3;2;10;2;5;0;0;2;0;0;2;2;2;1;0;2;0;1;1;2;0;0;2;2;0;1;1;0
;;7;Hack, M.W.;42;0;2;0;0;1;2;0;0;1;4;4;2;7;0;0;0;1;3;0;1;1;0;0;0;2;0;4;0;0;0;0;2;0;1;0;1;0;0;1;0;0;2;0
;;8;Vorm, C.A.;70;3;0;0;0;0;3;0;1;2;2;2;0;4;4;2;2;4;6;3;0;0;0;0;0;1;2;2;1;1;0;6;1;1;1;0;0;2;1;2;3;4;2;2
;;9;de Munnik, J.L.H.;10;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;2;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Heijdra, L.A.C.M.;10;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;11;Schenk, J.;31;1;2;0;0;0;1;0;0;1;1;0;1;4;3;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;3;2;1
