Verkiezing;;Gemeenteraad Baarn 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Baarn;;;;;;;;;;;;;;;;;;;;
Nummer;;0308;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Baarn;Maria Koningin Kerk;Gebouw De Pool;Gebouw Elan;NS station;Dorpshuis de Furs;Berg en Dal (Apostolisch Genootschap);Theater De Speeldoos;SV Baarn;Drive through (Gemeentewerf);Wintertuin;De Blinkert;Amerpoort (bijzonder stemlokaal);Santvoorde (bijzonder stemlokaal);Gemeentehuis Baarn (maandag);NS station (maandag);Gemeentehuis Baarn (dinsdag);NS station (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;3743 BA;3742 XM;3742 RL;3742 SJ;3743 KM;3749 AA;3743 AR;3741 TA;3741 RS;3741 MR;3742 AK;3741 BE;3744 PA;3741 VJ;3743 BA;3743 KM;3743 BA;3743 KM
;;4;Sluijs, J.A.M.;573;82;40;33;36;71;10;23;75;4;6;33;37;0;14;28;21;36;24
;;5;Karlas, T.M.;109;15;9;7;8;17;0;1;11;1;0;4;15;0;2;5;4;5;5
;;6;Onkels, K.L.;80;6;8;13;6;7;1;4;8;1;0;5;7;2;1;3;3;4;1
;;7;Meijer, D.B.;35;4;2;1;3;6;0;1;7;0;0;1;3;1;0;3;1;1;1
;;8;Boekhoff, T.E.;31;6;5;0;1;4;1;1;4;0;0;5;0;0;2;0;1;1;0
;;9;Filon, H.N.;6;2;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0
;;10;Steinweg, M.J.;41;4;2;0;2;6;0;1;9;0;0;2;5;0;3;2;0;3;2
;;11;Salakory, J.;52;8;4;2;2;9;0;2;4;1;0;7;5;0;1;2;0;4;1
;;12;Ruiters, A.;21;0;1;0;0;0;9;2;6;0;0;1;1;0;0;0;0;1;0
;;13;Wind, M.H.A.;16;3;1;0;0;0;1;4;0;0;0;0;1;0;4;0;0;2;0
;;14;Spoorenberg, C.J.;11;1;3;0;1;0;1;1;0;0;0;0;1;0;0;1;0;2;0
