Verkiezing;;Gemeenteraad Rhenen 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rhenen;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0340;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de Gemeente;Koningskamer;Sport- en Recreatiecentrum ' t Gastland;Ontmoetingskerk (centrale hal);Ontmoetingskerk (zaal 1);Gedachteniskerk;Steakhouse Cunera (ingang Kastanjelaan);Rhenendael;Het Dorpshuis (grote zaal);Het Dorpshuis (gymzaal);Het Bestegoed (gymzaal 1);Het Bestegoed (gymzaal 2);Sportschool Trisport Rhenen;Huis van de Gemeente (maandag);Huis van de Gemeente (dinsdag);Het Bestegoed (maandag);Het Bestegoed (dinsdag);Het Dorpshuis (maandag);Het Dorpshuis (dinsdag);De Tollekamp (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;101;102;111;112;121;122;132
Postcode;;;;;3911 MG;3911 LB;3911 PG;3911 EA;3911 EA;3911 JG;3911 AS;3911 RM;3911 CX;3911 CX;3921 CM;3921 CM;3911 BE;3911 MG;3911 MG;3921 CM;3921 CM;3911 CX;3911 CX;3911 ND
;;3;Hoksbergen, J.A.;51;5;8;1;1;1;3;10;0;1;0;1;0;4;6;5;2;2;0;1;0
;;4;Hermsen, J.;209;46;24;15;18;14;6;8;1;0;1;10;2;8;19;32;2;2;0;1;0
;;5;Vunderink, P.H.;4;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
;;6;de Niet, S.S.;13;2;0;2;1;0;1;3;1;0;0;0;0;1;2;0;0;0;0;0;0
;;7;Beijer, C.J.H.;6;0;0;0;2;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0
;;8;Smid, M.A.R.;54;7;2;1;1;2;2;5;1;0;0;7;9;1;3;4;3;6;0;0;0
;;9;van den Brink, N.W.;9;1;0;0;4;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0
;;10;Booij, L.N.;16;3;0;0;1;0;0;1;2;0;0;3;1;0;1;0;2;2;0;0;0
;;11;Ostendorf, O.R.M.;6;0;1;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0
;;12;van Eeten, L.;6;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;13;Looman, U.W.;11;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;1;2;0;0;0
;;14;Knoll, S.E.;22;4;0;1;3;2;3;2;0;0;0;3;0;1;1;2;0;0;0;0;0
;;15;Veldboer, S.J.H.M.;39;6;3;3;2;1;1;6;0;0;1;2;1;1;2;8;0;0;1;1;0
4;ChristenUnie;;;722;79;25;15;33;23;34;51;59;33;35;52;43;16;40;97;29;33;12;11;2
;;1;Oosterhoff, B.E.;353;33;13;6;15;13;16;21;36;24;20;29;14;9;24;46;7;17;6;4;0
;;2;Rooseboom-Reimers, A.;152;19;4;3;9;4;6;17;6;5;6;4;5;3;10;30;7;8;3;3;0
;;3;Grevengoed, D.A.J.;14;3;0;0;0;0;2;2;2;0;0;0;1;2;1;1;0;0;0;0;0
;;4;van den Bor, C.R.;30;5;5;2;1;2;0;2;0;3;3;0;1;0;1;3;0;0;0;2;0
;;5;Overweg, J.;13;0;1;0;0;0;0;0;0;0;0;4;5;0;0;0;2;1;0;0;0
;;6;Klinkenberg-Janssens, R.M.;15;4;0;0;0;0;1;1;1;0;0;2;0;0;0;2;3;1;0;0;0
;;7;Mels, A.R.;5;2;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Bos, H.;9;0;0;0;0;0;1;0;0;0;0;3;1;0;0;1;1;2;0;0;0
;;9;de Korte, B.;4;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Schouten, W.J.;12;2;0;1;0;0;0;1;2;0;0;0;0;0;2;2;1;1;0;0;0
;;11;Bouman, A.A.J.;17;0;0;0;0;0;0;0;0;0;0;3;9;0;0;0;4;1;0;0;0
;;12;Rooseboom, D.J.;10;2;0;0;0;0;0;1;0;0;1;4;1;0;0;1;0;0;0;0;0
;;13;van de Velde, R.J.;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Doorn, H.J.H.;18;4;0;0;1;1;0;2;1;0;1;0;0;0;0;6;0;0;1;0;1
;;15;van Laar, H.;14;1;1;1;2;0;2;0;3;1;0;0;0;0;0;1;0;0;1;1;0
;;16;Koot, F.C.M.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;17;Daane, E.;9;0;0;0;0;1;3;0;0;0;1;1;0;1;1;1;0;0;0;0;0
;;18;Klinkenberg, J.G.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Wolfswinkel, C.G.;4;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0
;;20;van Harten, A.;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Tellingen, N.;5;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;22;Dieterman-Brouwer, C.H.;10;0;0;1;0;0;0;0;0;0;1;2;3;0;0;0;3;0;0;0;0
;;23;Drost, N.;21;0;1;0;3;0;2;1;5;0;1;0;0;1;1;2;1;2;0;0;1
5;RHENENS BELANG;;;1397;199;95;66;75;67;33;124;73;47;45;100;92;41;74;117;29;72;15;29;4
;;1;Wiesenekker, G;980;148;72;50;59;51;19;92;57;41;35;44;41;32;59;89;15;40;13;20;3
;;2;Oorschot, W.J.M.;144;10;5;3;1;5;3;7;8;3;2;35;28;1;1;4;8;19;0;1;0
;;3;Pabst-van 't Slot, H.;50;2;0;0;1;0;2;1;1;0;0;15;14;1;0;1;3;8;0;1;0
;;4;Bogaard, P.C.;39;6;2;3;5;3;0;3;1;1;1;0;1;2;1;7;0;0;0;3;0
;;5;Arissen, A.W.F.;44;13;2;3;5;2;3;2;0;0;0;3;1;2;1;6;0;1;0;0;0
;;6;Hulsebosch-Salgado Pintos, A.C.;73;13;10;2;2;4;5;9;2;0;3;1;5;3;6;3;1;2;1;1;0
;;7;Henken, H.G.;16;2;1;1;1;2;0;1;0;2;0;0;0;0;2;2;1;1;0;0;0
;;8;Hulsebosch, D.R.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;1
;;9;Veltman, W.E.;26;3;1;2;0;0;1;8;0;0;4;2;0;0;0;2;0;1;0;2;0
;;10;Hulsebosch, P.C.J.;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;Henken, T.A.;17;2;1;2;1;0;0;1;4;0;0;0;1;0;3;1;1;0;0;0;0
6;D66;;;1134;153;69;63;46;28;57;171;61;31;21;72;47;35;65;134;23;29;13;16;0
;;1;Folmer, C.S.J.;658;79;33;37;36;14;30;89;49;13;12;39;32;21;42;83;12;21;8;8;0
;;2;van Kooten, H.;129;28;8;6;6;5;10;28;2;5;1;1;1;0;11;14;1;1;1;0;0
;;3;Jansen, B.;221;30;25;11;3;9;14;42;8;9;3;8;4;11;7;30;0;1;1;5;0
;;4;Bosma, J.;15;3;0;1;0;0;0;0;0;1;2;1;0;0;2;2;0;0;3;0;0
;;5;van Galen, H.J.G.;8;0;0;2;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0
;;6;Vetjens, B.C.J.M.;21;3;2;3;1;0;0;3;0;1;2;0;0;3;1;0;0;0;0;2;0
;;7;Hilberts, H.A.;17;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;3;3;0;0;0
;;8;van Swetselaar, M.S.;18;4;0;0;0;0;0;0;0;2;0;7;4;0;0;0;0;1;0;0;0
;;9;van Asseldonk, P.W.J.T.;8;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;5;1;0;0;0
;;10;van Panhuys, O.T.H.;5;1;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Dreeuws-Robbers, E.D.M.C.;23;2;0;1;0;0;0;2;2;0;0;9;0;0;0;4;2;1;0;0;0
;;12;Boerkamp, J.G.;11;3;1;2;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0
7;CDA;;;607;52;32;23;41;33;33;68;46;27;31;37;22;10;22;61;9;25;14;17;4
;;1;Fintelman, B.J.N.;333;26;17;13;25;22;18;35;25;19;16;19;10;5;15;34;4;10;11;6;3
;;2;Hartholt, B.;43;9;4;2;3;2;5;2;1;2;0;0;0;0;1;7;0;3;0;2;0
;;3;Trommel, J.P.;25;0;0;1;0;0;1;0;0;0;0;7;10;0;0;1;2;3;0;0;0
;;4;Rijken, J.H.;18;2;0;1;0;0;0;4;2;0;4;0;1;0;0;2;0;0;0;2;0
;;5;van 't Hof, H.;7;0;1;0;0;0;0;3;0;0;0;0;0;2;0;1;0;0;0;0;0
;;6;Bongers, F.M.;4;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;7;van Doorn-Schoeman, A.A.;37;0;2;2;3;0;3;2;7;2;1;5;1;0;3;3;0;2;0;1;0
;;8;Kroesbergen, S.;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;9;Stoker, R.M.;19;0;3;2;2;1;1;2;0;0;2;1;0;1;0;0;2;2;0;0;0
;;10;Woldendorp- van Laar, T.M.C.;14;4;0;1;1;0;0;2;2;0;0;0;0;1;0;1;0;0;1;1;0
;;11;Boon, H.E.J.;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0
;;12;Verkerk, C.J.;11;3;1;0;0;0;1;2;0;0;1;0;0;0;0;2;1;0;0;0;0
;;13;Jochemsen, C.E.;14;2;3;0;1;2;1;0;0;3;0;0;0;0;1;1;0;0;0;0;0
;;14;van de Kolk, G.;8;1;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;1;0;0;0
;;15;Bouwhuis-Meijer, G.M.;13;1;0;0;1;1;1;4;0;0;0;1;0;0;1;3;0;0;0;0;0
;;16;Regout, L.F.E.M.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Moret, R.;16;0;0;0;2;0;0;10;0;0;1;0;0;0;1;0;0;0;0;1;1
;;18;Versteeg, D.;8;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0
