Verkiezing;;Gemeenteraad Utrechtse Heuvelrug 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Utrechtse Heuvelrug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nieuw Salem, 14-03-2022;Nieuw Salem, 15-03-2022;Nieuw Salem, 16-03-2022;CBS Instituut Coolsma;Basisschool de Kring;Cultuurhoek;Beukenhorst;Immanuëlkerk;CBS De Uilenburcht;Gereformeerde Kerk de Bron;'t Hoge Licht;De Twee Marken, 14-03-2022;De Twee Marken, 15-03-2022;De Twee Marken, 16-03-2022;Ontmoetingskapel;Dorpskerk;Kerk De Ark;Allemanswaard, 14-03-2022;Allemanswaard, 15-03-2022;Allemanswaard, 16-03-2022;Muziekcentrum Ons Genoegen;Kerkgebouw De Ark;De Ridderhof;De Buurthucht;De Binder, 14-03-2022;De Binder, 15-03-2022;De Binder, 16-03-2022;Michaëlhuis;Muziekgebouw EMM;Zenner DSF;Cultuurhuis Pléiade, 14-03-2022;Cultuurhuis Pléiade, 15-03-2022;Cultuurhuis Pléiade, 16-03-2022;Ludenkapel;Sporthal Steinheim;Tenniscenter Heuvelrug;Park Boswijk;Bartiméus;Gemeentelijk stembureau
;;15;de Heus-Tylek, M.E.P.;17;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;2;1;2;0;2;0;0
;;16;van der Meulen, J.M.;11;0;0;0;0;1;0;0;0;0;0;0;0;0;5;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Amerongen-Huizenga, T.;57;6;10;10;2;1;2;3;1;4;7;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0
;;18;Veldhuizen, H.;30;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;11;4;0;0;1;0;2;0;3;0;2;0;1;0;0;1;0;2;0;2;0;0;0;0
;;19;Reedijk, T.;37;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;2;1;1;5;1;4;0;0;4;10;0;0;1;0;0;0;0;0;0;0;0
5;BVHlokaal;;;5071;140;194;191;145;113;68;141;104;174;124;208;115;133;255;169;140;89;89;91;179;22;170;60;150;81;151;304;184;48;45;93;131;267;241;112;54;93;3;0
;;1;Haaxma, A.;2123;55;73;62;57;39;27;35;31;68;44;67;24;18;59;54;44;29;82;76;148;19;143;51;66;36;73;125;73;20;16;43;52;108;83;40;30;52;1;0
;;2;Brinkman, A.F.;693;44;80;64;49;35;22;71;51;62;51;71;2;2;3;1;3;1;0;1;4;0;5;1;1;2;2;8;2;2;1;6;5;20;7;8;0;6;0;0
;;3;Hensbergen, G.;466;3;5;5;5;2;2;3;0;2;2;3;69;80;114;70;19;39;1;0;0;0;0;0;3;1;3;7;2;0;1;1;2;5;7;2;3;5;0;0
;;4;van der Velde, F.L.;346;2;2;2;2;5;1;5;2;3;1;3;0;3;1;3;0;0;0;1;6;0;6;2;7;2;0;3;2;2;1;21;42;83;79;27;11;16;0;0
;;5;de Bock, R.;145;0;1;0;2;1;0;0;0;0;0;1;18;20;52;32;2;8;1;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;1;1;1;0;0;0
;;6;Daamen, N.A.M.;179;1;0;3;1;2;3;4;1;1;2;11;0;1;5;0;1;2;0;0;0;0;0;0;1;2;1;4;1;0;0;11;18;22;41;22;9;8;1;0
;;7;Notenboom, C.J.;328;1;0;0;0;0;0;0;0;0;0;4;0;2;0;1;0;0;0;2;3;0;0;0;3;30;50;112;80;18;16;1;0;1;1;0;0;3;0;0
;;8;Karelse, J.;102;0;0;2;0;0;0;1;0;0;0;2;2;5;6;2;67;6;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;4;0;0;0;0;0;0
;;9;de Lange, R.M.;39;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;2;0;1;3;27;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;10;Keijzer, J.M.;52;2;10;3;6;3;2;2;5;1;3;8;0;0;2;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
;;11;Schrijvers, M.;98;0;0;24;2;3;0;0;2;1;3;0;0;0;1;1;2;0;0;0;0;0;0;0;5;1;1;2;0;0;0;6;7;14;13;7;0;3;0;0
;;12;Leys, J.A.M.;132;11;10;0;17;15;7;11;8;9;6;19;0;0;2;2;1;0;4;0;0;0;0;1;0;0;0;0;0;0;1;0;1;3;2;1;0;0;1;0
;;13;van Ruler, K.J.;80;0;0;5;0;0;0;0;0;0;0;4;0;0;5;0;0;2;0;3;5;0;6;1;1;2;9;20;8;3;3;0;0;0;2;1;0;0;0;0
;;14;Berkhout, F.J.;22;2;3;0;1;1;0;1;0;1;3;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
;;15;Lammers, D.;30;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Dekker, W.E.J.;23;2;0;0;2;1;1;2;1;3;3;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;;17;Verbeek, N.L.F.;10;2;1;0;0;0;1;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Marchal, M.;67;3;0;3;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;3;2;0;1;0;3;2;6;17;12;1;4;3;2;1;0;0;0;0;0;0
;;19;Postma, R.;26;0;0;0;0;0;0;1;0;16;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;1;0;0;0;0;0
;;20;Blokland, B.;48;0;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;32;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
;;21;Holwerda, J.;62;12;9;0;1;4;2;3;2;7;2;4;0;0;0;0;0;2;0;0;1;0;0;0;0;2;0;2;1;0;0;1;2;2;3;0;0;0;0;0
6;Staatkundig Gereformeerde Partij (SGP);;;1912;37;32;49;24;22;5;54;38;31;22;34;6;17;27;38;104;13;29;29;99;2;72;21;353;15;38;90;134;10;17;37;66;147;64;100;8;26;2;0
;;1;Boonzaaijer, G.;1445;26;26;30;13;20;3;27;29;20;13;28;6;11;21;29;69;13;26;22;72;2;60;18;216;14;25;71;93;6;9;37;62;143;59;93;7;24;2;0
;;2;Jansen, T.F.;59;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;4;4;0;2;0;7;1;2;9;13;3;5;0;1;0;2;1;0;0;0;0
;;3;Doornenbal, G.;116;6;4;8;3;1;1;22;3;4;8;5;0;1;0;4;1;0;0;0;7;0;1;1;20;0;2;2;7;0;0;0;2;0;0;2;0;1;0;0
;;4;van den Brink, G.J.;70;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;2;2;4;0;0;0;49;0;1;1;5;0;0;0;0;0;0;1;0;1;0;0
;;5;van Wikselaar, W.;35;3;1;6;4;0;0;0;2;2;1;0;0;0;0;0;3;0;0;1;0;0;0;1;4;0;0;0;4;0;0;0;0;0;0;3;0;0;0;0
;;6;van de Weerd, H.;17;2;1;4;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;7;Vlot, F.;22;0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;1;0;1;0;0;0
;;8;van der Wind, H.J.;69;0;0;0;0;1;0;5;2;0;0;0;0;1;1;0;24;0;0;0;4;0;5;0;6;0;1;5;9;0;2;0;1;2;0;0;0;0;0;0
;;9;Aalbers, C.;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;25;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;10;Ploeg, H.T.;50;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;6;0;4;1;22;0;5;1;2;1;0;0;0;0;1;0;0;0;0;0
7;ChristenUnie;;;951;42;37;46;27;30;14;26;22;48;37;62;24;8;28;37;17;11;24;24;33;3;28;13;36;12;28;48;32;5;8;10;23;29;21;30;7;14;7;0
;;1;Zoutewelle, A.;423;16;17;21;11;15;5;16;5;9;18;20;6;2;10;16;9;1;11;14;18;1;6;6;17;8;9;19;15;3;8;5;15;18;16;20;4;12;1;0
;;2;Karssen, D.;86;11;5;6;0;2;4;4;2;16;8;5;1;0;1;1;0;0;0;2;0;1;0;2;2;0;0;4;0;0;0;1;2;2;1;1;1;1;0;0
;;3;Turkesteen, K.P.;148;3;1;3;3;5;0;3;4;7;2;7;17;5;15;18;6;8;5;0;2;0;1;0;6;0;0;7;7;1;0;0;0;2;3;3;0;1;3;0
;;4;Reinders-van den Berg, J.;75;8;4;6;8;2;1;2;4;8;4;16;0;1;0;2;2;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;1;0;1;0
;;5;Prins, T.G.;35;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;2;3;8;5;9;0;0;1;0;1;0;1;1;0;0;0
;;6;Plat, L.J.;21;0;2;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;1;0;0;0;1;3;2;0;1;0;0;0;0
;;7;Penning-Wolswinkel, G.C.;59;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;13;1;19;5;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Petit, L.J.D.;24;0;3;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;7;1;1;0;0;0;0;0;0;0;0;0;0
;;9;Vrijland-Verhagen, R.;20;0;2;2;3;3;0;0;2;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Roelants-van Rijn, A.M.;16;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;3;0;4;0;0;0;0
;;11;Touwen, H.J.J.;35;4;3;3;2;3;3;0;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;2;0
;;12;Priem, J.A.J.;5;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;bij de Vaate-Sterk, W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;van Wijnen, D.A.;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Partij voor de Dieren;;;2258;93;96;154;92;88;91;70;63;51;57;93;32;49;106;99;36;46;22;22;48;4;41;20;15;53;48;119;52;20;18;45;66;120;100;64;7;43;15;0
;;1;Baudet-Kors, J.W.;1309;54;57;99;59;58;47;42;37;30;37;51;13;8;42;41;24;17;19;16;34;4;20;11;10;45;30;81;36;14;15;26;36;66;52;31;5;33;9;0
;;2;Blom, P.;165;14;14;16;7;6;7;9;6;7;5;15;1;1;7;3;1;1;2;1;1;0;1;2;0;3;5;6;4;1;1;3;1;6;5;1;0;1;1;0
;;3;van Leeuwen, P.E.J.;211;3;4;2;2;2;0;0;0;1;1;1;12;32;46;47;1;25;1;0;1;0;3;3;0;2;2;6;1;1;1;0;1;3;4;1;0;1;1;0
;;4;Kielstra, R.L.;47;1;2;4;4;4;8;4;1;0;1;2;0;2;0;2;3;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;4;1;0;0;0;0
;;5;Schenk, E.;70;0;1;3;0;1;0;1;2;0;0;0;0;2;0;0;0;0;0;0;1;0;4;0;1;0;1;2;3;0;0;4;7;14;6;13;1;1;2;0
;;6;Wong, Y.;106;9;7;4;6;5;7;2;10;6;3;5;1;2;1;1;3;0;0;1;1;0;7;4;0;0;1;5;2;1;0;1;3;1;1;3;0;3;0;0
;;7;van Donselaar, A.J.;33;0;0;3;0;7;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4;2;2;6;4;0;1;0;0
;;8;Bakker, M.;131;10;7;13;6;0;12;8;5;4;8;11;1;0;2;2;3;1;0;1;4;0;3;0;1;0;4;4;3;2;0;0;2;6;5;2;0;1;0;0
;;9;Overbeek-Schenk, J.;81;0;0;3;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;2;1;0;1;0;1;1;4;4;1;0;0;7;11;18;15;5;1;0;0;0
;;10;van Woudenberg, H.P.M.;24;1;1;1;1;3;1;0;1;2;1;1;0;0;1;0;0;0;0;0;2;0;0;0;2;1;0;1;0;0;0;0;0;0;2;0;0;2;0;0
;;11;Batteau, J.M.;38;1;0;0;3;1;0;0;0;0;1;1;3;1;6;2;1;2;0;1;2;0;1;0;0;0;0;3;1;1;1;0;2;2;0;2;0;0;0;0
;;12;Keller, H.J.;43;0;3;6;4;1;6;2;1;1;0;5;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;5;0;0;0;0;0;2;0;1;0;0;2;0
