Verkiezing;;Gemeenteraad IJsselstein 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente IJsselstein;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0353;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Sporthal de Oever;Sporthal IJsselhal;Ewoud;Sporthal Poortdijk;Reddingsbrigade IJsselstein;Geb. 't Kruispunt;Geb. 't Kruispunt;De Kapel Mariënstein;Sporthal het Heem;Sporthal het Heem;WOC gebouw (Wijk Onderwijs Centrum);WOC gebouw (Wijk Onderwijs Centrum);OBS De Trekvogel;Fulcotheater;IJsselsteinse Tennisclub Groenvliet;Muziekvereniging Amicitia;Stadhuis 14 maart 2022;Sporthal Poortdijk 14 maart 2022;Stadhuis 15 maart 2022;Sporthal Poortdijk 15 maart 2022
Gebiednummer;;;;;1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
Postcode;;;;;3401 BK;3402 MJ;3402 CS;3401 RH;3402 BS;3402 TJ;3401 CB;3401 CB;3401 BV;3401 GX;3401 GX;3404 EX;3404 EX;3401 GX;3401 BK;3403 NJ;3401 RA;3401 BK;3402 BS;3401 BK;3402 BS
;;2;Hartelust, F.W.;121;11;12;7;7;3;3;15;11;2;2;2;4;10;4;4;7;4;8;0;5;0
;;3;van Rooijen, B.;277;22;18;13;18;7;6;14;22;4;21;10;12;17;16;9;13;21;16;3;8;7
;;4;Zoethout, T.J.T.;60;6;1;2;9;2;0;4;3;1;1;3;1;5;4;6;1;4;0;0;7;0
;;5;Nagtegaal, L.T.;131;5;5;5;4;3;4;9;4;0;9;9;13;6;19;2;10;8;9;3;4;0
;;6;Prak, S.L.;53;4;1;1;3;0;0;0;1;0;0;1;11;10;4;5;1;1;3;0;6;1
;;7;Tuenter, E.;35;2;2;1;3;0;1;1;0;0;1;1;11;4;1;0;4;0;1;0;2;0
;;8;Soeteman, M.;52;5;4;0;1;0;0;1;5;0;9;0;3;3;9;0;2;2;4;0;4;0
;;9;Duijvelaar, K.A.M.;49;2;4;3;1;2;0;1;0;3;1;1;3;7;5;3;0;3;1;1;6;2
3;CDA;;;1678;117;91;88;91;84;47;69;90;70;105;109;86;80;76;55;71;87;56;33;126;47
;;1;Tas, E.;705;51;33;39;41;38;24;31;33;36;47;36;33;33;26;29;32;22;28;21;52;20
;;2;Jong, C.H.;45;2;5;3;2;1;1;1;7;0;0;0;7;1;2;1;4;4;1;0;3;0
;;3;van Kippersluis, F.P.;256;15;10;14;11;7;4;9;12;14;28;25;8;10;24;4;12;15;10;0;16;8
;;4;Jong, A.C.;301;24;21;13;10;8;8;12;19;7;15;22;24;23;10;14;10;11;10;4;31;5
;;5;ten Haaf, J.E.;61;2;10;3;2;2;3;1;0;6;2;4;0;1;3;2;4;8;1;3;0;4
;;6;Verbij, A.L.G.;22;1;0;1;3;5;0;2;0;0;1;0;2;2;1;0;0;2;1;1;0;0
;;7;Molendijk, A.J.;13;1;1;0;0;3;0;1;0;0;0;0;0;0;1;0;2;0;0;0;4;0
;;8;Bunnik, R.P.;55;4;3;1;4;6;0;3;3;0;6;8;4;1;1;0;1;2;0;3;3;2
;;9;Verhagen, J.H.;22;2;0;0;3;0;0;0;1;2;0;0;1;1;0;0;2;9;0;0;1;0
;;10;van Westing, A.T.M.;40;2;4;5;2;4;1;3;3;0;1;2;0;3;1;1;0;4;2;0;2;0
;;11;Cornelissen, C.C.J.M.;22;3;1;2;1;0;1;0;1;0;0;3;0;0;1;2;0;0;1;0;3;3
;;12;van Dis, J.J.;15;0;0;2;3;0;1;2;1;2;0;1;0;0;1;0;0;0;2;0;0;0
