Verkiezing;;Gemeenteraad Soest 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Soest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Soest;Stembureau Gymzaal Paulus Potter;Stembureau Residence Souveraine;Stembureau Tennis LTC Soestdijk;Stembureau Emmakerk stemlocatie A;Stembureau Emmakerk stemlocatie B;Stembureau Zorgcentrum Molenschot;Stembureau Korfbalver. De Eemvogels;Stembureau De Rank;Stembureau RK basisschool Ludgerus;Stembureau Gymzaal De Bunt;Stembureau Gymzaal Smitsweg stemlocatie A;Stembureau Gymzaal Smitsweg stemlocatie B;Stembureau Hoog Soestdijk;Stembureau De Open Hof;Stembureau Desmond Tutu Centrum;Stembureau Fatih Moskee;Stembureau Ontmoetingscentrum De Klarinet;Stembureau Rehobothkerk;Stembureau Johanneskerk;Stembureau Basisschool De Wegwijzer;"Stembureau Postduivenvereniging ""Soest""";Stembureau De Banninghal;Stembureau Ontmoetingscentrum De Drie Eiken;Stembureau Vredekerk;Stembureau OBS De Startbaan;Stembureau 14 maart Gemeentehuis;Stembureau 14 maart De Rank;Stembureau 14 maart Emmakerk;Stembureau 14 maart Johanneskerk;Stembureau 14 maart Vredekerk;Stembureau 15 maart Gemeentehuis;Stembureau 15 maart De Rank;Stembureau 15 maart Emmakerk;Stembureau 15 maart Johanneskerk;Stembureau 15 maart Vredekerk
;;9;Smit, R.C.;77;4;3;0;5;3;1;0;0;1;6;2;3;1;1;3;1;2;2;0;5;7;4;3;1;1;2;2;0;1;2;1;2;7;0;1;0
6;CDA;;;1079;46;53;48;48;29;23;8;7;60;32;39;11;12;23;70;24;13;34;9;30;23;36;12;20;15;12;51;38;40;26;14;47;37;43;39;7
;;1;Lucas, P.;623;24;22;35;24;15;14;5;6;39;25;28;5;4;15;44;13;10;18;6;21;13;13;6;11;7;4;23;27;18;19;6;29;27;18;25;4
;;2;de Koning-van Ginkel, M.;158;8;12;2;8;4;3;2;1;9;4;6;3;1;2;14;4;1;6;2;5;3;7;2;1;0;0;11;4;3;2;1;7;4;8;6;2
;;3;Strengholt, A.J.;70;3;0;0;2;2;0;0;0;2;1;1;2;3;0;6;3;0;2;0;1;2;11;1;2;0;0;6;0;8;2;0;2;2;4;2;0
;;4;de Bruin, E.A.;50;3;6;3;6;2;3;0;0;0;0;0;0;2;2;2;3;1;0;0;0;0;0;0;0;0;0;4;2;6;0;0;1;0;4;0;0
;;5;van Ginkel, M.R.H.;32;2;3;2;4;2;0;1;0;2;0;0;0;1;1;2;0;0;1;0;1;2;3;0;0;0;0;1;0;1;0;0;0;2;0;1;0
;;6;Kracht, R.J.;40;0;3;3;1;2;1;0;0;2;0;2;0;0;0;1;0;0;4;1;1;0;1;0;0;0;0;4;0;3;0;0;2;1;5;3;0
;;7;Dijkmans, J.W.A.;33;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;8;0;0;0;0;7;0;0;0;0;1
;;8;Jahn, P.A.J.;5;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;9;van der Woud, R.F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Huisman, A.;18;3;4;1;1;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0
;;11;Vegter, S.J.;13;1;2;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;1;0;0
;;12;Krijger, A.F.M.;35;2;0;2;2;0;1;0;0;3;0;2;1;1;1;1;0;1;2;0;0;2;1;0;0;0;0;2;4;0;1;0;4;0;0;2;0
7;ChristenUnie-SGP;;;1364;68;35;42;42;52;33;0;14;71;33;39;37;29;19;95;39;32;71;66;58;52;66;16;16;18;21;44;20;11;28;11;49;31;35;50;21
;;1;Dijkhuizen, H.E.;741;33;21;30;26;29;16;0;7;40;18;21;25;22;12;55;14;17;35;41;25;31;42;9;6;1;10;29;8;6;16;7;29;17;17;22;4
;;2;Walraven-van Dam, M.M.;242;19;5;6;7;7;7;0;3;18;7;6;5;5;3;11;9;6;12;5;8;4;7;3;4;3;4;5;6;3;5;1;10;11;9;9;9
;;3;van Huigenbos, D.;21;2;1;0;0;1;1;0;1;0;0;1;2;0;0;1;0;1;3;0;2;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0
;;4;Fikse, G.H.;108;5;2;1;3;7;2;0;3;2;3;4;0;0;0;12;2;1;7;4;8;3;6;2;0;0;1;5;2;0;4;1;3;0;4;11;0
;;5;Roose-Verdam, M.;59;3;0;2;1;2;2;0;0;6;5;4;2;1;1;1;3;2;3;3;2;3;3;0;2;1;1;3;1;0;0;0;0;1;0;0;1
;;6;van der Waal, E.B.;22;1;0;0;0;1;0;0;0;0;0;1;1;0;2;3;1;0;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;2;2;0
;;7;Nonhof, R.;8;0;2;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Bakker-Tromp, M.E.;31;1;0;0;2;1;1;0;0;0;0;0;1;0;0;5;2;2;2;4;1;4;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0
;;9;Peters, G.;18;0;1;0;0;0;0;0;0;1;0;0;0;0;0;5;3;1;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
;;10;Scherrenburg, T.J.;32;1;0;1;2;1;1;0;0;1;0;0;1;1;1;1;2;1;0;2;6;3;4;0;0;0;0;1;0;0;0;0;1;0;0;1;0
;;11;van Maaswaal, W.H.;23;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;2;11;3;0;0;0;0;0;0;0;0;0;3
;;12;Malgo, J.A.;13;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;2;0;1;0;0;2;0;0;0;0;2
;;13;Roeleveld, J.;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Snijders, D.N.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;0;0;0
;;15;van Vugt, R.J.;20;1;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0
;;16;van Schaik, M.;18;0;1;0;0;2;3;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;1
8;Partij van de Arbeid (P.v.d.A.);;;1819;163;49;66;48;31;40;6;12;51;25;48;77;61;29;128;52;175;79;16;106;62;68;14;23;22;20;73;21;21;24;7;92;37;29;36;8
;;1;Witlox, A.H.T.;753;55;20;36;22;13;16;5;6;29;13;24;13;18;9;75;11;20;46;11;48;22;27;6;15;8;10;33;12;14;12;4;41;25;13;17;4
;;2;Redeker, J.N.;66;9;0;2;5;2;3;0;0;1;3;0;2;0;4;5;3;1;3;0;3;2;3;1;0;2;0;6;0;0;0;0;3;0;3;0;0
;;3;Gündüz, K.;498;63;21;3;7;0;5;1;3;4;2;2;56;30;7;15;28;138;7;0;23;11;15;1;1;1;1;17;2;0;0;1;29;0;0;4;0
;;4;Top-Stevanović, T.;293;18;6;16;9;8;10;0;1;14;5;14;3;10;5;18;7;12;10;2;20;17;5;2;5;6;6;13;4;2;8;2;13;3;9;8;2
;;5;Polfliet, T.H.;17;1;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;2;1;0;1;1;0;0;1;0;0;0
;;6;Berghuis, R.;112;12;1;7;0;6;4;0;1;1;2;5;2;2;2;6;0;2;8;1;8;9;6;1;2;1;1;1;2;1;2;0;4;4;3;3;2
;;7;Donders, P.T.H.;30;1;1;0;0;0;0;0;0;0;0;0;0;0;1;6;0;2;1;0;1;0;6;0;0;2;0;1;1;1;0;0;1;3;0;2;0
;;8;Janssens, F.J.G.;12;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0
;;9;Remmé, A.C.M.;19;2;0;0;0;0;0;0;0;1;0;2;0;1;0;2;1;0;1;0;0;0;1;2;0;1;0;1;0;0;1;0;1;1;1;0;0
;;10;Verstoep, W.;19;1;0;1;0;2;2;0;0;0;0;1;0;0;0;1;1;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
9;Burgerbelangen Soest-Soesterberg;;;1063;68;27;13;24;31;14;0;6;34;32;35;6;12;18;63;19;11;39;9;50;47;55;52;65;44;62;40;14;15;7;18;40;25;29;12;27
;;1;Baks, J.A.;525;46;18;7;13;16;4;0;1;19;22;17;3;4;11;41;9;2;27;5;36;27;30;9;6;12;12;29;9;11;1;3;26;17;21;7;4
;;2;Wijnalda, P.;86;2;0;0;0;1;1;0;0;1;1;0;0;0;0;0;3;0;0;1;2;1;2;7;21;5;19;3;0;1;1;2;0;1;0;2;9
;;3;Bruil, M.;184;5;5;3;4;4;5;0;2;4;3;5;1;2;4;6;3;2;3;0;3;4;8;26;19;22;15;1;0;0;1;5;4;1;1;0;13
;;4;Croes, R.;40;2;0;0;1;4;1;0;0;1;0;0;1;2;2;3;0;1;2;0;2;3;4;0;0;1;0;1;2;1;1;0;1;1;3;0;0
;;5;Kartal, A.C.;42;2;1;0;1;1;2;0;1;0;0;4;0;2;0;3;3;4;1;0;1;7;3;0;0;0;0;0;1;1;1;0;2;0;1;0;0
;;6;Vos, R.;36;3;1;0;2;2;0;0;0;0;1;1;0;1;0;0;0;1;0;0;4;0;7;2;2;1;3;0;0;0;1;1;1;0;0;1;1
;;7;van Vliet, J.W.;92;7;2;3;3;0;1;0;2;6;5;7;1;0;1;8;1;1;6;3;2;4;0;0;2;0;1;6;2;1;1;0;6;5;3;2;0
;;8;Wijnalda, E.;17;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;3;2;5;0;0;0;0;2;0;0;0;0;0
;;9;Buis, P.A.;41;0;0;0;0;3;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;1;7;12;1;7;0;0;0;0;5;0;0;0;0;0
10;POS;;;2275;43;18;10;24;20;20;1;1;26;25;24;14;13;9;39;18;16;25;11;23;31;31;247;300;233;508;20;9;6;7;187;30;18;17;13;238
;;1;Stormbroek, G.H.E.J.;959;23;13;4;8;11;13;1;0;7;11;13;5;9;3;21;11;10;12;5;13;14;17;99;133;89;194;11;6;3;6;80;10;7;4;10;83
;;2;Schotman, T.N.;145;2;2;0;2;1;0;0;0;2;1;2;2;0;0;2;3;0;0;0;1;2;4;20;14;6;37;1;0;1;1;17;5;1;1;0;15
;;3;van der Linden, I.;660;13;1;5;11;7;3;0;1;11;6;8;5;2;3;10;3;2;8;3;5;11;7;69;78;75;134;7;2;1;0;63;10;5;6;3;82
;;4;Postma, T.J.;34;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;5;3;5;8;0;0;0;0;2;1;1;2;0;2
;;5;Versteege, J.B.;43;0;0;0;0;0;0;0;0;3;5;0;1;0;1;0;0;1;1;0;0;0;0;6;1;2;13;0;0;0;0;3;0;2;1;0;3
;;6;Heijbroek, R.J.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;3;0;8;0;0;0;0;1;0;0;0;0;1
;;7;Janssen, M.C.W.M.;24;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;2;4;1;4;0;0;0;0;1;2;0;0;0;5
;;8;Dercksen, G.P.;67;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;4;11;34;0;0;0;0;0;1;1;0;0;11
;;9;Peereboom, K.P.J.;134;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;21;28;21;33;0;0;1;0;11;0;0;0;0;11
;;10;Strengers, M.M.;193;4;1;1;3;0;2;0;0;3;2;1;0;1;2;2;1;3;1;2;1;3;0;21;32;23;43;1;1;0;0;9;1;1;3;0;25
