Verkiezing;;Gemeenteraad Bunnik 2022;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;
Gebied;;Gemeente Bunnik;;;;;;;;;;;;;;
Nummer;;0312;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Prikkebeen;De Stevenshoek;De Stevenshoek (maandag);De Stevenshoek (dinsdag);Barbarakerk;Dagkerk Odijk;Sporthal, Dorpshuis Odijk;Sporthal, Dorpshuis Odijk (maandag);Sporthal, Dorpshuis Odijk (dinsdag);Rijnzaal;Rijnzaal (maandag);Rijnzaal (dinsdag)
Gebiednummer;;;;;3;9;10;11;13;14;16;17;18;20;21;22
Postcode;;;;;3981 WC;3985 SB;3985 SB;3985 SB;3981 AD;3984 JA;3984 MA;3984 MA;3984 MA;3981 GD;3981 GD;3981 GD
;;5;Maijer, K.A.;15;2;0;1;1;3;2;0;1;0;4;1;0
;;6;Hoff, R.G.;40;2;2;0;0;1;16;3;3;8;2;1;2
;;7;Suijker-van Werkhoven, I.C.H.;80;2;11;1;0;5;23;10;7;6;8;4;3
;;8;Bloemsma, P.;16;0;0;0;0;1;2;2;0;0;2;5;4
;;9;Younes, A.;45;5;0;0;0;8;3;2;0;0;20;1;6
;;10;Plancken, B.C.;27;1;3;0;0;2;2;4;4;0;5;1;5
;;11;Wajer, B.G.;3;0;0;0;0;1;0;0;0;0;0;0;2
;;12;de Groot, S.A.;3;0;0;0;0;1;0;0;0;0;2;0;0
;;13;van Maanen, F.;26;1;1;0;0;2;5;1;0;0;12;2;2
;;14;Zwanenburg, W.;4;0;0;0;0;1;0;0;0;0;1;0;2
;;15;Bijl, E.J.;36;0;25;2;7;0;1;0;0;0;1;0;0
;;16;Gielens, M.J.M.;10;0;0;0;0;4;0;0;0;0;5;0;1
;;17;Hoefnagels, N.J.P.;14;1;0;0;0;5;1;0;0;1;6;0;0
;;18;Scholten, P.C.;10;0;0;0;0;1;0;0;0;0;4;2;3
;;19;Boelaars, I.A.;23;0;0;0;0;2;5;11;1;1;2;0;1
;;20;Hoitink, H.J.;12;2;0;0;0;5;2;1;0;0;1;1;0
4;VVD;;;1549;96;157;31;42;121;244;240;106;138;188;100;86
;;1;van den Berg, T.T.;843;48;100;20;27;47;136;121;69;87;93;41;54
;;2;de Vries, M.H.;144;23;8;0;0;30;10;4;2;6;41;15;5
;;3;de Boer-Te Lintelo, M.A.;229;11;27;2;8;6;58;50;16;17;17;8;9
;;4;Pouw, F.C.M.;58;0;2;0;1;1;5;27;6;8;3;4;1
;;5;Trapman, E.G.J.H.;16;1;0;0;0;0;5;8;0;2;0;0;0
;;6;de Boer, B.F.;23;4;2;1;0;7;1;0;0;0;1;5;2
;;7;Shem-Tov, Y.;17;0;0;0;0;3;3;0;2;1;3;3;2
;;8;van der Beek, C.J.;49;1;10;6;2;4;5;6;0;4;4;6;1
;;9;Goes, E.C.M.;60;3;2;0;3;2;10;13;5;9;6;7;0
;;10;Wensing, M.W.A.;11;0;1;0;0;1;0;5;2;1;1;0;0
;;11;Aben, B.G.;7;1;1;0;0;2;0;0;0;0;0;1;2
;;12;Boekhout, M.E.I.;29;0;3;1;1;2;6;6;3;2;2;2;1
;;13;Lucassen, J.A.J.;63;4;1;1;0;16;5;0;1;1;17;8;9
