Verkiezing;;Gemeenteraad Houten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Houten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;RKBS Van Harte School;Zalencentrum Rest. De Engel;App. complex Op Houten;OBS De Bijenkorf;RKBS De Zevensprong;Stichting Het Lokaal;Gymzaal De Velduil;OBS De Velduil;Sociaal Cultureel Centrum De Ploeg;Sociaal Cultureel Centrum De Wiese;Sociaal Cultureel Centrum 't Gebouw;RKBS De Vlinder;Het Kruispunt;Wijkcentrum de Vuurtoren;RKBS Aventurijn;Wijkcentrum Schoneveld;OBS De Plantage;Sporthal de Wetering;The Dome;Bibliotheek Houten-Centrum;Gemeentehuis;App.complex Op Houten;Wijkcentrum de Vuurtoren;Wijkcentrum Schoneveld;Sporthal de Wetering;The Dome;Gemeentehuis;App.complex Op Houten;Wijkcentrum de Vuurtoren;Wijkcentrum Schoneveld;Sporthal de Wetering;The Dome
;aangetroffen stembiljetten;;;23312;1411;830;510;560;906;1370;662;892;882;333;925;412;1165;778;782;452;1584;934;375;410;315;1113;450;444;538;230;300;1347;494;517;740;283;368
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;2149;108;96;43;42;51;93;35;65;62;37;265;48;119;78;81;44;159;67;34;35;21;69;56;47;45;20;19;95;49;41;76;19;30
;;1;Pelleboer, R.M.;920;44;44;26;21;26;40;18;18;31;17;65;22;42;40;32;22;75;26;18;20;17;28;36;17;17;14;8;43;23;14;36;6;14
;;2;Boersma - Zandbergen, W.;394;25;16;4;7;9;12;8;18;15;3;19;2;20;11;12;13;36;25;6;6;0;25;4;14;8;4;1;22;8;9;19;8;5
;;3;de Heer, C.;63;6;2;2;3;1;8;1;4;2;0;1;0;3;5;4;0;3;1;1;0;0;3;4;0;1;0;2;0;3;0;2;0;1
;;4;Hageraats, S.;104;5;7;1;1;1;4;0;7;1;0;34;8;10;6;1;1;1;1;0;0;3;0;0;1;1;0;0;3;2;2;1;1;1
;;5;de Winter, H.P.;55;2;1;3;3;2;9;1;1;0;0;2;2;5;0;3;1;3;1;0;1;0;0;0;0;3;0;1;3;0;0;6;0;2
;;6;Boshuis, W.;33;2;2;1;0;4;6;1;2;0;0;0;0;3;0;2;0;2;1;0;0;0;0;1;0;0;0;0;0;1;0;3;0;2
;;7;Hoekstra, E.;29;3;0;0;1;0;1;1;4;0;0;0;0;4;1;2;0;2;0;0;0;0;1;1;1;3;1;0;1;1;1;0;0;0
;;8;van Rooijen, J.P.;60;1;2;3;3;0;0;1;2;0;2;4;0;8;1;5;3;6;1;5;2;0;0;1;3;1;1;0;0;0;3;0;2;0
;;9;van Asselt, E.J.;28;2;0;0;2;3;4;0;1;3;0;0;0;0;1;2;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;2;2
;;10;van Wijk, W.A.M.;59;1;3;1;0;0;1;0;2;0;11;15;0;7;1;0;0;0;1;2;0;0;2;2;3;1;0;1;0;2;2;1;0;0
;;11;de Jong - van Dijk, W.J.;109;2;6;0;1;1;5;3;4;4;1;8;0;7;7;7;2;11;4;0;1;1;8;1;3;3;0;1;12;1;4;1;0;0
;;12;Speld, J.;17;1;0;0;0;0;0;1;0;1;0;9;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1
;;13;van de Bovenkamp, A.;20;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5;1;2;2;0;3;0;0;0;0;1;0;0;0;0;3;0;0;1
;;14;van Kooten, T.;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0
;;15;Boersma, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Boer, T.A.;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Rooijen, J.J.;8;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0
;;18;Pol, E.;4;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Miltenburg, E.J.;16;1;2;0;0;0;0;0;0;0;1;3;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;2;1;1;0;0;0;0
;;20;Steenwelle, E.L.T.W.;13;1;0;1;0;1;1;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
;;21;Venema, E.C.F.;11;2;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;22;Strooper, F.J.A.M.;3;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Manschot, H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;24;Vulto, H.T.J.;66;1;0;0;0;0;0;0;0;1;0;48;5;1;1;0;0;1;0;0;1;0;0;0;0;0;0;2;4;0;0;1;0;0
;;25;Adriaanse, W.P.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;26;Blume, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Roepers, M.;12;0;1;0;0;1;0;0;0;1;0;1;0;3;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0
;;28;de Reuver, J.J.;22;3;0;1;0;0;1;0;0;1;0;0;0;0;0;2;0;6;0;2;0;0;0;0;0;1;0;0;0;3;0;2;0;0
;;29;van Delden, J.;6;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;30;Gerritsen, C.M.J.;85;3;7;0;0;0;1;0;0;0;0;51;8;0;2;2;0;2;1;0;0;0;1;1;0;0;0;0;0;1;1;4;0;0
2;GROENLINKS;;;2642;210;85;47;65;140;161;79;134;132;18;49;24;132;81;73;40;182;91;33;51;72;130;24;41;66;18;35;181;33;66;78;24;47
;;1;de Groot, H.S.;1402;102;44;20;39;62;72;35;71;73;13;25;16;61;37;42;22;103;49;17;33;40;64;13;26;35;8;26;110;22;39;45;11;27
;;2;van Erp, S.;650;55;20;18;15;42;47;26;34;33;1;4;4;37;26;15;9;41;21;9;13;19;31;8;9;20;6;6;28;2;17;14;6;14
;;3;Lobbrecht, J.E.;98;10;3;2;1;3;1;3;4;3;0;16;4;5;3;3;1;4;5;1;1;1;5;0;1;0;2;1;7;0;3;3;1;1
;;4;Jimmink, D.J.P.;80;5;5;1;3;3;3;2;4;3;2;1;0;6;3;2;1;7;3;0;0;1;1;0;3;2;1;1;7;4;1;2;1;2
;;5;van Telgen, T.J.;141;13;6;3;3;6;14;3;7;5;0;0;0;2;5;7;3;8;5;3;1;4;15;1;1;2;1;0;9;1;2;7;3;1
;;6;Gritter, J.;67;6;2;0;1;8;8;4;4;5;0;1;0;3;0;0;1;4;1;1;1;2;2;1;1;1;0;1;4;2;1;1;0;1
;;7;Veldkamp, H.F.;24;2;1;0;0;0;3;1;1;4;0;0;0;1;1;1;1;2;0;0;0;0;1;0;0;0;0;0;4;0;0;1;0;0
;;8;van der Meer, A.M.;39;2;1;1;0;2;0;2;5;0;1;1;0;5;2;0;1;3;4;0;0;1;2;0;0;2;0;0;2;0;0;0;1;1
;;9;Letter, M.J.;44;7;0;0;0;4;7;1;1;1;0;0;0;3;1;2;0;2;1;2;0;1;5;0;0;0;0;0;2;0;2;1;1;0
;;10;Cuijpers, M.D.;14;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;2;0;0;1;0;1;0;0;1;0;0;2;1;1;1;0;0
;;11;Nipius, J.A.;23;2;0;0;1;9;2;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0
;;12;Damman, M.H.;30;2;2;1;0;1;1;1;2;4;0;0;0;3;2;0;1;2;0;0;1;1;2;1;0;0;0;0;2;1;0;0;0;0
;;13;Engels, G.L.C.;16;2;0;1;1;0;3;0;0;0;0;1;0;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;14;van Zuijlen, E.J.;14;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;3;0;0;1;0;0;3;0;0
3;Inwonerspartij Toekomst Houten;;;5109;289;157;124;136;185;368;166;225;178;63;98;33;217;173;167;86;313;239;91;85;48;288;128;98;124;59;73;327;133;112;179;69;78
;;1;Zandbergen, W.E.;2681;150;87;69;79;91;173;86;112;90;34;49;23;108;71;83;39;165;123;54;41;28;173;83;53;68;29;43;173;85;57;93;32;37
;;2;Kasius, S.N.;181;8;4;4;2;5;10;6;12;8;1;1;2;9;12;5;1;6;10;4;3;3;13;6;3;2;1;2;11;3;4;7;3;10
;;3;Zwijsen, S.D.;1367;86;27;27;35;56;122;48;55;54;13;22;4;52;57;50;30;103;72;25;31;11;65;20;26;24;19;20;80;24;22;56;12;19
;;4;Honkoop, M.;90;6;0;3;4;3;12;0;3;7;0;3;0;2;6;3;1;5;4;1;2;0;2;3;4;2;0;0;8;0;3;2;1;0
;;5;van der Meij, F.G.J.;45;2;0;2;0;1;2;2;4;3;0;3;0;3;1;1;0;0;6;0;1;0;2;0;1;3;1;0;2;0;1;3;1;0
;;6;Coenen, M.W.A.;170;7;7;2;2;5;15;4;8;9;0;2;0;19;3;2;4;8;7;2;1;2;8;5;3;5;3;4;15;2;4;5;5;2
;;7;van Doorn - van Bijlevelt, J.C.W.;185;11;6;6;6;6;8;5;7;3;8;0;0;2;2;8;4;8;4;0;2;1;12;7;4;10;3;0;17;9;10;5;8;3
;;8;Reeze, A.A.;75;5;5;5;5;6;6;2;2;0;0;1;0;3;2;3;1;3;2;0;1;0;3;2;0;0;3;0;4;6;1;1;2;1
;;9;van Oudheusden-Titsing, F.;55;1;2;2;1;0;2;1;2;2;1;0;0;4;5;3;2;1;6;0;2;1;3;1;1;0;0;3;3;0;4;1;0;1
;;10;Huntelaar, I.;46;3;4;0;0;2;3;4;10;0;0;1;0;1;2;4;0;1;0;2;0;0;1;0;0;2;0;0;2;2;1;1;0;0
;;11;Maas, F.A.;11;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0
;;12;Bosch, F.C.;14;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;0;0;3;0;0;0;1;0
;;13;van Emmerik, M.C.M.;37;1;2;1;0;0;4;1;1;0;3;15;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1
;;14;Vernooij, R.G.;29;2;0;0;0;1;3;0;4;2;2;0;0;1;4;0;2;0;0;0;0;1;0;0;0;3;0;1;3;0;0;0;0;0
;;15;Puijk, H.;27;1;5;0;0;6;3;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;2
;;16;Florijn, A.;21;3;1;1;0;0;0;0;3;0;0;0;0;6;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;2;0;0
;;17;Ouwens, W.J.N.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;18;Puijk, J.;8;0;4;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;19;Altena, P.;62;2;3;2;1;3;4;4;1;0;1;0;0;6;6;2;0;4;5;2;1;0;3;1;0;2;0;0;2;0;1;2;2;2
4;VVD;;;2473;87;100;63;54;68;90;47;60;64;61;138;39;189;86;126;87;187;151;48;51;21;64;34;63;76;35;38;90;39;70;72;31;44
;;1;Stiekema, E.G.J.;1509;53;49;42;34;40;57;30;35;36;50;82;24;122;58;83;52;111;90;24;33;15;35;15;45;48;26;20;48;26;44;44;17;21
;;2;Rinkel, J.C.;61;3;2;0;0;3;2;2;2;1;1;1;0;4;3;0;3;2;3;2;4;1;1;0;0;5;1;2;6;0;4;1;1;1
;;3;Hadi, A.;53;3;2;0;0;0;2;0;2;0;0;0;0;6;0;3;1;5;0;0;0;0;6;0;2;0;1;2;10;2;0;3;2;1
;;4;Paling, R.W.;51;1;3;1;0;2;3;1;1;1;2;1;0;2;2;0;3;3;2;5;1;0;4;3;0;2;0;0;4;1;0;1;1;1
;;5;Vis, R.C.P.;99;7;10;2;6;2;2;1;1;2;2;9;0;4;1;4;0;3;10;4;3;0;3;4;0;2;2;1;4;4;2;1;1;2
;;6;Verbeek, B.A.R.;407;8;24;14;8;16;18;7;9;19;3;16;12;31;14;17;16;36;33;6;5;3;6;4;6;12;3;6;11;1;16;7;6;14
;;7;Cox, M.H.T.;21;1;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;5;1;0;1;0;0;0;1;0;0;3;0;0;0;1;0;0
;;8;Kuijpers, S.A.;87;3;5;1;0;2;4;2;7;1;1;0;1;8;2;2;4;8;3;2;1;0;2;1;2;3;2;1;3;2;2;6;3;3
;;9;van Doorn, R.M.;30;4;0;1;0;1;0;0;1;0;0;2;0;4;0;3;1;1;1;0;1;0;0;0;3;2;0;1;0;0;2;2;0;0
;;10;Honkoop, R.S.;5;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Dijk-Hessing, Y.;33;1;1;2;0;0;2;3;1;1;0;0;1;3;3;3;1;1;1;0;1;0;3;0;1;0;0;2;1;0;0;1;0;0
;;12;van de Zandschulp, G.B.;37;2;2;0;4;0;0;1;0;0;0;2;0;1;2;1;0;1;2;1;1;2;2;7;0;2;0;0;0;1;0;3;0;0
;;13;Geerdes, H.J.C.;80;1;0;0;1;2;0;0;1;1;2;24;1;4;1;6;4;11;5;3;0;0;2;0;3;0;0;0;3;2;0;2;0;1
5;D66;;;3184;212;118;58;62;115;157;77;132;185;11;81;17;234;95;114;78;247;183;53;66;54;113;46;62;60;27;47;166;42;80;89;36;67
;;1;van Gooswilligen, M.A.;924;58;35;11;21;41;52;16;40;62;2;22;6;62;28;30;17;76;43;16;21;12;43;16;22;22;8;10;53;11;15;22;14;17
;;2;Boonzaaijer, J.M.;1113;63;46;22;19;33;56;24;41;53;4;25;5;107;39;37;35;90;70;13;19;17;36;21;22;15;12;14;55;15;30;38;15;22
;;3;Groenveld, J.A.;131;5;1;5;0;6;8;7;2;7;1;2;0;10;4;8;4;6;3;2;2;2;5;0;4;6;1;7;5;1;4;6;0;7
;;4;Staman, J.J.;193;17;5;5;8;10;11;7;13;9;0;6;1;5;7;6;3;13;6;4;5;4;5;2;1;4;2;4;10;2;6;5;4;3
;;5;Werelds, M.;479;41;18;8;8;14;11;8;23;42;4;8;1;30;11;22;12;34;34;10;13;11;14;4;7;7;4;7;27;4;16;10;0;16
;;6;Kreike, G.;16;0;2;1;0;0;0;2;1;1;0;2;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0
;;7;Stroomberg, B.J.;40;3;3;0;1;2;2;4;1;0;0;0;0;2;2;0;0;5;3;2;1;1;0;0;1;0;0;0;3;2;1;0;1;0
;;8;Visser, K.M.;37;4;1;0;2;2;6;2;2;0;0;0;1;0;1;3;0;1;2;1;2;1;1;1;1;0;0;1;1;0;1;0;0;0
;;9;Slagmolen, V.;5;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Slijkhuis, A.Y.;45;2;1;1;0;1;5;1;1;1;0;3;0;5;0;3;1;6;3;1;1;0;1;0;0;2;0;0;1;1;1;1;1;1
;;11;van der Ven, H.W.F.;46;3;0;0;0;1;2;1;3;5;0;1;0;5;0;3;2;2;3;0;0;1;2;0;2;0;0;0;4;0;3;3;0;0
;;12;Stal, C.P.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;13;Snijder, M.;19;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;3;0;0;1;0;0;0;0;0;1;0;0;0;1;0
;;14;Bosman, A.;15;2;0;0;1;0;0;1;0;0;0;2;0;1;1;0;0;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;van Luling, E.;6;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Strengholt, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
;;17;van Vliet, E.W.O.;10;2;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;van Liere, M.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;19;Matton-Naderman, W.L.J.M;15;0;0;1;0;0;0;0;0;0;0;8;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1
;;20;van Beugen, B.;44;4;2;2;1;2;2;0;2;2;0;2;0;3;2;0;1;2;2;1;1;0;3;1;0;1;0;1;1;5;0;1;0;0
;;21;Wielenga, G.K.;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Gorter, R.;4;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Yaghi, G.;23;6;2;1;0;2;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;3;0;0;0;0;0;0;2;0;0;1;0;0
;;24;Manders, H.J.H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Engel, G.L.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
;;26;van Zijst, J.;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
6;ChristenUnie;;;1185;72;26;28;37;39;74;48;44;49;10;21;10;51;75;44;16;80;30;8;20;22;48;26;24;30;4;17;84;31;33;46;8;30
;;1;van Rees, A.;561;30;12;12;21;17;40;26;18;23;3;10;7;24;26;14;8;42;15;6;10;11;26;13;9;12;2;7;45;15;16;25;1;15
;;2;Deelstra, H.D.;38;3;0;1;0;1;1;0;3;2;0;0;1;3;4;3;0;3;0;0;1;0;0;1;2;0;0;1;3;1;3;1;0;0
;;3;Stam, P.C.;134;10;4;3;1;2;9;0;3;3;2;0;0;11;15;10;3;2;7;0;2;3;5;2;7;4;0;0;9;3;8;2;3;1
;;4;Witzier-van Geest, E.M.;118;4;3;1;4;7;11;5;6;10;1;2;0;4;3;7;2;8;2;0;4;1;4;0;0;5;0;3;4;2;2;5;2;6
;;5;Zekveld, M.;18;1;0;1;3;0;0;3;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;1;3;0;0
;;6;Soldaat, R.F.;19;3;0;2;0;1;0;0;1;1;1;2;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1
;;7;Zuur-van Delden, J.L.;79;10;0;3;4;3;3;6;5;3;0;0;0;2;6;1;0;8;0;2;0;1;3;2;0;0;1;3;5;2;0;4;0;2
;;8;Tel, M.;15;0;2;2;0;0;2;1;1;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0
;;9;Vonck, D.;33;2;3;1;0;1;1;1;0;1;2;7;2;0;2;0;1;0;2;0;0;0;2;0;0;0;0;0;2;0;1;2;0;0
;;10;Bijleveld, W.;42;1;0;0;0;3;2;2;1;3;1;0;0;1;3;3;0;7;0;0;0;3;2;1;2;4;0;0;2;0;0;1;0;0
;;11;Plantinga, H.E.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Beijer-Janse, C.T.;10;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1
;;13;van Pelt, A.;21;0;0;1;1;0;1;2;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;7;0;0;0;0;3;0;0;0;1;0
;;14;van der Schot, J.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Liefting, A.;21;3;0;0;1;1;1;0;3;1;0;0;0;1;1;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1
;;16;Zwemer, I.J.;11;0;0;1;1;0;1;0;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0
;;17;Dreve, M.A.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;18;Pijnacker Hordijk, M.H.;12;1;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;2
;;19;Riepma-Heusinkveld, C.;28;2;0;0;1;0;1;1;0;0;0;0;0;1;2;5;0;0;0;0;0;0;3;0;4;2;0;1;2;3;0;0;0;0
;;20;Antuma, A.R.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;21;de Romph, A.C.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;22;Dijkstra, F.G.C.;6;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
;;23;Voorberg, C.Z.;8;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
7;Partij van de Arbeid (P.v.d.A.);;;1172;105;36;22;39;80;62;45;52;49;3;31;9;32;38;42;18;65;30;16;18;12;80;25;23;23;16;15;79;27;27;28;18;7
