Verkiezing;;Gemeenteraad Amersfoort 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Amersfoort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Brink;Sporthal De Dissel;Sporthal De Dissel;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Gemeentehuis;De Observant;Sporthal Icoon;Sporthal Icoon;ABC-school De Bron;Adventkerk;Apostolisch Genootschap;Boogkerk;Burgemeester Molendijkflat;Café De Plank;De Faam;De Schaapskooi;Feefa;Fluor poppodium;Gymzaal Ariaweg;Gymzaal Dopheide;Gymzaal Dopheide;Gymzaal Lyceum De Amersfoortse Berg;Gymzaal Lyceum De Amersfoortse Berg;IKEA Drive-In;Kerkgebouw Het Brandpunt;Kindcentrum Vlinderslag;Martuskerk;Nieuw-Apostolische Kerk;Orthodoxe Parochie;Overseldert;Parkschool;Mobiel Stembureau Het Pluspunt;Prins Willem III-flat;Schoolgebouw de Baander;Schoolgebouw De Dubbelster;Schoolgebouw De Gondelier;Kindcentrum de Kei;Schoolgebouw De Zonnewijzer;Schoolgebouw GSG Guido vmbo;Schoolgebouw GSG Guido vmbo;Seniorenflat Otto Scheltus;Sociëteitsruimte Seniorenflat;Sporthal Rustenburg;Sporthal Rustenburg;Sporthal Zielhorst;Sporthal Zielhorst;Sint Ansfriduskerk;Undineflat;Verenigingsgebouw Juliana en Bernhard;A.K.V. Trefpunt Bokkeduinen;Westerkerk;Wijkcentrum Het Klokhuis;Zon en Schild;Woon- en zorgcentrum De Koperhorst;Houtrust;Restaurant de Hebberd;Schoolgebouw De Malelande;De Eemgaarde;Meander Medisch Centrum;Emmauskerk;Emmauskerk;Theater De Flint (Cultuurhuis);Station NS Hoofdingang;Da Vinci Eemland;bijgebouw Mevlana moskee;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Mobiel stembureau 1;Mobiel stembureau 2;Mobiel stembureau 3
;;9;Banaś, C.;160;7;7;5;0;0;1;2;0;0;4;1;1;6;0;1;1;3;1;0;1;1;7;0;1;1;0;0;0;0;4;4;3;3;0;2;0;3;0;1;0;0;1;1;0;0;2;0;0;5;1;2;2;2;0;0;4;3;0;0;1;2;1;1;2;1;1;3;1;0;1;0;1;0;0;4;0;0;1;1;2;5;0;0;1;1;0;0;0;1;0;7;0;0;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;7;2;1;0;0;1;1;0;0;0;0;1;2;0;0;2;1;0;0;0;0;2;0;0;0;0
;;10;van Gellekom, B.;153;7;0;2;8;1;0;1;1;1;4;5;0;1;1;0;2;0;1;0;2;0;1;1;3;1;0;0;1;0;0;0;2;3;0;0;1;0;2;4;2;1;0;1;0;0;8;1;0;0;0;1;0;1;1;0;1;1;0;1;1;3;0;1;2;0;1;6;0;1;0;0;0;0;0;0;0;1;1;6;5;0;1;0;0;2;0;0;12;5;3;0;3;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;6;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;3;0;2;0;0;0
;;11;Karsten, A.H.;228;4;3;0;0;0;1;2;0;0;1;1;1;2;12;14;7;2;4;2;0;1;1;1;3;2;1;1;1;0;2;0;3;0;3;1;0;1;1;3;0;2;9;22;0;0;4;0;3;2;2;2;2;4;1;3;1;1;0;0;2;3;0;3;2;1;2;6;2;0;2;0;0;1;1;3;1;0;0;1;3;0;2;0;0;2;1;0;1;1;0;3;0;0;1;0;0;0;0;0;0;1;0;0;1;2;5;0;0;0;0;0;0;0;0;0;0;3;0;1;1;1;0;1;0;0;2;1;7;9;1;1;0;1;4;0;0;0;0;1;0;0;2
;;12;van Westerlaak, A.;47;3;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;1;0;0;11;0;0;0;0;0;0;0;0;0;2;0;4;0;1;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;13;de Kok, F.A.C.;55;0;3;2;2;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;0;0;0;1;1;0;2;0;1;2;0;1;0;1;0;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0
;;14;Borsten, M.W.;266;4;1;7;0;1;7;4;0;4;1;2;0;5;3;2;2;3;4;2;1;0;0;6;5;1;6;3;0;0;2;1;2;4;1;2;1;3;3;2;8;2;1;6;2;1;1;1;2;0;1;3;0;11;0;4;1;1;0;6;3;2;0;7;3;0;0;0;3;3;0;0;0;6;2;3;2;3;2;1;7;2;0;2;0;1;3;0;3;2;3;0;0;0;2;2;1;1;4;1;0;0;2;0;3;0;0;0;0;0;3;0;1;1;1;1;0;1;2;1;0;7;1;3;1;1;0;1;1;2;0;1;4;1;2;0;0;3;1;0;0;0;1
;;15;Melis, S.M.W.H.;102;1;3;3;0;0;2;1;0;0;0;2;1;3;2;1;0;0;1;1;0;1;2;2;0;0;0;2;0;1;3;0;1;0;1;1;0;4;0;1;0;0;0;0;0;0;1;0;2;1;0;0;0;2;0;3;0;12;2;1;1;0;0;0;2;1;0;0;1;1;0;1;0;0;0;2;0;0;0;1;1;0;1;1;0;3;1;0;0;2;1;5;0;0;2;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
;;16;Bosman, T.P.;91;0;0;2;0;0;1;0;0;0;9;2;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;1;1;0;1;0;2;0;0;1;0;1;2;0;0;0;0;2;1;1;0;2;6;2;1;4;0;1;1;0;0;1;1;0;0;1;2;3;0;0;0;0;1;3;2;1;0;2;2;0;0;0;0;0;0;0;0;0;4;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;2;0;0;0;0;0
;;17;van Lieshout, J.W.;63;3;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;1;0;1;2;0;0;0;2;1;1;1;0;0;0;1;5;0;0;0;0;0;4;0;0;0;1;2;0;0;0;0;1;0;1;0;0;1;0;0;0;4;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0
;;18;van der Borch tot Verwolde, R.A.D.;31;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Houwing, A.;21;0;0;1;0;0;0;1;1;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;20;Kauffman, M.;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;Chidi, H.;65;1;1;1;0;0;0;1;1;0;0;2;0;2;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;3;0;1;0;2;3;0;4;0;1;1;0;0;0;0;2;2;0;0;0;1;1;0;0;0;3;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;3;1;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;22;Huijdts, L.A.M.G.;11;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;23;Lamminga, J.H.;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van der Vlist, W.P.H.;23;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Blaauwgeers, B.A.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Dijkstra, I.;32;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;3;1;2;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;27;Happe, J.F.P.M.;18;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;28;Albada, A.;17;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Oosterhuis, H.;9;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Zijp, I.;28;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;31;van Dijk, J.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Bijsmans, L.A.G.;12;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Stegeman, W.J.;26;1;0;0;0;4;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Baas, J.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;35;Veldhuis, G.L.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;36;Barendregt, M.C.;33;2;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;37;Koşer-Kaya, F.;95;2;1;0;0;0;0;0;1;0;3;1;3;1;1;0;1;2;2;1;2;2;0;2;0;0;3;0;0;0;1;1;0;1;1;0;0;1;1;0;2;0;0;4;0;0;2;1;1;0;1;1;0;1;0;2;0;1;1;0;0;2;0;0;0;1;0;0;1;1;0;0;0;2;0;1;1;0;0;2;3;0;0;1;0;0;0;1;4;0;1;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;1;0;0;0;0;0;1;1;2;0;1;1;0;1;2;0;0;1;1;0;0;0;0;0
;;38;Verhoeven, K.;26;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;4;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;39;van Hamersveld, T.J.T.;581;2;2;3;0;0;4;2;3;1;3;2;1;2;5;3;4;4;2;63;61;71;1;0;4;2;2;1;0;0;1;4;2;2;0;5;2;10;0;0;2;0;1;5;0;0;0;0;0;2;1;0;0;4;1;1;0;0;0;2;5;0;0;0;6;0;1;5;3;3;0;0;0;0;4;1;0;0;0;1;3;1;1;45;6;2;0;0;2;5;2;2;0;2;1;0;2;0;2;0;1;0;0;1;3;0;1;1;41;0;0;0;0;0;0;5;1;1;2;2;1;1;4;4;1;1;0;1;1;1;7;80;0;4;4;0;1;4;4;5;0;0;0
2;VVD;;;7208;240;64;95;27;10;47;44;48;32;75;31;44;73;82;49;78;165;169;63;57;90;42;37;94;94;100;52;24;17;34;100;79;48;26;96;84;171;22;35;96;68;47;155;32;21;19;26;79;61;45;38;31;110;56;60;66;23;32;32;64;75;10;99;156;10;42;77;50;45;70;12;24;34;36;97;30;56;6;22;141;18;56;35;64;76;73;9;38;28;39;61;17;5;85;32;48;20;21;22;13;33;34;19;19;36;32;38;44;18;43;48;6;8;42;14;27;111;34;49;18;30;26;24;28;34;36;31;33;41;95;48;23;64;71;11;16;56;25;31;22;12;27
;;1;Kraanen, C.W.;3755;118;37;43;18;3;27;27;23;19;34;15;19;28;41;20;37;67;88;36;28;45;21;18;53;50;57;27;10;7;17;41;42;22;9;46;29;82;10;16;51;38;26;87;14;13;9;11;44;35;18;16;17;59;25;31;26;16;21;14;33;39;6;37;78;7;20;39;27;28;43;8;13;26;25;38;16;32;3;14;75;9;42;20;38;35;54;3;19;19;23;35;8;3;48;18;33;10;13;17;6;14;18;9;10;20;14;19;27;9;26;25;4;4;23;9;16;64;20;31;8;20;17;12;15;19;17;15;14;25;44;30;13;33;46;9;9;21;12;15;16;12;10
;;2;Flikkema, M.B.;263;5;1;7;1;0;0;2;5;0;3;0;0;2;1;1;0;9;5;0;1;1;3;2;3;3;7;3;1;0;1;7;5;5;2;2;4;6;0;2;3;3;3;4;1;1;1;1;5;2;3;0;0;2;3;1;3;0;0;2;5;3;1;3;7;1;4;5;3;4;3;0;1;1;2;1;0;1;0;0;6;0;1;0;1;2;0;0;1;1;2;1;2;0;1;2;1;0;0;0;1;2;3;0;1;0;1;2;2;3;2;1;0;0;2;2;1;4;2;1;2;1;0;0;3;1;0;1;1;3;4;2;0;1;0;0;0;3;3;4;0;0;0
;;3;Huurman, J.E.;1658;61;15;26;1;2;6;10;12;9;25;12;11;26;10;14;14;49;40;13;17;26;13;10;18;23;24;14;8;7;5;30;19;11;7;22;31;42;8;12;22;14;4;25;8;2;4;5;16;15;17;15;6;22;10;15;17;1;5;9;19;14;3;28;37;2;12;23;9;6;14;3;6;4;8;31;7;7;1;4;35;4;7;6;13;23;6;5;7;4;9;12;3;1;17;6;10;2;3;1;3;11;6;6;3;4;6;10;9;4;9;11;2;1;6;1;4;24;4;8;2;6;3;5;6;7;7;10;7;3;32;8;6;16;14;0;6;13;6;6;4;0;12
;;4;Beekers, I.T.J.;84;2;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;2;1;0;3;0;0;3;1;0;2;0;0;0;2;0;1;0;1;1;7;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;3;2;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;3;0;0;2;0;2;0;0;0;0;0;2;0;0;2;1;0;2;2;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;2;0;5;0;0;1;0;0;0;1;0;0;0;2;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0
;;5;Lemain, J.S.;61;2;2;0;0;0;0;2;0;0;0;1;1;3;0;0;0;1;0;1;0;0;0;0;2;0;1;1;0;1;0;1;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;4;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;2;0;0;0;0;0;2;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0
