Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ameide Het Spant (maandag);Ameide Het Spant (dinsdag);Ameide Het Spant (woensdag);Ameide/Tienhoven Verenigingsgebouw De Hoven;Everdingen Dorpshuis 't Knooppunt;Hagestein Dorpshuis de Biezen;Hei- en Boeicop Sporthal de Copper;Hoef en Haag De Keuken van Hoef en Haag;Kedichem Dorpshuis De Stoof;Leerbroek Dorpshuis De Schakel;Leerdam Gemeentehuis;Leerdam Maranatha Gebouw;Leerdam Gymzaal Noord;Leerdam Het Dak de Pub (maandag);Leerdam Het Dak de Pub (dinsdag);Leerdam Het Dak de Pub (woensdag);Leerdam Sport '55;Leerdam Rondas Ruimte de Matroosjes;Leerdam Glaspark;Lexmond Huis Het Bosch;Meerkerk Dorpshuis De Linde;Meerkerk Gemeentelocatie (maandag);Meerkerk Gemeentelocatie (dinsdag);Meerkerk Gemeentelocatie (woensdag);Nieuwland Dorpshuis Brandpunt;Schoonrewoerd Partycentrum Schoonrewoerd;Vianen Gemeentelocatie;Vianen Basisschool De Rank;Vianen De Prenter;Vianen De Hoeksteen;Vianen Clubgebouw V.V. Brederodes;Vianen Helsdingen Sport en Cultuur (maandag);Vianen Helsdingen Sport en Cultuur (dinsdag);Vianen Helsdingen Sport en Cultuur (woensdag);Zijderveld De Krooshof
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Postcode;;;;;4233 HG;4233 HG;4233 HG;4233 EK;4121 EL;4124 AK;4126 RW;4125 TD;4247 EN;4245 KJ;4141 DA;4141 EL;4143 BD;4142 EG;4142 EG;4142 EG;4142 CH;4143 EN;4143 LM;4128 BN;4231 DT;4231 BP;4231 BP;4231 BP;4243 JA;4145 KM;4132 AS;4132 CC;4131 GZ;4133 NB;4133 AX;4133 NH;4133 NH;4133 NH;4122 GX
;;2;Vermaat, C.T.;478;5;12;12;9;5;8;15;0;7;127;3;26;9;5;9;23;7;18;3;27;17;7;14;16;31;41;1;0;0;2;2;0;0;2;15
;;3;Wijnmaalen, H.A.;212;0;2;1;1;4;23;2;5;2;11;0;14;3;2;1;4;2;11;3;3;0;2;2;4;2;8;39;9;14;10;4;8;7;2;7
;;4;de Bruijn, D.J.;179;0;1;0;3;57;13;1;0;1;16;0;8;4;0;2;1;0;10;2;1;3;0;1;5;8;24;1;0;0;0;1;2;0;0;14
;;5;de Bruijn, A.;132;0;0;0;0;2;0;5;0;0;3;10;22;5;4;9;3;5;12;5;0;0;0;0;2;0;43;0;0;0;0;0;0;0;0;2
;;6;Hogendoorn, J.;60;0;0;0;1;2;6;3;0;0;7;2;6;2;0;2;2;4;2;0;0;2;0;1;1;1;4;0;0;1;0;0;0;0;0;11
;;7;Boet, J.;16;0;0;0;0;0;0;1;0;4;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;5;0;0;0;0;0;0;0;0;1
;;8;den Hartog, J.P.;14;0;1;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;den Hartog, W.;11;0;0;0;0;0;0;0;1;0;0;1;2;2;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;10;de Visser, M.;33;0;0;0;0;0;0;1;0;0;6;3;6;4;0;2;4;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Asselt, E.;11;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;;12;de Bruijn, W.H.;11;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;13;Verrips, H.;25;0;0;1;0;0;1;0;0;0;5;1;2;4;1;0;3;0;2;0;0;0;0;0;1;2;1;0;1;0;0;0;0;0;0;0
;;14;Zuiddam, W.;28;0;0;0;0;1;5;1;3;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;3;0;3;2;0;4;0
;;15;Baars, A.;50;0;0;0;0;0;0;3;0;0;6;0;3;2;0;0;2;1;0;0;2;3;2;5;4;11;3;1;0;1;0;0;0;0;0;1
;;16;Benschop, J.;29;0;0;1;2;0;0;2;0;0;0;0;0;2;0;1;3;0;5;0;1;4;0;0;5;0;1;0;0;0;0;0;0;0;0;2
;;17;Benschop, J.F.;26;0;0;4;6;0;0;1;0;0;0;0;3;0;0;0;0;0;4;0;0;1;0;1;2;1;0;1;0;0;1;0;0;0;1;0
;;18;van der Kooij, A.J.;11;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
;;19;het Lam, L.;15;2;1;5;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Zouwen, F.;9;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Goedhart, H.W.;30;0;0;0;0;0;0;13;0;0;3;2;0;1;0;0;1;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5
;;22;den Ouden, N.;11;0;0;0;1;0;0;1;0;0;4;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;23;van Voorden, A.;8;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0
;;24;den Hertog, D.A.;52;0;0;5;0;6;4;1;0;0;0;2;1;0;2;0;0;3;1;0;0;0;0;0;0;0;3;0;3;3;0;0;0;1;1;16
3;VHL Lokaal;;;5181;62;84;179;98;87;137;70;81;148;38;301;307;245;154;222;222;170;228;160;137;127;74;79;167;50;154;187;161;258;225;161;89;119;143;57
;;1;Meijdam, T.;2312;11;8;27;22;36;64;46;24;72;15;190;198;145;101;160;136;104;143;95;64;34;19;20;46;26;106;51;42;84;60;38;16;37;34;38
;;2;van der Velden, J. W.;820;6;2;5;0;19;46;5;29;1;1;5;3;1;1;1;1;0;1;3;11;1;0;0;2;0;5;91;84;117;117;82;40;60;73;7
;;3;Hitipeuw, S. J. D.;506;1;4;12;5;13;12;2;3;8;3;35;48;42;20;29;32;32;32;24;12;10;2;4;11;3;13;15;6;15;14;12;7;7;14;4
;;4;Uittenbogaard, T.;87;1;0;1;2;0;0;5;2;3;5;5;10;5;6;11;1;4;2;3;1;1;0;0;0;0;6;0;1;2;4;2;2;0;1;1
;;5;van Dijk, W.;375;38;58;113;63;0;0;2;1;0;3;2;0;0;0;1;1;0;1;0;21;10;8;15;21;2;1;4;0;3;3;0;1;0;2;1
;;6;Versluis, G.;296;3;3;16;2;1;3;3;1;1;4;1;1;1;0;0;2;0;4;1;13;62;42;38;82;7;0;1;1;2;1;0;0;0;0;0
;;7;Meijdam, P.;199;1;2;2;2;3;3;1;7;1;0;25;17;12;9;8;15;12;9;3;9;3;2;1;2;4;7;2;4;7;3;4;9;1;7;2
;;8;van den Broek, M.;213;1;5;2;0;4;4;3;5;59;3;10;6;4;6;5;18;1;8;5;3;5;0;1;3;7;11;4;5;4;9;6;1;3;0;2
;;9;van den Berg, J. C. A.;143;0;1;1;0;1;0;1;1;3;0;22;10;26;4;6;11;13;19;12;0;0;0;0;0;0;1;2;2;1;1;0;2;0;3;0
;;10;Hol, L. W.;22;0;0;0;0;1;0;0;0;0;2;0;3;4;0;0;3;2;2;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0
;;11;Heijltjes, H. F.;19;0;1;0;0;0;0;1;0;0;0;2;2;2;1;0;2;0;5;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;van Santen, J. A.;32;0;0;0;0;2;1;0;0;0;1;4;7;2;3;1;0;0;1;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;13;van den Ende, J. W.;157;0;0;0;2;7;4;1;8;0;1;0;2;1;3;0;0;2;1;3;3;0;1;0;0;0;2;17;15;22;13;17;11;11;8;2
4;ChristenUnie;;;2643;42;72;164;154;54;72;76;37;5;53;88;149;71;19;76;83;62;107;70;127;118;60;95;174;58;105;35;42;65;81;47;33;40;40;69
;;1;Baars, H.C.;1345;26;51;102;96;17;30;46;6;2;31;34;50;32;8;28;37;19;37;28;72;101;48;81;137;46;63;6;7;12;18;12;6;6;10;40
;;2;Kamstra, T.;497;2;4;13;9;14;20;3;14;2;0;15;11;5;0;16;4;7;14;7;12;9;5;7;14;2;9;23;32;47;56;31;24;31;23;12
;;3;Schut, G.;45;2;0;0;2;0;0;0;0;0;8;0;4;2;0;2;0;1;9;1;0;0;0;0;0;1;8;0;1;0;0;0;0;2;0;2
;;4;van Leeuwen, M.J.;97;1;1;5;6;2;0;0;2;0;4;6;6;1;1;2;1;1;0;0;32;2;2;1;6;5;1;2;1;2;3;0;0;0;1;0
;;5;Wolting, H.I.;97;0;0;0;0;0;0;2;0;0;0;11;24;9;2;4;8;9;14;8;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;3
