Verkiezing;;Gemeenteraad Wijk bij Duurstede 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wijk bij Duurstede;;;;;;;;;;;;;;;;;;
Nummer;;0352;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Huis van de Gemeente;Stembureau 't Dorpshuys van Cothen;Stembureau Dorpshuis De Toekomst;Stembureau Huis van de Gemeente;Stembureau 't Dorpshuys van Cothen;Stembureau Dorpshuis De Toekomst;Stembureau Huis van de Gemeente;Stembureau Gymzaal Wijk bij Duurstede;Stembureau Basisschool de Wegwijzer - Zonnewijzer;Stembureau Revius Lyceum;Stembureau Basisschool De Horn;Stembureau Brede school Het Anker;Stembureau Basisschool Kompas;Stembureau 't Dorpshuys van Cothen;Stembureau Dorpshuis De Toekomst;Stembureau Basisschool De Wegwijzer
;;3;Meinema, R.R.;21;2;0;0;4;1;0;2;0;1;6;0;1;2;1;1;0
;;4;Dumessie, T.C.G.;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;5;Brouwer, C.P.J.M.;18;1;0;0;0;0;2;3;0;1;3;0;0;4;2;0;2
;;6;Werson, S.;124;8;3;1;19;4;5;12;4;13;11;7;11;10;8;2;6
;;7;van der Ham, M.;4;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0
;;8;de Groot, C.A.J.;7;0;0;0;1;1;0;0;1;0;2;1;1;0;0;0;0
;;9;Aandewiel, M.C.;4;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0
;;10;Terlingen, W.C.;6;0;0;0;1;0;0;1;1;2;1;0;0;0;0;0;0
;;11;Steggehuis, E.C.M.;4;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
;;12;van Oudheusden, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Schoenmakers, W.L.M.;15;2;0;1;0;2;1;3;0;0;0;0;0;0;6;0;0
;;14;Dekker, R.B.;3;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
;;15;van Galen, J.H.M.;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
;;16;Spronk, M.J.;5;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
;;17;Huisman, H.T.;11;1;0;0;1;0;0;5;0;0;1;0;0;2;1;0;0
;;18;Hoeksema, G.B.;13;2;0;0;0;0;0;2;0;1;2;0;3;1;1;1;0
5;Protestant-Christelijke Groepering;;;1023;45;22;35;52;35;100;70;14;32;45;25;53;23;103;326;43
;;1;de Bruijn, J.;285;18;4;7;17;10;24;17;7;13;21;7;19;7;12;81;21
;;2;van Vliet, A.;112;1;0;2;3;1;16;8;1;0;1;0;2;0;8;69;0
;;3;Marchal, J.;426;13;16;25;17;16;45;27;6;12;8;9;11;5;61;142;13
;;4;Petri, M.;29;3;0;0;3;2;0;2;0;1;3;3;4;3;2;3;0
;;5;Pitlo, P.J.;16;0;0;0;0;0;0;2;0;0;0;0;0;0;5;9;0
;;6;Legemaat, E.;16;0;0;0;2;1;1;2;0;1;4;0;0;0;2;3;0
;;7;Doornenbal, T.J.;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;8;Taute, G.;3;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;9;Aarts, A.J.M.;16;0;0;0;0;0;0;3;0;2;0;4;5;2;0;0;0
;;10;Reijm, J.;18;1;2;0;1;1;0;1;0;3;0;1;1;0;5;1;1
;;11;Oechies, J.;22;5;0;0;3;0;0;5;0;0;6;0;2;1;0;0;0
;;12;Plantinga, J.B.;13;0;0;0;3;1;0;0;0;0;0;1;3;2;1;0;2
;;13;Veen, E.J.;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;14;van Wiggen, M.J.G.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Overvest, M.J.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0
;;16;Matze, A.;10;0;0;1;0;0;5;1;0;0;0;0;0;0;0;3;0
;;17;van Os, D.J.;9;0;0;0;2;0;0;0;0;0;1;0;0;1;0;4;1
;;18;van Leersum, C.G.;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;19;Vervat, W.J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Hell, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Achterberg, F.H.;6;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0
;;22;van Vliet, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Os, H.C.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;24;van Maaswaal, W.J.;6;0;0;0;0;1;0;0;0;0;0;0;3;0;2;0;0
;;25;van Dijk, E.J.;6;1;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0
;;26;Bakels, C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
;;27;Sondervan, J.W.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;28;Lekkerkerker, A.G.;10;0;0;0;0;0;2;0;0;0;0;0;0;1;1;5;1
6;CDA;;;1378;93;40;23;135;67;20;167;32;73;134;69;74;95;194;81;81
;;1;Migchels, G.;672;51;13;5;70;42;6;85;9;40;68;35;38;46;94;27;43
;;2;Vernooij, A.J.G.;271;14;16;5;19;17;2;28;6;13;19;9;14;17;61;16;15
;;3;Peek, R.W.;89;5;3;1;12;1;0;14;1;2;14;1;6;6;10;2;11
;;4;van der Spek, W.J.;39;3;0;1;1;0;0;5;2;5;8;4;2;5;3;0;0
;;5;Smudde, J.B.;22;2;3;0;1;1;0;0;0;0;2;2;0;0;11;0;0
;;6;Louisa, J.P.;26;1;4;0;1;0;1;0;0;2;1;0;0;6;7;3;0
;;7;van Bochove, M.G.;15;1;0;0;7;0;0;3;0;3;0;0;0;0;1;0;0
;;8;Booij, S.;11;1;0;0;0;0;0;3;1;0;1;1;0;1;1;0;2
;;9;van Kerkhof, M.J.;53;5;0;1;13;0;0;13;3;0;4;4;6;2;0;1;1
;;10;van Ee-Reedijk, S.;64;0;1;8;2;3;9;0;0;2;3;2;0;3;3;25;3
;;11;Muis, G.R.;81;8;0;1;4;3;1;7;6;6;10;8;7;7;3;7;3
;;12;van Vliet, C.;23;2;0;1;5;0;0;5;3;0;2;3;0;2;0;0;0
;;13;Batenburg, A.;12;0;0;0;0;0;1;4;1;0;2;0;1;0;0;0;3
7;D66;;;913;61;13;9;81;13;15;149;30;66;128;67;49;72;58;34;68
;;1;van Asperdt, B.M.A.;406;25;4;7;36;6;8;70;13;26;58;31;16;34;24;14;34
;;2;Dekker-Klinkenberg, M.;320;20;7;2;31;5;5;42;8;28;49;21;21;21;23;15;22
;;3;van der Meer, R.;14;2;0;0;2;0;1;3;0;0;2;0;2;0;1;0;1
;;4;Brouwer, A.;14;0;0;0;1;0;0;3;1;2;0;0;2;2;2;1;0
;;5;van Geijtenbeek, R.;7;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0
;;6;van Veen, A.;16;2;0;0;0;1;0;2;0;0;2;3;1;4;1;0;0
;;7;Heuvelmans, C.M.B.;6;1;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0
;;8;Lourens, J.R.;30;2;0;0;1;0;1;4;2;1;7;3;3;1;2;2;1
;;9;de Kort, P.H.E.M.;7;1;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0
;;10;van der Meer, J.R.A.;16;0;0;0;2;0;0;5;2;2;2;0;0;0;0;0;3
;;11;van Asperdt, T.B.;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;12;van Egmond, S.M.;51;5;1;0;4;1;0;7;1;5;6;4;2;5;2;1;7
;;13;van Lieshout, M.R.J.;23;3;0;0;3;0;0;6;1;1;1;3;1;4;0;0;0
8;Duurstede voor Democratie;;;860;55;16;8;73;19;8;126;27;58;94;65;91;48;77;47;48
;;1;Place, F.D.;450;33;5;0;39;10;0;63;9;35;60;39;46;27;40;18;26
;;2;Joustra, W.;108;1;1;4;12;3;5;13;4;4;8;9;14;2;7;18;3
;;3;Heimel, V.T.;40;3;0;0;2;0;0;4;1;11;4;5;0;4;3;0;3
;;4;Griepink-Middelraad, M;57;8;2;0;3;0;0;8;5;2;7;0;12;3;5;0;2
;;5;de Klaver, M;63;4;0;0;2;0;0;17;5;3;7;3;6;7;2;2;5
;;6;Neele, L.J.J.;53;2;0;0;8;3;1;13;2;2;4;1;4;4;6;1;2
;;7;van Os, M.C.;15;0;1;0;3;0;0;5;0;1;1;1;1;0;0;0;2
;;8;van der Mee, W.T.G;18;3;0;0;0;0;0;2;1;0;0;4;3;0;4;0;1
;;9;Bardok, J.E.;32;0;7;0;1;3;0;0;0;0;2;1;5;0;10;0;3
;;10;de Geus, J.C.;24;1;0;4;3;0;2;1;0;0;1;2;0;1;0;8;1
