Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Hotel theater Figi;Bibliotheek;Maria Oord;Kerkgebouw de Ark;NoorderLichtgemeente;Wijkgebouw 't Lichtpunt;Restaurant Jagershuys;Zeister vrije school locatie van Tuyllaan;Speeltuin- en belangenvereniging kindervreugd;Dijnselburg A;Dijnselburg B;Wijkservicepunt Noord;Wijkservicepunt ’t Volle Hof;Flex@Work;Centraal Bureau 't Noorderpunt;Sionskerk A;Sionskerk B;VSO Heuvelrug college;CBS Nije-Kroost;St. Kerkelijk Centrum Zeist-West A;St. Kerkelijk Centrum Zeist-West B;Wijkcentrum De Koppeling A;Wijkcentrum De Koppeling B;Oude voedselbank;Comeniusschool;Zorgcentrum Amandelhof;Kerckebosch school;Binnenbos A;Binnenbos B;Dorpshuis Hart van Austerlitz;Abrona  't Lichtpunt;Adra Share & Care;Verpleeghuis de Wijngaard;Villa Den Dolder;Dolderse Sportclub DOSC;Maria Christinakerk Den Dolder;Hotel theater Figi (maandag);Dijnselburg (maandag);Flex@Work (maandag);St. Kerkelijk Centrum Zeist-West (maandag);Binnenbos (maandag);Dolderse Sportclub DOSC (maandag);Hotel theater Figi (dinsdag);Dijnselburg (dinsdag);Flex@Work (dinsdag);St. Kerkelijk Centrum Zeist-West (dinsdag);Binnenbos (dinsdag);Dolderse Sportclub DOSC (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;41;42;43;44;45;46;51;52;53;54;55;56
Postcode;;;;;3701 HS;3701 HS;3701 JZ;3702 VG;3702 SB;3707 AE;3707 BM;3707 HW;3707 CV;3705 XD;3705 GK;3705 GK;3705 HD;3706 AA;3706 AP;3706 AH;3705 BP;3705 BP;3704 GN;3704 EG;3704 KB;3704 KB;3704 KS;3704 KS;3703 AJ;3703 CG;3708 AB;3708 GA;3708 DL;3708 DL;3711 BP;3712 XJ;3712 AD;3735 MR;3734 BL;3734 EJ;3734 BG;3701 HS;3705 GK;3706 AP;3704 KB;3708 DL;3734 EJ;3701 HS;3705 GK;3706 AP;3704 KB;3708 DL;3734 EJ
;;8;Bakrin, T. A.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
;;9;Goosmann, J. R;19;4;0;0;9;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;Kwant, H. J.;54;3;0;0;0;1;6;2;1;2;0;0;0;0;0;3;0;0;4;2;3;0;1;3;0;0;1;2;1;0;0;0;0;0;2;0;1;1;3;0;0;2;1;0;1;2;2;3;1;0
;;11;van den Bosch, B.B.;16;1;0;4;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;12;Grinwis, A.C.;235;14;7;6;13;6;0;12;11;9;0;3;3;7;3;3;1;10;2;2;6;2;1;4;3;14;8;6;0;6;2;1;0;1;10;2;0;2;6;6;3;6;0;3;13;4;3;7;4;0
;;13;Hartog, J.;18;1;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;1;0
;;14;van Lemmen, J. F.;91;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;35;9;6;9;0;6;0;0;0;6;2;1;0;0;0;11
;;15;van der Knoop, M. E. H.;75;9;0;2;0;1;5;10;15;4;0;0;2;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;1;3;1;0;0;0;0;0;0;1;5;2;0;0;0;0;6;3;0;0;0;0
;;16;van Loozenoord, J. P. M.;39;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;32;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hartman-Maatman, M. L.;18;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;18;Harff-Niekerk, R. A.;59;6;1;3;0;0;0;4;1;1;0;0;0;1;0;0;0;1;0;0;2;0;0;0;1;2;0;1;1;3;0;17;0;0;1;0;1;0;0;2;0;1;0;0;3;0;0;1;3;2
;;19;Oudenbroek, E. M.;108;6;2;2;1;2;5;5;4;2;1;0;1;4;0;0;2;2;5;1;0;2;2;0;6;1;4;4;4;6;3;0;3;0;0;2;1;0;1;0;0;1;3;0;4;3;0;8;5;0
;;20;Raap, E. J.;63;7;3;3;0;1;2;4;7;1;0;0;1;0;0;0;0;1;0;4;0;0;0;0;0;2;0;3;4;0;4;0;1;0;0;0;1;2;2;0;2;0;1;0;3;2;0;1;1;0
;;21;van Ulzen, S. F.;30;8;1;2;0;0;0;9;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0
;;22;de Man, O.;16;2;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0
;;23;van Dijck, H.;41;0;2;1;0;1;0;1;2;1;0;0;0;2;0;2;0;1;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;6;3;0;1;3;0;0;0;0;0;6;1;0;0;3;1
;;24;Hoekstra, R.;15;0;0;0;0;1;0;6;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;25;Hagens, J. L.;35;0;0;1;0;1;0;5;3;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;2;0;0;0;4;4;0;1;0;0;3;2;0;0;0;1
;;26;Quix, F. W. J.;38;0;0;1;1;1;0;0;4;1;0;0;0;0;0;0;0;2;2;1;0;0;0;0;1;2;0;3;2;9;3;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
