Verkiezing;;Gemeenteraad De Ronde Venen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Ronde Venen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Tennisvereniging Mijdrecht (TVM);Verenigingsgebouw Ons Streven;De Springbok;OBS de Eendracht;Veenlanden College;Lokaal Brede School Present;Kids College;NH Verenigingsgebouw;EHBO Gebouw Lucas;NH Gebouw De Roeping;CNS Abcoude;De Angstelborgh;Dorpshuis de Vijf Bogen;'t Oude Parochiehuis;VIOS clubgebouw;De Boei Vinkeveen 1;De Boei Vinkeveen 2;De Willisstee;Dorpskerk Abcoude;Gemeentehuis;De Boei Vinkeveen 1;De Willisstee;Dorpskerk Abcoude;Gemeentehuis;De Boei Vinkeveen 1;De Willisstee;Dorpskerk Abcoude
;;9;Langelaar, S.A.J.;10;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;3;1;0;0;0;0;1;0
;;10;Oudshoorn, P.;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
;;11;Meijer, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;12;Vossestein, C.M.;11;0;0;2;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;2;0
;;13;Gooijer, J.;16;0;0;0;0;0;0;0;0;0;0;0;4;1;7;0;0;0;0;0;3;0;0;0;1;0;0;0;0
;;14;van der Vliet, D.;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Visser, A.A.;29;3;0;0;3;0;4;1;2;1;0;6;0;1;0;1;1;2;0;0;2;0;0;1;0;0;1;0;0
;;16;Vossestein, A.;12;3;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;3;0;0;0;0;0;0;1;0;0;0
;;17;van den Bor-van Leeuwen, S.G.A.;15;2;1;1;1;0;0;0;3;0;1;1;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0
;;18;Verbruggen, K.N.;23;0;0;0;0;0;0;1;0;9;1;2;0;0;0;0;0;2;3;0;2;0;0;0;0;1;1;1;0
;;19;Palm, H.W.;27;1;0;0;0;0;0;0;2;0;0;9;0;0;0;2;0;0;0;1;0;0;3;2;1;0;0;6;0
8;Inwonerscollectief;;;1010;72;69;123;13;29;43;48;40;20;34;28;44;24;41;40;44;24;14;27;52;38;6;15;15;56;16;15;20
;;1;Bloem, M.;524;47;30;8;6;19;24;27;26;15;23;21;22;11;23;24;28;19;11;23;17;12;6;9;5;37;16;11;4
;;2;de Haas, Y.L.W.;185;9;12;113;4;2;4;1;3;0;4;0;1;1;2;5;3;0;1;1;0;7;0;0;0;10;0;1;1
;;3;Guldenmond e/v Groen, A.E.;52;8;8;1;1;6;8;5;0;0;1;0;0;0;0;2;2;0;1;1;0;6;0;0;0;1;0;0;1
;;4;Klijn, J.J.G.;20;1;3;1;1;0;1;3;0;0;0;1;0;0;1;1;0;0;0;0;1;2;0;0;0;4;0;0;0
;;5;Hendrick, F.G.;20;0;3;0;1;0;1;1;2;1;0;0;0;1;0;2;3;0;0;1;1;0;0;1;0;2;0;0;0
;;6;de Kuyer, B.;30;2;4;0;0;1;1;6;2;0;1;1;0;0;1;1;2;1;0;1;3;3;0;0;0;0;0;0;0
;;7;Beijer, L.A.G.;5;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;8;Geerlings, L.J.C.;106;1;0;0;0;0;0;0;1;1;4;0;21;11;11;0;0;1;1;0;30;0;0;0;10;0;0;0;14
;;9;Minnee, L.;30;2;7;0;0;1;0;4;2;0;0;1;0;0;0;2;4;2;0;0;0;3;0;0;0;1;0;1;0
;;10;Kneppers, J.J.;38;2;1;0;0;0;3;1;4;3;1;4;0;0;3;3;1;1;0;0;0;3;0;5;0;1;0;2;0
