Verkiezing;;Gemeenteraad Zandvoort 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zandvoort;;;;;;;;;;;;;;;;;;;;
Nummer;;0473;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zandvoorts Museum;Strandhotel Centerparcs;Tent Oranje Nassauschool;"Brede-School ""De Blauwe Tram"" (A)";Circuit Zandvoort;"Brede-school ""De Blauwe Tram"" (B)";Stichting Pluspunt Zandvoort;Wooncentrum Kostverloren;Nieuw-Unicum;Tent Bodaan;Nicolaasschool;Tent NS Station;Strandhotel Centerparcs;"Brede-School ""De Blauwe Tram"" (A)";Circuit Zandvoort;Strandhotel Centerparcs;"Brede-School ""De Blauwe Tram"" (A)";Circuit Zandvoort
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;102;104;105;202;204;205
Postcode;;;;;2042 KA;2041 JB;2042 CH;2042 VD;2041 KP;2042 VD;2041 VW;2042 PZ;2042 XK;2116 TR;2041 BM;2041 AB;2041 JB;2042 VD;2041 KP;2041 JB;2042 VD;2041 KP
;;2;Heidebrink, D.;50;9;1;2;4;1;0;9;0;3;0;0;6;2;5;0;0;7;1
;;3;Damhoff, F. J. W.;29;0;0;5;0;7;1;6;0;1;0;0;5;0;0;1;0;0;3
;;4;van der Mije, O.;8;0;0;0;0;0;2;3;0;0;0;0;0;0;0;2;1;0;0
;;5;Demmers, M. B. J.;14;0;0;4;1;0;1;4;2;0;0;0;1;0;0;0;0;1;0
;;6;de Kluijver, J.;44;7;0;3;2;6;0;6;0;1;3;0;9;0;1;0;1;1;4
;;7;de Vries, B. J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Koningsbruggen, C. J.;8;0;1;2;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0
;;9;Draijer, C.;19;2;1;2;1;3;1;1;0;0;1;0;4;0;1;0;0;1;1
9;Jong Zandvoort;;;1304;121;48;109;77;149;73;153;35;14;27;37;202;10;36;40;20;74;79
;;1;Kramer, J.;409;39;17;39;24;50;15;48;13;9;5;8;59;5;9;7;9;27;26
;;2;Göransson, K.M.;231;29;7;19;12;28;17;22;2;1;4;7;38;2;7;8;0;18;10
;;3;Paap, M.W.;158;11;9;20;7;19;12;19;5;0;3;3;15;0;5;11;0;5;14
;;4;Driehuizen, R.D.;121;15;1;7;10;19;4;13;6;0;9;2;24;0;4;0;4;1;2
;;5;Bullee, M.M.;38;1;2;0;3;4;2;6;0;0;1;2;7;1;1;2;0;2;4
;;6;Berg, B.;43;0;2;1;2;3;1;7;2;0;1;2;7;0;2;3;0;4;6
;;7;Rubeling, M.R.;32;2;0;2;1;1;2;3;0;1;0;1;10;0;1;0;0;4;4
;;8;Deen, Y.F.;6;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0
;;9;Bullee, E.;30;4;1;0;3;2;2;6;0;0;0;1;5;0;1;1;1;2;1
;;10;Vos, J.;52;4;0;6;2;2;5;9;1;0;1;5;5;0;1;2;3;4;2
;;11;Bodamer, C.P.;56;2;3;7;8;5;4;0;1;0;0;0;10;0;4;2;2;3;5
;;12;Koemans, T.;23;3;1;1;0;2;1;4;0;3;0;0;7;0;0;0;0;1;0
;;13;Paap, H.J.;65;4;3;3;3;12;7;11;3;0;0;4;7;0;0;2;0;1;5
;;14;Rovers, W.A.;40;7;2;3;1;2;1;4;2;0;2;2;7;2;1;2;0;2;0
10;Zandvoort Echt Eén;;;344;39;15;26;12;26;18;44;17;13;10;4;42;4;16;13;13;17;15
;;1;Gerrits, E.M.;160;17;7;13;5;13;10;16;7;9;3;3;15;1;8;13;8;4;8
;;2;Griffioen, A.;33;10;1;0;2;3;1;7;0;1;0;0;7;0;0;0;0;1;0
;;3;Hazenberg, R.S.;40;2;0;6;0;4;1;5;1;0;0;0;8;1;4;0;0;6;2
;;4;Schrijnemaekers, M.;20;2;0;0;0;1;1;6;1;2;1;0;2;0;1;0;0;3;0
;;5;Strating, R.;14;1;0;1;2;2;1;3;0;1;0;0;2;0;0;0;0;0;1
;;6;Melis, J.;15;3;0;4;0;0;1;1;0;0;0;0;2;0;0;0;2;2;0
;;7;Sukel, M.J.;23;3;0;1;1;1;0;3;6;0;0;0;1;1;3;0;1;1;1
;;8;Mooijekind, L.D.M.;9;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;2
;;9;van den Nulft, H.;8;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
;;10;Rosenhart, F.M.;22;1;1;0;1;2;2;2;1;0;6;1;3;0;0;0;1;0;1
