Verkiezing;;Gemeenteraad Drechterland 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Drechterland;;;;;;;;;;;;;;;;;;;
Nummer;;0498;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;RK kerk H. Laurentius;Gymzaal Om de Noord;Bantam;Sportzaal Dorpshuis De Schalm;Cultureel Centrum Pancratius;Café De Roode Leeuw;NH kerk Venhuizen;Kantine sportpark De Valken;Dorpshuis De Wiekslag;Dorpshuis De Dregt;Sporthal De Sluis;Bantam (maandag);Bantam (dinsdag);Cultureel Centrum Pancratius (maandag);Cultureel Centrum Pancratius (dinsdag);Kantine sportpark De Valken (maandag);Kantine sportpark De Valken (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Postcode;;;;;1616 AN;1616 PB;1616 AN;1617 KC;1696 BK;1606 CZ;1606 AP;1607 MT;1608 EC;1697 KG;1616 RT;1616 AN;1616 AN;1696 BK;1696 BK;1607 MT;1607 MT
;;17;Rövekamp, M.J.;30;6;3;5;0;1;3;1;0;2;2;0;2;3;0;0;1;1
5;Senioren Partij Drechterland;;;1816;149;102;106;91;117;215;178;33;157;103;169;95;131;33;34;35;68
;;1;ten Have, M.H.;536;71;37;38;22;15;44;30;2;28;22;85;51;56;5;5;9;16
;;2;Tros-van Diepen, M.C.;463;27;33;34;21;67;24;23;9;88;17;31;18;21;20;16;8;6
;;3;Bosch, A.M.;155;4;0;1;0;2;51;48;6;6;2;7;1;5;2;0;8;12
;;4;ten Bookum, R.J.M.;20;1;1;1;1;0;9;0;1;0;2;0;2;1;0;0;0;1
;;5;Pellegrom, D.;73;2;2;4;0;0;24;11;6;3;1;3;1;0;0;0;3;13
;;6;de Graaff, E.;17;2;4;0;0;0;1;1;0;0;1;1;2;4;0;0;1;0
;;7;Wierink, R.;12;0;0;0;1;7;1;0;0;0;1;1;0;1;0;0;0;0
;;8;van Diepen, J.;43;2;0;2;4;22;1;0;0;0;0;0;1;1;3;7;0;0
;;9;Baas, P.;97;21;10;8;5;1;1;0;1;1;1;16;10;20;0;0;0;2
;;10;Blaas, M.C.A.;46;3;1;0;28;0;0;3;0;0;1;4;0;4;2;0;0;0
;;11;van der Veen, R.W.;12;1;2;2;0;0;0;0;0;0;0;1;2;4;0;0;0;0
;;12;Waterman-Beers, A.M.G.M.;35;9;8;4;0;0;0;0;0;0;0;6;3;5;0;0;0;0
;;13;Huisman, P.N.S.;97;0;0;1;2;2;30;25;4;12;1;1;1;2;0;0;4;12
;;14;ten Bookum, S.B.;21;0;0;1;0;0;11;4;1;0;0;2;0;1;0;0;0;1
;;15;Schraa, H.A.;13;2;3;4;0;0;0;0;0;0;0;2;1;1;0;0;0;0
;;16;ten Have, A.T.;8;2;0;1;0;0;0;0;0;0;0;4;0;1;0;0;0;0
;;17;Eberhard, F.P.M.;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;;18;Beenhakker, H.C.A.;10;1;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0
;;19;Mol, P.;60;0;0;4;4;0;0;1;0;17;32;0;0;0;0;0;1;1
;;20;Olthuis, H.;8;1;0;1;0;0;1;1;0;0;1;2;0;1;0;0;0;0
;;21;Ho Ten Soeng, K.L.R.;85;0;1;0;3;1;17;31;3;2;8;3;2;3;1;5;1;4
