Verkiezing;;Gemeenteraad Bloemendaal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bloemendaal;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0377;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis woensdag 16 maart 2022;Centrum voor Jeugd en Gezin woensdag 16 maart 2022;Kerkelijk Centrum 16 maart 2022;Welzijn Bloemendaal 16 maart 2022;Hertenkamp 16 maart 2022;Gebouw Tinholt 16 maart 2022;Vondelschool 16 maart 2022;De Nieuwe Kring 16 maart 2022;Adventskerk 16 maart 2022;De Voghelsanck 16 maart 2022;Dorpshuis Vogelenzang 16 maart 2022;Sparrenbosschool 16 maart 2022;Het Trefpunt 16 maart 2022;Jagershuis 16 maart 2022;Centraal Servicepunt Bennebroek 16 maart 2022;Gemeentehuis 14 maart 2022;Centrum voor Jeugd en Gezin 14 maart 2022;Adventskerk 14 maart 2022;Dorpshuis Vogelenzang 14 maart 2022;Centraal Servicepunt Bennebroek 14 maart 2022;Gemeentehuis 15 maart 2022;Centrum voor Jeugd en Gezin 15 maart 2022;Adventskerk 15 maart 2022;Dorpshuis Vogelenzang 15 maart 2022;Centraal Servicepunt Bennebroek 15 maart 2022
;;10;Akersloot, J.M.;14;1;0;0;0;2;3;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;11;Braam, A.G.J.;24;1;0;0;0;0;0;0;0;0;1;4;1;6;0;3;0;0;0;0;1;0;0;0;0;7
8;Vrijzinnig Democratisch Bloemendaal;;;164;21;9;8;17;5;5;10;4;13;3;4;1;4;4;8;6;6;2;0;2;12;8;5;4;3
;;1;Doorn, M.A.;79;9;7;3;11;0;2;4;3;7;1;4;1;2;1;2;1;4;1;0;0;6;6;2;2;0
;;2;Steegman-van Kappen, M.D.;43;1;0;5;4;3;3;3;1;0;0;0;0;2;2;4;5;2;0;0;0;5;1;1;1;0
;;3;Landeweer-Hubregtsen, M.M.;21;3;1;0;0;2;0;3;0;4;2;0;0;0;0;0;0;0;1;0;2;1;0;2;0;0
;;4;Steegman, R.M.;21;8;1;0;2;0;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;3
9;Zelfstandig Bloemendaal;;;716;62;29;41;48;20;46;44;18;25;47;39;25;38;19;25;36;5;10;15;13;36;17;10;29;19
;;1;Slewe, R.M.;445;51;13;29;36;16;33;28;8;15;32;20;11;14;2;8;30;4;6;11;3;29;8;7;20;11
;;2;Faas, C.;148;3;8;2;4;1;10;7;5;4;12;14;12;14;13;11;5;1;1;1;7;3;2;1;2;5
;;3;Devilee, R.E.;40;0;0;0;2;0;3;8;3;2;0;3;0;9;0;0;1;0;3;0;0;3;0;0;3;0
;;4;Lodewijkx-van der Weiden, E.I.;42;4;1;2;1;1;0;1;2;3;3;1;2;0;4;5;0;0;0;2;3;0;0;2;2;3
;;5;Verpoorten, R.G.;30;2;4;7;5;2;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;6;0;1;0
;;6;Kruijthof, C.C.H.;11;2;3;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0
