Verkiezing;;Gemeenteraad Edam-Volendam 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Edam-Volendam;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0385;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Politiebureau;Basisschool De Spinmolen;Sporthal De Kreil;Sporthal De Kreil;Clubcorner FC Volendam;Koninklijke Vereniging Sint Jozef;Stembureau-unit Parallelweg;St. Petrusbasisschool;Tennisvereniging Dijkzicht;Gymzaal Langemeerstraat;Bibliotheek Edam;De Ontmoeting;De Singel;Culicafé De Ontmoeting;Snackbar Café Seevanck;Dorpshuis de Drie Hamers;Voetbalkantine Kwadijk;Kerk Middelie;De Oude School;MFA De Groote Molen;Politiebureau (maandag);Politiebureau (dinsdag);De Ontmoeting (maandag);De Ontmoeting (dinsdag);Snackbar Café Seevanck (maandag);Snackbar Café Seevanck (dinsdag)
;;8;Schilder, H.A.M.;131;9;24;9;7;14;6;3;16;5;2;0;0;4;8;0;0;1;0;0;0;10;13;0;0;0;0
;;9;Karhof, N.G.A.;133;4;12;15;18;8;6;6;11;16;0;0;0;1;19;0;0;0;0;1;0;4;12;0;0;0;0
;;10;Karhof, S.A.M.T.;53;3;4;7;8;2;4;2;6;3;0;1;0;0;5;0;0;0;2;0;0;1;5;0;0;0;0
;;11;Tol, M.N.;8;2;0;0;2;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Rikkers, S.J.L.M.;36;3;1;0;4;0;4;4;12;1;0;0;0;0;2;0;0;0;0;0;0;4;1;0;0;0;0
;;13;Schilder, C.C.M.;53;2;6;4;10;2;1;3;5;11;0;0;0;0;3;0;0;0;0;0;0;3;3;0;0;0;0
;;14;Bond-Schilder, M.T.M.;49;2;5;4;4;5;2;3;3;9;0;0;0;0;6;0;0;0;0;0;0;2;4;0;0;0;0
;;15;Bond, C.A.M.;22;1;0;0;2;1;2;2;1;3;0;1;0;0;3;0;0;0;0;0;0;2;4;0;0;0;0
;;16;Koning, J.C.N.;60;6;1;9;4;3;3;2;9;13;0;0;0;1;8;0;0;0;0;0;0;1;0;0;0;0;0
;;17;Tol, K.J.M.;28;1;1;3;0;0;2;4;5;0;0;2;2;0;5;0;0;0;0;0;1;0;2;0;0;0;0
;;18;Schilder-Nanninga, R.C.I.M.;53;6;7;4;9;4;7;1;5;2;0;0;0;1;0;0;0;0;0;0;0;2;5;0;0;0;0
;;19;Molenaar, J.M.;13;0;1;2;0;4;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kemper, C.J.J.A.M.;22;2;0;0;3;2;3;1;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Veerman, A.A.;10;0;2;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0
;;22;Veerman, C.A.T.;12;1;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;23;Veerman, I.M.P.;54;0;7;7;3;3;1;3;20;1;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0
;;24;Veerman, J.P.C.;35;2;3;4;3;1;1;0;14;3;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0
;;25;Brandsma, P.T.;25;0;2;0;2;2;0;1;10;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
;;26;Steur, G.G.J.M.;32;2;6;3;0;3;0;4;2;2;7;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
;;27;Sier, H.F.J.;11;0;0;1;0;0;1;0;1;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
;;28;Schilder, M.C.;60;1;4;2;7;4;4;0;6;17;0;0;0;0;13;0;0;0;0;0;0;0;2;0;0;0;0
;;29;Jonk, P.C.H.;27;0;2;0;2;3;5;2;2;3;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Karhof, C.G.;40;3;5;5;2;3;3;0;2;4;0;0;0;0;2;0;0;0;0;0;0;4;7;0;0;0;0
;;31;Smit, R.J.M.;12;1;4;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;de Boer, P.H.A.;6;0;0;1;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
;;33;Bond, C.A.J.;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;34;de Boer, W.M.;7;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Schilder, P.A.M.;6;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Schilder, J.J.M.;174;16;16;11;22;16;6;2;9;2;0;0;0;0;14;0;0;1;0;0;0;23;36;0;0;0;0
3;CDA;;;2062;145;159;174;138;172;170;75;157;147;48;55;21;70;167;7;8;10;3;36;20;93;156;10;17;4;0
;;1;Tuijp, V.;1036;83;70;82;90;121;98;42;71;63;14;15;7;15;83;3;4;4;1;5;6;54;85;8;10;2;0
;;2;de Jong, A.;67;2;7;5;4;4;1;0;4;7;6;8;2;5;4;0;0;1;0;1;0;2;1;2;1;0;0
;;3;Schokker, J.W.A.;62;2;8;11;2;5;12;1;5;5;1;1;1;2;1;0;0;0;0;0;0;2;2;0;1;0;0
;;4;Hakkers, H.J.B.;29;1;0;1;1;0;0;0;0;0;10;6;2;4;1;0;0;0;0;0;0;1;0;0;2;0;0
;;5;Wiffrie, M.R.;109;12;9;5;4;4;9;4;4;11;1;5;1;7;20;0;0;0;0;1;0;7;4;0;0;1;0
;;6;Veerman, F.R.;24;0;1;4;1;3;1;0;3;5;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0
;;7;Jonk, N.;61;2;4;1;0;0;5;0;10;2;3;6;6;10;2;1;0;0;0;2;1;2;3;0;1;0;0
;;8;Konijn-Milatz, A.C.;40;1;0;1;0;2;0;0;0;0;0;0;0;0;0;1;2;3;0;23;5;0;1;0;0;1;0
;;9;Tol-Bond, G.M.;15;2;2;1;0;0;3;0;2;2;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;Schilder, L.J.T.;13;1;0;2;0;0;0;0;4;1;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
;;11;Kwakman, C.J.M.;3;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Wit, C.R.D.;19;1;2;1;3;1;1;0;0;3;0;0;0;0;2;0;0;0;0;0;0;3;2;0;0;0;0
;;13;Veerman, J.J.C.;13;2;3;1;0;0;1;2;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Bond, J.H.M.;23;2;7;3;0;0;1;5;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0
;;15;Snoek, M.J.J.;12;0;0;2;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;2;2;0;0;0;0
;;16;Sombroek, G.H.M.;18;0;1;3;0;0;5;0;0;3;0;1;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0
;;17;Veerman, T.H.M.;15;1;0;3;0;0;2;1;3;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0
;;18;de Wit, C.I.J.;7;1;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Keijzer, M.C.G.;496;32;44;48;33;30;30;17;48;42;11;12;2;24;44;2;1;2;2;4;6;13;47;0;2;0;0
4;Zeevangs Belang;;;2580;7;8;2;5;10;7;7;12;22;120;180;100;111;14;249;162;249;192;190;495;21;17;48;34;146;172
;;1;Dijkshoorn, D.;1179;4;5;1;2;4;4;2;8;10;47;82;34;57;8;129;35;109;90;86;232;11;11;26;18;71;93
;;2;Sietsema, C.;57;0;0;0;0;1;0;0;0;0;2;1;0;1;0;15;0;3;5;4;11;2;0;0;0;5;7
;;3;Gorter, L.J.;35;0;1;0;1;1;0;0;0;1;1;0;0;1;0;1;1;3;1;1;15;1;1;1;0;3;1
;;4;Bleekemolen, J.;155;0;0;0;0;0;0;0;0;1;0;4;0;1;1;7;107;2;7;5;9;0;0;1;0;2;8
;;5;van Gijzel, P.;91;0;0;0;0;0;0;0;0;0;0;1;1;0;0;12;2;5;4;7;33;0;0;1;0;13;12
;;6;Cuppen, C.L.A.;254;0;1;0;0;0;0;1;2;3;6;8;5;9;1;43;6;24;9;20;77;3;0;0;2;21;13
;;7;Rutten, R.J.G.;69;1;0;0;0;1;0;3;0;1;16;21;6;7;1;1;0;0;0;0;3;2;0;3;3;0;0
;;8;Koek, M.T.A.;109;0;0;1;1;1;1;0;0;3;19;18;27;13;0;2;1;0;0;6;3;0;2;7;2;2;0
;;9;Hrgota, M.;57;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;1;2;1;35;1;0;0;0;4;6
;;10;Middelbeek, A.;98;1;0;0;0;0;1;0;0;1;8;3;0;0;0;16;4;1;6;8;31;0;0;0;2;9;7
;;11;Schütt, H.;35;0;0;0;0;1;0;0;0;2;0;1;6;2;0;2;0;0;3;3;4;0;0;2;1;2;6
;;12;Jonker, M.G.;49;0;0;0;0;0;1;0;1;0;0;1;1;1;0;3;0;14;3;1;8;0;0;0;0;7;8
;;13;Vrolijk, J.A.M.;30;1;0;0;0;0;0;0;0;0;0;3;1;0;0;4;1;1;0;8;4;1;0;1;0;3;2
;;14;Waaksma, A.R.;56;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;49;1;0;2;0;0;0;0;1;1
;;15;Cleerdin, C.J.M.;26;0;0;0;0;1;0;0;0;0;2;5;8;6;0;0;0;1;0;0;1;0;0;1;1;0;0
;;16;Kastelein, H.;20;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;3;1;0;11;0;0;0;0;0;2
;;17;Visser, F.C.M.;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0
;;18;Houtman, M.;65;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;1;56;0;2;0;1;1;0;0;0
;;19;Schoenmaker, W.;51;0;0;0;0;0;0;0;0;0;1;0;0;2;0;3;0;1;1;38;1;0;0;0;0;1;3
;;20;Beets, K.;12;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;7;0;0;2;0;0;0;0;0;0
;;21;Dijkshoorn, M.;25;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;0;3;2;9;0;0;0;0;2;3
;;22;de Boer, G.J.;85;0;1;0;0;0;0;1;1;0;14;28;11;7;2;2;2;3;0;0;2;0;2;4;5;0;0
5;VVD;;;1848;45;80;49;46;57;58;39;88;63;129;177;130;139;62;67;35;97;48;66;110;54;64;44;44;26;31
;;1;Karregat, E.A.M.;740;10;18;20;13;16;19;11;30;31;86;97;51;73;25;14;9;26;16;15;46;20;21;26;25;5;17
;;2;Zwarthoed, F.J.M.;178;12;17;9;9;10;13;12;20;10;3;5;5;4;12;0;0;1;2;1;0;13;17;1;1;0;1
;;3;Runderkamp, W.P.L.M.;156;8;23;14;10;6;10;3;17;9;3;5;6;2;13;3;4;0;0;2;1;8;7;1;0;1;0
;;4;van Raaij, T.M.C.;166;1;2;0;1;4;0;0;1;3;6;13;2;5;0;12;14;48;14;19;12;2;1;0;1;4;1
;;5;Surie, J.J.;200;4;0;0;1;2;0;1;4;4;18;45;44;44;2;1;0;0;3;2;0;2;2;11;10;0;0
;;6;de Koekkoek, E.M.;82;0;0;0;0;0;0;0;0;0;2;1;2;2;0;16;0;13;1;1;32;0;0;0;2;4;6
;;7;van Noorden, D.H.J.;83;5;9;2;4;6;12;7;4;6;1;5;0;3;4;0;0;0;3;0;1;2;9;0;0;0;0
;;8;Schilder, G.J.;13;0;0;0;0;0;0;1;3;0;2;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Schokker, M.E.J.;43;0;5;2;4;12;4;3;4;0;0;0;2;0;0;1;0;1;0;0;0;2;3;0;0;0;0
;;10;Raasing, H.;23;0;1;1;1;0;0;0;0;0;0;0;2;0;0;2;0;2;0;6;4;0;0;1;0;2;1
;;11;Koehoorn, A.;51;0;0;0;0;0;0;0;0;0;1;0;0;2;1;9;0;2;0;9;13;0;0;1;0;8;5
;;12;Verzijde, B.;22;1;1;0;0;0;0;0;0;0;5;3;5;2;0;0;0;0;0;0;0;0;0;2;3;0;0
;;13;de Groot, E.;28;0;0;0;0;0;0;1;0;0;1;2;2;0;0;2;1;2;3;10;1;1;0;0;0;2;0
;;14;Tuijp, B.E.M.;10;0;4;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
;;15;de Visser, M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0
;;16;Ophoff, P.A.T.;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;1;0;0;0;0;0
;;17;Mol, L.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;1;1;0;0;0;0;0;0;0
;;18;Dekker, N.B.;12;1;0;0;0;0;0;0;0;0;0;1;6;0;1;0;0;0;0;0;0;0;0;1;2;0;0
;;19;Molenaar, J.S.J.;17;3;0;1;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0
6;GROENLINKS;;;2557;36;70;28;26;66;61;34;48;38;151;396;393;263;47;65;50;81;76;98;67;53;68;126;164;31;21
;;1;van Straalen, N.M.;1317;16;25;8;13;15;13;13;14;9;105;265;240;153;24;14;21;28;29;34;16;28;30;80;102;9;13
;;2;Tol, S.;121;4;9;5;1;15;5;3;11;5;4;8;11;7;2;2;0;1;1;1;2;7;4;8;4;1;0
;;3;van der Zee, Q.;251;8;10;4;0;10;16;4;7;7;7;24;30;27;8;14;6;10;5;13;10;2;6;8;8;4;3
;;4;Kluessien, J.V.M.;57;1;2;3;5;4;3;4;1;0;1;8;3;6;1;1;0;0;2;2;0;2;4;2;2;0;0
;;5;Lous, W.;92;0;0;0;0;0;0;0;0;0;0;3;5;0;0;14;11;5;5;13;20;0;0;1;1;10;4
;;6;Basseleur, M.S.;182;2;6;3;2;9;15;5;5;2;12;18;26;14;1;7;7;4;3;5;8;1;7;4;11;5;0
;;7;Visser, C.L.;36;0;7;0;1;2;1;0;2;3;0;3;4;2;0;0;0;3;0;2;0;3;0;0;2;1;0
;;8;van den Hogen, G.A.F.;46;0;5;1;2;5;2;2;4;3;2;4;2;4;2;3;0;1;0;0;0;1;1;0;2;0;0
;;9;Kolijn-Zwarthoed, C.M.;92;1;0;0;0;0;0;0;0;1;7;22;20;11;1;2;1;1;4;2;0;0;6;6;7;0;0
;;10;Sier, H.J.M.;22;1;2;1;0;0;0;1;0;6;1;1;2;0;0;0;0;0;0;0;0;0;3;4;0;0;0
;;11;Burghouts, L.W.;78;0;0;0;1;1;0;0;0;0;7;14;20;12;0;0;0;1;2;0;1;1;1;6;10;0;1
;;12;Holt, T.V.;38;0;0;0;0;0;0;0;0;0;1;1;2;2;0;1;0;23;1;3;2;0;0;0;2;0;0
;;13;Kwakman, M.M.;8;0;0;2;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;Jonk, W.M.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
;;15;Smits, A.C.M.;32;1;0;0;0;0;1;0;0;0;0;8;7;9;0;0;1;0;0;0;1;1;0;2;1;0;0
;;16;Tol, S.J.M.;4;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;17;Bien, N.W.;3;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Bouma, B.M.;28;0;0;0;0;0;0;1;0;0;2;3;1;2;0;1;0;1;10;1;2;0;0;1;3;0;0
;;19;Schager, M.J.;24;0;0;0;0;0;0;0;2;0;0;1;0;1;0;1;3;0;12;1;3;0;0;0;0;0;0
;;20;Lous, T.;26;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;21;0;0;0;0;0;0;0
;;21;de Boer, C.E.H.M.;3;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bergsma, W.L.;6;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;23;Heideman, W.;10;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;2;1;0;0;0;0;0;2;0;0
;;24;Sjerps, A.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0
;;25;Kes, M.G.C.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Post, E.;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Delforterie, C.J.C.;15;1;0;0;0;0;0;0;0;0;0;4;2;6;0;0;0;0;0;0;0;0;0;1;1;0;0
;;28;van den Hogen, E.A.G.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
;;29;Sier, C.J.N.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Slot, E.;7;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0
;;31;Weel, C.A.M.;13;0;0;0;0;1;0;0;0;0;0;2;3;1;1;0;0;0;1;0;0;0;0;2;2;0;0
;;32;Kwakman, C.J.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;33;Sier, N.N.M.;8;0;0;1;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;34;Lautenschutz, M.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
