Verkiezing;;Gemeenteraad Beverwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beverwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0375;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Buurthuis Wijk aan Duin;Kennemer Theater;Immanuelkerk;Brandweerkazerne Beverwijk-Oost;Gymzaal de Dreef;OBS het Kompas;Beverwijkse Harmonie Kapel;Fysiotherapie Europa;Speeltuin Jeugd en Vreugd;TTV Rapidity;Nieuw Akerendam;Gymzaal Kuikensweg;Sporthal Waterwijk;Sporthal Waterwijk;De Moriaan;Stadhuis Bijzonder Stembureau;Vredevorstkerk;Mobiel Stembureau
;;7;Langedijk, J.;19;0;1;0;2;0;0;1;6;2;1;1;0;0;0;1;0;0;1;0;0;0;0;2;0;1;0
;;8;Vreugdenhil, H.C.L.;7;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;1;2;0;0;0;0;0;0;0
;;9;van Dongen-Kuiper, E.;20;2;2;1;0;1;0;0;0;0;2;1;2;2;0;2;1;0;0;1;0;0;0;0;0;3;0
;;10;Gerlofsma-Roos, I.;16;0;0;0;2;1;0;2;0;1;2;0;0;1;1;0;0;0;0;1;0;0;0;5;0;0;0
;;11;Molenaar, Y.S.;22;1;1;0;0;2;0;0;2;0;1;0;1;0;0;0;0;0;1;0;2;0;0;11;0;0;0
;;12;Krotje, S.;21;4;0;0;0;4;0;2;0;2;1;1;1;1;0;2;1;0;0;0;2;0;0;0;0;0;0
;;13;van Dongen, J.E.;16;1;0;0;0;3;0;2;1;0;0;0;2;0;0;0;0;0;1;0;2;1;0;0;1;1;1
5;CDA;;;940;54;16;25;2;39;11;60;11;57;51;37;50;60;26;48;22;7;31;50;87;28;10;17;25;99;17
;;1;Dijkman, L.J.;423;21;6;9;2;29;4;28;1;29;22;10;25;22;17;22;9;5;19;19;34;12;6;6;8;45;13
;;2;Tabak, T.J.;133;3;0;5;0;0;4;12;2;4;5;2;7;18;3;7;1;0;2;6;14;5;1;4;2;24;2
;;3;Hekman, M.;116;10;2;6;0;6;0;6;2;3;6;7;5;10;1;4;4;0;2;6;13;3;1;1;3;15;0
;;4;Mosk, F.;40;2;0;0;0;0;1;3;0;4;2;6;3;2;0;2;2;2;1;5;2;0;0;1;0;1;1
;;5;Yagmur, C.;32;0;0;2;0;1;0;6;0;1;1;2;2;0;3;1;1;0;1;2;4;2;0;0;1;2;0
;;6;Niele, H.J.;29;4;0;1;0;0;0;0;0;2;2;0;1;1;0;4;0;0;1;3;4;1;1;0;1;3;0
;;7;Rietdijk, N.R.;26;0;3;0;0;0;0;0;0;0;6;2;0;3;0;1;0;0;1;0;4;1;0;0;2;3;0
;;8;Lindeman, M.;49;4;4;0;0;1;2;1;6;1;2;2;0;0;1;6;0;0;1;2;4;2;0;4;4;2;0
;;9;Dam-Hari de Meur, A.;23;2;0;1;0;0;0;2;0;2;0;5;4;1;1;0;1;0;0;2;0;0;0;0;2;0;0
;;10;Gijzen, M.J.M.;7;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0
;;11;Rooijmans, M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;12;Nagel, J.N.;12;0;0;1;0;0;0;2;0;0;0;1;2;1;0;0;0;0;0;2;3;0;0;0;0;0;0
;;13;Gijzen-Boon, F.M.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Kellenaar, A.F.M.;8;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0
;;15;Hienkens, C.J.M.;39;5;1;0;0;2;0;0;0;10;1;0;0;2;0;1;2;0;1;3;4;1;1;1;0;3;1
6;Samen Lokaal Beverwijk (SLB);;;3967;212;56;101;24;223;115;154;44;314;309;133;347;139;147;152;90;92;199;116;281;177;63;147;76;248;8
;;1;Bal, A.;1385;93;14;44;9;96;48;51;4;122;107;48;107;49;47;55;34;27;71;38;93;70;18;29;18;87;6
;;2;Rood, I.;642;27;24;16;2;29;23;28;2;44;45;21;40;20;36;29;17;13;25;22;44;25;17;9;14;70;0
;;3;Verreij, M.C.;163;7;3;0;0;11;0;2;0;11;21;5;28;9;3;9;1;2;9;4;11;8;5;2;6;5;1
