Verkiezing;;Gemeenteraad Huizen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Huizen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Kruiskerk;Kerkgebouw De Engel;Nieuwe Kerk;Cool-spot b.v.;De Brassershoeve;Kerk Bakboord;Wijkcentrum Meentamorfose;Oosterlichtkerk;Wijkcentrum Holleblok;Wijkcentrum 't-Vuronger;Meentkerk;De Rustmaat;Atletiekvereniging;Wijkcentrum Draaikom;Goede Herderkerk;Hotel Newport;Kerkgebouw De Plecht;Gymzaal Ellertsveld;Honkbalvereniging Zuidvogels;Prinses Irene;Gemeentehuis maandag;Hotel Newport maandag;Meentkerk maandag;Goede Herderkerk maandag;Holleblok maandag;Gemeentehuis dinsdag;Hotel Newport dinsdag;Meentkerk dinsdag;Goede Herderkerk dinsdag;Holleblok dinsdag
;aangetroffen stembiljetten;;;18220;1235;800;420;933;552;832;283;751;429;1267;192;1120;897;495;418;665;276;693;638;408;333;585;153;474;349;382;870;190;619;421;540
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;kiezers met stembiljet hebben niet gestemd;;;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;5;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;2869;205;147;138;147;86;128;27;80;38;169;27;112;105;87;27;225;62;66;95;73;67;81;38;56;101;36;149;34;75;130;58
;;1;Boom, R.G.;1616;128;70;55;72;52;74;20;44;20;103;12;62;68;62;14;111;38;42;58;45;36;48;27;24;53;25;92;23;45;60;33
;;2;Ormel, G.W.;69;9;3;5;1;0;3;0;1;2;4;1;2;5;1;2;6;0;3;1;1;3;1;0;5;3;0;2;0;2;2;1
;;3;van Kempen, H.A.M.;531;24;33;28;20;16;19;3;21;7;32;1;28;11;13;6;51;9;10;19;16;12;16;1;14;19;3;32;4;12;40;11
;;4;van Klink, S.H.;70;5;8;4;3;1;2;0;1;1;7;1;1;0;0;1;7;0;1;2;3;9;2;0;0;0;0;6;2;1;2;0
;;5;Bartlema, J.;77;2;7;4;15;3;4;0;0;1;3;0;2;1;0;1;5;1;2;3;1;1;4;1;0;6;2;2;0;3;2;1
;;6;Pouw, T.;37;2;1;5;3;1;0;0;1;0;0;0;2;1;0;0;1;2;1;3;3;0;0;0;5;3;0;1;0;0;2;0
;;7;Ribberink, J.;71;7;2;5;3;3;4;0;2;0;5;0;3;7;1;0;6;0;1;2;2;1;1;3;0;2;1;0;1;3;2;4
;;8;Loenen-Doesburg, C.;125;7;6;7;7;6;9;1;0;1;5;4;3;4;6;0;14;5;3;3;1;1;1;3;3;4;2;4;2;6;3;4
;;9;Donker, J.J.;20;1;1;1;2;0;0;0;0;1;1;0;3;0;0;1;0;0;0;0;0;2;0;0;1;3;0;0;0;0;3;0
;;10;Baptiste, B.T.;30;1;0;6;2;1;1;0;0;2;2;0;0;2;1;0;4;2;1;0;1;0;0;0;2;0;0;0;0;1;0;1
;;11;van Dijk, M.;10;0;0;0;0;0;0;2;3;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;Lambooij, F.B.S.;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;13;Rebel, E.A.;13;2;0;0;0;0;2;0;0;1;1;0;0;2;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;14;van der Meulen, J.G.;8;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0
;;15;Meijerman, J.W.;18;1;1;1;1;0;0;0;0;0;2;1;0;0;0;0;5;0;0;0;0;0;0;1;1;2;0;0;0;0;2;0
;;16;Ketting, N.G.;10;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;2;0;0;1;1
;;17;Prins, J.H.;160;15;14;15;17;2;10;1;6;1;3;7;5;3;2;1;13;4;1;3;0;2;7;1;0;3;2;7;2;2;9;2
2;Dorpsbelangen Huizen;;;2309;125;99;41;80;51;96;42;90;44;149;20;148;151;64;56;66;43;84;76;76;31;91;28;67;38;75;118;31;91;36;102
;;1;Rebel, M.K.;1661;91;74;26;59;32;68;25;60;31;104;11;115;111;54;39;43;30;57;57;54;22;69;21;49;17;62;87;27;65;24;77
;;2;Lekkerkerker, P.;193;12;5;9;4;8;16;2;6;2;11;4;9;8;3;9;11;3;7;1;7;3;5;2;3;13;5;7;3;6;4;5
;;3;Okkema, B.J.;169;4;8;3;9;4;4;6;8;1;12;3;6;11;3;5;4;6;7;5;8;3;5;2;9;3;2;11;1;4;3;9
;;4;Horst, G.J.;36;2;1;0;1;0;0;1;1;2;2;0;2;5;0;0;0;0;1;2;0;0;1;2;1;0;2;4;0;1;2;3
;;5;Schouten, P.B.M.;23;1;1;0;3;0;0;0;1;0;1;0;0;0;0;0;3;1;1;0;3;1;1;0;1;2;1;0;0;1;0;1
;;6;Erbé, T.J.J.;23;1;3;0;0;1;2;0;1;2;1;0;1;1;1;0;0;0;0;0;0;0;1;0;1;2;1;0;0;3;0;1
;;7;Westland - Kriek, S.;89;4;2;0;2;3;5;4;4;2;13;1;6;3;1;2;4;0;5;6;4;1;3;0;2;0;1;6;0;1;0;4
;;8;Horst, A.D.;8;1;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;9;Groeneveld - Bertelink, T.P.;29;2;0;0;1;1;0;0;0;1;1;1;5;5;0;0;0;1;0;1;0;0;2;0;1;1;0;1;0;4;1;0
;;10;van Bezeij, L.;39;4;1;1;1;1;1;3;2;3;3;0;1;2;0;0;0;1;3;2;0;0;2;1;0;0;0;1;0;3;1;2
;;11;Driessen, J.B.R.;39;3;4;2;0;1;0;1;4;0;1;0;2;4;2;1;1;1;3;1;0;1;2;0;0;0;0;1;0;3;1;0
3;CDA;;;2185;140;108;58;155;87;117;17;94;90;102;20;103;92;42;23;79;32;96;56;53;44;86;21;59;67;47;98;16;55;75;53
;;1;Rebel, R.H.;969;64;50;27;78;39;70;10;47;29;40;12;33;40;14;13;38;13;41;15;25;23;34;13;26;34;18;34;10;20;43;16
;;2;van Deutekom, D.C.;424;27;19;10;31;16;27;2;6;19;20;4;19;17;13;1;18;6;14;17;12;9;17;6;12;11;12;20;0;11;14;14
;;3;Rebel, G.;242;19;12;6;27;8;7;2;10;10;11;2;21;7;3;3;1;1;17;8;0;6;3;1;12;8;3;14;4;6;4;6
;;4;Vos-Breel, M.;105;15;6;2;3;2;2;2;7;1;3;0;6;3;4;1;2;4;7;4;0;1;12;1;2;1;1;4;1;3;0;5
;;5;Schipper, L.C.;92;2;10;3;4;5;1;0;7;3;6;0;8;2;1;1;1;1;3;6;2;2;3;0;0;3;4;7;1;1;2;3
;;6;Woudsma, R.;146;2;3;1;5;6;5;0;2;16;11;0;9;13;3;1;6;3;6;1;2;1;4;0;5;9;4;12;0;6;3;7
;;7;Dieterman, T.;38;2;1;1;2;1;0;1;1;2;3;0;3;3;1;0;0;2;3;1;3;0;3;0;0;0;0;1;0;4;0;0
;;8;Lujee, A.;5;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;9;van Heerikhuize-van der Kwast, W.M.;17;3;2;1;0;1;1;0;0;0;3;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0
;;10;Dirksen, M.;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0
;;11;van Dommelen, G.J.T.;3;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Verkaik, A.;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;13;van Vliet, E.;14;1;0;1;1;1;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0
;;14;Borremans, J.C.A.M.;15;0;0;1;0;2;0;0;1;1;0;0;0;3;1;2;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0
;;15;van Muiswinkel, J.D.;15;0;0;3;0;1;1;0;0;2;2;0;0;0;0;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
;;16;Witte, R.A.;7;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;17;Vos, C.G.;18;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;2;0;2;0;1;0;3;0;0;0;0;0;0;2;3;0
;;18;Visser-Rebel, J.A.;11;1;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;2;0
;;19;de Jong, G.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;20;Molenaar, K.;10;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;1
;;21;Dierick-van de Ven, M.G.F.;7;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0
;;22;Bakker-Klein, J.;33;1;1;1;3;1;2;0;2;3;2;1;1;1;1;0;3;0;1;0;3;0;2;0;0;0;2;1;0;0;0;1
4;D66;;;2070;131;85;64;97;49;115;24;59;37;158;32;132;96;81;37;82;28;77;91;42;30;81;10;42;48;37;102;30;72;42;59
;;1;van Werven, K.;1343;78;51;42;63;30;74;19;35;23;108;23;86;66;48;22;65;23;40;57;26;20;48;7;27;36;27;66;17;43;30;43
;;2;Schröder, B.;120;10;8;4;6;2;6;0;2;4;7;2;7;5;4;2;5;3;3;6;4;0;2;0;2;0;1;11;4;7;2;1
;;3;Fitskie-Aajoud, F.;253;23;10;6;12;7;13;3;10;4;21;1;17;6;14;4;6;1;7;11;6;6;16;2;3;4;5;17;2;8;2;6
;;4;Bruins, S.G.;33;3;0;1;1;2;2;0;1;0;1;0;1;1;0;0;0;0;2;4;2;1;3;0;2;0;0;1;0;2;3;0
;;5;Baltus, M.;31;2;1;0;1;0;3;0;0;0;4;0;1;0;3;1;0;0;3;1;1;0;2;0;0;0;0;1;3;1;3;0
;;6;Vos, R.O.A.;24;2;2;0;2;1;1;0;0;0;0;0;2;3;0;1;0;0;2;1;1;0;3;0;0;2;0;0;1;0;0;0
;;7;Matitahatiwen, Y.J.;95;3;4;3;8;4;6;2;3;4;6;1;7;6;3;4;2;1;9;3;2;2;0;1;0;1;1;2;1;5;0;1
;;8;Van den Eynde, S.P.J.;13;0;2;1;1;0;0;0;3;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;9;Egberink, T.F.M.;27;1;4;0;1;0;1;0;1;0;1;0;2;0;3;1;0;0;2;3;0;0;3;0;1;1;1;0;0;1;0;0
;;10;Kahlmann-de Wild, D.S.J.;13;0;0;1;0;0;2;0;1;1;1;0;2;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;1;0;0
;;11;Manschot, R.J.;14;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;1;0;0;1;0;1
;;12;Orsel, R.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;13;Haenen-van Egmond, E.;13;2;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;1;2;0;0;1;0;1;0;0;0;1;1;0;0
;;14;de Ruijter, O.F.H.J.;18;2;0;0;0;1;1;0;1;0;1;4;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;15;Verbeek, M.L.C.;67;5;3;3;2;2;2;0;2;1;4;1;6;4;2;2;1;0;8;1;0;1;1;0;3;0;0;3;1;2;2;5
5;Partij van de Arbeid (P.v.d.A.);;;1574;125;42;25;38;41;47;36;84;27;129;15;104;99;41;54;31;21;63;63;31;24;53;13;48;13;48;80;19;72;31;57
;;1;Hoelscher, M.W.;653;39;5;12;17;17;18;10;36;7;64;5;38;39;19;19;17;13;36;29;12;8;26;8;22;7;26;30;6;35;7;26
;;2;Leeuwin, M.N .;454;29;10;10;13;13;22;5;23;9;32;6;30;22;11;14;10;5;15;13;8;13;17;3;16;5;14;26;10;17;13;20
;;3;Gencer, K.;169;32;4;0;0;4;1;17;10;3;14;0;9;15;6;13;0;0;4;1;4;0;2;0;2;0;2;14;0;7;4;1
;;4;Honing, N.;35;6;6;0;0;0;0;0;3;1;4;0;1;1;0;1;0;0;0;0;1;0;3;0;1;0;0;4;0;0;1;2
;;5;Vreedeveld, M.;99;3;9;0;2;3;0;0;3;0;2;1;11;10;0;5;0;1;3;11;6;1;2;2;6;0;3;4;1;6;3;1
;;6;Bos, H.J.G.;53;3;1;0;4;1;3;2;3;5;3;0;3;4;4;1;2;1;2;2;0;0;2;0;0;0;1;0;0;1;2;3
;;7;Bruinsma, T.P.J.;6;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;8;van der Heijden, W.J.G.;9;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;9;de Jong, M.M.;27;7;3;1;0;1;1;1;0;0;1;0;2;5;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
;;10;Kolk, J.F.M.;8;2;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;11;van Nunspeet, R.C.;10;2;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Roodheuvel, R.G.;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;van Spil, E.;5;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Tijhaar, L.M.;27;1;0;0;0;1;0;0;1;0;5;0;5;1;0;0;0;1;0;2;0;2;1;0;0;0;1;0;1;3;1;1
;;15;Voorbraak, L.J.D.C.;3;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van der Pas, S.;11;0;0;0;1;0;0;0;2;0;1;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1
6;GROENLINKS;;;1644;110;67;32;48;46;70;20;75;29;155;12;124;104;35;69;47;21;86;61;20;16;50;6;45;18;39;84;14;56;24;61
;;1;Rienstra, K.S.;996;68;34;25;27;25;39;12;42;16;90;9;76;61;25;46;32;8;52;36;14;10;29;3;27;11;30;49;12;36;16;36
;;2;van den Berge, M.J.;229;19;6;3;8;4;11;1;6;6;27;1;19;17;2;5;9;6;12;12;4;3;5;0;2;5;1;13;0;6;4;12
;;3;Amessas, M.;59;3;7;2;2;1;3;2;1;1;5;0;4;2;0;0;2;1;8;4;0;1;4;0;1;0;3;0;0;2;0;0
;;4;Korzelius, P.P.;35;1;2;0;3;0;0;0;4;1;2;0;4;1;1;0;1;0;0;0;0;0;2;2;2;1;1;3;0;2;0;2
;;5;Mdaghri, M.;86;7;7;2;1;9;4;0;11;0;7;1;4;4;0;6;1;1;1;4;0;0;4;0;6;0;0;1;1;1;0;3
;;6;Shahwaladi, H.;86;3;4;0;2;3;3;2;4;3;12;0;9;4;2;5;2;1;5;2;0;0;0;1;1;1;0;9;1;1;2;4
;;7;Vosters, P.U.J.;16;1;1;0;2;0;1;0;0;1;0;0;0;1;2;1;0;0;0;0;0;0;2;0;1;0;0;1;0;1;1;0
;;8;Snackey, R.A.;54;3;1;0;3;0;5;1;3;0;2;0;4;10;1;0;0;2;4;2;0;1;1;0;2;0;2;3;0;4;0;0
;;9;Boekschoten, M.;10;3;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
;;10;Lemmens, M.E.;56;1;3;0;0;1;4;2;4;1;8;1;2;3;2;5;0;2;4;0;2;1;1;0;2;0;1;2;0;3;1;0
;;11;Pas, G.E.H.;17;1;1;0;0;1;0;0;0;0;2;0;1;1;0;1;0;0;0;1;0;0;2;0;1;0;1;2;0;0;0;2
7;Leefbaar Huizen;;;2646;213;88;40;110;73;99;29;131;59;238;31;205;143;89;73;76;44;89;104;60;50;67;24;86;28;47;110;25;117;23;75
;;1;de Bruijn, R.W.;764;61;27;13;38;23;29;10;33;12;56;8;43;41;30;22;36;11;30;29;7;17;24;5;27;15;15;35;10;30;7;20
;;2;van der Kleij, F.F.H.;1427;114;51;17;48;36;49;16;71;32;145;10;119;85;49;43;27;28;45;64;42;27;32;15;40;10;27;61;14;58;16;36
;;3;Koning, F.E.R.;55;2;2;4;3;1;6;0;5;1;9;0;4;1;0;0;1;0;3;3;0;2;1;0;2;0;1;1;0;1;0;2
;;4;Veer-Thiel, L.;114;12;3;1;3;2;1;2;3;4;8;1;12;7;3;4;3;1;0;3;1;0;2;2;9;1;1;5;0;14;0;6
;;5;van Woerkom, B.;80;12;1;1;5;2;5;1;2;4;5;3;8;2;4;3;5;1;1;1;3;4;0;0;1;0;0;1;0;5;0;0
;;6;Visser, D.;103;6;1;1;9;4;6;0;10;6;3;5;13;3;1;0;2;3;1;3;4;0;5;2;5;0;0;1;1;4;0;4
;;7;van Bennekom, A.J.;103;6;3;3;4;5;3;0;7;0;12;4;6;4;2;1;2;0;9;1;3;0;3;0;2;2;3;6;0;5;0;7
8;ChristenUnie;;;1337;64;60;10;153;48;61;44;67;59;71;7;96;52;30;22;31;9;59;46;26;23;29;6;49;18;33;60;6;37;25;36
;;1;Doorn, W.;614;28;29;1;61;15;33;14;33;24;38;5;35;37;14;10;11;3;21;23;12;12;7;2;20;10;20;38;3;18;12;25
;;2;Terlouw, M.;204;8;7;4;18;6;8;5;8;11;17;0;23;5;6;3;4;3;9;4;3;2;7;0;11;6;5;3;1;11;2;4
;;3;de Kok, C.G.;65;4;4;1;10;5;1;0;2;3;0;0;4;2;1;0;10;0;5;2;0;2;0;0;2;2;0;3;0;0;1;1
;;4;Boonstra, L.M.;35;3;3;0;1;1;3;2;2;3;2;1;0;3;0;3;0;0;1;2;0;0;0;0;0;0;2;0;0;1;2;0
;;5;den Butter, B.W.;75;4;4;0;26;5;4;3;7;1;2;0;4;0;1;0;0;0;6;0;0;0;1;0;2;0;0;2;0;0;2;1
;;6;Bor - in 't Veld, P.J.;57;0;2;0;6;1;2;4;4;5;3;1;1;2;0;2;2;0;6;5;1;0;5;0;0;0;1;2;0;1;0;1
;;7;van Vliet-de Wit, S.M.G.;30;2;3;0;11;0;2;3;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;2;0;0;0;1
;;8;Lustig, C.W.;34;1;2;1;1;3;0;4;0;7;1;0;2;0;0;0;0;0;1;4;0;0;2;0;4;0;0;0;1;0;0;0
;;9;Rosier, J.V.;17;0;0;0;3;1;0;0;0;0;2;0;0;0;0;1;0;1;2;0;2;1;2;1;0;0;1;0;0;0;0;0
;;10;Schoemaker-Wenderich, S.;17;0;1;0;0;0;0;0;1;1;1;0;4;0;0;0;0;2;0;0;2;1;0;3;0;0;0;0;0;0;0;1
;;11;Joosse-Izelaar, J.P.;24;1;3;0;3;2;2;0;0;0;1;0;4;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;3;0
;;12;van Kralingen-Wiesenekker, E.Y.;9;2;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;13;Rebel, H.J.C.;22;3;0;0;1;0;0;1;1;2;1;0;6;1;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;1
;;14;De Groot-ter Harmsel, W.A.;10;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;2;0;0
;;15;Kooij, H.;10;0;0;0;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0
;;16;Toornstra-Kattenberg, E.W.;6;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;17;Barmentlo, G.;12;2;0;0;4;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;18;Kreuger-de Vries, E.;12;1;0;0;1;0;0;2;0;1;0;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0
;;19;Van der Poel, T.R.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0
;;20;Akse-Tanghe, T.H.;22;0;0;0;2;3;0;0;1;0;2;0;4;2;2;0;0;0;1;0;2;0;0;0;1;0;0;0;1;1;0;0
;;21;Schraverus-Leerling, M.J.;29;4;0;0;0;2;0;0;0;0;0;0;5;0;1;2;0;0;0;3;0;0;1;0;4;0;2;5;0;0;0;0
;;22;Verhage-van Kooten, M.;28;1;2;2;1;0;1;3;4;0;1;0;2;0;0;1;0;0;1;1;0;2;2;0;0;0;0;2;0;2;0;0
9;Staatkundig Gereformeerde Partij (SGP);;;833;55;77;10;87;33;68;31;38;27;40;18;40;19;17;14;16;8;27;13;11;25;21;1;11;15;11;34;4;17;28;17
;;1;Bource, R.J.C.;559;39;58;8;60;20;48;16;27;17;35;11;18;10;11;7;12;4;15;7;8;17;16;1;6;10;9;24;3;10;20;12
;;2;Kos, W.;70;5;8;2;9;3;7;3;4;4;0;0;6;0;2;1;0;1;1;0;3;4;3;0;1;1;0;1;1;0;0;0
;;3;Hettema, D.;42;1;0;0;0;1;0;4;0;0;2;0;5;4;1;4;0;0;3;3;0;2;0;0;2;1;1;2;0;2;2;2
;;4;Klein, J.;41;5;3;0;5;2;7;0;2;1;2;3;0;0;0;0;2;1;2;0;0;0;0;0;0;2;0;2;0;1;1;0
;;5;Korver, M.;9;0;1;0;0;0;0;3;1;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Kos, T.;21;3;2;0;3;2;0;2;2;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;2;0
;;7;Klein, G.M.;8;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;8;Lubbers, T.T.;20;0;0;0;2;2;0;1;0;0;1;3;5;1;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0
;;9;van Zutphen, T.B.;11;0;2;0;1;1;2;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Scheer, A.N.J.;52;2;1;0;6;2;4;0;2;5;0;0;5;3;2;0;0;0;2;2;0;0;2;0;2;1;1;3;0;2;2;3
