Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Woon en zorgcentrum Huis ter Hagen;RKVV Velsen;Engelmunduskerk Oud Velsen;gem. zaal Roos en Beek appartementencomlex;Cafe Zaal De Wildeman;Bosbeekschool, ingang schoolplein;'t Brederode Huys;Basisschool Floriant;Brederode Daltonschool;COB Hofstede;Jongerencentrum de Koe;Basisschool De Westbroek;Basisschool De Hoeksteen;Sporthal Het Polderhuis;Sporthal IJmuiden-Oost;Stichting OIG-IHD;Willemsbeekzaal;Buurthuis De Spil;Verpleeghuis Velserduin;CBS de Kompas;Woon-en zorgcentrum W.F. Visserhuis;IJmuider Zee en Havenmuseum;Buurthuis De Brulboei;Woonzorgcentrum De Moerberg;Sporthal Zeewijk;Basisschool De Origon;Buurtcentrum de Dwarsligger;Dienstencentrum Zeewijk;Wijkcentrum De Stek;Voetbalvereniging F.C. Velsenoord;Gemeentehuis maandag;gem. zaal Roos en Beek appartementencomlex maandag;'t Brederode Huys maandag;Sporthal Het Polderhuis maandag;Sporthal Zeewijk maandag;Wijkcentrum De Stek maandag;Gemeentehuis dinsdag;gem. zaal Roos en Beek appartementencomlex dinsdag;'t Brederode Huys dinsdag;Sporthal Het Polderhuis dinsdag;Sporthal Zeewijk dinsdag;Wijkcentrum De Stek dinsdag
Gebiednummer;;;;;1;2;3;4;10;11;13;14;15;16;17;18;19;20;22;32;33;35;36;41;42;44;46;48;50;53;55;56;57;81;83;101;110;114;122;153;181;201;210;214;222;253;281
Postcode;;;;;1971 EN;1985 CV;1985 HT;1981 BH;2071 SM;2071 EL;2071 AW;2082 GE;1991 BZ;2082 BD;1991 PT;1991 JE;1991 NN;1991 ET;1991 RK;1971 HN;1971 NL;1971 GZ;1971 VZ;1972 TL;1972 RR;1972 EE;1973 AK;1975 BJ;1973 XM;1973 BE;1974 TV;1974 BP;1974 PC;1951 CD;1951 HH;1971 EN;2071 SM;2082 GE;1991 RK;1973 BE;1951 CD;1971 EN;2071 SM;2082 GE;1991 RK;1973 BE;1951 CD
;;11;Korf, N.;50;3;0;1;1;0;0;1;0;1;0;0;1;2;0;2;2;5;8;5;1;1;2;1;0;1;0;1;1;1;0;0;0;0;0;1;1;0;3;0;0;1;2;1
;;12;van der Linde, J.M.;93;4;11;14;1;3;4;1;5;1;3;3;3;7;2;2;0;0;1;1;1;0;0;1;4;1;1;0;0;2;0;0;2;2;0;0;0;0;2;6;0;3;2;0
;;13;van Ikelen, P.C.;38;0;2;0;17;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;5;0;2;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;14;Vrijhof, F.;47;2;1;3;2;0;2;1;0;1;0;2;0;1;1;1;1;1;0;2;1;3;2;4;2;1;2;1;2;1;0;1;0;0;0;1;1;0;1;0;0;3;0;0
;;15;Ausma, G.O.J.;35;1;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;9;7;0;0;0;3;0;1;1;0;1;0;0;4
;;16;Verkuyl, J.E.H.;7;0;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Stroet, R.T.B.;30;2;2;0;5;0;0;0;0;0;0;1;1;1;0;0;3;2;0;1;0;0;0;0;2;2;2;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;0;0
;;18;van de Scheur, R.;41;1;0;0;0;1;0;0;0;13;0;3;1;0;2;2;0;1;4;0;0;0;2;1;0;0;1;0;0;1;0;0;2;1;0;2;0;0;0;0;0;3;0;0
;;19;van Ikelen, J.P.;55;1;0;0;0;2;2;0;0;4;0;1;2;0;0;1;0;2;3;2;0;1;2;2;4;6;1;3;0;1;0;0;1;0;0;0;3;1;7;0;0;1;2;0
;;20;Vester, M.G.J.E.;107;4;4;3;2;8;6;6;4;2;2;13;1;3;2;9;4;0;0;2;3;1;0;0;2;0;1;0;4;2;1;3;1;5;2;0;1;0;1;1;0;3;1;0
2;D66;;;4065;100;184;226;153;221;263;222;287;98;94;122;146;197;94;201;59;78;45;48;49;47;44;77;60;43;23;69;47;38;28;11;51;68;70;83;12;3;58;120;87;102;25;12
;;1;Smeets, S.;1455;40;61;58;66;98;113;78;64;40;24;38;54;60;37;58;20;23;19;19;21;22;14;27;18;15;4;25;24;19;11;8;13;34;26;35;6;1;22;52;28;45;10;5
;;2;de Ruig, S.N.M.;285;9;37;67;14;5;8;1;10;3;4;7;7;13;3;15;4;2;0;7;0;2;5;5;2;0;2;5;2;2;1;0;8;3;4;1;0;0;6;6;4;6;1;4
;;3;Rijkers, H.P.A.M.;140;4;1;4;7;8;21;13;9;0;0;5;5;1;3;7;3;4;4;1;0;3;3;3;0;2;1;3;0;0;0;1;0;2;0;3;0;0;2;8;2;7;0;0
;;4;van der Zanden, J.M.;896;11;35;38;32;40;44;42;152;21;53;19;28;37;13;37;5;14;6;7;8;5;9;17;10;9;7;11;10;3;5;0;11;11;36;13;5;2;10;20;36;17;6;1
;;5;Uijtendaal, A.;127;4;3;7;0;17;13;34;7;2;0;2;2;2;0;2;2;0;1;0;1;2;1;1;0;2;0;1;0;0;1;0;1;6;0;1;0;0;1;10;1;0;0;0
;;6;Kuin, E.W.;56;1;17;8;4;2;3;0;0;0;0;2;2;2;1;2;1;1;2;0;0;0;0;1;0;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;1;1;0
;;7;Hillebrink, M.M.;61;1;11;10;1;4;2;1;1;2;0;0;1;1;1;4;1;1;1;0;1;0;1;1;1;0;0;2;0;2;0;0;0;1;0;0;0;0;3;3;1;2;0;0
;;8;da Silva Marcos, T.M.;312;23;7;9;13;3;8;6;11;6;3;8;3;4;1;9;15;22;6;10;8;10;10;13;23;12;6;12;5;6;3;1;8;1;1;1;0;0;10;3;4;2;6;0
;;9;Boelé, L.A.;224;1;1;0;3;4;5;1;0;8;0;24;30;46;21;38;2;0;2;1;1;0;0;0;1;0;0;0;0;3;1;0;2;0;0;12;0;0;0;3;0;14;0;0
;;10;Zuidweg, A.;169;0;7;6;5;27;34;37;6;2;1;5;1;5;1;4;0;1;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;6;0;1;0;0;1;12;1;0;1;0
;;11;Boonstra, P.;18;0;0;2;2;4;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;12;Griffioen, A.;112;0;0;0;0;1;4;0;2;6;0;11;8;17;8;22;0;0;0;0;3;0;1;1;0;0;0;0;1;0;2;1;0;0;0;15;1;0;0;0;1;7;0;0
;;13;Kiewik, J.H.G.;29;1;0;2;1;2;0;1;0;4;0;0;0;2;0;0;0;4;0;0;1;1;0;0;0;1;2;4;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;van Meegen, W.H.;10;0;0;0;0;1;1;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;15;Brabander, M.J.;23;0;0;14;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;2;0;0;0
;;16;Wagensveld, R.;10;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;Leuning, J.J.;11;0;0;0;0;1;0;1;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;18;Koper, W.J.;7;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Smeets, H.J.;4;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Driest, E.A.W.;36;0;0;0;2;0;2;0;16;2;3;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;2;0;0;0
;;21;Zorgdrager-van Laar, E.H.;80;5;1;1;3;3;2;0;0;2;0;1;4;5;2;1;2;3;4;2;5;2;0;5;5;0;1;2;4;1;1;0;4;1;0;1;0;0;1;0;3;1;0;2
3;VVD;;;3119;80;190;161;130;144;189;109;181;62;61;97;110;157;94;145;52;66;37;43;33;80;57;83;54;42;35;59;36;38;20;6;53;31;31;36;10;4;64;61;71;82;19;6
