Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bethelkerk;Bethelkerk;Buurthuis Centrum;School 7 Bibliotheek;De Jutter;Buurthuis de Viskom;Odensehuis;Buurtvereniging 't Kraaiennest;Triade;Hortus Overzee;Brede school de Poolster;Buurtvereniging Elto;Dorpshuis Huisduinen;ATV Texelstroom;M.F.C. 't Wijkhuis;'t Tuselantschool;Winnubst;M.F.C. de Boerderij;M.F.C. de Boerderij;Baptistenkerk Het Lichtbaken;Sporthal de Brug;Sporthal de Brug;RK Willibrordkerk;Gymzaal Vogelzand;Gymzaal Vogelzand;RK Basisschool De Hofstee;RK Basisschool De Hofstee;De Verbinding;De Verbinding;De Vredeskerk;De Vredeskerk;De Vredeskerk;De Kampanje/Stadshal;De Kampanje/Stadshal;De Kampanje/Stadshal;De Draaikolk;De Draaikolk;De Draaikolk;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;De Albatros
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
Postcode;;;;;1781 KA;1782 KA;1781 LC;1781 BB;1781 CC;1781 TR;1781 WS;1782 XA;1782 BG;1782 SM;1782 JD;1782 AS;1789 AH;1784 EA;1784 EA;1783 GK;1783 HX;1785 JP;1785 JP;1785 SB;1785 BC;1785 BC;1786 AC;1788 MJ;1788 MJ;1788 VA;1788 VA;1788 WS;1788 WS;1785 BA;1785 BA;1785 BA;1781 AS;1781 AS;1781 AS;1784 BJ;1784 BJ;1784 BJ;1788 ES;1788 ES;1788 ES;1781 ZZ
;;3;Bak, R.J.J.;281;3;1;3;2;0;0;3;0;0;1;0;2;3;0;6;6;4;0;0;0;1;1;82;13;13;18;11;10;10;2;7;8;0;2;0;0;4;0;13;26;24;2
;;4;Lobles, J.J.;150;5;4;2;6;2;2;2;2;2;7;1;2;2;3;7;10;8;2;4;3;2;3;6;6;3;7;0;4;4;2;4;5;7;1;0;1;2;8;1;6;2;0
;;5;Cueche Hernandez, J.G.;78;1;2;2;3;3;4;3;3;1;1;2;1;1;3;2;1;7;0;1;6;1;2;2;3;4;2;2;1;0;2;4;0;1;0;1;0;0;1;1;2;2;0
;;6;Corporaal, J.C.;39;1;0;0;5;0;0;0;0;3;1;0;0;0;0;1;0;4;0;0;0;2;0;0;1;1;1;3;1;0;0;2;1;1;0;1;1;1;2;1;2;3;0
;;7;Schouten, L.D.;21;2;0;0;0;0;0;2;0;0;2;0;0;0;1;0;2;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;1;0
;;8;Bakelaar, M.F.;32;1;0;0;0;0;0;0;0;3;1;0;1;0;1;3;2;0;0;1;1;0;0;2;1;3;1;0;1;0;1;4;0;0;0;0;0;2;1;0;2;0;0
;;9;Langelaan, F.J.A.;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;0;0;21;3;0;1;0;1;2;2;0;1;0;0;0;0;0;0;1;7;5;0
;;10;Visser, W.;27;1;1;0;0;0;0;2;0;0;2;0;0;1;0;0;0;4;1;0;1;0;0;0;1;1;0;1;0;2;1;3;0;0;0;0;2;0;1;0;0;2;0
;;11;Langedijk, R.J.;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0
;;12;Priem, D.I.;22;0;0;0;0;0;0;0;2;0;0;1;3;0;0;0;0;1;0;0;0;0;0;2;1;0;3;1;1;1;0;0;0;0;0;0;1;0;0;1;2;2;0
