Verkiezing;;Gemeenteraad Stede Broec 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Stede Broec;;;;;;;;;;;;;;;;;;
Nummer;;0532;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Café De Paus;Dorpshuis De Stek;Happy Days;Hét Postkantoor;Vereenigingsgebouw de Tuf;Gymzaal De Helt;Sporthal De Flint, nr. 1;Sporthal De Flint, nr. 2;Sporthal De Kloet, nr. 1;Sporthal De Kloet, nr. 2;Happy Days (maandag);Happy Days (dinsdag);Hét Postkantoor (maandag);Hét Postkantoor (dinsdag);Café De Paus (maandag);Café De Paus (dinsdag)
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Open en Duidelijk Stede Broec;;;2497;89;306;135;362;265;230;122;89;49;131;80;114;182;264;41;38
;;1;Visser, M.G.T.;828;30;111;46;114;82;63;44;34;11;46;24;49;62;84;18;10
;;2;Groot, A.A.C.;590;17;78;34;72;44;46;32;26;19;30;23;36;39;71;12;11
;;3;Visser-Okhuijsen, J.;125;4;14;9;20;14;14;7;5;1;5;6;6;10;9;1;0
;;4;Dudink, W.;156;1;10;4;32;27;27;5;0;3;10;6;0;12;18;0;1
;;5;Essen, J.C.M.;142;4;36;6;15;20;14;7;5;2;7;4;4;6;8;3;1
;;6;Ceulemans, A.J.A.;76;3;4;7;13;3;6;0;2;3;3;3;3;15;9;0;2
;;7;Ettes, J.J.M.;111;2;9;6;22;15;10;4;5;0;2;2;3;11;15;1;4
;;8;Visser, T.G.M.;36;0;0;1;11;7;3;0;0;1;1;1;1;6;4;0;0
;;9;Dekker, J.T.A.M.;54;1;6;2;11;6;7;5;3;1;2;2;0;4;3;0;1
;;10;Huisken, L.;19;0;1;0;2;2;2;2;1;1;3;0;0;0;5;0;0
;;11;Bakker, D.J.P.;29;3;2;2;2;5;3;1;1;0;3;1;0;3;2;1;0
;;12;Luckerhof, W.M.G.;65;0;8;6;12;4;4;5;2;1;5;1;2;4;9;1;1
;;13;Kaagman, C.H.M.M.;33;3;2;2;6;2;3;0;1;0;6;1;0;2;2;0;3
;;14;Smit, E.P.N.;31;2;3;1;4;8;5;0;1;0;1;0;0;2;4;0;0
;;15;Kruis, J.;47;4;4;3;4;8;9;4;2;0;3;0;2;2;2;0;0
;;16;de Boer, P.;32;3;4;1;2;7;1;2;0;0;0;2;3;2;5;0;0
;;17;Degeling-De Decker, A.T.A.C.;11;1;3;0;1;0;0;0;1;0;1;1;0;1;2;0;0
;;18;Besseling, G.A.J.M.;41;1;7;1;10;4;5;1;0;3;0;0;2;1;5;1;0
;;19;van Diepen, J.J.M.;14;6;2;0;1;0;1;0;0;0;1;0;0;0;0;2;1
;;20;van Gulik, A.C.;3;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0
;;21;Savenije, S.M.;14;1;2;0;0;2;2;0;0;2;1;1;1;0;2;0;0
;;22;Koomen, A.;40;3;0;4;7;5;5;1;0;1;1;2;2;0;5;1;3
2;CDA;;;1960;302;243;84;256;213;140;74;49;31;68;36;46;101;145;71;101
;;1;Kok, J.J.M.;1028;192;151;44;134;76;62;28;19;17;28;21;18;56;70;46;66
;;2;Kroezen, J.P.N.;109;9;12;8;19;19;13;8;4;5;3;0;4;3;1;0;1
;;3;Rood, G.C.M.;134;6;14;8;22;20;8;7;3;1;3;5;4;8;22;2;1
;;4;Wildöer, A.J.W.;63;0;9;2;5;20;11;3;0;0;2;0;1;4;5;1;0
;;5;Peerdemann, J.W.T.;47;17;2;1;7;2;2;0;1;1;2;1;2;0;2;4;3
;;6;Feij, J.;68;2;9;7;11;11;4;3;1;2;7;2;5;0;3;0;1
;;7;Scholtens, M.W.;49;2;4;2;4;3;7;14;4;1;1;0;2;3;2;0;0
;;8;Reus, B.G.E.M.;113;6;7;3;12;15;7;5;8;0;9;2;3;10;22;2;2
;;9;Bakker, J.M.;20;3;1;1;1;2;0;1;0;1;1;0;0;1;2;3;3
;;10;Slagter, N.C.P.;91;22;8;2;9;4;13;1;5;1;1;2;3;5;3;0;12
;;11;Brugmans, P.J.L.;4;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1
;;12;Deen, C.J.M.;37;1;7;2;9;5;2;1;1;0;0;0;0;0;5;0;4
;;13;Karel, E.G.M.;21;0;3;2;3;2;4;2;1;0;0;1;1;1;0;1;0
;;14;Bleeker, M.A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Kroezen, M.C.;19;3;1;0;2;6;0;0;1;1;1;0;0;0;0;3;1
;;16;Bakker, N.C.A.M.;29;18;1;0;1;5;1;0;0;0;0;0;0;1;0;2;0
;;17;de Wit, T.G.N.;22;2;8;0;1;4;0;0;1;1;4;0;0;1;0;0;0
;;18;Ligthart, M.G.;11;4;2;0;1;0;0;0;0;0;0;0;0;0;0;3;1
;;19;Smit, K.W.;5;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
;;20;Ligthart, J.A.M.;11;6;0;1;2;0;0;0;0;0;1;0;1;0;0;0;0
;;21;Bousma, N.U.;5;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0
;;22;Botman, M.J.S.;20;1;1;0;1;12;2;0;0;0;0;0;0;1;2;0;0
;;23;Kuin, R.J.W.;7;1;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0
;;24;Botman, A.M.;8;0;2;0;3;1;1;0;0;0;0;0;0;1;0;0;0
;;25;Ligthart, E.W.M.;13;3;0;0;2;1;0;0;0;0;0;0;1;3;2;1;0
;;26;Verbaan-Jutte, M.F.;25;3;1;1;4;2;1;1;0;0;2;0;1;1;1;2;5
3;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;700;32;67;54;127;52;38;44;22;20;41;24;26;55;76;7;15
;;1;Bisscheroux, S.;446;21;41;29;79;28;23;35;17;13;27;12;15;37;56;4;9
;;2;Koopen, Y.C.;91;3;9;7;17;5;5;5;4;2;6;4;5;10;8;1;0
;;3;Bisscheroux, R.W.M.;11;1;0;1;1;1;2;1;0;0;1;0;2;0;1;0;0
;;4;Vuijst, A.A.;14;0;1;2;3;3;1;0;0;0;1;3;0;0;0;0;0
;;5;Bakker, J.C.T.;20;3;3;0;2;1;1;1;0;3;2;1;0;2;0;1;0
;;6;Segers, S.;36;1;7;4;7;2;3;2;0;0;0;1;1;1;3;1;3
;;7;Aker, J.F.M.;9;0;0;0;4;3;0;0;0;0;0;0;0;0;1;0;1
;;8;Nootebos, T.;17;1;2;4;5;2;0;0;0;0;1;0;1;0;1;0;0
;;9;Vuijst, T.J.;8;0;1;2;2;2;0;0;0;0;1;0;0;0;0;0;0
;;10;Kreuk, A.E.M.;33;2;2;4;4;5;1;0;0;1;1;2;2;4;3;0;2
;;11;Terband, J.;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;12;Kersten, W.H.M.;13;0;1;1;3;0;2;0;0;1;0;1;0;1;3;0;0
4;VVD;;;1195;143;168;43;177;193;66;29;29;21;54;32;41;52;91;29;27
;;1;Leeuwinga, J.H.H.;553;27;78;23;98;95;32;10;20;9;26;16;23;29;53;8;6
;;2;Lezaire, M.;174;92;19;1;3;5;2;4;3;2;6;0;6;1;2;14;14
;;3;Krijger, M.;72;0;12;2;9;20;7;2;0;0;0;6;4;3;7;0;0
;;4;Nooter, I.;22;1;7;3;2;2;0;0;0;0;2;1;0;0;3;1;0
;;5;Ruijter, A.W.P.;11;3;4;0;0;0;0;0;0;0;1;2;0;0;1;0;0
;;6;Manshanden, E.I.M.;81;0;18;2;12;13;6;5;3;3;6;2;1;3;7;0;0
;;7;Peelen, W.T.M.;71;4;10;0;14;8;7;5;0;5;4;1;0;3;6;2;2
;;8;Schouten, J.T.;46;8;6;5;2;4;4;0;1;0;3;3;2;1;1;2;4
;;9;Hoek, P.J.;5;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;1
;;10;Visser, R.A.;45;3;6;0;12;8;3;1;0;2;0;0;2;1;7;0;0
;;11;Karel, L.T.J.;22;1;2;0;5;12;1;0;0;0;0;0;0;0;0;1;0
;;12;Specker, R.J.M.;16;0;1;4;1;2;3;0;0;0;0;1;2;2;0;0;0
;;13;de Jong, E.W.;11;0;0;0;4;5;0;0;0;0;0;0;1;1;0;0;0
;;14;Peerdeman, C.J.;8;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0
;;15;Vriend, J.S.M.;12;1;2;0;3;2;0;1;0;0;1;0;0;2;0;0;0
;;16;Sneeboer, J.A.J.;7;0;2;0;0;2;0;1;0;0;0;0;0;2;0;0;0
;;17;Horstman, E.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Molenaar, W.A.;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
;;19;Schuitemaker, A.L.P.;15;0;1;3;2;6;0;0;0;0;1;0;0;0;2;0;0
;;20;Tip, T.;17;0;0;0;2;5;0;0;2;0;1;0;0;4;2;1;0
5;Gemeente Belangen Stede Broec (GBS);;;644;29;64;45;80;46;63;46;38;6;55;27;38;41;53;8;5
;;1;Raven, P.G.;316;9;33;27;35;26;37;25;15;3;19;10;18;18;30;7;4
;;2;van Basten- Winkler, I.P.;134;3;10;9;25;8;12;5;8;1;7;9;10;15;11;1;0
;;3;Beugelink, H.H.;30;4;5;1;0;3;1;1;2;0;11;1;1;0;0;0;0
;;4;Mast, J.;17;0;1;2;3;1;2;1;4;0;1;1;0;0;1;0;0
;;5;Mast, D.L.;74;8;3;2;14;5;8;10;6;2;3;1;4;3;4;0;1
;;6;Kamp- Bierenbroodspot, S.;32;2;5;1;2;3;1;3;2;0;9;2;0;1;1;0;0
;;7;Jong- van Leeuwen, H.G.M;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;8;Mekkelholt- van Bavel, W. J. M.;20;1;5;1;0;0;0;0;1;0;3;3;2;2;2;0;0
;;9;Tijsen, W.;8;0;2;1;1;0;0;0;0;0;0;0;3;0;1;0;0
;;10;Groen, K.;3;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
;;11;Kamp, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Peerdeman, J.P.;8;2;0;0;0;0;1;1;0;0;1;0;0;2;1;0;0
6;Onafhankelijke Partij;;;569;54;48;46;80;29;54;32;23;10;37;17;24;32;49;6;28
;;1;de Wit-Scholten, W.J.C.;266;14;23;17;45;16;22;13;14;6;22;10;13;12;28;2;9
;;2;ten Hove, P.F.;34;3;2;2;4;0;5;1;3;1;3;2;3;3;2;0;0
;;3;de Boer, E.;36;13;0;2;1;0;3;5;1;0;1;1;0;2;2;2;3
;;4;Buijsman - Koopman, G.M.J.;93;5;10;8;15;8;12;2;1;2;0;0;5;12;8;1;4
;;5;Peerdeman - van Westen, A.A.M;14;2;1;2;1;1;0;2;0;0;2;2;0;1;0;0;0
;;6;Sneek, K.R.;23;0;1;1;6;0;2;2;1;1;3;0;3;1;1;0;1
;;7;van Benthem, A.M.;4;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0
;;8;Kors, L.C.E.;34;15;2;4;1;0;2;0;1;0;3;0;0;0;0;1;5
;;9;Ververs, Y.W.P.J.M.G.;5;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1
;;10;de Wit, A.C.M.;15;0;0;3;2;1;0;5;2;0;1;0;0;0;1;0;0
;;11;Zwaan, P.B.;33;1;8;1;4;2;4;0;0;0;1;0;0;1;6;0;5
;;12;Buijsman, N.J.P.M.;12;0;1;4;1;0;3;0;0;0;1;2;0;0;0;0;0
7;Eerlijk Leefbaar Stede Broec;;;378;13;49;24;53;32;52;17;18;8;30;8;20;20;20;4;10
;;1;Dudink-Dol, E.M.D.;219;8;31;14;35;21;22;4;14;2;15;4;13;11;12;4;9
;;2;Kuipers, R;43;0;0;0;4;7;12;6;0;4;2;1;0;5;1;0;1
;;3;Kaagman, J.P.M.;19;0;5;2;3;0;1;1;0;0;3;0;1;1;2;0;0
;;4;van den Braak, D;11;0;1;2;0;0;4;0;1;0;3;0;0;0;0;0;0
;;5;Dudink, H.A.M.;12;0;3;1;0;0;2;1;1;1;0;0;2;0;1;0;0
;;6;Rogier, S.C.;11;0;1;0;1;1;3;0;0;0;2;0;2;0;1;0;0
;;7;Steltenpool, R.;6;0;0;1;1;0;0;2;0;0;1;0;0;0;1;0;0
;;8;Hiemstra, J.;14;0;3;1;3;1;0;2;2;0;0;0;0;1;1;0;0
;;9;Kuipers, N.A.;30;5;3;2;5;2;3;0;0;1;3;2;1;2;1;0;0
;;10;Dudink, A.P.M.;13;0;2;1;1;0;5;1;0;0;1;1;1;0;0;0;0
8;SP (Socialistische Partij);;;459;17;27;39;60;35;50;33;33;15;18;16;23;37;39;6;11
;;1;de Vogel, M.;320;7;23;22;41;24;36;21;21;11;11;11;20;35;26;3;8
;;2;Graaf, J.;18;2;0;2;1;1;3;1;1;2;0;2;0;0;1;1;1
;;3;Doffer, W.;11;0;0;0;1;0;4;2;0;0;0;0;0;0;2;0;2
;;4;Paap, H.R.;20;2;1;3;2;0;0;0;4;1;2;3;0;0;2;0;0
;;5;Asma, E.F.;14;2;0;3;1;1;1;1;1;1;2;0;0;0;1;0;0
;;6;Lathouwers, M.J.C.;10;0;0;2;1;0;0;2;2;0;0;0;2;0;1;0;0
;;7;van Lingen-Madera, E.;19;0;0;0;4;3;2;4;2;0;1;0;1;0;2;0;0
;;8;Keesman, R.P.;7;0;0;4;0;0;0;0;1;0;1;0;0;0;1;0;0
;;9;Palstra, S.;5;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0
;;10;Ziekman, M.L.T.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;Smit, F. M.;6;0;0;3;1;1;0;0;0;0;1;0;0;0;0;0;0
;;12;Sauer, H.;3;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;13;van der Kleij, A.E.M.;5;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0
;;14;Winnubst, P.M.;19;3;2;0;3;1;3;0;1;0;0;0;0;2;3;1;0
