Verkiezing;;Gemeenteraad Bergen (NH) 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bergen (NH);;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0373;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Europahal;Tent bij Frankenstate;'t Oude Raethuys;Gymzaal Jan Hogervorst;Tent voormalig T&O buurthuis;Tent bij De Marke;Hotel Victoria;Hotel Merlet;Dorpscentrum De Blinkerd;Gymzaal Gruttoweg;SBB Schoorlse Duinen;Abdijwinkel;Dorpshuis De Schulp;Boswaidschool;Dorpshuis Hanswijk;O.K. Verenigingsgebouw;Hotel Zuiderduin;Sporthal De Watertoren;'t Oude Raethuys maandag 14 maart 2022;De Blinkerd maandag 14 maart 2022;Hotel Zuiderduin maandag 14 maart 2022;'t Oude Raethuys dinsdag 15 maart 2022;De Blinkerd dinsdag 15 maart 2022;Hotel Zuiderduin dinsdag 15 maart 2022
;aangetroffen stembiljetten;;;15574;770;885;920;763;830;945;221;641;602;755;570;583;849;844;821;717;418;445;743;341;264;890;422;335
;meer stembiljetten dan toegelaten kiezers;;;5;1;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;6;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;0;0;0;0;0;1;0;0
;andere verklaring;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;KIES Lokaal;;;2637;77;67;78;70;109;82;18;57;100;102;82;271;332;259;215;167;95;120;53;27;58;59;58;81
;;1;Karels, R.J.;822;21;20;20;17;27;20;4;13;25;36;18;33;66;151;135;42;28;37;19;6;17;22;21;24
;;2;Swart, J.J.H.;286;2;1;0;3;4;3;0;0;0;0;1;112;126;14;2;6;2;2;1;0;3;0;0;4
;;3;Smook, M.J.;247;27;27;27;27;40;26;9;7;7;2;3;0;0;5;0;0;0;0;17;0;0;20;2;1
;;4;Oudeboon, R.J.;62;15;3;4;10;8;7;3;0;0;0;1;0;0;1;0;0;0;0;5;0;0;1;2;2
;;5;Glas - de Raadt, C.M.;149;3;6;7;2;6;7;0;2;2;8;3;9;5;29;20;11;4;8;2;1;3;5;1;5
;;6;Damink, L.J.;24;0;0;2;1;0;1;0;0;0;0;0;11;7;0;0;0;0;0;0;0;1;0;0;1
;;7;Duinmeijer, I.C.G.M.;72;1;1;1;1;3;1;0;1;2;1;3;4;5;8;22;2;2;3;2;0;5;1;0;3
;;8;Eradus - Grevink, M.;48;0;0;0;0;1;0;0;0;0;1;0;27;13;0;0;1;0;0;0;0;0;0;1;4
;;9;van der Wal, B.H.;98;0;2;0;0;0;0;0;14;22;14;22;0;0;0;0;0;0;0;1;5;0;0;18;0
;;10;Bekkering, E.J.;90;6;6;9;5;9;14;2;4;2;1;2;1;1;5;3;4;0;1;4;7;0;4;0;0
;;11;Buis, M.;164;0;0;0;1;2;0;0;1;0;0;0;1;1;13;2;48;32;36;0;0;15;0;0;12
;;12;Bart, J.M.M.;26;0;0;0;0;0;0;0;0;0;0;0;14;10;1;1;0;0;0;0;0;0;0;0;0
;;13;van Ham - van der Voort, M.A.M.;69;0;0;1;0;1;0;0;0;0;0;0;0;4;5;1;18;6;13;0;0;8;0;1;11
;;14;Swart, J.L.;110;0;0;3;2;4;1;0;2;1;1;0;27;31;7;11;7;1;0;2;1;0;3;0;6
;;15;Paarlberg - Zonneveld, C.M.A.;114;1;1;2;0;1;1;0;13;30;32;18;1;2;0;0;2;0;0;0;5;0;1;4;0
;;16;Snabilie, H.J.;19;0;0;0;0;0;0;0;0;0;0;0;5;10;2;0;0;1;0;0;0;0;0;0;1
;;17;Snijders, C.M.;65;0;0;0;0;1;0;0;0;0;0;0;1;2;3;2;20;15;16;0;0;3;0;0;2
;;18;Swart - Zentveld, M.E.P.;11;0;0;0;0;0;0;0;0;1;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0
;;19;Walta, J.A.;20;0;0;2;0;0;0;0;0;0;0;0;0;0;6;10;1;1;0;0;0;0;0;0;0
;;20;Langeveld, M.F.J.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Damink, N.R.;12;0;0;0;1;0;0;0;0;0;0;0;2;5;0;0;2;0;0;0;0;1;0;0;1
;;22;Slop, A.G.M.;18;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;2;0;2;0;0;2;1;0;1
;;23;Koning, R.J.;37;0;0;0;0;0;0;0;0;0;0;0;9;23;0;2;0;2;1;0;0;0;0;0;0
;;24;Swart, A.;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;25;de Beer, B.J.M.;38;0;0;0;0;2;0;0;0;6;6;11;1;0;0;0;0;0;0;0;2;0;1;8;1
;;26;Swart, J.C.;15;0;0;0;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;0;0;0;0;0;0
;;27;Karels, S;17;1;0;0;0;0;1;0;0;2;0;0;1;0;6;2;1;0;1;0;0;0;0;0;2
2;GROENLINKS;;;2100;126;107;103;125;158;137;38;117;75;95;99;53;69;97;95;87;38;61;86;58;39;140;65;32
;;1;Groen - Bruschke, S.C.;902;34;30;30;40;54;47;16;35;26;48;27;42;47;63;63;66;28;50;27;24;22;41;21;21
;;2;Krijtenburg, F.;494;43;37;43;49;60;50;12;19;10;17;6;1;5;10;7;1;1;3;36;11;4;57;9;3
;;3;Bloemkolk, R.W.;124;4;0;1;1;3;9;0;22;14;12;22;0;0;0;0;1;0;0;4;8;0;7;16;0
;;4;Garcia Hoogland, P.;118;5;7;4;1;7;3;1;20;12;4;23;2;0;2;2;2;2;0;0;6;2;6;6;1
;;5;Braak - van Kasteel, F.C.;76;7;4;6;7;4;6;1;1;1;5;1;0;1;4;4;4;5;2;1;0;7;3;0;2
;;6;Reining, M.;22;5;4;1;0;3;0;0;2;0;0;1;0;0;0;2;1;0;0;0;0;0;2;1;0
;;7;Haans, F.B.P.;12;1;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0;2;0;0;0;0;0;0
;;8;Friederichs, L.;51;2;6;2;3;6;0;1;4;2;2;2;1;0;2;2;6;0;3;0;0;2;2;3;0
;;9;de Ruijter, A.;48;9;4;2;5;10;6;0;1;2;2;3;0;2;0;0;0;0;0;0;0;0;2;0;0
;;10;Snaas, A.N.;21;2;1;0;1;0;0;1;5;4;1;2;0;0;0;0;0;0;0;0;2;0;0;2;0
;;11;Jak, G.G.A.;30;1;0;0;1;0;0;0;0;0;0;1;0;3;11;7;0;0;0;0;2;0;0;0;4
;;12;Vonder, W.;54;7;2;1;10;4;7;1;6;0;1;0;0;0;0;0;0;0;0;8;1;0;4;2;0
;;13;Naumann, M.;81;5;7;13;6;6;8;5;0;1;0;4;1;0;0;1;2;0;0;6;1;2;11;2;0
;;14;de Both, N.J.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0
;;15;Collenteur, E.B.;8;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0
;;16;Müller, M.J.;13;1;4;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;2;0;0;1;1;0
;;17;Beemster, P.;16;0;0;0;0;0;0;0;0;0;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0
;;18;van Schutterhoef, J.;8;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;2;0;0;2;0;0
;;19;Jonkers, W.;17;0;1;0;1;1;1;0;1;0;0;3;0;1;1;0;0;1;0;0;1;0;2;2;1
3;VVD;;;1923;110;209;200;132;64;102;27;120;74;102;74;22;35;50;45;54;30;24;144;45;26;166;38;30
;;1;de Jongh, M.E.;1001;69;115;115;85;39;65;12;45;23;21;21;7;12;31;28;32;17;5;87;17;15;105;19;16
;;2;van den Beld, A.J.;173;3;10;13;1;3;7;2;24;21;45;15;0;0;0;2;0;1;0;7;7;0;5;7;0
;;3;Verwaaijen, L.I.H.;139;7;18;19;10;8;6;9;3;3;1;2;1;0;3;0;1;1;6;13;1;9;13;0;5
;;4;van Leijen, C.;57;3;3;1;3;0;0;0;4;6;9;13;0;0;0;1;1;0;0;0;5;0;2;6;0
;;5;Splinter, A.M.;114;0;0;1;1;1;0;0;0;0;1;1;13;23;14;11;16;11;10;0;0;2;0;0;9
;;6;van de Pas, R.J.W.;67;6;11;7;6;4;2;1;4;3;1;0;0;0;0;0;0;0;0;11;3;0;8;0;0
;;7;Born, A.;32;2;4;1;2;1;3;0;2;6;6;0;0;0;0;1;0;0;0;2;0;0;2;0;0
;;8;van Leeuwarden, F.J.M.;19;2;2;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0
;;9;Vink, J.A.;38;1;1;7;2;0;1;0;14;1;1;2;0;0;1;0;0;0;0;6;0;0;1;0;0
;;10;Haarsma, D.;12;1;6;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;11;van Bourgonje, M.L.H.;72;4;8;2;1;1;2;1;14;5;8;11;0;0;0;0;2;0;0;3;4;0;2;4;0
;;12;Houtenbos, S.;73;2;10;7;11;2;7;1;5;3;5;5;0;0;1;1;0;0;1;2;2;0;7;1;0
;;13;Kroon, M.C.F.;26;2;10;4;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0
;;14;Muller, A.A.;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0
;;15;Bot, G.M.;12;0;1;4;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;16;Teunisse, K.C.;22;2;2;3;0;0;0;0;2;1;0;4;0;0;0;0;0;0;0;1;5;0;2;0;0
;;17;Paping, A.M.W.;23;2;5;3;1;1;3;0;0;1;0;0;0;0;0;0;2;0;0;3;0;0;2;0;0
;;18;Anema, A.;36;4;3;8;4;4;2;0;1;0;2;0;0;0;0;1;0;0;2;1;0;0;3;1;0
4;CDA;;;2429;69;87;93;68;90;173;26;90;93;146;74;139;287;166;162;119;76;56;93;45;35;103;73;66
;;1;Valkering, N.G.M.;1567;57;69;71;41;53;118;21;42;53;62;34;98;187;107;110;82;54;36;73;13;24;84;35;43
;;2;Grooteman, W.A.T.;164;6;12;7;14;14;38;2;3;6;4;3;2;4;6;3;0;1;0;13;3;3;10;5;5
;;3;Zwart, D.;55;0;0;1;1;1;0;0;0;0;0;0;1;1;22;12;4;4;2;0;1;2;0;0;3
;;4;Ooijevaar, P.K.H.M.M.;36;2;1;10;3;5;4;1;0;0;2;2;0;0;0;0;0;0;2;1;0;0;3;0;0
;;5;Kager, G.C.I.;49;1;2;2;4;12;6;0;3;0;0;2;0;3;2;2;2;0;0;3;0;0;3;0;2
;;6;Mekken, J.C.;111;0;0;0;0;0;0;0;8;18;39;18;0;0;1;0;0;0;0;0;14;0;1;12;0
;;7;Kager, P.A.;57;0;0;0;1;2;1;0;0;0;1;0;0;0;1;2;19;11;11;0;0;2;0;1;5
;;8;van Velzen, T.W.;78;0;0;0;0;0;0;0;0;0;0;0;17;49;1;4;1;0;1;2;0;1;0;0;2
;;9;Sentveld, E.A.M.;58;0;0;0;0;0;1;0;0;0;0;0;18;36;2;0;1;0;0;0;0;0;0;0;0
;;10;Kruijff, G.J.;62;0;0;0;1;0;0;0;0;0;0;0;0;1;21;22;4;6;1;0;0;1;0;0;5
;;11;van Egmond, N.P.;64;0;0;0;0;2;1;0;1;8;35;3;0;0;0;0;0;0;0;0;8;0;0;6;0
;;12;van den Berg, J.H.C.;5;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
;;13;Valkering, A.C.M.T.;10;1;1;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;1;0;0;1;0;1;0
;;14;Korremans, P.M.H.;54;0;0;0;0;0;0;0;29;2;0;8;0;0;0;0;0;0;0;0;5;0;0;10;0
;;15;de Moel, J.A.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
;;16;Mesu, J.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;0;0;1;0;0;1
;;17;Ooijevaar, A.W.M.;5;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;18;Corbee, H.P.;7;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;19;Apeldoorn, J.P.T.;4;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
;;20;Weel, N.J.F.;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;21;Labree, J.W.;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Valkering, G.J.A.;10;0;0;0;1;0;0;0;0;1;0;0;0;5;2;1;0;0;0;0;0;0;0;0;0
;;23;Meijer, J.B.M.;9;1;1;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
;;24;Valkering, A.P.M.;5;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
5;D66;;;1383;84;119;124;90;74;91;26;88;54;49;72;22;32;42;36;35;13;15;96;37;21;108;35;20
;;1;Otto - van der Ende, A.J.M.;904;56;73;73;51;49;63;16;74;43;36;53;6;15;29;27;19;5;4;63;25;9;69;32;14
;;2;van der Kaaij, K.A.;105;11;12;17;13;10;6;3;0;1;2;1;0;1;3;0;0;1;0;6;2;2;12;2;0
;;3;Pouw, M.S.;32;3;3;3;4;3;2;0;0;1;1;0;1;0;0;0;1;0;0;4;2;0;4;0;0
;;4;de Lange, P.;36;0;0;1;0;0;1;2;1;0;0;0;12;11;1;3;0;1;1;0;0;1;1;0;0
;;5;Snijder, J.A.;57;0;2;0;0;0;1;0;0;1;0;0;1;0;5;3;13;5;10;3;1;8;1;0;3
;;6;van der Stap, J.M.;103;3;6;7;5;5;6;0;11;8;9;16;1;4;2;2;2;1;0;1;5;0;6;1;2
;;7;Greve, R.P.;8;2;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;de Ruiter, A.M.;82;4;16;12;12;7;9;0;0;0;1;0;0;1;0;0;0;0;0;9;0;1;10;0;0
;;9;van Hall, L.;24;2;4;1;2;0;1;4;0;0;0;2;0;0;0;0;0;0;0;4;1;0;2;0;1
;;10;van Buijtenen - Jetten, J.M.;32;3;1;7;3;0;2;0;2;0;0;0;1;0;2;1;0;0;0;6;1;0;3;0;0
6;Partij van de Arbeid (P.v.d.A.);;;1268;81;66;86;103;95;114;19;40;52;83;44;14;17;36;26;43;24;27;83;46;16;100;32;21
;;1;van Huissteden, A.P.;556;37;30;26;41;48;60;8;10;22;34;15;7;5;21;14;13;11;15;33;21;9;52;12;12
;;2;Hendriks, J.M.;263;5;9;18;23;7;17;3;19;27;33;21;1;7;6;4;3;5;2;9;18;1;11;12;2
;;3;Keijsper, J.J.;68;2;6;8;11;2;9;3;1;0;1;0;0;1;0;0;2;0;1;12;0;1;5;1;2
;;4;Mier, N.E.;89;3;8;11;6;7;4;3;4;0;6;1;2;0;3;0;2;1;0;12;2;0;11;3;0
;;5;Buscher, H.;43;15;1;5;1;1;4;0;0;0;0;3;0;0;0;1;0;0;1;4;0;0;7;0;0
;;6;Burgering, H.C.;116;15;10;12;15;20;13;0;4;1;5;2;0;1;2;0;0;0;0;7;0;0;6;3;0
;;7;van Geldorp, S.J.P.;17;0;0;2;4;0;1;0;0;0;0;2;0;0;0;7;0;0;0;1;0;0;0;0;0
;;8;Kindt, A.K.;70;0;1;1;0;1;3;0;1;0;0;0;4;3;4;0;23;7;8;2;0;5;2;0;5
;;9;Stet, J.G.M.;11;0;0;0;0;0;1;0;1;2;3;0;0;0;0;0;0;0;0;0;3;0;0;1;0
;;10;Terpstra, J.J.;13;3;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0
;;11;Stomps, J.P.;22;1;1;3;1;7;2;1;0;0;1;0;0;0;0;0;0;0;0;2;2;0;1;0;0
7;JEZUS LEEFT;;;251;14;15;16;23;19;18;2;18;12;12;13;10;2;12;8;17;13;1;2;1;1;12;8;2
;;1;Kok, A.;106;9;8;7;7;9;3;1;5;7;5;5;3;1;5;3;8;5;1;2;1;1;4;6;0
;;2;Wijmans, U.;17;0;0;1;0;0;0;0;2;0;0;0;2;1;1;3;3;4;0;0;0;0;0;0;0
;;3;Kuiper, T.R.M.;24;0;1;1;3;3;1;0;2;2;1;2;1;0;1;1;2;2;0;0;0;0;1;0;0
;;4;Borst, H.J.;43;4;2;4;5;1;2;0;4;3;6;5;1;0;1;0;0;1;0;0;0;0;0;2;2
;;5;Twigt, F.J.;21;0;2;1;5;1;1;0;3;0;0;0;2;0;1;0;0;0;0;0;0;0;5;0;0
;;6;Verhoeff, J.;15;1;2;2;3;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0
;;7;Weishaupt, F.R.;11;0;0;0;0;2;0;1;1;0;0;1;1;0;3;1;1;0;0;0;0;0;0;0;0
;;8;Wisse, R.V.;9;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;9;Klerks, M.;5;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;ONS DORP;;;3504;206;215;216;150;215;224;64;101;142;163;106;52;71;179;228;191;125;133;180;80;67;201;113;82
;;1;Houtenbos, J.J.A.S.;1311;67;53;56;30;57;46;19;29;34;32;30;36;43;145;158;95;70;82;41;20;36;55;25;52
;;2;van Kranenburg, M.J.;412;30;37;43;29;30;45;8;15;15;15;9;2;6;1;15;8;5;7;38;6;2;38;5;3
;;3;Bruin, J.G.;415;3;5;1;1;6;3;11;34;76;90;49;1;0;1;6;2;3;0;6;48;3;2;64;0
;;4;van den Busken, M.J.H.;54;6;6;7;6;0;2;0;0;0;3;2;0;0;0;0;2;4;0;5;1;0;9;0;1
;;5;Burgering, R.G.M.;32;4;1;3;6;9;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;6;Schilder, J.P.M.;175;13;9;22;29;31;28;7;2;3;0;0;0;0;1;0;0;0;1;16;1;0;12;0;0
;;7;Hoogendonk, L.M.;93;4;10;7;1;8;7;2;2;1;8;4;0;2;2;1;3;1;5;8;1;4;8;3;1
;;8;Noordhoff, T.T.;42;3;10;8;2;2;4;0;2;0;2;0;0;0;0;0;0;1;0;4;0;0;2;2;0
;;9;van Velthoven, Y.M.;78;8;5;8;8;10;11;4;2;0;4;0;0;0;0;2;1;1;0;7;0;2;4;1;0
;;10;Karel, M.J.L.;44;2;4;7;1;1;4;0;5;0;2;2;0;0;2;0;0;0;1;1;1;0;11;0;0
;;11;Kraakman, C.J.N.;26;2;1;0;0;0;2;0;0;0;0;0;0;0;2;9;2;2;2;2;0;1;0;0;1
;;12;Haring, M.M.G.;94;11;5;6;9;13;15;1;0;7;2;5;0;0;0;0;2;2;0;7;0;1;6;2;0
;;13;Lansdaal, J.J.F.D.A.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Pepping, J.L.M.;62;0;0;0;1;1;1;0;0;0;3;0;1;9;10;16;8;2;1;0;0;2;1;1;5
;;15;Heusij, M.;307;13;11;18;6;8;7;5;1;0;0;2;10;10;14;18;67;32;30;12;0;15;7;3;18
;;16;Borst, H.A.J.;358;40;58;30;21;39;42;6;9;6;2;3;2;1;1;3;1;2;4;33;2;1;45;6;1
