Verkiezing;;Gemeenteraad Hollands Kroon 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hollands Kroon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;MFA;Café Wapen van Holland;Bar Bistro de Brug;Parochie St. Jan Breezand;Dorpshuis De Oude School;De Cultuurschuur;Brandweerkazerne;De Meerbaak;MFC De Doorbraak;Verenigingsgebouw De Schakel;Dorpshuis 't Skrale End;Tree (vm. Ankerkerk);Vikingschip;Rijvereniging Bucephalus;Vzv 't Veld;Dorpshuis De Nieuwe Horn;Cultuurhuis de Kolk;Café Beentjes;Dorpshuis Prins Maurits;MFA;Dorpshuis Prins Maurits;De Cultuurschuur;Tree (vm. Ankerkerk);MFA;Dorpshuis Prins Maurits;De Cultuurschuur;Tree (vm. Ankerkerk)
;aangetroffen stembiljetten;;;18156;1142;718;345;1126;747;775;410;1333;239;673;386;1018;803;439;847;408;333;861;881;643;485;551;460;783;609;591;550
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;SHK;;;2305;218;95;56;199;82;46;20;131;16;40;69;94;102;46;153;27;38;76;79;184;59;49;54;184;80;50;58
;;1;Pankras, G;897;54;25;23;48;36;23;11;41;5;15;12;30;16;11;137;11;25;47;52;41;36;32;15;59;44;30;18
;;2;Pronk-Heisen, C.G.H.;278;44;12;16;52;11;4;1;6;0;2;3;10;8;4;4;5;4;2;6;30;7;2;1;32;6;1;5
;;3;de Herder, W.A.;255;6;2;7;1;11;4;3;10;2;4;40;38;52;3;2;1;1;8;1;7;0;3;23;6;2;1;17
;;4;Philipsen, A.W.;159;44;22;2;11;5;0;0;0;0;0;3;0;1;0;0;0;0;0;0;34;3;0;0;28;2;0;4
;;5;Roos, G.;93;1;0;1;1;5;6;0;28;2;10;1;2;10;3;0;0;1;0;0;0;0;5;2;0;4;8;3
;;6;Dijkstra, P.J.;132;14;10;2;63;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;24;0;1;0;15;0;1;0
;;7;Roskam-Schrale, M.;81;1;0;0;1;1;6;2;36;2;3;5;2;1;0;0;0;0;0;2;1;0;4;3;2;1;7;1
;;8;Huijbers, K.;41;0;0;1;0;3;0;0;0;0;1;0;0;0;14;1;7;2;4;1;4;1;0;0;0;1;1;0
;;9;de Kruijf - Welboren, G.D.C.;37;0;1;0;1;1;0;0;1;0;0;0;0;0;9;7;2;0;5;1;0;3;0;0;0;5;0;1
;;10;Naber, A.T.M.;14;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;2;0;3;0;0;0;1;0;0;0;4
;;11;Duijzers, J.;65;21;12;1;4;3;1;0;0;1;0;0;0;0;0;0;0;0;2;1;10;0;0;1;8;0;0;0
;;12;Olij, D.W.C.;7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1
;;13;Wisse, J.A.;62;13;3;1;11;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;7;0;1;0;21;0;0;1
;;14;van Gent-Overdevest, M.M.J.;107;20;7;2;5;5;0;2;8;3;0;0;2;4;0;1;1;0;1;2;26;0;1;0;13;2;1;1
;;15;Bruijstens, P.J.;30;0;0;0;0;0;0;0;0;1;2;4;7;9;0;0;0;0;0;0;0;0;0;5;0;0;0;2
;;16;Koomen, H.G.;47;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0;3;7;9;0;9;0;0;0;13;0;0
2;VVD;;;2321;163;135;64;166;115;65;41;111;25;66;41;91;67;51;150;44;45;178;157;80;72;34;45;118;99;44;54
;;1;Groot, W.;923;76;76;36;93;92;24;20;53;8;33;8;18;19;15;63;24;12;38;34;39;13;16;8;54;18;22;11
;;2;Borst-Koorn, P.;379;19;13;6;7;9;10;2;3;1;2;0;4;2;8;49;4;12;42;71;9;32;2;2;13;47;3;7
;;3;Boersen, R.;139;4;9;3;2;0;2;1;2;0;3;15;40;18;2;0;0;0;0;1;1;0;2;13;1;1;0;19
;;4;Hruska, M.A.;44;4;3;3;1;3;1;0;0;0;2;2;2;0;1;4;1;0;0;1;3;1;0;2;7;2;0;1
;;5;Bijlstra, IJ.J.;172;2;1;0;3;0;0;3;4;0;1;0;0;3;4;15;8;11;50;19;4;13;3;0;3;24;1;0
;;6;Beers, E.C.;98;2;2;0;2;4;1;0;3;0;3;0;0;1;2;9;2;3;31;13;1;9;0;0;1;7;1;1
;;7;van den Berg, K.P.;67;3;6;1;44;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;1;0;0;8;0;0;0
;;8;Nouwens, P.J.A.M.;84;39;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;2;16;0;0;1
;;9;de Graaf, M.G.;120;4;10;4;1;1;17;7;18;3;8;2;3;0;4;4;2;0;5;7;1;1;6;0;2;0;9;1
;;10;de Haan, A.C.;34;0;0;0;0;1;0;0;3;0;0;2;8;8;0;1;0;0;0;1;0;0;0;4;1;0;1;4
;;11;van Schip, D.;22;1;0;0;0;0;1;0;0;0;3;1;1;12;0;0;0;0;1;0;1;0;0;0;0;0;1;0
;;12;Wilms, G.H.;48;1;0;0;0;0;0;0;0;0;3;9;12;1;0;0;0;0;1;0;0;0;0;13;1;0;0;7
;;13;van Balen Blanken, S.A.;60;7;6;11;9;5;1;1;1;0;0;0;0;0;0;1;1;1;1;0;4;1;0;0;10;0;0;0
;;14;Kielstra, J.R.;82;0;0;0;0;0;8;7;22;13;8;2;1;2;0;0;0;0;1;4;0;1;4;1;0;0;6;2
;;15;Swaag, J.H.;49;1;0;0;2;0;0;0;2;0;0;0;2;0;15;4;2;6;8;5;0;0;1;0;1;0;0;0
3;CDA;;;2808;151;201;70;401;133;84;79;232;51;157;20;71;57;50;179;36;30;64;122;103;51;88;30;165;53;93;37
;;1;van der Klugt, J.W.;863;46;49;23;89;24;24;18;79;19;43;5;22;16;13;89;15;9;23;45;37;26;24;7;43;26;39;10
;;2;Visser, R.T.B.;69;1;0;1;1;2;1;0;0;0;2;3;14;13;1;0;0;0;1;1;0;0;3;11;3;1;2;8
;;3;van Lierop, M.J.H.;578;40;98;30;239;3;1;4;6;1;3;0;5;10;2;37;0;5;5;9;25;0;4;1;44;3;1;2
;;4;van Noorloos, C.P.;133;0;0;0;0;0;24;12;18;4;12;0;0;1;1;1;0;0;0;0;1;4;32;0;1;1;21;0
;;5;Andringa, J.;116;0;1;0;0;0;14;9;11;5;47;1;2;0;0;1;0;0;0;1;0;1;10;0;0;1;11;1
;;6;Laan-Olij, P.;192;5;8;3;10;3;2;3;13;1;7;2;3;0;10;24;7;7;9;28;4;13;2;2;6;11;7;2
;;7;van Tongerlo, J.W.P.;123;24;30;2;13;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;17;0;0;0;33;0;0;1
;;8;Dijkshoorn, J.;235;11;4;2;22;96;4;3;15;0;9;0;4;2;11;0;9;4;1;7;9;2;3;0;14;1;2;0
;;9;Rotgans, J.F.;51;0;0;0;0;0;0;3;1;0;0;6;9;8;2;0;3;2;2;0;0;0;2;1;4;1;0;7
;;10;Hartman, R.;17;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;11;0;1;1;0;0;0;1;0;0
;;11;Blijdorp, W.A.;88;0;1;0;0;1;3;8;47;10;5;1;0;0;0;0;0;2;0;1;1;0;1;0;1;0;6;0
;;12;Scholten, M.C.Th.;18;1;0;0;0;0;2;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;2;0;0;0;4
;;13;Wever, S.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;6;11;0;0;0;2;1;0;0;0;0;0;0;0
;;14;van der Weijde, A.T.G.;40;0;0;0;0;0;0;3;26;4;2;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0
;;15;Vlaming-Kroon, E.A.C.;64;11;5;5;16;0;0;2;0;2;4;1;1;0;0;1;0;0;1;1;4;0;0;1;9;0;0;0
;;16;Arendse-Zuidema, P.J.;35;0;1;0;3;0;2;1;7;0;15;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1
;;17;Vriend, J.M.M.;20;2;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;2;9;0;0;0;0;0;3;0;0
;;18;Doppenberg, A.;29;6;2;4;1;2;1;0;0;0;0;0;1;0;0;0;1;0;3;0;2;1;0;0;5;0;0;0
;;19;van Haastert, H.;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Hakvoort, M.R.;12;0;0;0;0;0;2;3;1;0;2;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0
;;21;Dorsman, C.;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Meijerink, A.N.M.;6;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;23;Boutkan, P.A.;12;0;0;0;0;1;2;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0
;;24;Rienstra, S.;9;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;1;0;0;2;0;0;0;0;0
;;25;Bandringa, H.C.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Bink, W.P.C.M.;12;0;0;0;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;27;Burghout-Lont, M.;9;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;3;0;0;0;1
;;28;Klaver, C.J.;28;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;1;3;10;0;2;0;0;0;3;0;0
;;29;Goedbloed, P.J.;5;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Putten-Knol, J.J.;4;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;31;Spijksma, D.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Brouwer, H.P.;9;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0
4;Onafhankelijk Hollands Kroon;;;5008;181;94;56;125;143;372;195;569;87;273;144;457;341;72;119;99;82;174;126;81;84;236;200;112;93;272;221
;;1;Bügel, HA;1629;92;48;26;52;63;124;58;286;32;77;24;61;53;37;62;31;25;44;37;46;19;94;31;51;31;100;25
;;2;Slootweg, E;222;12;1;3;1;11;46;19;17;6;12;1;8;3;2;1;1;1;3;0;2;2;25;3;4;2;36;0
;;3;Wittink, H.J.;638;12;2;2;8;6;7;7;8;2;3;62;176;122;2;0;1;0;3;2;3;1;3;97;7;2;1;99
;;4;Senneker, J;132;2;0;0;2;2;1;1;0;0;0;1;5;1;6;12;2;13;43;16;1;12;0;0;0;11;0;1
;;5;Ruiter, L.A.J.;705;18;15;1;7;26;95;40;145;14;60;6;17;42;9;11;3;9;11;6;7;7;57;4;8;8;69;10
;;6;Leever, J H;329;4;2;3;4;3;29;28;28;5;11;20;49;35;0;5;1;1;0;3;6;3;15;19;9;2;18;26
;;7;de Vries, C.W.;243;10;7;4;9;7;9;4;11;5;6;0;8;4;4;17;4;14;9;41;3;26;3;1;5;25;6;1
;;8;de Jong, P;241;1;0;6;0;6;19;11;32;15;94;1;2;3;0;0;3;0;0;1;0;1;19;2;3;1;16;5
;;9;Meeldijk, C.W.;272;1;3;2;0;1;2;0;0;1;0;21;94;67;0;0;1;0;0;2;0;0;2;29;0;0;1;45
;;10;Braak - Van den Blink, E;140;2;1;1;0;2;2;0;2;0;0;2;0;3;6;9;4;12;57;17;1;5;1;0;1;10;1;1
;;11;Deijlen, C.M.;99;5;2;0;3;11;4;0;2;0;1;0;0;0;3;1;46;3;2;0;5;4;2;0;1;1;3;0
;;12;van Nieuwenhuijzen-Boon, M;162;4;3;1;1;3;31;24;35;6;9;0;1;0;2;0;2;3;0;0;1;3;12;1;4;0;15;1
;;13;Prijs, E.P.A.;20;2;0;0;0;0;3;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;4;3
;;14;Haver, M.M.H.;93;14;8;5;36;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;5;1;1;0;19;0;0;0
;;15;Poortman, J.W.;83;2;2;2;2;0;0;0;1;0;0;6;36;8;1;1;0;0;2;0;1;0;1;12;0;0;2;4
5;LADA & ANDERS !;;;1337;92;39;15;30;62;54;20;92;22;44;21;47;33;64;93;37;36;127;103;29;44;38;18;34;74;43;26
;;1;van Gameren, H.E.;374;27;9;4;9;39;10;5;19;8;11;0;6;3;27;36;10;7;28;28;13;12;7;2;9;31;13;1
;;2;Sijbenga - van den Outenaar, I.D.;304;12;1;4;4;7;12;5;61;8;11;1;3;5;24;24;16;7;15;20;4;6;19;2;6;12;12;3
;;3;van Herk, J.;46;13;12;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;2;9;0;0;1;5;0;0;0
;;4;Brussaard - Ursem, A.A.M.;170;2;1;0;1;0;0;0;1;1;0;1;0;1;4;18;3;11;74;26;0;11;0;0;0;14;1;0
;;5;Romar - Loer, A.K.;30;5;2;3;10;0;2;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;0;3;0;0;0
;;6;Pruimboom, D.J.;132;0;1;0;0;2;15;2;4;1;1;5;32;19;0;0;1;1;1;0;0;1;6;13;1;0;6;20
;;7;van Stam, E.J.;19;6;0;2;0;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;1;0;0;2
;;8;Juffermans, M.;23;2;1;0;1;0;0;0;1;0;0;13;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;9;Grooten - Klomp, L.A.;16;0;0;1;0;2;1;0;0;0;9;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
;;10;de Vries, J.N.;16;0;0;0;0;0;6;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0
;;11;Witte, E.S.;81;21;12;0;5;9;1;1;1;0;0;1;0;2;6;4;3;1;4;0;0;0;0;0;8;2;0;0
;;12;Couwenhoven, P.A.;45;1;0;0;0;0;0;0;3;0;0;0;1;2;0;5;0;0;1;12;0;9;0;0;0;11;0;0
;;13;Hoekenga, R.;21;0;0;0;0;0;6;5;2;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;3;0
;;14;Slob, P.M.A.;18;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;1;3;0;0;0;0;0;0;0;0
;;15;Voogt, A.;13;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
;;16;Lansink, F.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;5;0;0;0;3;0;0
;;17;Klomp, H.;12;0;0;1;0;0;1;0;0;0;3;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;2;0
6;Partij van de Arbeid (P.v.d.A.);;;1488;141;56;31;57;79;34;13;73;12;32;33;61;67;73;35;81;36;87;65;77;63;45;31;59;58;37;52
;;1;Buczynski, S.M.E;727;54;29;17;15;41;14;5;41;7;17;12;17;29;44;27;41;29;63;48;29;39;19;10;18;37;15;10
;;2;Medema, P.A.;208;57;17;7;25;8;2;1;4;0;2;1;1;2;1;4;2;0;2;1;33;5;2;1;25;2;3;0
;;3;Volkers, E.C.;167;7;0;0;3;0;0;0;3;1;2;19;36;29;0;1;0;2;0;1;1;1;2;18;1;1;1;38
;;4;Koopman, F.;32;0;0;0;0;0;9;2;2;0;1;0;0;1;0;1;0;0;1;0;0;1;7;0;0;0;7;0
;;5;de Mol van Otterloo, J.;66;5;4;0;2;1;0;0;4;0;0;0;1;2;21;1;5;2;9;4;0;1;2;0;2;0;0;0
;;6;Kleine, M.;36;1;0;0;0;1;0;2;0;0;0;0;1;0;0;0;22;0;0;1;0;3;0;0;1;4;0;0
;;7;van Dijk-Veldhuizen, A.;18;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;3;1;2;1;1;1;0;0;2;1;0;0
;;8;de Vroome, R.;27;1;0;0;1;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0
;;9;van Dijk, J.S.C.;21;0;0;0;0;1;1;0;0;0;0;1;0;0;2;0;4;1;2;2;0;1;0;0;2;4;0;0
;;10;Oomen, J.M.;40;1;0;0;0;3;4;2;1;2;5;0;2;0;0;0;1;0;1;0;0;1;7;1;0;0;7;2
;;11;Veul, J.A.;30;3;3;6;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0
;;12;Denneman, S.A.;37;0;0;1;0;0;2;0;17;2;1;0;0;0;2;0;2;0;1;0;0;0;5;0;0;0;4;0
;;13;Bredewold, R.J.;6;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0
;;14;Lont, A.J.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;7;0;7;0;0;0;9;0;0
;;15;Idema, J.M.;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;16;Lont, M.;17;1;0;0;0;0;1;1;1;0;2;0;3;4;0;0;0;0;1;0;0;0;0;1;0;0;0;2
;;17;Looijesteijn, C.J.;21;6;2;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;1;0;0;0
7;GROENLINKS;;;1663;94;46;33;63;82;52;17;77;16;24;35;100;66;60;82;64;40;102;155;46;70;38;58;53;103;27;60
;;1;Peters, E.A.;949;65;33;24;51;64;29;11;43;11;18;25;78;44;35;33;30;15;23;36;43;26;30;41;42;34;20;45
;;2;Kool, P.;192;3;0;1;1;1;5;0;1;0;1;2;1;2;2;16;8;10;51;37;1;12;0;2;1;33;0;1
;;3;Bakker, M.E.;181;21;8;7;7;8;14;3;12;1;2;4;18;10;7;6;5;3;3;8;0;4;4;11;4;1;1;9
;;4;Laagland, J.;12;1;0;0;0;1;0;0;0;1;0;4;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1
;;5;Thomasse, E.;21;0;0;0;0;0;1;0;1;0;0;0;1;7;0;0;0;0;0;1;0;0;1;4;1;0;1;3
;;6;Marchand, R.J.;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3;0;0;0;1;1;0
;;7;Greiner, M.;34;0;1;0;2;2;0;0;1;0;0;0;0;1;1;5;1;4;5;4;0;1;0;0;3;2;1;0
;;8;Blokker, D.;116;1;2;0;0;3;0;0;0;0;0;0;1;0;0;8;0;0;12;49;0;14;0;0;1;25;0;0
;;9;Kramer, E.H.;35;0;0;0;0;0;1;0;0;0;0;0;0;0;1;7;0;2;2;11;1;5;0;0;0;5;0;0
;;10;Meijles, J.G.;17;1;0;0;2;0;0;0;3;0;0;0;0;1;0;3;0;3;0;1;0;2;0;0;0;0;0;1
;;11;Kappelhof, M.C.M.;26;1;0;1;0;2;0;1;0;0;0;0;0;0;2;0;15;0;2;1;0;0;1;0;0;0;0;0
;;12;Eichhorn, J.P.F.;23;0;1;0;0;1;0;0;0;0;0;0;0;0;10;0;4;1;1;0;0;2;0;0;1;1;1;0
;;13;Zuidhof, A.D.;31;0;0;0;0;0;2;2;15;2;3;0;0;0;0;0;0;1;2;0;0;0;1;0;0;1;2;0
;;14;Wierdsma, J.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Fekkes, P.S.;12;0;1;0;0;0;0;0;1;0;0;0;0;0;2;2;1;1;0;1;1;1;1;0;0;0;0;0
8;D66;;;1129;97;45;19;75;48;64;23;46;10;32;22;84;67;23;35;19;24;47;66;36;42;23;20;52;46;23;41
;;1;Versluis, M.J.;520;45;19;9;32;26;28;7;31;5;19;8;28;10;12;22;9;16;26;29;16;25;11;6;30;26;8;17
;;2;Mulderij, S.;285;29;11;9;9;12;13;8;6;1;6;7;19;5;8;10;9;7;20;27;8;10;6;5;16;8;4;12
;;3;de Git, J.H.D.;76;17;9;0;3;2;4;1;1;0;3;0;1;0;3;1;0;1;1;3;10;4;0;1;3;6;1;1
;;4;Cornelissen, H.J.;125;2;0;0;5;2;3;0;4;1;1;7;31;49;0;0;1;0;0;0;1;0;1;8;0;1;3;5
;;5;Brinkhof e/v Croes, F.;29;0;0;0;5;5;3;0;1;2;1;0;0;1;0;0;0;0;0;4;0;0;2;0;1;3;0;1
;;6;Laghuwitz, J.J.;29;1;1;1;18;1;0;0;0;0;0;0;1;1;0;2;0;0;0;0;1;0;0;0;1;1;0;0
;;7;de Gee, M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Smit, S.L.;24;1;0;0;0;0;4;1;1;0;1;0;4;1;0;0;0;0;0;2;0;3;1;0;0;0;0;5
;;9;Miedema, A.;40;2;5;0;2;0;9;6;2;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;7;0
