Verkiezing;;Gemeenteraad Diemen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Diemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0384;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentehuis trouwzaal;Zorgcentrum de Diem;Sociaal cult. centrum de Schakel;Keet Buitenlust;Sporthal Diemen zaal 1;Brede school Noorderbreedte;Wijkcentrum Noord zaal 1;Wijkcentrum Noord zaal 2;Berkenstede;Sportcentrum Duran zaal 1;Sportcentrum Duran zaal 2;Lounge and Garden Campus;Keet Boschplaat;Korfbalvereniging DKV;Zorginstituut Nederland;NS metrostation Diemen Zuid;Huis van de Buurt 't Kruidvat;Keet van Markenplantsoen;Keet Venserkade/Loswal;Gemeentehuis maandag;Gemeentehuis dinsdag;Wijkcentrum Noord maandag;Wijkcentrum Noord dinsdag;Huis van de buurt 't Kruidvat maandag;Huis van de buurt 't Kruidvat dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;19;23;29;30;114;115;814;815;2314;2315
Postcode;;;;;1111 ZB;1111 ZB;1111 AM;1111 CC;1111 LZ;1111 ET;1111 WD;1113 HM;1113 HM;1112 CL;1112 BE;1112 BE;1112 XC;1112 KA;1111 PX;1112 ZA;1112 CK;1112 BE;1111 HV;1112 CH;1111 ZB;1111 ZB;1113 HM;1113 HM;1112 BB;1112 BB
;;7;Pollmann, C.;28;3;3;0;1;0;2;2;1;2;0;1;0;1;3;1;0;3;1;0;0;1;2;0;0;0;1
;;8;Portegijs, N.C.;43;2;2;0;1;2;0;5;0;3;1;0;2;0;3;1;0;0;2;1;1;3;1;4;4;2;3
;;9;Lemmens, P.J.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Ziepzeerder, M.B.;9;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;3;0;0
;;11;Groenland, C.P.J.;12;1;1;0;2;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2
;;12;Pengel, I.J.;41;1;6;0;2;1;4;0;1;2;0;2;4;1;2;0;4;2;3;0;3;1;0;1;1;0;0
;;13;Polsbroek, F.A.L.;80;8;6;0;1;0;5;3;2;11;0;2;1;4;0;0;8;7;2;3;5;2;2;1;5;1;1
;;14;Scholten, A.J.M.;28;2;1;0;3;0;2;1;1;0;0;0;1;0;0;1;0;1;3;1;2;2;0;3;0;3;1
5;Ouderenpartij Diemen;;;1087;83;47;0;49;13;34;44;87;67;11;38;39;4;13;15;7;31;77;40;41;74;97;51;47;24;54
;;1;Prins, P.A.;681;45;32;0;31;10;24;27;63;35;9;27;24;1;7;7;5;18;35;25;26;50;65;34;37;13;31
;;2;den Heijer, E.S.;52;6;0;0;4;0;3;3;5;4;2;1;3;0;0;0;1;1;5;1;3;5;1;3;1;0;0
;;3;Aguilar Bonilla, I.Y.;115;10;6;0;3;1;2;6;9;10;0;6;4;3;4;4;0;5;10;1;6;7;5;4;2;2;5
;;4;Mallens, F.Y.N.M.;41;6;4;0;2;0;0;1;2;3;0;0;0;0;0;1;0;0;0;5;0;4;4;1;5;1;2
;;5;van Doesburg, M.;79;6;4;0;6;0;3;3;2;9;0;0;3;0;1;2;1;1;4;4;2;3;10;9;1;3;2
;;6;Kroon, P.;19;5;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;0;0;3;4;0;1;0;0
;;7;van Honschooten, G.;60;0;0;0;1;0;2;0;0;3;0;1;4;0;0;0;0;4;20;0;3;1;3;0;0;5;13
;;8;Boerma, J.;7;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0
;;9;Biesbrouck, L.;12;3;0;0;2;0;0;1;1;1;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;10;Raveling, S.;21;2;0;0;0;2;0;1;1;1;0;1;1;0;1;1;0;2;0;4;0;1;2;0;0;0;1
6;Onafhankelijke Partij Diemen;;;956;70;56;0;57;47;34;31;45;52;3;20;23;21;96;28;21;26;50;48;24;43;68;18;37;15;23
;;1;Sikking, J.G.M.;484;37;18;0;38;39;16;20;24;23;3;7;14;7;44;11;10;11;22;14;13;23;32;13;22;11;12
;;2;Smits, L.R.;51;4;4;0;1;3;2;1;1;3;0;1;1;1;4;2;1;1;1;5;0;7;6;1;1;0;0
;;3;van Marion, A.R.;193;11;21;0;5;1;5;6;6;10;0;3;3;3;40;6;7;8;4;12;4;6;13;2;7;3;7
;;4;Grishaver, M.;46;3;3;0;3;0;6;0;7;3;0;1;2;0;1;3;0;1;4;3;1;0;3;0;1;1;0
;;5;Weijers - Luitjes, P.;28;4;4;0;0;1;0;1;1;3;0;0;0;0;4;1;0;0;3;0;1;2;2;0;0;0;1
;;6;Sannes, M.;30;2;1;0;2;0;0;0;0;1;0;0;0;5;0;1;1;3;8;0;1;2;1;0;0;0;2
;;7;Kramer, W.;11;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;3;2;0;2;1;0;0;0
;;8;Coffie, Z.Z.;54;2;2;0;5;2;2;1;0;4;0;2;0;5;2;2;1;2;8;4;2;3;3;0;1;0;1
;;9;van der Weele, F.;10;1;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0
;;10;Pauw, T.;12;0;0;0;1;0;1;1;2;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;11;Rietveld, M.A.B.;11;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;1;1;1;0;0
;;12;van Zuijlen, R.;26;3;1;0;1;0;0;1;3;4;0;1;1;0;0;2;0;0;0;2;0;0;4;0;3;0;0
7;Ons Diemen;;;1759;111;116;0;55;35;86;120;99;107;4;62;86;37;80;84;67;37;88;85;63;69;85;63;51;33;36
;;1;Advokaat, W.;808;49;53;0;26;20;37;54;41;55;2;26;34;14;45;32;26;22;46;33;22;35;41;33;32;13;17
;;2;Prins, J.;148;9;8;0;1;4;9;9;9;5;1;10;19;1;6;0;6;1;9;11;3;10;4;3;2;4;4
;;3;de Jong, J.;124;9;3;0;2;2;7;4;4;6;1;6;4;0;4;8;3;1;8;11;12;7;4;8;4;3;3
;;4;van Heumen, J.A.C.;58;1;6;0;4;0;2;7;7;5;0;0;0;1;0;7;2;0;2;5;3;1;1;0;0;3;1
;;5;Moors, N.C.F.;436;30;34;0;16;7;21;38;27;21;0;16;10;18;19;29;27;9;16;15;15;11;27;6;8;9;7
;;6;de Jong, A. S.;90;8;7;0;1;2;6;5;4;9;0;3;11;2;3;3;2;1;5;4;3;2;4;2;1;0;2
;;7;Havekotte, A.H.;95;5;5;0;5;0;4;3;7;6;0;1;8;1;3;5;1;3;2;6;5;3;4;11;4;1;2
