Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wapen van Medemblik;Sint Pieter;Sporthal De Muiter;kantine voetbalvereniging FC Medemblik;Grand Cafe de Post;Wijksteunpunt Woudrust;Dorpshuis  De Werf;Dorpshuis De Vang;Dorpshuis De Nieuwe Haven;Dorpshuis Twisk;Dorpshuis De Torenschouw;Gemeentehuis  Medemblik;Voetbalkantine Spartanen;Sporthal De Dres;De Wildebras;De Bloesem;Dorpshuis Centrum;Dorpshuis Sarto;Sporthal De Klamp;Eetcafe Cultura;De Schoof;De Dars;Cafe Van Rooijen;Dorpshuis De Onderdijk;Dorpshuis Zwaagdijk;Sportkantine De Westrand;Grand Cafe de Post;Kantine voetbalvereniging ALC Abbekerk;Brandweerkazerne Nibbixwoud;Ontmoetingsruimte Hieronymuskerk;kantine voetbalvereniging FC Medemblik;kantine voetbalvereniging FC Medemblik;Voetbalkantine Spartanen;Voetbalkantine Spartanen;Dorpshuis Centrum;Dorpshuis Centrum;Sportkantine De Westrand;Sportkantine De Westrand;Kantine voetbalvereniging ALC Abbekerk;Kantine voetbalvereniging ALC Abbekerk
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;20;21;22;23;25;26;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
Postcode;;;;;1671 AA;1671 CS;1671 JA;1671 ND;1679 GJ;1678 GA;1691 EC;1654 KB;1657 AH;1676 GG;1674 NE;1687 CD;1687 BP;1688 BE;1685 PN;1687 RA;1619 XE;1619 GJ;1619 DL;1619 CH;1693 EH;1693 GV;1693 AA;1693 CZ;1682 NP;1693 MA;1679 GJ;1657 EB;1688 CW;1687 PJ;1671 ND;1671 ND;1687 BP;1687 BP;1619 XE;1619 XE;1693 MA;1693 MA;1657 EB;1657 EB
;;5;Droog, M.G.A.;196;3;0;0;1;0;0;0;0;0;0;10;0;0;0;0;0;0;1;1;0;34;45;44;5;1;18;2;0;0;0;0;0;0;0;0;0;13;18;0;0
;;6;Zwier, S.M.;156;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;2;1;2;1;3;35;25;17;8;0;28;0;0;0;0;0;0;0;0;0;0;18;11;0;0
;;7;Salman, E.A.W.;179;2;0;0;0;0;2;0;3;1;1;0;44;32;3;2;25;2;0;0;0;0;0;0;0;0;0;0;1;1;27;0;0;7;22;0;1;0;2;0;1
;;8;Ligthart, P.A.H.;158;0;0;0;2;0;0;1;0;0;0;0;0;1;2;2;0;27;39;25;16;2;3;2;2;1;0;0;0;0;0;0;1;0;0;10;22;0;0;0;0
;;9;Zuurbier - Oudhuis, A.A.M.;33;0;1;0;0;0;0;0;1;0;0;0;3;9;1;0;6;0;0;0;0;0;0;0;1;0;0;3;0;0;4;0;0;3;1;0;0;0;0;0;0
;;10;Meester, E.W.;108;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;23;10;24;7;1;18;0;0;0;0;0;0;0;0;0;0;9;10;0;0
;;11;Commandeur, S.P.W;16;0;0;1;0;0;0;0;0;0;0;0;3;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;4;0;0;0;0;0;0;0
;;12;van Stralen, J.A.;29;0;0;0;0;2;0;0;19;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1
;;13;Kuin, M.N.;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;2;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Bot, P.C.;15;2;4;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0
