Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wapen van Medemblik;Sint Pieter;Sporthal De Muiter;kantine voetbalvereniging FC Medemblik;Grand Cafe de Post;Wijksteunpunt Woudrust;Dorpshuis  De Werf;Dorpshuis De Vang;Dorpshuis De Nieuwe Haven;Dorpshuis Twisk;Dorpshuis De Torenschouw;Gemeentehuis  Medemblik;Voetbalkantine Spartanen;Sporthal De Dres;De Wildebras;De Bloesem;Dorpshuis Centrum;Dorpshuis Sarto;Sporthal De Klamp;Eetcafe Cultura;De Schoof;De Dars;Cafe Van Rooijen;Dorpshuis De Onderdijk;Dorpshuis Zwaagdijk;Sportkantine De Westrand;Grand Cafe de Post;Kantine voetbalvereniging ALC Abbekerk;Brandweerkazerne Nibbixwoud;Ontmoetingsruimte Hieronymuskerk;kantine voetbalvereniging FC Medemblik;kantine voetbalvereniging FC Medemblik;Voetbalkantine Spartanen;Voetbalkantine Spartanen;Dorpshuis Centrum;Dorpshuis Centrum;Sportkantine De Westrand;Sportkantine De Westrand;Kantine voetbalvereniging ALC Abbekerk;Kantine voetbalvereniging ALC Abbekerk
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;20;21;22;23;25;26;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
Postcode;;;;;1671 AA;1671 CS;1671 JA;1671 ND;1679 GJ;1678 GA;1691 EC;1654 KB;1657 AH;1676 GG;1674 NE;1687 CD;1687 BP;1688 BE;1685 PN;1687 RA;1619 XE;1619 GJ;1619 DL;1619 CH;1693 EH;1693 GV;1693 AA;1693 CZ;1682 NP;1693 MA;1679 GJ;1657 EB;1688 CW;1687 PJ;1671 ND;1671 ND;1687 BP;1687 BP;1619 XE;1619 XE;1693 MA;1693 MA;1657 EB;1657 EB
;;15;van Unen, H.;12;0;0;1;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kieftenburg, J.N.M.;26;0;0;0;0;0;0;0;4;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;1;2;8
;;17;Geveke - de Groot, G.H.;8;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;18;Ligthart, P.J.;24;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;10;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
;;19;de Jong, B.;12;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Portegies, G.M.A.;11;0;0;0;0;2;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Rood - de Haan, C.M.M.;20;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0
;;22;Botman, C.G.;15;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;23;Hauwert - Schouten, C.L.;10;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Middel - Breddels, R.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;25;de Vries, C.B.;10;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
;;26;Wiering, N.C.W.;11;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;27;Kuin, G.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;de Lange, F.P.H.;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;29;Koopman - Peerdeman, A.C.A.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;30;Schoutsen, C.G.L.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
;;31;Kerckhaert, M.E.M.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Wakelkamp - Velzeboer, A.M.;13;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Nieuweboer, A.G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Dudink - Ruiter, A.A.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Vlaar - Oudeman, A.M.;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Sneek, G.P.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;de Kroon, M.W.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;38;Kroezen - Puister, G.;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Eijk, T.;10;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;40;Steltenpool, A.T.;4;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Commandeur, S.J.M.;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;GemeenteBelangen;;;2991;161;169;89;82;67;49;122;58;230;103;70;27;27;33;12;42;26;26;6;14;49;74;49;324;362;28;47;128;31;25;31;58;17;22;5;11;18;24;128;147
;;1;Plekker, L.E.;609;31;40;25;17;17;12;62;14;11;24;22;7;7;17;1;9;16;9;3;7;26;22;26;70;14;11;17;3;9;8;6;21;5;0;2;4;4;7;2;1
;;2;Paarlberg, R.A.;623;2;3;0;3;0;0;2;9;201;4;3;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;119;0;1;0;1;0;2;2;2;0;0;123;141
