Verkiezing;;Gemeenteraad Castricum 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Castricum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Tuin van Kapitein Rommel;Gymzaal Eerste Groenelaan;De Kern;Pastorie RK kerk;Gymzaal Walingstuin;Gymzaal Rooseveltlaan;Sportcentrum De Bloemen;Buurt- en Biljartcentrum Castricum;Gymzaal Vondelstraat;De Oude Keuken;FASE FIER;'t Kruispunt;Sportcentrum De Lelie;De Storey Club;Gymzaal Het Kleurenorkest;Vredeburg;Sportcentrum De  Enterij;mobiel stembureau;Gemeentehuis maandag;Tuin van Kapitein Rommel maandag;Gemeentehuis dinsdag;Tuin van Kapitein Rommel dinsdag;'t Kruispunt  maandag;'t Kruispunt dinsdag;Vredeburg maandag;Vredeburg dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;100;150;200;250;300;400;500;600
Postcode;;;;;1902 CA;1901 DZ;1901 TD;1901 EW;1901 EK;1902 BC;1902 DH;1902 GT;1901 XB;1901 HT;1901 ZZ;1901 KA;1921 XC;1921 EK;1921 CV;1906 CC;1906 AL;1906 AP;1489 NB;1902 CA;1901 DZ;1902 CA;1901 DZ;1921 XC;1921 XC;1906 AL;1906 AL
5;De VrijeLijst;;;1957;147;124;103;75;53;92;109;79;122;23;71;114;46;28;10;123;85;55;63;70;33;145;72;7;24;27;57
;;1;de Haan, R.A.;835;58;52;30;32;18;40;51;38;63;7;28;54;17;11;5;43;35;26;28;34;16;68;28;3;4;17;29
;;2;Böhling, B.;431;36;33;40;15;16;17;20;12;23;5;22;25;7;7;2;25;12;8;7;16;8;35;17;1;7;3;12
;;3;de Heer, T.A.;46;4;2;3;7;2;3;1;3;1;0;4;3;0;0;0;2;1;1;1;2;0;5;0;0;0;0;1
;;4;Zwikker, C.P.;246;27;19;18;12;8;20;21;14;15;9;4;13;4;0;0;8;4;0;1;9;4;15;16;1;3;1;0
;;5;van der Eng, H.P.M.;49;4;3;1;1;3;1;3;4;2;0;3;5;0;1;0;3;0;0;0;3;1;4;4;1;0;0;2
;;6;van de Fliert, J.R.;30;2;3;1;0;0;3;1;0;1;0;1;7;0;0;0;0;1;0;0;2;2;3;3;0;0;0;0
;;7;Sauer, I.;36;0;1;1;0;2;2;2;0;3;0;2;0;4;1;0;0;0;0;17;1;0;0;0;0;0;0;0
;;8;Edelenbosch, J.O.;32;0;0;0;0;0;0;0;0;0;0;1;0;13;6;3;0;0;0;0;0;0;0;0;0;9;0;0
;;9;Thijssen, C.J.M.;140;3;3;1;0;1;2;4;0;2;1;1;6;0;2;0;39;32;20;0;0;0;3;0;1;0;6;13
;;10;Laan, A.J.M.;39;3;2;2;4;3;0;2;6;4;0;1;0;0;0;0;3;0;0;1;1;0;3;4;0;0;0;0
;;11;Lammers, T.D.;12;1;1;0;2;0;1;2;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;12;Oosterbaan, J.S.;14;3;1;2;1;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;13;Hoekzema, L.G.J.;9;2;1;0;1;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;van Bergen Henegouw, C.N.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;15;Zonneveld, F.M.P.;12;1;2;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0
;;16;Kingma, C.P.;8;2;0;2;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hoogland, R.J.M.;15;0;1;1;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;8;0;0;1;0;0;0;0;0
6;D66;;;1624;146;67;83;53;41;77;73;79;93;32;76;97;38;32;16;104;93;45;18;90;33;83;48;9;11;31;56
;;1;Ebels, H.J.;708;55;19;31;22;15;29;26;33;42;14;26;46;6;6;4;65;58;25;5;38;13;42;23;3;5;24;33
;;2;El Ouni - Huijser, M.A.;368;38;20;17;12;13;9;11;13;19;4;18;17;26;22;10;21;11;5;7;16;6;15;14;5;6;2;11
;;3;Balke, I.R.N.;140;23;4;6;7;2;16;14;9;6;7;12;9;0;3;0;0;0;0;0;11;4;3;3;0;0;0;1
;;4;Shalders, J.A.;82;6;4;0;4;0;1;2;1;2;0;2;4;1;1;2;12;15;13;2;0;0;0;0;0;0;3;7
;;5;Roodhof, H.J.J.;33;3;3;2;1;1;5;1;5;1;1;1;0;0;0;0;0;0;0;1;0;1;4;2;1;0;0;0
;;6;Roskam, P.F.;9;0;0;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0
;;7;Borsboom, D.C.J.;90;4;7;10;2;5;7;5;8;4;3;5;5;2;0;0;0;1;2;0;10;1;6;1;0;0;0;2
;;8;de Groot, R.S.;50;3;6;3;5;0;4;6;0;4;0;6;4;1;0;0;0;0;0;1;5;1;1;0;0;0;0;0
;;9;van Dongen, J.C.M.;22;1;0;1;0;0;0;0;3;6;0;2;4;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0
;;10;Beeker, J.M.;5;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;11;Leek, J.C.;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;12;ter Heide, J.;15;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;2;2;0;0;1;2;0;2;0;0;1;0
;;13;Schipper, J.J.M.;12;1;0;2;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;2;2;0;0;0;0;0;0
;;14;Lindhout, F.H.;6;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;15;Steeman, M.C.;80;11;2;11;0;5;2;4;6;4;2;3;6;1;0;0;3;3;0;1;4;2;7;0;0;0;1;2
7;Forza! Castricum;;;1318;103;58;50;61;37;66;77;52;63;12;21;81;52;24;12;137;106;44;9;56;23;60;23;9;21;26;35
;;1;Castricum, R.;762;74;28;29;48;18;41;49;43;43;11;16;59;38;13;3;54;29;12;4;47;20;37;11;4;14;8;9
;;2;Klein, V.C.;51;2;3;3;2;3;3;5;1;4;0;2;4;2;1;2;0;3;1;0;2;2;2;1;0;1;1;1
;;3;van den Berg, J.T.M.;138;4;4;3;2;0;4;7;0;3;0;0;1;2;3;1;31;31;17;0;1;0;2;1;1;2;10;8
;;4;Piepers, J.;140;1;5;1;1;0;5;5;0;5;0;0;2;4;0;3;41;25;12;3;1;1;5;2;0;2;4;12
;;5;Pino, D.R.;52;5;0;5;1;4;2;1;3;2;1;2;4;3;6;1;2;2;0;2;2;0;2;0;0;0;1;1
