Verkiezing;;Gemeenteraad Texel 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Texel;;;;;;;;;;;;;;;;;;
Nummer;;0448;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Bibliotheek Texel;De Buureton;Eierlandsche Huis;Verenigingshuis Bethel;Dorpshuis De Waldhorn;Dorpshuis De Hof;Dorpshuis De Bijenkorf;Dorpshuis 't Skiltje;Dorpshuis De Wielewaal;Teso;Schietcentrum Odysseus;Gemeentehuis (dinsdag);Teso (dinsdag);Gemeentehuis (maandag);Teso (maandag)
;;3;Houwing, T.B.;52;4;9;6;3;5;2;4;2;3;3;2;1;7;0;0;1
;;4;van Troost, M.H.M.;29;1;7;4;1;0;0;1;0;5;0;2;4;2;1;1;0
;;5;Eelman, M.W.;33;4;6;5;0;0;0;0;2;5;0;0;0;5;0;6;0
;;6;Witte, E.J.;43;3;4;0;0;1;4;1;29;1;0;0;0;0;0;0;0
;;7;van der Ploeg, J.N.;27;2;4;8;0;0;2;0;1;8;0;1;0;0;1;0;0
;;8;Hoogerheide, P.J.W.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;9;Bakker, J.;55;3;17;12;0;1;5;4;1;1;0;0;2;5;0;4;0
;;10;Schrama, C.C.;14;0;2;1;0;0;3;1;1;0;2;2;0;2;0;0;0
6;D66;;;381;47;59;51;17;2;19;35;44;31;4;3;8;28;5;24;4
;;1;van de Wetering, A.A.M.;198;23;32;23;10;1;12;16;29;16;2;2;2;14;1;14;1
;;2;Lijklema, P.O.;41;3;6;14;2;0;0;1;4;3;2;0;0;4;1;0;1
;;3;Eschweiler, S.;42;11;7;4;3;0;1;5;4;1;0;0;1;2;2;1;0
;;4;van der Vlerk, T.P.;39;7;6;3;1;1;0;6;3;7;0;0;3;1;0;1;0
;;5;Visman, F.R.;19;1;3;5;1;0;2;2;2;1;0;0;0;0;0;2;0
;;6;Bas, J.T.;8;0;2;1;0;0;0;0;1;2;0;0;0;0;1;1;0
;;7;Eijzinga, R.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;8;Koopman, J.;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;9;Platte-Boon, K.;6;0;1;0;0;0;1;0;0;0;0;0;0;4;0;0;0
;;10;van Damme, R.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
;;11;de Haan, A.V.;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;12;Lindeboom, H.J.;6;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2
;;13;Jongeneel-Wiegmann, C.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Takens, R.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Heerwaarden, C.J.;11;1;1;1;0;0;3;0;0;0;0;1;1;3;0;0;0
7;Blanco (Kooiman, E.P.);;;709;65;96;82;52;11;15;144;45;58;26;12;15;30;8;45;5
;;1;Kooiman, E.P.;157;12;14;25;14;2;3;26;13;6;9;4;1;11;2;15;0
;;2;Polderman, E.;61;5;13;4;4;0;1;21;0;2;4;0;2;4;0;1;0
;;3;Jonker, H.;22;1;6;0;0;0;1;3;1;2;0;0;0;0;0;8;0
;;4;van Hardeveld, M.;25;6;1;6;0;0;0;3;1;3;0;2;0;1;0;1;1
;;5;Vonk, D.M.;81;6;10;12;11;2;0;7;13;8;2;0;1;6;1;2;0
;;6;Eelman, M.;54;12;4;5;3;0;5;7;2;4;5;1;2;4;0;0;0
;;7;Pansier, M.;73;4;14;11;11;0;0;6;5;6;0;3;4;1;1;5;2
;;8;Kaercher, A.;129;12;15;10;4;2;5;57;6;8;2;2;1;2;0;1;2
;;9;Beumkes, D.B.;27;0;7;2;0;1;0;7;1;3;2;0;0;0;1;3;0
;;10;Witte, L.;30;4;4;1;1;3;0;1;2;8;1;0;2;0;2;1;0
;;11;Vonk, T.;16;2;1;2;0;0;0;4;1;4;0;0;0;0;0;2;0
;;12;Ploegman, J.P.;8;0;2;2;3;0;0;0;0;1;0;0;0;0;0;0;0
;;13;van Miltenburg, L.;7;0;0;1;1;0;0;2;0;1;1;0;1;0;0;0;0
;;14;Schouwstra, D.C.;8;0;4;1;0;0;0;0;0;1;0;0;0;1;0;1;0
;;15;Winnubst, J.N.A.;11;1;1;0;0;1;0;0;0;1;0;0;1;0;1;5;0
