Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Schouwburg het Park;Stembureau Oosterkerk Hoorn;Stembureau Showband Hoorn;Stembureau Wijkcentrum Grote Waal;Stembureau Museumstoomtram;Stembureau Wijkcentrum De Zaagtand;Stembureau Praethuys 't Slot;Stembureau Stadhuis;Stembureau Wijkcentrum De Huesmolen;Stembureau Westfries Archief;Stembureau West-Friese Hockeyclub Hoorn;Stembureau Sportcafe - De Opgang;"Stembureau Stichting Cultureel Centrum Zwaag ""De Plataan""";Stembureau MFA De Kreek;Stembureau S.V. Westfriezen;Stembureau Sporthal Lingeweg (Adoshal);Stembureau Sint Michaëlskerk Blokker;Stembureau Wijkcentrum Kersenboogerd;Stembureau Scoutinggroep Martin Luther King;Stembureau Sporthal Charlotte van Pallandthof;Stembureau Basisschool Dynamis;Stembureau Basisschool Het Spectrum;Stembureau Wijkcentrum Grote Waal;Stembureau Museumstoomtram;Stembureau Stadhuis;Stembureau Plataan;Stembureau Sint Michaëlskerk Blokker;Stembureau Sporhal Charlotte van Pallandthof;Stembureau Wijkcentrum Grote Waal;Stembureau Museumstoomtram;Stembureau Stadhuis;Stembureau Plataan;Stembureau Sint Michaëlskerk Blokker;Stembureau Sporthal Charlotte van Pallandthof
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;104;105;108;113;117;120;204;205;208;213;217;220
Postcode;;;;;1621 LE;1621 X;1621 GK;1622 ES;1624 NN;1624 VW;1623 JD;1625 HV;1625 HZ;1625 NT;1689 VR;1689 NT;1689 GM;1689 XD;1689 EJ;1628 AW;1695 AH;1628 LZ;1620 GB;1628 ZJ;1628 TR;1628 XH;1622 ES;1624 NN;1625 HV;1689 GM;1695 AH;1628 ZJ;1622 ES;1624 NN;1625 HV;1689 GM;1695 AH;1628 ZJ
3;VVD;;;2500;84;161;88;82;40;102;57;96;110;29;58;99;74;197;48;34;69;94;16;66;167;147;16;27;80;26;52;47;36;58;97;39;55;49
;;1;van der Ven, M.;1450;41;80;49;44;21;59;35;46;77;16;27;57;42;119;27;24;42;53;13;36;109;83;8;12;51;14;36;31;19;35;61;23;31;29
;;2;Bos, B.;249;12;31;11;9;6;5;6;11;7;3;7;7;6;15;4;2;3;14;2;7;12;9;4;2;7;2;7;1;6;7;9;5;7;3
;;3;Droste, R.;167;6;18;7;4;7;11;4;7;4;0;6;10;1;13;3;2;3;5;0;2;11;12;2;1;4;3;0;3;0;1;6;5;5;1
;;4;Sluis, M.D.N.;111;13;7;4;3;0;9;2;4;4;1;2;3;1;3;2;0;0;11;0;4;4;12;0;5;2;0;1;2;2;4;5;0;0;1
;;5;Mengerink, M.;56;5;0;5;2;0;4;3;3;2;0;2;2;0;3;0;0;0;0;0;3;4;3;0;2;4;2;0;0;1;1;3;1;0;1
;;6;Hak, S.G.C.;143;3;13;5;10;2;3;5;8;5;4;9;6;4;16;5;2;3;1;1;3;5;1;1;3;2;2;2;5;2;2;3;4;1;2
;;7;Yousufi, A.Y.;38;0;1;0;3;0;0;0;1;1;1;0;3;0;2;2;0;2;0;0;0;2;3;1;0;2;0;1;0;0;1;2;0;6;4
;;8;Faber, B.D.;30;2;3;0;0;0;1;2;2;0;0;0;0;2;1;0;2;3;2;0;0;3;2;0;0;0;0;2;0;2;0;0;0;1;0
;;9;Hafi, M.A.;11;0;0;0;0;1;0;0;1;0;2;1;1;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Lindenbergh, E.;40;0;1;0;1;1;0;0;2;1;0;2;2;8;9;1;0;0;2;0;3;3;3;0;0;0;0;0;1;0;0;0;0;0;0
;;11;de Gast, C.;17;0;0;0;1;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;5;0;0;1;0;0;1;0;1;1
;;12;Heijtlager, F.E.;13;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;1;3;0;0;0;0;0;0;0;0;0;0;0;1
;;13;Chauke, G.C.;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Sluis, I.F.;28;0;2;1;1;0;2;0;2;3;0;0;3;1;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;3;0;4;0;0;1
;;15;Medik, W.M.;11;0;0;2;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0
;;16;Goede, W.H.;18;0;1;0;0;0;2;0;0;2;0;0;3;1;0;0;0;0;2;0;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1
;;17;Louwman, R.J.;38;0;2;0;0;1;3;0;4;1;1;0;0;1;2;2;0;0;1;0;0;3;7;0;0;0;0;0;2;1;3;0;0;1;3
;;18;Medik, C.J.;5;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Mell, J.;8;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
;;20;Toereppel, K.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Strik, M.L.;15;0;0;3;0;0;1;0;0;0;1;0;1;3;1;1;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;22;van Dijkhuizen, G.;10;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;2;0
;;23;van Hilten, W.;31;1;1;0;1;0;0;0;2;1;0;1;0;2;3;0;0;9;0;0;0;2;1;0;0;0;3;1;0;0;2;1;0;0;0
4;GROENLINKS;;;2796;100;195;97;139;82;115;98;116;203;54;64;131;59;122;34;64;83;163;27;50;129;65;34;61;73;22;44;17;62;67;123;33;39;31
;;1;Drommel, R.E.;642;10;32;22;44;22;30;12;27;47;15;8;24;24;29;13;14;26;50;9;7;25;10;8;13;19;6;15;3;16;11;34;8;5;4
;;2;Lallhit, S.D.;280;8;11;4;12;6;10;9;13;24;5;7;18;3;20;1;17;11;12;0;12;16;18;1;4;7;0;4;3;3;7;7;2;1;4
;;3;van der Bijl, M.T.;755;27;74;29;37;18;33;31;29;49;9;24;22;16;27;13;17;18;34;8;15;42;23;10;18;21;7;11;3;21;11;33;5;9;11
;;4;Kukler, J.W.A.;49;0;4;1;2;1;1;2;6;3;2;0;1;3;1;0;0;0;4;0;0;2;0;0;0;4;1;1;1;2;0;6;0;0;1
;;5;Beuken, J.L.;331;15;35;13;15;14;10;17;16;21;8;7;23;1;13;3;4;7;13;3;3;14;7;3;13;5;0;1;0;4;18;14;5;6;0
;;6;van Os, E.A.C.G.M.;92;10;5;3;2;2;3;2;3;3;2;1;7;2;2;1;2;5;7;1;4;6;0;2;1;3;1;1;0;1;1;6;1;0;2
;;7;Klaassen Bos, R.;32;5;3;1;2;1;0;2;0;3;4;0;2;0;3;0;0;0;1;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0
;;8;Deen, R.;81;2;3;5;3;3;4;6;2;8;0;1;2;0;5;1;3;0;4;1;1;4;0;1;3;2;0;0;0;1;2;5;2;4;3
;;9;Dumas, R.;18;0;0;0;0;0;0;0;0;5;1;1;2;0;1;0;0;1;0;0;0;3;0;0;0;0;0;1;0;0;0;3;0;0;0
;;10;Ligthart, A.M.;45;2;4;1;0;0;3;2;3;3;0;2;0;3;1;2;0;1;2;1;0;5;0;0;0;5;0;0;1;1;1;1;0;1;0
;;11;Truijens, D.M.;22;1;2;3;1;0;2;2;0;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;1;1;0;1;0
;;12;de Glas, Y.;12;0;1;0;0;0;1;2;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0
;;13;Rote, R.;9;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0
;;14;de Graaf, L.J.;18;0;1;0;0;0;0;2;2;2;2;0;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0
