Verkiezing;;Gemeenteraad Haarlem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Haarlem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Stadhuis;Philharmonie;Zijlpoort;Stadsbibliotheek;Rosenstock Huessy Huis;Basisschool De Kring;Oud-Katholieke Kerk H.H. Anna en Maria;Activiteitencentrum Het Zaeltje van Rosehaghe;Speeltuin Klarenhof;Badhuis Leidseplein;Trefpunt 't Trionk;Pelgrimkerk;Tent Theemsplein;Tent Christiaan Huygensplein;Wijkcentrum Het Broederhuis;Wijkcentrum Oosterkerk;Tent Van Zeggelenplein;Gymzaal De Viersprong;Reinaldahuis;Tent Mohammed Hattastraat;Activiteitencentrum & Regiokantoor DOCK;Tent Zomervaart;Speeltuinvereniging Kindervreugd;Buurtcentrum de Hamelink;Waarderpolder;Eerste Christelijke Lyceum (ECL);OBS Bos en Vaart;Provincie Noord-Holland;Verpleeghuis Zuiderhout;Tent Spaar en Hout;HART Haarlem;Buurtcentrum De Tulp;Fonteinkerk;Koningkerk;Willem van Oranjeschool;Speeltuinvereniging Elba;Basisschool De Cirkel;Vrije school Kennemerland;De Goede Herderkerk;Wijkcentrum De Horizon;Tent Santpoorterstraat;Basisschool Ter Cleeff (Gymzaal);Haarlemse Korfbal Club;Ontmoetingscentrum De Schakel;Tent Elzenplein;Backstop;Gymzaal Liduinaschool;Tent Herman Heijermansplein;Schoterhof;Scouting Menno Simonsz;Speeltuin D.V.S.;Scouting Brigitta;Gymzaal De Dolfijn;Johan Limpershof;Stg. Wijkgebouw Hof van Eden;RK Basisschool Sint Bavo;Dienstgebouw Oude Kerk;Novacollege Zijlweg;Fablo Tennishal;Tent Duinroosplantsoen;Tent Beneluxplein;Tent Rozemarijn KDC;Wijkcentrum de Wereld;Speeltuin De Eenhoorn;Tent CBR;Wijkcentrum De Ringvaart;Tent Floris van Adrichemlaan;Basisschool Al Ikhlaas;VMG Haarlem;Da Vinci, Centrum van Ontmoeting;RK basisschool De Brandaris;De Molenburg;Stadsbibliotheek Schalkwijk;Basischool De Wadden;Tent NS Station;Publiekshal Raakspoort;Patronaat;Frans Hals Museum;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort
;;1;Roduner, F.J.;4066;76;41;23;54;43;30;88;56;38;42;45;52;63;37;50;35;53;21;27;41;10;26;12;32;7;58;50;33;41;27;45;64;63;20;19;75;61;60;81;34;139;64;40;91;32;34;88;17;48;17;73;41;48;41;59;71;6;60;104;34;30;57;32;16;21;22;37;31;11;71;51;60;27;15;75;43;27;27;22;21;4;48;12;26;26;12;34;41;29;20;7;27;34;26;27;14;77;66
;;2;Wiedemeijer, M.H.;727;12;8;3;4;6;4;5;4;3;5;6;5;5;1;6;7;7;3;2;5;5;6;1;2;0;5;0;4;3;1;5;8;14;1;0;4;2;7;11;8;28;55;36;33;25;12;16;7;3;2;15;12;8;6;9;15;50;3;7;4;7;6;4;1;2;6;10;2;1;6;1;7;5;0;13;0;9;1;2;4;1;1;12;7;2;8;7;6;6;3;1;7;9;6;5;4;14;7
;;3;Verhoeff, C.M.;2152;50;22;5;28;31;20;26;19;11;26;36;18;21;12;28;13;31;9;11;15;4;15;11;17;4;19;22;24;23;10;18;20;27;15;7;45;43;45;48;30;86;25;34;46;15;21;68;23;62;27;45;21;21;18;32;33;7;18;57;24;27;14;11;7;10;10;12;6;1;29;18;23;18;6;48;20;17;9;7;18;5;19;19;18;8;6;18;17;20;18;3;17;18;23;19;5;28;18
;;4;Roodhuizen, R.;1086;50;21;10;18;14;18;13;5;5;16;13;15;27;7;17;6;9;2;5;10;2;4;7;5;0;9;17;21;6;6;15;11;13;14;6;24;19;12;19;8;36;10;16;27;7;7;17;9;7;4;16;20;8;9;22;18;2;14;17;6;16;12;9;4;7;2;7;1;4;12;9;11;5;4;29;23;20;24;2;2;2;4;7;1;5;2;9;12;11;9;2;4;8;8;5;3;8;12
;;5;Visser, S.R.;288;7;0;0;5;2;2;2;1;2;0;3;3;4;0;3;2;11;1;1;3;0;8;3;2;0;0;4;0;0;0;3;6;2;1;0;4;1;1;4;2;3;1;2;4;0;1;3;0;3;0;6;0;0;0;2;2;0;1;3;0;4;13;12;17;0;2;2;2;3;3;17;18;3;8;4;2;1;3;0;0;0;1;1;1;15;2;1;2;0;1;1;0;1;0;14;1;4;5
;;6;Abbasi, M.;179;3;1;0;0;1;1;1;1;1;1;5;0;5;1;4;2;6;0;2;1;1;4;1;0;0;8;4;2;0;0;2;2;1;0;1;2;2;0;1;1;7;1;2;5;3;1;9;2;1;1;3;1;1;0;3;2;1;1;9;0;1;3;3;0;2;1;1;6;2;7;2;1;1;0;2;2;0;2;1;0;0;1;0;0;0;3;0;1;1;1;1;2;3;0;0;1;5;2
;;7;Bastiaans, E.E.;555;14;8;1;9;8;9;6;8;5;7;19;17;29;7;5;4;6;2;0;6;1;5;2;2;0;23;13;8;4;4;6;5;8;2;3;9;6;3;12;3;20;5;3;7;2;7;13;2;4;1;4;13;5;3;1;4;1;10;12;0;3;3;3;4;3;2;9;0;2;7;3;9;3;1;12;3;0;2;3;1;0;20;2;1;3;1;3;7;3;5;0;11;5;3;3;0;3;6
;;8;Heinis, D.G.;217;1;5;1;0;2;10;2;2;3;2;1;3;1;0;0;1;2;2;8;27;13;1;1;1;0;0;1;1;0;0;1;1;0;3;1;2;9;3;3;1;9;1;6;0;1;0;1;0;0;1;3;1;12;17;1;3;0;2;2;1;1;0;1;2;0;1;0;0;0;0;1;2;1;0;4;1;2;1;0;2;2;1;2;3;0;0;3;0;1;2;5;0;0;1;1;0;1;0
;;9;van der Aart, P.J.;76;3;1;0;0;0;1;0;2;0;1;0;0;1;1;9;4;3;0;0;0;1;4;0;0;0;0;3;1;0;0;0;1;1;0;1;2;0;0;0;0;1;1;1;0;0;0;2;1;0;0;0;2;0;2;1;0;0;2;1;0;2;0;2;0;0;1;2;0;0;0;2;3;0;0;4;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
;;10;Wegman, B.;374;11;3;2;8;5;3;1;1;1;7;7;2;6;0;5;1;7;0;1;3;1;3;0;4;0;2;4;3;2;2;5;5;4;2;0;2;8;14;6;5;8;6;7;15;2;4;5;1;4;0;5;16;5;7;19;27;0;3;4;2;2;3;2;0;1;3;1;2;1;4;0;3;3;0;8;1;4;8;0;0;0;2;2;2;2;0;2;1;6;1;0;3;5;4;2;1;6;3
;;11;Haver, T.;171;3;0;0;16;1;2;2;1;0;1;3;0;0;0;5;0;2;0;0;1;1;1;0;1;1;2;0;1;0;1;1;0;1;1;2;3;20;4;3;1;4;1;1;4;2;0;1;0;0;1;2;7;1;3;3;3;0;2;5;0;10;6;1;0;1;0;1;0;0;0;0;0;2;1;3;3;2;4;1;0;0;1;4;0;0;0;0;2;0;0;0;1;0;0;1;0;5;1
;;12;Oomkes, J.N.;221;17;3;1;3;4;5;0;3;2;0;1;2;0;2;3;2;0;0;0;3;1;2;1;1;1;1;4;2;2;2;6;4;1;1;0;3;0;0;5;1;11;4;3;1;3;0;1;1;0;0;4;4;1;5;5;0;0;5;1;3;3;2;3;0;0;1;0;0;4;1;6;6;3;0;2;0;4;6;3;0;0;4;2;0;0;2;1;7;0;2;0;2;3;3;1;2;3;4
;;13;Stoop, M.;174;8;5;2;4;2;2;1;1;2;3;1;1;3;1;3;2;4;2;2;1;2;1;1;2;0;1;3;1;0;0;0;4;1;1;2;4;6;3;2;3;5;0;5;8;0;2;2;0;2;0;6;0;1;2;3;1;0;1;1;0;2;1;2;0;2;0;4;0;0;1;0;0;0;0;11;3;2;0;0;3;0;0;0;0;1;1;1;0;0;0;0;0;2;1;1;0;7;3
;;14;Hos, M.J.J.;31;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;3;1
;;15;Adema, J.;56;3;1;0;0;2;0;1;0;0;1;3;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;3;2;0;1;1;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;2;1;1;0;0;4;2;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;3;0
;;16;Keiner, D.X.;29;0;0;0;0;0;1;0;0;0;0;0;1;2;1;1;0;2;2;0;0;0;1;0;1;0;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;de Fijter, H.;24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;2;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;1;0;0;1;0
;;18;Dusseljee, B.;15;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kagie, S.;38;1;0;0;1;2;0;1;0;0;1;0;0;1;0;2;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;2;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1
;;20;Alvares, E.G.;29;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;1;0;0;1;0;0;0
;;21;Jacobs, M.L.;14;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;22;Schaart, K.R.;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;1;1;0;0;1;0;1;0;3;0;0;0;0;1;1;1;2;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
;;23;de Jongh, J.;36;1;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Witteveen, R.M.;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;25;Roggeveen, E.;38;0;1;0;0;0;1;4;1;0;3;0;1;0;0;1;1;1;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;2;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
;;26;van der Bruggen, J.A.F.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Leenman, K.;32;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;2;0;2;0;0;2;1;0;1;1;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0
;;28;Scholtemeijer, M.G.;17;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Meijer, C.;14;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;30;Ramsodit, N.U.;86;1;1;0;0;1;1;0;1;0;1;0;1;1;2;0;0;1;1;1;0;0;1;0;0;0;3;2;0;0;0;0;0;3;1;2;1;4;0;0;0;3;2;0;5;0;0;2;1;0;2;3;1;0;0;4;1;0;1;1;1;1;0;0;0;2;2;1;0;1;2;0;1;1;0;4;0;2;1;0;0;1;0;2;0;0;0;0;1;0;1;0;0;1;0;0;0;1;4
;;31;Kaper, C.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Schreuder, R.F.;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;33;Volp, M.J.;16;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Schopman, M.C.M.;52;6;0;0;3;1;0;0;0;2;0;1;1;1;2;2;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;2;1;0;2;0;1;0;0;1;1;1;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
;;35;Fritz, J.;18;2;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;36;den Uyl, X.J.;87;2;0;1;0;3;2;0;2;1;0;0;1;0;0;5;1;2;0;2;2;0;2;0;1;1;1;0;1;1;0;0;0;3;1;0;3;1;0;1;0;2;1;0;0;2;1;0;1;2;2;0;2;0;0;0;0;0;1;5;0;1;0;1;0;1;0;0;0;0;1;0;3;0;0;3;1;0;1;0;0;0;1;0;1;2;0;0;0;1;4;0;0;3;1;1;0;1;1
3;VVD;;;7366;178;69;46;63;98;110;72;59;65;82;93;127;129;67;71;33;97;39;63;86;29;50;34;58;22;121;199;108;219;107;55;46;99;30;30;88;125;62;113;92;207;90;96;156;46;88;176;22;104;50;127;88;76;75;93;114;30;86;168;124;65;79;37;27;65;37;53;19;19;70;103;135;38;29;104;91;52;56;42;37;14;79;32;28;33;32;41;62;39;44;30;108;54;48;41;32;68;73
;;1;van Kessel, P.W.;3769;90;38;26;36;43;59;32;37;32;43;55;57;56;27;37;14;46;15;41;43;13;27;19;23;9;56;101;49;107;50;17;18;56;19;18;47;59;29;60;48;98;51;52;77;28;32;99;14;56;27;69;40;39;45;62;62;11;41;87;59;32;40;21;14;31;22;26;11;12;38;69;89;21;14;39;51;23;18;22;27;5;41;18;13;14;19;20;34;25;26;18;49;26;22;30;19;36;33
;;2;Klazinga, N.M.N.;1790;40;15;11;12;19;19;21;8;21;21;22;30;36;19;17;7;30;9;12;24;11;12;7;15;7;30;61;21;72;26;18;11;25;5;6;14;32;19;28;22;50;17;23;46;9;18;35;4;19;14;34;26;28;16;16;30;12;19;40;30;15;20;8;8;17;5;12;3;4;12;17;23;9;8;23;19;15;23;13;5;5;20;7;9;11;9;12;14;6;8;7;22;17;14;8;5;14;22
;;3;Blokpoel, J.W.;142;1;2;0;0;2;0;0;0;1;1;1;5;1;1;4;2;3;0;0;4;0;0;1;1;1;0;5;3;1;2;0;0;3;2;1;2;1;2;4;1;3;3;5;1;0;1;5;0;6;1;3;2;3;1;0;1;0;1;2;4;2;1;2;1;2;1;1;0;2;1;1;1;0;0;3;1;1;2;1;0;0;1;1;0;3;0;1;2;0;0;0;3;0;5;0;2;1;0
;;4;Bruch, A.H.J.;52;2;2;0;0;1;4;0;0;0;0;1;1;1;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;2;1;1;2;2;0;1;1;2;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;4;0;2;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;0;1;0;1
;;5;Aerssens, E.;54;0;0;0;1;5;1;0;0;0;1;0;2;0;0;0;1;0;1;1;1;0;0;0;3;0;0;0;1;0;1;0;0;0;1;0;2;2;0;0;1;0;0;6;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;5;0;0;0;0;1;0;0;0;1;1;3;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;6;van Grinsven-Admiraal, N.J.;315;11;3;1;2;3;3;1;3;3;5;4;3;16;5;3;1;4;1;2;2;0;1;1;1;3;8;7;9;6;4;4;1;2;0;3;6;8;2;4;3;14;2;0;11;2;2;8;0;3;1;4;5;4;3;2;4;1;6;4;9;1;4;5;1;4;0;7;0;0;3;4;7;0;0;7;3;3;3;0;2;0;0;0;1;0;0;1;3;0;2;1;6;2;2;2;2;1;4
;;7;Buschman, P.S.M.;57;1;1;1;0;4;0;9;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;3;0;0;0;1;3;0;2;1;1;1;0;0;0;2;0;0;0;0;0;3;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0
;;8;Baars, R.J.;160;13;1;1;0;5;4;5;0;4;3;3;6;1;3;0;0;6;4;0;2;0;1;0;4;0;2;0;6;4;2;1;1;2;0;0;1;3;1;0;1;2;0;0;3;1;3;3;0;2;2;2;1;0;0;2;3;0;0;4;1;1;3;1;0;2;2;0;0;0;0;1;2;0;0;6;3;0;0;0;0;0;3;0;0;0;0;1;1;3;1;2;0;2;1;0;0;5;1
;;9;van de Sanden, T.M.;132;2;1;0;1;4;3;0;4;1;2;0;7;2;0;0;1;0;0;0;2;0;0;1;0;0;0;1;2;2;2;2;4;4;0;0;2;4;1;4;0;2;2;4;5;0;1;0;1;2;1;1;2;0;0;1;0;0;3;4;2;0;1;0;1;2;3;2;0;0;2;1;4;0;1;3;2;2;0;1;2;1;0;0;1;2;1;1;1;1;2;0;2;1;0;0;0;0;2
;;10;Rutten, W.J.;109;1;1;0;0;0;0;0;1;1;2;1;0;2;0;1;1;1;0;1;2;2;2;0;2;0;2;2;3;3;2;4;2;1;0;0;3;2;0;2;1;0;0;0;1;0;0;3;0;3;1;0;1;0;1;1;2;2;0;2;3;1;2;0;0;3;0;2;2;0;6;3;2;1;3;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;5;0;0;1;0;0;3
;;11;Pos, W.J.;38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;22;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;de Burlet, M.A.;18;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;13;van der Vliet, J. D.;55;0;0;0;3;0;1;0;0;0;0;0;2;6;0;0;1;1;3;0;0;0;0;0;4;0;5;6;0;1;0;0;0;1;0;0;1;2;0;0;2;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;;14;Beerens-Feith, A.T.;86;1;0;1;0;2;2;0;1;0;0;0;3;0;0;2;1;2;0;1;1;0;1;0;2;0;6;2;4;4;8;3;1;1;2;0;1;2;0;2;1;2;0;0;0;0;1;2;0;1;0;0;1;1;0;3;0;1;0;1;2;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1
;;15;Terol, R.;40;1;0;0;0;1;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;3;1;0;0;0;0;0;0;1;0;1;1;0;1;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2
;;16;de Ruijter, T.;21;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Imamdi, C. S.;11;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Düdük, E.;44;0;0;0;1;0;0;0;1;1;1;0;1;0;0;3;2;0;0;1;1;0;0;0;0;0;1;0;0;0;2;1;2;0;0;0;0;1;0;2;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;1;0;0;0;2;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;1;1;0;0;0;0;1
;;19;Treep, M.;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Uijlings, R.U.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
