Verkiezing;;Gemeenteraad Alkmaar 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alkmaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau De Waag;Stembureau Kapelkerk;Stembureau Doopsgezinde Gemeente;Stembureau Tent Parkeerterrein AH XL;Stembureau Kantine Sporthal Oosterhout;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Buurthuis Overdie Ontmoet;Stembureau Wijkcentrum Oud Overdie;Stembureau Murmellius Gymnasium;Stembureau Tent Labotheek NWZ;Stembureau Tent Stationsplein NS;Stembureau Sociëteit K.B.O.;Stembureau Drafcentrum Alkmaar;Stembureau De Vrijheidskerk;Stembureau Gymzaal G. Metsulaan;Stembureau De Open Hof;Stembureau De Alkenhorst;Stembureau Gasfabriek;Stembureau Gymzaal Beethovensingel;Stembureau Buurthuis de Wachter;Stembureau Tent Vroonermeer (1);Stembureau Tent Vroonermeer (2);Stembureau Speeltuin OKB;Stembureau Wijkcentrum De Oever (1);Stembureau Wijkcentrum De Oever (2);Stembureau Gymzaal Stempelmakerstraat;Stembureau Leger des Heils;Stembureau De Rekere 2.0;Stembureau Scouting Graaf Daron;Stembureau Wijkcentrum Wijkwaard;Stembureau Lukaskerk;Stembureau Sporthal Alkmaar Noord (1);Stembureau Sporthal Alkmaar Noord (2);Stembureau de Blije Mare (1);Stembureau De Blije Mare (2);Stembureau Gymzaal De Vlieger (1);Stembureau Gymzaal De Vlieger (2);Stembureau Clubhuis Celeritas;Stembureau Wijkcentrum Daalmeer;Stembureau Tent Basketbalveld;Stembureau De Hofstaete;Stembureau Gymzaal Saturnusstraat (1);Stembureau Gymzaal Saturnusstraat (2);Stembureau V.V. Kolping Boys;Stembureau De Rietschoot;Stembureau Brandweerkazerne Koedijk;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis De Hoeksteen;Stembureau De Woeste Hoeve;Stembureau 't Wavertje;Stembureau Cafe 't Torenerf;Stembureau Het Rijperhuis;Stembureau Sporthal Oosterven;Stembureau Dorpshuis Onder de Boom;Stembureau SV West-Graftdijk;Stembureau 't Trefpunt;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Mobiel Bijzonder stembureau (1);Stembureau Mobiel Bijzonder stembureau (2)
;aangetroffen stembiljetten;;;46352;1211;512;718;407;1114;317;770;707;451;419;709;658;901;687;521;956;343;309;775;187;1198;561;520;565;646;585;526;669;704;744;553;899;413;253;258;552;537;327;331;290;1093;563;599;495;516;569;489;538;423;821;282;360;447;641;823;461;425;253;652;499;379;288;557;309;564;346;601;481;239;202;144;213;954;590;453;436;675;418;814;441;735;573;346;263;150;339;61;29
;meer stembiljetten dan toegelaten kiezers;;;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Onafhankelijke Partij Alkmaar (OPA);;;5141;129;67;59;41;115;36;95;77;34;64;80;50;79;45;47;95;36;28;90;18;106;79;52;81;81;61;53;93;109;71;73;123;35;42;36;75;86;41;45;46;150;79;84;57;52;64;70;76;16;131;21;23;17;45;51;17;19;7;61;83;39;27;57;39;78;43;95;81;37;43;18;14;89;62;34;36;71;61;67;74;94;83;42;36;6;14;2;3
;;1;Kloos, V.H.;2471;53;28;27;20;65;22;48;27;17;34;41;20;28;19;28;43;19;16;44;11;47;34;26;38;49;23;32;38;56;38;39;58;15;20;24;40;34;19;21;29;74;39;38;29;28;26;38;46;3;41;5;9;11;26;26;8;7;2;24;40;19;14;34;18;33;27;51;47;20;30;5;11;40;25;11;19;33;34;32;18;43;39;23;20;3;9;1;2
;;2;van de Ven, A.J.A.;796;21;14;8;4;10;2;19;16;6;10;10;5;11;9;7;12;3;2;13;0;18;18;15;13;11;11;4;16;20;9;17;17;12;6;3;13;13;6;10;2;31;15;16;7;6;10;7;10;1;2;5;7;0;9;9;0;4;1;11;18;5;2;8;5;11;6;18;11;8;3;0;1;16;11;5;3;16;13;10;10;19;18;5;4;0;2;0;1
;;3;Hoekzema, J.;138;5;3;0;2;4;2;1;6;2;1;0;0;3;1;2;4;0;0;0;0;4;1;1;0;2;0;3;2;2;2;0;7;0;1;1;3;2;0;1;0;4;3;3;1;1;2;5;3;0;5;0;0;0;0;0;0;1;0;1;1;5;0;1;0;2;1;4;2;1;1;1;0;2;1;2;0;3;0;2;4;4;2;2;0;0;0;0;0
;;4;Zucotti, G.P.C.C.;95;5;2;2;2;1;3;0;1;0;2;3;2;2;0;2;2;0;2;0;0;0;3;1;1;0;2;0;5;3;1;1;0;0;0;0;3;5;2;1;1;3;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;2;0;3;1;4;0;0;1;0;1;0;0;2;1;0;0;0;1;0;4;1;2;0;2;0;0;0;0
;;5;van Lier, R.;186;1;0;0;0;1;0;2;3;0;0;2;0;2;3;1;4;1;0;1;1;0;1;0;1;1;1;1;2;2;0;0;1;1;2;1;0;0;1;0;1;1;3;0;2;1;1;0;2;9;59;10;1;1;1;8;3;0;3;4;5;2;1;0;0;3;0;0;1;0;0;8;0;5;0;3;1;0;0;1;2;2;2;0;1;1;1;0;0
;;6;van Kralingen, T.A.P.;61;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;1;1;1;2;2;0;0;0;0;6;1;0;2;4;4;3;0;0;2;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;2;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;1;0;2;4;0;0;0;0;0;0
;;7;Adriaanse, H.;73;0;0;0;0;0;0;1;1;0;0;1;0;2;0;0;1;0;1;1;0;8;2;0;2;2;3;0;0;2;1;0;0;0;0;0;1;1;0;1;0;1;0;1;5;4;2;2;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;7;0;1;2;0;0;0;0;2;0;1;0;0;0;1;1;1;0;5;0;0;1;0;0
;;8;Flietstra, F.A.;368;9;4;7;1;12;3;8;2;1;2;4;5;8;2;2;7;4;1;6;4;13;3;2;5;2;3;7;5;5;9;4;12;1;3;4;9;8;5;4;4;8;5;8;1;4;7;3;6;0;2;0;3;0;2;0;1;3;0;2;4;2;3;4;9;8;1;12;8;2;3;0;1;10;2;2;4;6;5;5;1;8;7;3;2;0;1;0;0
;;9;Duin, W.;29;1;0;0;1;3;0;0;0;1;0;2;0;0;1;0;1;0;0;0;0;1;0;0;4;2;1;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;Pickkers, L.J.;68;4;2;0;1;1;0;1;2;2;0;1;3;1;0;0;0;0;0;2;0;1;0;2;1;1;1;0;1;1;0;0;3;0;0;0;1;0;1;2;0;0;1;4;1;2;0;0;2;0;1;1;0;0;1;1;0;0;0;1;2;0;1;0;0;0;0;2;0;0;0;0;0;3;0;1;1;0;3;1;0;3;1;0;0;0;0;0;0
;;11;Hooijschuur, J.M.;70;4;0;1;2;1;0;1;0;1;1;0;3;3;3;0;2;0;1;0;0;0;0;0;1;1;0;1;6;1;2;0;5;1;0;0;0;0;1;1;1;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;1;0;0;2;0;0;1;1;0;2;0;2;1;0;0;1;0;0;2;0;0;1;0;1;1;1;2;0;2;0;0;0;0
;;12;Haker, R.A.M.;60;2;2;1;1;0;0;0;0;1;1;2;5;3;0;1;4;2;0;0;0;0;3;1;1;0;0;0;1;3;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;3;0;1;2;0;3;0;0;0;1;0;0;0;0;0
;;13;Matin, D.;75;1;0;0;0;1;0;0;4;0;0;0;0;4;0;0;2;0;2;3;0;1;1;0;1;0;0;0;0;0;1;1;7;0;2;0;0;0;0;1;0;3;0;0;0;0;0;2;0;0;4;0;0;0;0;3;0;0;0;0;0;0;2;0;4;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;19;0;1;0;0;0;0;1;0
;;14;den Hartog, D.;51;1;0;0;0;2;1;5;4;0;3;4;1;0;1;1;0;0;0;0;0;0;5;0;1;0;0;0;3;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;1;1;1;0;0;0;0;0;0
;;15;van den Brink, C.J.;34;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;0;3;0;1;0;2;0;0;0;2;1;0;1;0;4;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0
;;16;Lairini, A.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;17;de Vries, J.J.;36;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;3;0;0;1;2;3;0;1;1;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;1;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0
;;18;Soers, P.C.;21;0;0;1;1;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;van Kralingen, P.H.M.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;1;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;20;Ootes, C.M.;15;1;2;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Bosch, W.J.;11;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;22;Visser, J.H.M.;29;0;0;1;0;2;1;1;1;0;0;2;0;0;0;0;4;2;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0
;;23;Rademacher, R.J.C.;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Bokhove, W.;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0
;;25;Kroon, M.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;26;Thoes, K.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Kracht, M.L.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van den Hoek, W.J.;10;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;29;Bruin, K.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
