Verkiezing;;Gemeenteraad Aalsmeer 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Aalsmeer;;;;;;;;;;;;;;;;;;;;;
Nummer;;0358;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum 't Baken;NH Wijkcentrum 't Anker;Buurthuis Hornmeer;Clubgebouw VZOD;R.K. Antoniusschool;Raadhuis Aalsmeer;Proosdijhal;Buurthuis 't Middelpunt;Sporthal De Bloemhof 1;Wellantcollege MBO Aalsmeer;Bibliotheek;Atletiek Vereniging Aalsmeer;Sporthal De Bloemhof 2;Raadhuis Aalsmeer maandag;Proosdijhal maandag;Raadhuis Aalsmeer dinsdag;Proosdijhal dinsdag;Dorpshuis Kudelstaart 't Podium;Parochiehuis
Gebiednummer;;;;;4;6;8;11;14;15;17;18;19;20;22;23;25;28;29;30;31;35;36
Postcode;;;;;1431 JA;1432 AV;1431 WC;1433 HM;1433 WB;1431 EH;1433 KA;1432 GB;1432 GH;1431 JV;1431 BD;1431 HW;1432 GH;1431 EH;1433 KA;1431 EH;1433 KA;1433 GH;1431 SG
;;7;Dela Haije, E.H.;70;4;4;2;3;3;6;5;1;8;1;8;2;3;3;3;11;1;1;1
;;8;Simon - van Oosterhout, C.A.M.;27;0;1;2;0;1;7;0;3;4;1;2;1;0;0;0;1;0;0;4
;;9;Vergoossen, M.A.J.;18;0;0;2;2;0;5;0;0;0;0;1;3;1;2;1;0;0;1;0
;;10;van Leeuwen, J.J.;104;6;10;4;1;3;17;8;5;7;2;11;3;5;4;2;7;2;3;4
;;11;van der Laarse, P.J.;32;0;1;1;0;0;7;3;2;3;0;6;0;0;4;0;3;1;0;1
;;12;Treur - van den Broek, A.;23;0;3;1;0;2;5;0;2;1;0;0;1;2;3;0;0;0;1;2
;;13;Uytenbogaardt, R.;49;0;0;1;6;7;1;15;1;1;2;1;0;1;0;2;0;3;8;0
;;14;Rozendaal, J.;11;1;1;0;2;1;2;0;0;0;0;0;0;0;0;0;2;2;0;0
;;15;Spaargaren, W.D.J.;30;3;7;1;0;2;3;0;1;1;0;0;1;2;0;0;4;1;0;4
;;16;Koehler, M.O.;113;3;10;6;9;13;13;7;17;8;3;2;0;3;3;0;4;2;4;6
;;17;Treur, T.J.;26;1;4;1;3;0;2;2;0;1;1;1;1;2;4;0;1;1;1;0
