Verkiezing;;Gemeenteraad Zaanstad 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zaanstad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gymzaal Wibautstraat, INGANG SPARRESTRAAT;Stembureau Handboogschutters Czaar Peter;Stembureau Wijkcentrum de Poelenburcht;Stembureau Wijkcentrum de Poelenburcht;Stembureau Zaans Natuur en Milieu Centrum;Stembureau ICBS de Windroos, INGANG PINASSTRAAT 4;Stembureau Gymzaal Blaise Pascal College;Stembureau Evean De Meerpaal, INGANG TJOTTERLAAN 174;Stembureau Gymzaal Noorderven;Stembureau De Paaskerk;Stembureau CBS Tamarinde,INGANG J.C. VAN WESSEMSTR;Stembureau Wijkcentrum Dirk Prins;Stembureau Buurthuis de Kolk;Stembureau Sporthal de Struijck, INGANG PROF.STRUIJCKENSTRAAT;Stembureau De Noorderkerk;Stembureau Basisschool Kogerveld;Stembureau Gymzaal Veldbloemenweg;Stembureau Buurtcentrum de Bovenkruier;Stembureau Sporthal de Tref;"Stembureau Speeltuinvereniging ""Het Havenkwartier""";Stembureau Het Zaantheater;Stembureau Het Tolhuys aan de Zaan;Stembureau Atletiekvereniging Zaanland;Stembureau Zaan Hotel;Stembureau Buurtcentrum De Zeskanter;Stembureau Gymzaal Meverstraat;Stembureau De Volleyhal;Stembureau Brandweerkazerne Houtveldweg;Stembureau Stadhuis van Zaanstad;Stembureau Best Western Zaan Inn;Stembureau Cultureel Centrum Bullekerk;Stembureau Buurthuis De Doorbraak;Stembureau Kerk van de Nazarener;Stembureau Buurthuis Het BrandtWeer;Stembureau Buurtcentrum De Vuister;Stembureau Basisschool de Golfbreker;Stembureau Apostolisch Genootschap;Stembureau Gymzaal Fortuinweg;Stembureau ZFC Orkest & Muziekschool;Stembureau Gymzaal Goudastraat;Stembureau Buurtcentrum De Lorzie;Stembureau Gymzaal Anemoonstraat;Stembureau Vereniging de Bloesem, complex de Amandelbloesem;"Stembureau Dorpshuis ""De Noorddam""";Stembureau De Wormerveerse Vermaning;Stembureau St. Petrusparochie, INGANG KERK;Stembureau Dependance basisschool de Hoeksteen;Stembureau Gymzaal Braillestraat;Stembureau De Durghorstplantsoen;Stembureau Gymzaal Jupiterstraat 139 Evenaar;Stembureau Odd Fellow Huis;Stembureau Basisschool de Hoeksteen;Stembureau Buurtcentrum de Pelikaan;Stembureau Kantine vv Assendelft;Stembureau Brandweerkazerne Assendelft;Stembureau Tennisvereniging Overdan;Stembureau Buurtcentrum A3;Stembureau Gymzaal de Springplank;Stembureau BUKO;Stembureau BUKO;Stembureau JongerenHUB Noord;Stembureau Gymzaal Kreekrijklaan 2;Stembureau Gymzaal Beemdgras;Stembureau Het Sociale Winkeltje;"Stembureau Dorpshuis ""De Kwaker""";Stembureau Wijksteunpunt Lambert Melisz;Stembureau Gymzaal Torenstraat, INGANG KERKBUURT 21;Stembureau Evean Oostergouw, HOOFDINGANG;Stembureau Evean Het Erasmushuis;Stembureau Zorgcentrum Mennistenerf;Stembureau Hervormd Centrum Pennemes, HOOFDINGANG;Stembureau Zorgcentrum Nieuw Groenland;Stembureau Zorgcentrum Saenden;Stembureau Evean Westerwatering, HOOFDINGANG;Stembureau Evean Parkzicht;Stembureau Evean Guisveld;Stembureau Evean Acht Staten;Stembureau Evean Rosariumhorst;Stembureau Wijkcentrum de Poelenburcht;Stembureau Wijkcentrum de Poelenburcht;Stembureau De Noorderkerk;Stembureau De Noorderkerk;Stembureau Buurtcentrum de Bovenkruier;Stembureau Buurtcentrum de Bovenkruier;Stembureau Stadhuis van Zaanstad;Stembureau Stadhuis van Zaanstad;Stembureau Buurtcentrum De Vuister;Stembureau Buurtcentrum De Vuister;Stembureau Apostolisch Genootschap;Stembureau Apostolisch Genootschap;Stembureau Buurtcentrum De Lorzie;Stembureau Buurtcentrum De Lorzie;Stembureau Buurtcentrum de Pelikaan;Stembureau Buurtcentrum de Pelikaan;Stembureau Buurtcentrum A3;Stembureau Buurtcentrum A3;Stembureau Het Sociale Winkeltje;Stembureau Het Sociale Winkeltje;Stembureau Wijksteunpunt Lambert Melisz;Stembureau Wijksteunpunt Lambert Melisz
;;2;Kuijper, H.E.;251;1;4;0;1;1;7;1;3;2;3;4;8;20;2;3;1;2;6;2;2;9;3;6;6;0;1;0;13;12;1;9;5;5;5;8;3;5;0;2;1;2;0;1;1;3;5;3;0;2;1;0;0;1;0;3;0;2;0;2;2;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;4;2;1;5;0;13;4;11;1;2;0;3;0;0;1;1;0;0;1;0
;;3;Schuttevaer, M.A.;401;5;12;4;4;7;4;4;6;4;11;14;2;3;7;7;0;8;1;8;5;13;13;14;2;5;9;6;12;14;3;25;3;10;4;16;3;4;3;2;5;12;0;1;3;2;4;2;0;5;0;1;2;2;0;2;1;1;0;1;1;1;1;1;6;3;3;1;0;0;0;0;1;0;0;0;0;0;0;0;3;5;2;5;7;4;12;3;7;1;4;4;1;1;0;0;1;1;0;1;0
;;4;de Haas, M.;198;0;2;0;2;1;0;2;2;0;0;5;6;1;3;0;1;2;0;5;2;3;6;4;1;0;0;4;0;4;1;2;0;16;28;18;9;10;5;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;2;1;2;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;2;1;3;3;1;1;3;7;10;3;1;0;0;0;0;1;0;0;0;1;0
;;5;van Dalen, K.B.M.;267;2;4;0;0;3;0;3;2;2;8;11;2;2;4;7;1;1;3;2;4;7;1;5;1;0;0;2;9;9;2;14;2;8;3;9;4;8;6;1;5;5;0;2;1;4;10;3;3;1;2;1;1;8;0;2;1;1;6;1;2;0;0;0;2;12;5;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;2;4;1;5;5;1;0;0;7;0;4;0;0;0;1;1;0
;;6;van Bemmelen, G.B.;44;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;1;1;2;0;3;0;3;1;0;2;0;5;3;1;1;0;1;0;0;0;2;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Pauw, R;251;0;0;0;1;0;1;0;2;0;0;2;1;0;1;1;0;2;1;4;1;0;0;2;0;0;2;0;0;1;0;3;0;8;4;1;1;7;4;2;11;20;5;4;4;21;10;6;2;0;1;2;2;2;3;5;4;1;4;1;1;4;1;0;3;4;3;6;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;0;2;4;3;4;2;12;27;3;1;0;1;0;0;2;3
;;8;Langereis, E.;54;0;0;0;0;3;0;0;1;0;3;1;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;14;3;8;3;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Schagen, F.A.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4;2;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;10;Schaap, E.;144;3;1;0;0;2;1;0;2;1;2;1;0;7;1;1;0;2;0;0;3;8;7;6;4;0;1;2;4;1;0;5;0;2;3;11;0;2;3;1;2;1;1;0;0;2;1;1;1;1;0;0;1;1;0;2;2;0;0;0;1;0;0;1;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;3;1;2;6;0;0;3;0;3;5;1;0;2;1;2;2;0;0;0;2;0;0
;;11;Nielen, N.J.C.;72;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;3;0;0;1;0;0;0;6;8;20;2;2;1;1;3;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;0;0
;;12;Beets, N;71;0;2;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;2;0;0;0;1;0;1;0;1;1;2;1;3;0;0;1;1;0;4;0;0;1;0;0;0;0;0;5;0;3;2;4;3;2;6;1;0;0;0;0;0;1;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;3;1;3;0;0;1;0;0;0
;;13;Kuek, M.N.;16;0;1;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Heijne, R;20;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;4;0;2;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;15;Hekman, D.J.;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;3;0;0;0;0;0;2;1;0;0;0;1;0;0;1;0;1;0;2;0;1;0;0;4;3;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;1;1;5;0;0;0;0;0;2
;;16;Kuijper, S.N.;13;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Dijk, M.;18;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Kramer, J.;53;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;2;0;1;0;0;2;6;6;3;2;1;1;4;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;6;0;0
;;19;Poot, F.;18;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;20;de Bruin, J.;31;0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;0;0;2;2;0;0;2;0;1;0;0;0;0;0;2;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Boone, D.J.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Neeft, W.J.;16;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;23;Canrinus, A.L.;16;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;2;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Nieuwenhuijs, B.;64;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;2;0;2;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;2;0;0;0;3;0;0;0;0;0;3;3
;;25;Steemers, A.;74;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;2;1;0;0;0;5;15;10;2;3;2;2;1;0;0;0;0;0;0;0;2;0;1;0;0;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;1;1;1;1;3;0;0;0;0;0;0;0;0
;;26;Hekman, J.;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;1;2;0;0;0;0;5;2;2;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0
;;27;Valk, P.;52;0;0;0;0;5;2;0;0;0;0;2;0;1;1;2;0;0;1;3;0;2;0;4;2;0;1;0;0;0;0;1;0;0;0;0;1;3;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;2;0
;;28;Spillekom, C.E.M;21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;2;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;29;Hammer, M.;24;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;3;0;0;2;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Brandenburg, A.P;29;1;2;1;0;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;31;Al, A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;32;van Buuren, A.E.;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Graas, B.M.;40;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;3;0;0;3;6;0;0;0;3;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;0;0;1;0;0;0;0;0
;;34;Fleer, E.H.M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;5;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0
;;35;Seca, R.A.;45;3;2;0;2;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;0;2;1;0;0;2;0;0;0;2;0;2;2;3;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Sturkenboom, A.W.;27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;6;0;0;0;0;0;2;0;1;0;1;0;0;0;1;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
;;37;Keijzer, P.;39;2;0;0;1;0;1;4;2;0;1;0;0;1;0;0;0;1;0;2;2;2;0;0;0;2;0;0;1;2;0;1;1;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0;0
5;D66;;;3250;17;39;13;5;19;28;29;73;40;10;26;17;31;28;40;21;22;30;55;35;52;26;54;31;8;55;30;42;98;66;94;15;57;51;102;31;51;78;34;30;53;10;13;16;27;65;99;40;21;65;46;18;48;24;41;34;14;22;39;15;71;22;40;64;37;73;18;0;3;2;1;3;0;1;1;1;1;2;9;8;25;26;17;19;31;56;27;47;16;22;26;29;45;79;14;22;26;42;11;20
;;1;Hoedemaeker, P.J.;1000;3;14;5;3;13;2;13;26;17;8;10;6;11;6;8;10;7;14;23;13;19;13;13;14;2;15;15;17;27;20;38;9;16;18;29;4;16;17;12;6;9;3;4;4;7;10;20;8;5;25;11;6;14;6;16;10;4;7;11;5;24;5;6;13;12;24;5;0;2;1;1;0;0;0;1;1;1;2;2;1;13;6;5;8;12;6;12;17;3;5;6;12;11;22;5;9;6;15;3;6
;;2;Kingma, M.;1016;4;11;0;0;2;8;8;16;16;0;10;3;9;16;22;4;7;9;18;11;20;5;24;8;3;23;4;12;32;24;27;2;25;20;39;14;22;36;14;9;18;3;1;5;11;9;40;1;4;14;10;4;6;7;4;12;4;3;17;4;10;6;15;20;18;36;9;0;0;1;0;1;0;1;0;0;0;0;1;4;7;14;9;8;5;22;11;17;7;14;5;4;4;15;4;5;6;7;3;13
;;3;Karst, R.S.;205;0;1;0;0;0;1;1;3;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0;1;3;0;0;2;0;1;0;0;2;5;2;0;3;0;1;4;0;4;0;0;23;16;20;2;12;13;0;12;1;0;2;3;3;1;5;2;1;2;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;2;1;11;17;0;0;2;3;0;0
;;4;Talim, M.;270;2;4;2;1;0;6;3;8;2;0;2;4;1;2;2;2;2;0;0;4;3;2;5;3;0;3;1;1;8;3;6;0;4;1;6;2;1;2;0;2;4;1;0;1;2;7;4;1;1;1;1;0;6;2;10;4;2;7;7;0;26;8;9;13;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;2;6;0;1;1;0;0;2;0;3;3;5;10;9;1;0
;;5;van Zanen, G.;79;4;1;0;0;2;4;3;13;2;0;1;1;1;0;0;1;1;0;1;1;1;0;2;0;0;0;0;0;8;2;1;0;0;0;3;3;1;4;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;2;2;0;0;0;0;3;0;1;0;0;0;0;2;0;0
;;6;de Lange, T.;91;1;1;0;0;1;0;0;0;0;0;0;1;0;2;1;0;0;1;1;0;3;2;1;0;0;1;0;0;1;0;1;2;2;4;0;1;3;7;8;1;1;0;1;2;1;0;0;0;2;0;3;2;0;1;0;0;0;0;0;1;2;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;1;5;1;2;0;2;3;0;1;3;0;0;1;0;0;0
;;7;de Haan, J.S.;47;0;0;0;0;0;0;0;0;0;1;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;2;1;6;1;3;2;0;1;0;0;0;1;0;0;0;2;0;0;1;2;1;2;0;0;0;1;0;0;0;2;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;2;0;0;0;2;0;0;0;1;0;0;0
;;8;Grandiek, A.J.;22;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Kwantes, G.;66;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;1;0;1;2;0;1;2;3;1;3;0;0;1;0;0;0;2;0;0;6;7;2;2;0;1;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4;8;1;0;1;0;0;2;1;0
;;10;Otjens - de Vries, C.;49;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;5;5;3;1;4;3;2;2;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;5;0;0;0;0;0;0
;;11;Scheffer, D.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4;3;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0
;;12;Rietdijk, J.;48;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;5;3;0;0;2;0;0;1;3;7;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;4;0;1
;;13;Krabbenbos, M.P.;25;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;2;1;1;1;0;1;1;0;1;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Rahali, S.;41;0;1;1;1;0;3;0;0;1;0;0;0;0;0;1;0;2;0;2;0;0;0;0;2;0;0;5;1;3;2;0;0;1;2;3;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;15;van Lingen, T.L.;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
