Verkiezing;;Gemeenteraad Ouder-Amstel 2022;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;
Gebied;;Gemeente Ouder-Amstel;;;;;;;;;;;;;
Nummer;;0437;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis -1403;Gemeentehuis - 1503;Gemeentehuis;Sporthal Bindelwijk;Jan Hekmanschool;Sportvereniging sv Ouderkerk;Dorpshuis - 1403;Dorpshuis - 1503;Dorpshuis;De Kleine Kerk;vv CTO '70
;;11;Leijen, H.C.H.;3;0;0;0;0;0;0;0;0;1;0;2
;;12;de Wit, W.J.;4;0;0;1;0;1;1;0;0;0;1;0
;;13;Felthuis, W.;3;0;1;1;0;1;0;0;0;0;0;0
;;14;Behrens, O.W.C.;1;0;0;0;0;0;0;0;1;0;0;0
;;15;Wesselink, D.;1;0;0;0;0;0;0;0;0;1;0;0
;;16;Geurtsen, J. A.;11;0;3;5;2;0;1;0;0;0;0;0
;;17;Heering, M.;14;0;1;0;0;0;0;1;0;3;2;7
6;Partij van de Arbeid (P.v.d.A.);;;832;62;86;133;87;73;66;42;40;101;98;44
;;1;Alberts, J.;316;32;41;65;42;25;24;17;11;22;25;12
;;2;Nikkels, W.;202;9;9;12;9;9;14;13;18;42;49;18
;;3;de Graaff, B.W.;153;10;18;37;25;23;12;3;3;14;7;1
;;4;Verhoeven, Th.A.M.;53;6;10;9;5;9;11;0;0;3;0;0
;;5;Hoekstra, D.;13;0;0;0;0;0;0;3;1;4;1;4
;;6;van der Hilst, A.E.;24;2;1;2;0;1;0;3;1;8;3;3
;;7;van Engelshoven - Huls, M.;9;0;0;1;0;0;0;2;0;3;3;0
;;8;Kuin, A.M.J.;17;2;1;4;1;1;4;0;0;4;0;0
;;9;Baerents, G.J.;26;0;1;2;0;0;0;1;6;0;10;6
;;10;Veenboer, P.N.M.;19;1;5;1;5;5;1;0;0;1;0;0
