Verkiezing;;Gemeenteraad Gooise Meren 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gooise Meren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis Naarden;Stembureau Wijkcentrum De Plataan;Stembureau Gymzaal Keizer Otto;Stembureau Naarderheem;Stembureau Godelindeschool;Stembureau Wooncentrum Ravelijn;Stembureau Kinderopvang Smallsteps Ridderzaal;Stembureau Witte Kerk;Stembureau Comeniusschool;Stembureau Gemeentehuis Gooise Meren;Stembureau Vrije Evangelische Gemeente, ing. Oud Bussummerweg;Stembureau Gymzaal Huizerweg;Stembureau Wijkcentrum Achter de Linde;Stembureau Apostolisch Genootschap;Stembureau Zorgcentrum Patria;Stembureau Gymzaal Kwartellaan;Stembureau Trefpunt;Stembureau Breeduit;Stembureau Gymzaal dr. Schaepmanlaan;Stembureau GGD Gooi en Vechtstreek;Stembureau Wijkcentrum Spieghelwijck;Stembureau Koningin Emmaschool;Stembureau Spieghelkerk;Stembureau Evangelische Lutherse Kerk;Stembureau Parochie De Sloep Mariakerk;Stembureau Gymzaal Bremstraat;Stembureau Vrije Evangelische Gemeente (ing. F. van Eedenweg);Stembureau Majellakapel;Stembureau De Kazerne;Stembureau Gymzaal P.C. Hooftschool;Stembureau Ontmoetingscentrum De Steeg;Stembureau Wijkcentrum De Rijver;Stembureau Mobiel stembureau verzorgingshuizen;Stembureau Stadhuis Naarden;Stembureau Witte Kerk;Stembureau Gemeentehuis Gooise Meren;Stembureau Trefpunt;Stembureau Majellakapel;Stembureau De Kazerne;Stembureau Wijkcentrum De Rijver;Stembureau Stadhuis Naarden;Stembureau Witte Kerk;Stembureau Gemeentehuis Gooise Meren;Stembureau Trefpunt;Stembureau Majellakapel;Stembureau De Kazerne;Stembureau Wijkcentrum De Rijver
;meer stembiljetten dan toegelaten kiezers;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;4539;152;60;56;181;256;130;139;75;113;144;161;130;50;63;57;72;120;51;51;79;58;200;247;79;37;158;125;154;93;90;59;90;19;68;57;117;77;118;28;18;79;44;120;84;109;31;40
;;1;Luijten, A.H.J.J.;1910;62;25;35;86;90;56;47;31;41;66;70;53;21;30;35;45;60;29;23;35;24;55;95;36;21;79;52;59;31;25;7;22;11;37;27;62;42;66;12;7;35;26;59;40;23;6;11
;;2;Millin-Snellenberg, E.W.H.M.;685;54;18;10;32;53;26;38;26;38;23;18;11;4;11;4;6;15;5;1;7;3;33;21;8;4;23;17;17;12;12;3;5;5;13;9;17;13;5;0;1;15;10;13;10;9;5;2
;;3;Marshall, M.J.R.;106;1;2;0;4;1;0;1;2;8;5;6;3;3;8;3;3;7;2;10;2;4;1;0;0;0;2;2;5;3;2;1;0;1;0;0;3;4;0;2;0;0;0;1;3;0;0;1
;;4;Duyts, J.;146;0;0;5;1;2;0;0;1;2;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;8;10;38;31;0;3;5;0;1;0;6;9;3;0;1;1;0;0;16
;;5;Groot Koerkamp-Kappert, M.F.;232;2;2;1;2;2;4;6;2;2;11;16;19;3;8;3;4;8;6;4;11;4;7;14;6;3;13;6;11;1;3;0;2;0;0;3;6;2;4;1;0;2;1;6;5;12;4;0
;;6;de Jager, N.A.;59;0;0;2;4;1;3;1;0;3;2;3;2;0;1;0;0;4;1;6;0;1;1;2;0;0;1;3;3;0;2;0;1;0;0;0;1;3;1;0;0;1;2;0;1;3;0;0
;;7;Rijcken-Voigt, O.G.;217;12;2;1;13;66;10;4;1;1;3;15;11;7;0;5;0;1;0;1;2;1;3;10;11;1;4;7;2;0;0;0;0;0;3;2;2;0;1;0;0;6;0;3;5;1;0;0
;;8;Bellaart, H.M.;324;2;1;1;16;5;10;13;0;4;4;7;5;3;0;3;0;8;0;0;4;6;44;36;12;1;5;10;20;0;0;2;3;1;5;2;4;2;22;0;0;9;2;12;8;32;0;0
;;9;Gerkens, S.K.H.C.;100;2;1;0;1;1;0;3;3;1;5;4;2;3;0;0;1;6;3;4;3;4;1;2;0;2;2;3;1;1;1;0;0;0;0;3;13;1;3;0;0;1;3;3;6;7;0;0
;;10;Timmerman, H.;69;2;0;0;1;0;2;1;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;4;7;22;0;0;0;0;1;0;2;1;0;0;0;0;0;1;8
;;11;van der Louw, H.J.;12;0;0;0;0;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;12;Wieringa, L.A.;12;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;3;0;0
;;13;Reichmann-Kops, I.K.M.;79;1;3;0;3;7;5;3;2;1;3;6;6;0;0;1;3;0;1;0;3;0;2;0;0;0;2;8;7;0;0;0;0;0;1;0;1;1;0;0;0;2;0;4;0;3;0;0
;;14;Merckx, J.S.;20;2;2;0;0;2;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;1;0;0
;;15;Aalbersberg, B.M.;75;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;31;0;1;0;0;0;0;0;0;5;0;0;0;1;0;0;11;1
;;16;Nuij, E.;40;0;0;0;1;0;0;2;1;1;4;1;0;0;0;0;0;4;2;0;4;0;1;2;0;3;1;0;3;1;0;1;0;0;0;0;1;0;3;0;0;0;0;2;0;1;1;0
;;17;Tulleken, P.A.;368;9;2;0;14;17;9;19;3;7;9;9;14;4;2;1;5;4;1;0;5;9;47;58;6;0;17;14;22;2;0;0;3;0;5;3;5;3;13;0;0;3;0;7;2;12;2;1
;;18;Potjer-Scholten, M.H.J.;85;3;2;1;3;4;3;1;2;2;5;3;2;1;1;2;4;2;1;1;3;2;4;1;0;1;8;2;1;2;0;0;0;1;1;1;1;3;0;0;0;1;0;4;3;2;1;0
2;D66;;;4725;143;74;65;98;172;145;189;76;119;148;134;143;88;153;48;114;166;54;59;83;66;194;158;122;47;178;140;174;128;158;84;108;10;47;48;109;68;70;20;22;79;41;120;81;89;48;45
;;1;Hendriks, G.;1344;27;29;13;28;56;37;46;15;35;44;43;27;18;33;13;26;29;11;10;18;14;42;35;36;14;40;27;45;70;88;33;44;7;13;16;38;19;17;16;7;21;9;35;24;26;31;19
;;2;Sweerts, J.T.;2083;64;20;24;33;64;65;65;35;45;58;61;83;49;81;27;60;95;28;30;43;35;103;84;62;22;98;61;83;40;41;18;33;2;16;15;54;37;35;3;6;29;10;51;48;43;12;12
;;3;Balzar, M.;181;2;1;3;3;3;3;5;2;1;2;8;6;6;6;2;2;9;3;3;4;2;11;6;4;2;8;15;5;2;10;3;3;1;3;0;1;6;2;0;3;4;2;5;3;1;2;3
;;4;Hermsen, M.;187;8;2;7;5;3;13;18;15;4;7;3;2;4;13;0;2;2;2;1;3;0;8;7;6;1;3;3;11;3;2;1;3;0;0;1;0;2;6;0;0;5;1;6;0;4;0;0
;;5;de Jonge, W.F.;24;2;0;1;0;2;0;2;0;1;1;0;1;0;0;0;2;1;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;2;0;0;0;0
;;6;Constandse, J.Y.;228;7;5;3;5;7;3;10;0;3;9;4;11;7;6;1;7;10;2;7;5;6;14;8;2;2;10;9;10;1;7;2;0;0;4;2;7;1;2;0;3;4;3;8;2;7;1;1
;;7;IJsselstijn, M.Y.;220;19;8;10;19;18;16;25;0;16;5;2;4;1;2;0;1;2;1;3;4;2;4;7;2;3;1;1;4;2;4;1;1;0;6;5;0;1;0;0;0;8;9;3;0;0;0;0
;;8;Fambach, M.T.;38;3;0;0;0;1;0;6;0;2;2;1;1;0;1;0;1;0;1;0;1;0;3;0;0;0;0;1;0;1;2;1;1;0;3;1;1;0;2;0;0;1;0;0;0;0;1;0
;;9;van Harmelen, L.;93;5;6;2;0;8;2;0;5;9;7;2;2;0;2;1;3;6;1;0;1;1;1;0;3;1;5;5;1;1;1;0;0;0;0;3;0;0;0;0;0;3;2;3;0;1;0;0
;;10;Jansema-Bleeker, P.P.;33;2;1;0;2;2;1;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;2;0;0;1;2;0;1;1;0;1;1;0;1;1;3;0;0;0;0;1;3;1;0;0;0;0
;;11;Jansema, P.B.;5;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Plokker, K.J.;41;1;0;0;0;1;1;2;1;0;3;0;1;2;2;0;0;3;0;1;2;0;0;4;1;0;1;1;2;1;2;2;0;0;0;0;0;1;1;0;0;0;0;1;0;3;0;1
;;13;Boer, E.H.;16;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;2;0;1;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
;;14;Levenga, S.B.J.;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;van der Veer, M.M.S.;10;0;0;0;0;0;1;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Buijserd, P.I.M.;23;0;0;0;2;1;0;1;0;0;2;0;0;0;1;0;0;0;1;0;0;1;3;2;0;0;0;0;4;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
;;17;Overdiep, P.W.A.;19;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;1;2;0;0;0;0;5;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0
;;18;van Gils, M.;68;1;0;0;1;3;0;0;1;1;3;8;1;1;2;2;4;3;0;4;0;1;0;2;4;0;9;8;3;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0
;;19;Kooij, N.D.J.;59;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;20;22;0;0;0;0;0;0;0;3;0;0;0;0;0;1;9
;;20;Zonneveld, J.A.W.;11;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0
;;21;Korver, P.J.C.;34;1;1;1;0;1;3;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;1;0;0;0;0;1;1;1;0;0;0;0;1;2;1;0;2;0;0;0;2;1;1;3;0;0
3;Goois Democratisch Platform;;;5394;234;264;188;283;324;111;142;110;112;165;110;98;51;95;64;106;206;106;93;104;57;143;129;60;33;91;74;115;151;149;124;192;12;100;63;72;87;72;40;58;128;65;119;98;58;77;61
;;1;Kruijt, J.J.;2146;114;117;103;176;194;54;73;49;71;50;56;33;15;30;18;37;73;43;39;43;26;45;41;16;10;32;35;45;19;12;9;12;4;61;46;36;37;30;5;5;67;34;51;37;25;10;8
;;2;van Etten, V.;600;22;12;11;22;21;4;13;7;8;21;12;13;5;17;4;17;42;13;10;10;4;10;13;6;2;11;6;14;19;19;30;42;0;5;2;9;10;12;7;15;10;11;16;14;9;8;12
;;3;Vlaanderen, A.E.P.;463;3;9;4;2;1;2;0;6;0;6;0;1;0;0;0;1;0;2;3;1;1;0;1;1;0;4;1;1;48;56;70;98;2;14;0;6;2;1;17;33;1;0;5;3;0;23;34
;;4;Weemhoff, C.;400;32;55;36;25;26;9;9;15;11;13;3;5;6;9;2;4;8;6;3;3;0;7;13;11;5;7;5;5;1;1;0;3;0;0;9;0;1;6;2;0;15;12;8;4;3;2;0
;;5;Wyers, M.F.M;530;7;6;2;7;8;6;6;0;6;23;9;21;8;18;12;18;41;16;18;27;12;50;39;13;8;16;9;28;0;0;1;1;0;7;4;6;10;19;0;0;7;1;15;12;13;0;0
;;6;Schröder, P.A.;104;4;2;1;14;24;13;2;1;0;4;2;1;0;0;0;2;1;2;0;1;0;0;3;1;0;1;1;1;0;0;0;0;1;8;1;1;1;0;0;0;7;1;1;2;0;0;0
;;7;van Gilse, J.P.M.;49;2;1;1;3;4;5;9;1;1;3;0;1;1;0;1;1;1;0;3;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;1;0;0
;;8;van der Wal, M.J.;58;13;3;1;6;0;2;1;3;2;5;2;0;0;0;0;0;4;0;0;1;0;3;1;3;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;2;1;0;0;0;0;0
;;9;van Hövell tot Westervlier en Wezeveld, M.;188;5;4;4;8;30;5;7;9;2;5;14;3;5;7;1;3;5;4;7;3;2;3;7;2;4;3;7;2;2;3;2;1;0;0;1;1;3;1;0;0;5;1;4;2;1;0;0
;;10;Voorn, M.G.;175;1;0;0;0;0;0;0;1;0;3;0;1;1;0;0;0;2;0;0;1;1;0;2;0;1;0;1;2;52;42;7;10;0;0;0;0;0;0;8;5;1;0;0;0;0;28;5
;;11;van Vugt, M.F.;55;1;3;1;1;2;2;2;0;2;6;1;1;3;2;1;1;2;1;0;2;0;1;3;1;0;2;2;3;0;1;0;0;0;1;0;2;0;0;0;0;0;1;1;2;1;0;0
;;12;Knecht, P.D.;115;3;30;6;7;0;4;0;6;2;2;7;1;0;3;0;6;5;5;3;0;1;3;0;0;0;3;1;4;0;0;0;0;0;1;0;1;0;0;0;0;1;2;2;4;1;1;0
;;13;van der Does, A.H.G.;41;4;3;3;0;0;0;3;1;0;1;0;1;1;4;0;1;1;2;1;0;1;5;1;1;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;2;0;0;0;0
;;14;Bisschop van Tuinen, H.W.P.C.;86;8;5;1;7;5;0;3;2;0;8;0;5;0;0;1;2;0;1;1;0;1;4;1;2;1;5;3;5;0;0;0;3;0;0;0;1;0;1;0;0;6;0;2;1;1;0;0
;;15;Wormhoudt, W.P.;22;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0
;;16;Blaas, F.J.M.;33;1;2;2;0;1;0;0;1;0;2;2;1;0;0;0;0;2;1;2;0;2;1;0;1;1;0;0;0;0;2;0;1;0;0;0;4;0;0;0;0;0;0;1;3;0;0;0
;;17;Jordaan - Aalders, N.M.F.J.;23;2;1;0;1;1;0;6;0;0;1;0;0;0;0;0;0;1;0;0;1;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0
;;18;Wormhoudt, H.F.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6;2;1;6;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0
;;19;van Meekeren, M.;8;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;20;Koningswijk, L.A.;19;3;0;0;0;2;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Nagel - Endenburg, A.M.W.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;22;Dooper, L.G.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Burger, C.M.;74;6;9;11;1;2;3;5;4;3;2;0;3;0;3;0;0;3;3;0;0;0;1;0;1;0;0;2;1;0;0;0;4;0;1;0;0;0;0;0;0;4;1;0;1;0;0;0
;;24;Nagtegaal, J.B.;111;0;0;0;1;0;0;0;0;1;6;0;3;2;1;24;12;10;3;0;1;3;1;1;0;0;0;1;1;0;0;0;0;5;0;0;1;20;1;0;0;0;0;3;9;1;0;0
;;25;Kwekkeboom, J.A.;64;0;2;1;2;3;0;3;4;3;2;2;2;2;0;0;1;4;4;3;7;0;3;0;0;1;3;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;4;2;1;0
4;Hart voor BNM;;;3550;64;135;56;36;53;65;74;78;99;169;42;89;59;124;21;125;250;175;153;79;61;74;62;60;62;104;59;67;49;64;21;22;13;22;56;112;145;70;9;7;36;49;126;174;45;25;10
;;1;Schimmel, N.J.A.;1490;19;47;26;18;22;24;24;28;31;52;9;41;33;48;6;55;117;86;82;41;37;21;22;21;26;43;35;30;11;17;11;4;10;10;25;47;74;27;2;1;20;18;59;77;21;7;5
;;2;Le Noble-Visser, M.H.W.;666;23;40;12;9;14;27;24;28;39;15;11;19;12;21;2;21;30;17;16;9;5;16;14;15;9;13;10;8;8;13;2;11;0;8;18;24;19;4;3;3;6;14;23;24;4;1;2
;;3;Elderman, F.;426;4;19;4;4;5;2;7;6;11;34;7;11;2;26;3;17;31;25;15;15;5;13;6;6;16;15;5;9;7;7;2;1;1;1;3;10;17;5;0;0;1;1;12;28;5;2;0
;;4;van der Schaaf, A.;214;6;10;2;3;4;2;1;1;2;10;3;1;7;7;6;9;12;13;8;6;3;1;2;1;0;20;0;6;3;1;2;3;1;0;5;8;10;9;2;0;2;1;5;10;4;0;2
;;5;de Rooy, R.E.;37;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;3;1;1;0;0;1;0;4;0;1;0;0;1;1;0;0;0;0;0;0;1;2;9;0;0;0;4;1;0;1;0;0
;;6;Schimmel, H.P.M.;120;1;5;0;0;1;0;2;3;5;6;1;9;1;3;0;1;8;14;11;0;3;1;0;0;2;7;1;2;0;0;1;1;0;0;0;5;10;1;0;0;1;1;3;7;3;0;0
;;7;Veldhuis, M.J.;58;1;0;0;0;0;0;0;2;0;0;2;1;1;1;1;5;10;1;1;1;0;1;2;1;1;1;0;2;2;1;0;0;0;0;0;1;8;0;0;0;0;1;0;8;1;1;0
;;8;Rijnveld, H.K.;40;1;3;0;0;0;0;2;1;0;5;0;1;0;2;0;1;2;0;4;0;0;0;3;0;3;0;0;0;2;0;0;0;0;0;0;3;0;2;0;0;0;0;5;0;0;0;0
;;9;van der Ham, B.;112;0;0;1;0;1;0;1;4;2;29;2;2;0;6;0;5;11;5;1;3;0;2;1;2;2;3;3;2;0;0;0;1;0;0;1;5;0;1;0;0;0;0;8;7;1;0;0
;;10;van Erven Dorens, T.E.L.;59;2;2;1;0;1;3;4;0;1;1;2;1;2;2;0;2;4;1;1;1;2;8;6;1;0;1;1;2;0;0;0;0;0;0;0;0;1;3;0;0;0;1;0;2;0;0;0
;;11;Janssen, F.G.M.;13;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
;;12;Jansen, W.;32;0;0;2;0;0;0;1;2;2;0;0;0;0;0;0;0;10;1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3;0;3;0;0;0
;;13;Soeter, C.;64;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;24;2;1;0;0;0;0;0;0;2;3;0;0;0;0;0;13;1
;;14;Roesink, D.;12;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;1;0;0;2;0;0;0;0;0;0
;;15;Broks, P.D.C.;4;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kolfschoten, E.T.M.M.;10;1;1;1;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
