Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis (16-03-2022);Mozarthof School (16-03-2022);Openbare Bibliotheek (16-03-2022);Gooizicht (16-03-2022);Liv inn voorheen De Boomberg (16-03-2022);Parochiehuis, St. Annagebouw (16-03-2022);Parochie Emmaus-Paulus (16-03-2022);Wijkcentrum 'De Koepel' (16-03-2022);De Wijde Blik (16-03-2022);Jongerencentrum De Keet (16-03-2022);Grote Kerk (16-03-2022);Elckerlycschool (16-03-2022);Bavinckschool (16-03-2022);Violenschool (16-03-2022);Intern. school (vh Rembr.sch.) (16-03-2022);Hilversumse Schoolvereniging (16-03-2022);Van Hasseltschool (16-03-2022);Bethlehemkerk (16-03-2022);Gooise Atletiek Club (16-03-2022);Muziekvereniging Beatrix (16-03-2022);Goudenregenschool (16-03-2022);Woond.centr. 'De Egelantier' (16-03-2022);Diependaalse Kerk (16-03-2022);Lorentzschool van 't Hoffplein (16-03-2022);Wijkcentrum Lopes Dias (16-03-2022);Station Hilversum (achterzijde) (16-03-2022);Noorder Begraafplaats (16-03-2022);Pinetum Blijdenstein (16-03-2022);Sterrenschool Hilversum (16-03-2022);Scouting clubhuis 'De Orion' (16-03-2022);Wijkcentrum De Geus (16-03-2022);De Morgenster Kerk (16-03-2022);Jongerencentrum De Mix (16-03-2022);Lorentzschool (16-03-2022);Wijkcentrum 'St.Joseph' (16-03-2022);Wilgetoren (16-03-2022);Evangelische Omroep (16-03-2022);Jan van Rijckenborghschool (16-03-2022);Sporthal De Meent (16-03-2022);’t Luye Gat (16-03-2022);Station Hilversum (voorzijde) (16-03-2022);GBS De Wegwijzer (16-03-2022);Comenius College (16-03-2022);Raadhuis (vervroegd 14-03-22);Grote Kerk (vervroegd 14-03-22);Bethlehemkerk (vervroegd 14-03-22);Diependaalse Kerk (vervroegd 14-03-22);Pinetum Blijdenstein (vervroegd 14-03-22);De Morgenster Kerk (vervroegd 14-03-22);Wijkcentrum 'St.Joseph' (vervroegd 14-03-22);Evangelische Omroep (vervroegd 14-03-22);’t Luye Gat (vervroegd 14-03-22);Station Hilversum (voorzijde) (vervroegd 14-03-22);Raadhuis (vervroegd 15-03-22);Grote Kerk (vervroegd 15-03-22);Bethlehemkerk (vervroegd 15-03-22);Diependaalse Kerk (vervroegd 15-03-22);Pinetum Blijdenstein ( vervroegd 15-03-22);De Morgenster Kerk (vervroegd 15-03-22);Wijkcentrum 'St.Joseph' (vervroegd 15-03-22);Evangelische Omroep (vervroegd 15-03-22);’t Luye Gat (vervroegd 15-03-22);Station Hilversum (voorzijde) (vervroegd 15-03-22)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;101;111;118;123;128;132;135;137;140;141;201;211;218;223;228;232;235;237;240;241
Postcode;;;;;1217 JE;1217 CM;1217 EH;1217 SH;1217 SV;1211 NE;1216 RN;1216 JC;1216 LD;1216 NH;1211 BV;1215 EG;1214 JS;1214 CJ;1213 BH;1213 BM;1215 PR;1215 JV;1213 NZ;1215 JA;1214 NC;1214 EH;1214 KE;1223 EG;1222 VE;;1222 NL;1217 PJ;1222 TJ;1223 AJ;1221 BV;1223 DA;1221 EM;1223 HN;1223 LD;1223 JK;1213 AC;1222 SX;1218 CB;1218 CR;1211 EX;1217 GS;1217 GH;1217 JE;1211 BV;1215 JV;1214 KE;1217 PJ;1223 DA;1223 LD;1213 AC;1218 CR;1211 EX;1217 JE;1211 BV;1215 JV;1214 KE;1217 PJ;1223 DA;1223 LD;1213 AC;1218 CR;1211 EX
;;7;Brussaard, L.H.A.;124;1;2;1;0;2;4;2;2;3;1;3;4;7;1;0;3;1;4;1;3;4;3;5;1;2;3;3;2;2;2;2;2;2;2;3;1;5;0;3;1;2;0;5;0;1;3;1;1;2;1;0;0;0;2;2;2;5;0;0;0;1;0;3
;;8;Tabak, K.;126;4;3;2;1;1;3;5;3;4;0;1;7;1;1;4;3;2;4;3;2;3;1;3;0;3;1;4;4;0;3;1;6;1;2;2;0;6;10;1;0;0;0;1;1;0;0;2;1;0;0;4;0;0;5;0;2;0;0;1;1;0;2;1
;;9;Streutker, G.;39;3;1;1;0;3;0;1;4;1;1;0;3;3;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0
;;10;van Schaick, A.W.;36;0;0;0;1;0;6;1;0;0;0;1;2;0;1;4;2;0;0;1;0;0;2;2;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;1;0;0
;;11;Kruijswijk Jansen, E.J.;17;4;0;0;0;0;0;0;1;2;0;0;0;2;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Spellen, M.R.A;34;3;0;0;0;0;2;0;2;0;1;0;0;0;1;1;0;1;1;0;0;4;0;6;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;2;0
;;13;Dubois, G.;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Eilering, D.W.;25;0;0;0;0;0;3;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;1;1;2;0;0;1;0;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;1
;;15;de Haas, A.T.Y.;30;1;0;0;0;0;3;0;0;0;0;0;4;4;0;1;0;0;1;1;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;4;1;1;0;0;0;0;0;0
;;16;Cornielje, J.F.W.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Zaalen, F.D.R.;8;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Krijnen, M.K.;23;1;1;1;0;0;1;0;1;0;0;0;0;0;2;2;0;0;0;0;0;1;2;0;0;1;0;0;0;0;3;1;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;19;van der Spek, W.A.;15;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Vonk, P.C.;10;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Hofhuis, F.J.R.;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;2;1;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
;;22;van Vroonhoven - Kok, J.N.;48;14;3;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;6;3;0;0;0;0;0;0;0;0;0;3;0;1;3;0;0;0;0;0;0
;;23;Kuijper, P.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;24;Nauta, A.W.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;25;Hillen, J.S.J.;12;0;2;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;26;Walch, H.J.;14;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;3;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;27;Quist, P.M.H.;13;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
;;28;Wijnands, A.W.A.M.P.;39;3;1;0;0;0;0;3;1;1;0;0;3;1;0;0;0;3;0;1;1;0;0;2;0;1;1;4;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0
6;SP (Socialistische Partij);;;2002;37;7;16;15;23;52;51;68;24;8;22;27;50;60;36;10;31;47;13;27;46;64;26;16;111;56;56;7;22;19;51;53;18;71;54;28;52;9;43;11;61;8;12;19;13;47;24;5;47;26;10;22;27;25;22;54;17;5;39;23;16;14;29
;;1;Vonk, P.C.M.;849;12;5;8;7;8;20;21;37;12;3;7;11;22;31;14;2;13;26;4;11;21;36;12;5;54;22;23;1;10;12;10;18;7;27;24;8;16;3;20;7;11;1;3;10;4;22;13;2;17;10;7;11;6;10;6;33;12;1;19;15;5;9;12
;;2;van Rooden, P.H.J.R.;49;0;0;0;0;0;2;0;0;0;0;0;1;4;1;0;0;0;0;0;0;1;2;2;2;2;2;0;1;0;0;0;0;1;2;8;3;2;0;1;0;0;2;0;0;0;2;1;0;1;0;0;0;2;0;2;1;0;0;1;0;0;0;0
;;3;Verweij, B.;707;12;2;5;6;10;20;22;20;9;5;6;8;15;21;13;5;13;13;7;11;13;18;5;5;34;15;15;2;5;5;31;23;5;35;10;12;21;3;19;1;30;3;3;6;7;15;6;2;20;8;0;9;13;13;14;12;4;2;12;6;7;5;10
;;4;Meddens, J.W.A.;32;2;0;0;0;0;0;0;3;0;0;1;2;1;1;0;0;3;0;0;0;3;1;1;0;1;1;1;1;0;0;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
;;5;Bedeker, B.;53;0;0;1;0;0;2;0;0;0;0;2;0;2;2;1;0;1;3;1;0;2;2;2;0;3;7;6;0;2;0;0;1;0;0;1;1;3;0;0;0;3;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;6;Otto, J.P.A.;23;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1
;;7;Muller, N.C.;71;2;0;0;0;2;0;3;3;0;0;1;0;2;1;0;0;1;2;0;0;1;1;0;2;3;2;2;0;4;0;3;1;0;2;3;1;6;1;2;1;2;0;2;0;1;0;3;0;3;1;0;0;0;1;0;3;0;1;2;0;0;0;0
;;8;Bouma, L.;62;2;0;0;0;0;5;0;1;0;0;1;3;0;1;2;0;0;0;1;1;2;2;0;0;2;4;1;2;0;0;2;1;3;2;0;1;1;0;0;0;7;1;2;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;2;3;0;2
;;9;Buwalda, J.M.;25;1;0;0;0;0;0;2;0;0;0;0;1;2;0;3;0;0;1;0;1;0;0;1;0;2;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Dunker, G.C.;12;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1
;;11;van Dijk, Y.M.;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Klamer, A.;39;1;0;2;0;1;0;1;2;0;0;1;1;0;0;3;0;0;0;0;1;3;0;2;0;2;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;2;0;0;1;0;1;0;0;1;4;0;0;3;0;0;0;0;1;0;0;0;0;1
;;13;Raes, A.W.;14;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;14;Schmidt, K.A.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Vlug, A.W.;18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;1;0;0;0;0;0;1
;;16;Schraagen, M.C.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Weller, R.D.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Braber, E.;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Hovius, M.;22;1;0;0;0;0;0;1;1;1;0;3;0;0;1;0;0;0;0;0;1;0;1;0;1;2;0;0;0;0;0;2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
7;Partij van de Arbeid (P.v.d.A.);;;2438;59;19;31;22;32;56;76;90;19;10;37;40;58;71;39;21;30;56;21;39;57;67;26;18;66;66;41;14;32;51;34;84;20;95;70;42;63;20;53;28;59;6;5;25;23;19;32;6;58;17;18;25;20;39;24;52;35;14;60;27;24;40;37
;;1;van Drooge, F.F.;1657;36;14;18;15;19;34;53;67;14;7;22;22;40;37;29;18;21;41;12;29;48;47;20;11;45;42;26;9;26;39;22;47;9;72;41;28;36;12;46;22;32;4;4;15;16;15;21;6;38;15;15;19;10;26;18;40;29;9;40;12;19;35;23
;;2;Kalk, J.;183;7;1;7;1;1;8;6;8;2;2;7;3;4;4;3;1;2;2;3;4;1;5;1;0;3;3;4;1;0;3;2;8;0;3;5;2;5;5;4;2;3;0;0;2;6;2;5;0;4;0;0;1;1;5;3;5;3;1;1;3;2;0;3
;;3;Lahaise, J.P.;64;0;0;1;0;0;2;0;2;0;0;0;1;2;2;0;0;0;0;1;1;0;2;1;0;2;9;1;1;1;0;0;6;1;2;2;3;1;0;0;0;6;0;0;1;0;0;0;0;3;0;0;1;2;0;0;0;0;0;1;1;0;0;5
;;4;Bakker, C.;53;0;0;0;1;0;0;3;3;0;1;1;0;0;2;0;0;1;0;1;0;1;2;1;0;0;0;1;1;0;2;1;4;0;3;3;1;0;1;1;0;0;0;0;1;1;0;0;0;3;0;0;0;2;0;1;2;0;0;6;0;0;0;2
;;5;Lawerman, F.A.;17;0;0;0;0;0;1;0;1;0;0;1;1;0;2;0;0;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;6;van der Steen, L.E.H.M.;71;2;2;1;0;1;1;1;1;1;0;1;4;2;3;3;0;3;3;0;1;1;0;1;3;1;3;2;0;3;0;0;0;0;1;4;1;3;0;0;1;3;2;1;0;0;0;1;0;0;1;0;1;0;3;1;0;0;0;3;0;0;1;0
;;7;Louwen, A.A.;20;1;0;1;2;2;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;8;Kostman, D.P.T.;39;4;0;0;0;0;1;0;0;0;0;1;2;0;4;0;0;0;1;1;2;3;3;0;0;1;2;0;1;2;1;1;0;0;0;0;0;2;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;9;Taibi, N.;43;2;0;0;0;0;2;1;3;1;0;0;1;2;1;0;0;1;0;1;1;1;0;0;2;3;1;2;0;0;0;4;1;2;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0
;;10;Zielhorst, I.E.J.;39;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;11;0;0;1;0;4;1;0;1;2;0;0;2;0;0;2;0;2;0;0;0;1;0;0;1;0;1;0;3;0;2;0
;;11;Samwel, F.J.L.;26;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;2;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;2;1;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0
;;12;van Dijk, H.;12;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;0;0
;;13;Veldt, M.G.;10;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Wilgenburg, F.T.;12;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Eberhart, E.;22;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;1;1;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;2;0;1;0
;;16;Wind, P.N.;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;17;de Beaufort, R.Z.L.;46;1;0;1;0;0;2;4;2;0;0;2;1;2;9;0;1;0;1;1;0;0;4;0;0;0;0;2;0;0;0;1;0;2;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;1
;;18;Oude Elferink, J.B.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Stralen, M.C.;14;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1
;;20;Visser, D.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;21;Wulffraat, N.M.;5;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bakker, M.F.J.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;23;de Beaufort, B.P.;21;2;1;0;1;4;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;24;Coenen, J.J.M.;22;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
;;25;Goedhart, E.E.;10;0;0;0;0;0;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;26;Kerkhoven, P.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Lubbers, W.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Calis, C.A.;11;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0
;;29;van Hessen, P.A.W.;20;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;0;0;1;1;0;2;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;1
8;ChristenUnie;;;1615;40;10;27;9;19;22;29;48;10;5;17;38;48;37;41;18;17;59;16;21;30;28;35;12;46;40;47;10;17;16;25;68;20;59;56;22;38;12;21;21;17;32;5;12;10;36;25;8;25;13;12;6;7;29;17;56;37;4;51;10;23;14;12
;;1;Nanninga, B.;739;13;6;12;5;5;7;17;18;9;4;10;16;24;13;20;11;7;23;7;8;12;12;14;4;26;24;19;1;7;6;14;27;3;24;22;9;14;5;14;15;7;12;3;7;5;18;14;4;13;6;8;5;4;15;11;27;19;3;25;4;8;7;7
;;2;Vreugdenhil-de Blecourt, A.F.;384;14;3;11;2;2;9;4;16;1;1;5;7;13;12;10;2;5;13;1;5;9;4;8;4;9;4;11;2;4;6;4;19;5;16;11;3;7;6;4;3;4;7;0;3;4;10;5;3;5;5;2;1;2;11;2;12;8;1;10;2;7;2;3
;;3;Plaggenmarsch, G.J.;50;0;0;1;0;1;0;0;0;0;0;0;2;1;2;1;2;1;0;0;0;2;2;0;0;0;3;4;1;0;0;1;3;1;1;0;0;2;0;0;0;1;7;0;0;0;0;0;0;3;0;0;0;0;0;1;1;2;0;1;0;2;0;1
;;4;Potters-Blijdorp, G.H.W.;40;0;0;0;0;0;1;2;3;0;0;0;2;1;1;0;0;0;0;0;0;0;0;4;0;0;3;1;0;0;0;1;0;2;1;1;2;2;0;2;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;2;2;0;0;2;0;1;0
;;5;Schuurman-Voorma, A.M.;46;1;1;0;1;1;0;1;1;0;0;0;2;1;0;0;0;2;4;4;1;0;0;0;0;0;4;3;0;1;3;0;1;1;0;1;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;1;0
;;6;Heek, J.;14;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0
;;7;Hildering-Spoelstra, M.C.;47;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;6;3;5;11;1;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;1
;;8;Goedhart, D.;43;1;0;0;0;0;1;3;2;0;0;0;1;2;0;3;1;0;5;1;0;0;1;3;0;2;0;2;2;0;0;0;4;1;0;0;0;2;0;0;1;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Heek, G.A.;26;1;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;1;0;0;0;2;0;0;1;1;2;0;4;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0
;;10;Posthumus, P.J.;11;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;11;Goedhart, R.M.;18;0;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
