Verkiezing;;Gemeenteraad Urk 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Urk;;;;;;;;;;;;;;;;
Nummer;;0184;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bethelkerk;Gemeentehuis;De Morgenster;Rehobothkerk;Pniëlkerk;Prinses Beatrixschool;Ichthushof;Johannes Calvijnschool;Harmpje Visserschool;De Ark;Rehobothkerk (maandag);Gemeentehuis (maandag);Rehobothkerk (dinsdag);Gemeentehuis (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14
Postcode;;;;;8321 EW;8321 GT;8321 DK;8321 RG;8321 RV;8322 AK;8321 RX;8321 JA;8322 GH;8322 BA;8321 RG;8321 GT;8321 RG;8321 GT
;;8;Hakvoort, T;43;3;5;3;7;5;5;5;0;3;2;0;3;0;2
;;9;Koffeman, A;40;2;6;4;4;2;3;4;7;1;7;0;0;0;0
;;10;Loosman, L;59;0;7;4;4;7;5;11;11;2;3;1;3;1;0
;;11;de Borst, A T;37;0;2;5;3;5;3;3;5;2;1;0;3;3;2
;;12;van Slooten, L;6;0;0;0;0;0;4;0;0;2;0;0;0;0;0
;;13;Ruizendaal, L;16;0;3;0;0;4;0;3;2;1;0;2;1;0;0
;;14;Schinkel, G;25;0;3;2;0;7;1;0;5;3;0;0;0;0;4
;;15;Bakker, R;81;1;10;16;0;17;2;10;16;0;3;0;0;3;3
;;16;Nentjes, S;31;0;5;0;2;10;3;2;4;3;0;0;0;2;0
;;17;Snoek, S;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;18;Bakker, A;5;0;3;1;0;0;0;0;1;0;0;0;0;0;0
;;19;den Hartog, B P;10;0;1;0;2;0;0;3;0;3;0;0;0;0;1
;;20;Baak, A C;11;0;2;3;0;4;0;0;1;1;0;0;0;0;0
;;21;Post, G;10;0;0;0;0;1;0;2;4;0;1;0;1;0;1
;;22;Bakker, A;10;2;2;0;0;3;0;0;0;0;1;0;2;0;0
;;23;Kramer, P T;9;2;1;2;0;0;0;0;0;1;1;0;0;0;2
;;24;Wijma, D;6;0;0;1;0;0;0;0;0;1;1;0;0;3;0
;;25;Meijer, S;12;0;0;1;3;0;0;5;3;0;0;0;0;0;0
;;26;Kaptein, L;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;27;Ekkelenkamp, A H J;17;4;2;0;2;3;2;2;1;1;0;0;0;0;0
;;28;van den Berg, L;8;0;1;0;0;0;1;0;2;1;0;0;0;3;0
4;Staatkundig Gereformeerde Partij (SGP);;;3123;154;317;309;242;256;325;335;347;243;155;64;91;112;173
;;1;Middelkoop, P.N.;1398;54;138;125;139;117;158;137;125;127;73;29;39;62;75
;;2;de Borst, J.;128;7;16;7;6;11;11;26;8;5;4;6;7;4;10
;;3;de Boer, A.M.;163;2;19;12;33;19;17;8;22;7;9;2;1;2;10
;;4;Romkes, T.;110;4;3;9;8;3;27;13;11;10;8;6;0;6;2
;;5;Meun, G.;210;19;18;17;22;17;18;21;26;21;11;4;4;6;6
;;6;van Klinken, L.W.;106;1;10;19;4;7;4;18;10;3;3;0;7;4;16
;;7;Hoekstra, T.;203;16;18;23;6;10;24;21;17;22;11;12;2;6;15
;;8;Bogerd, J.L.;33;4;5;0;3;0;6;1;2;4;3;0;1;3;1
;;9;van Veen, J.;88;4;9;3;2;17;7;8;19;5;0;2;4;4;4
;;10;Kramer, T.;45;0;0;8;1;6;1;8;4;1;6;2;2;2;4
;;11;Kaptijn, H.J.;59;4;5;21;0;0;0;8;11;3;3;0;2;1;1
;;12;Taanman, D.J.;24;0;1;2;0;3;1;2;9;1;3;0;1;1;0
;;13;Loosman, J.;6;1;0;1;0;0;0;0;0;2;2;0;0;0;0
;;14;Post, S.;17;0;1;0;0;1;1;3;10;0;0;0;1;0;0
;;15;Pasterkamp, T.;8;2;2;1;1;0;0;0;0;2;0;0;0;0;0
;;16;Veldman, M.;11;0;0;2;1;0;1;1;1;0;3;0;0;0;2
;;17;Kramer, K.;10;0;1;0;0;0;4;2;1;0;1;0;0;0;1
;;18;Gerssen, P.;20;1;3;2;0;1;0;7;0;2;0;0;0;0;4
;;19;Woord, T.;3;0;0;0;0;0;0;0;1;0;0;0;0;1;1
;;20;de Vries, C.;22;3;2;10;0;1;0;1;3;0;0;0;2;0;0
;;21;van der Zwan, L.;10;1;1;0;1;0;0;0;0;4;0;0;1;2;0
;;22;Visscher, F.;41;1;2;0;1;0;10;8;10;7;0;0;2;0;0
;;23;Post, J.;10;1;2;2;0;1;3;1;0;0;0;0;0;0;0
;;24;Metz, L.;8;0;0;2;2;0;1;0;1;0;0;0;2;0;0
;;25;van Laar, C.;30;0;4;7;1;2;1;2;9;0;0;0;3;0;1
;;26;van Veldhuisen, J.;4;0;1;0;0;0;1;0;2;0;0;0;0;0;0
;;27;Post, G.;325;26;51;35;11;37;28;37;40;15;10;0;9;7;19
;;28;Kleine, W.;8;3;0;0;0;0;0;2;0;2;1;0;0;0;0
;;29;Uitslag, M.J.;17;0;1;0;0;2;1;0;5;0;4;1;1;1;1
;;30;Bakker, J.W.;6;0;4;1;0;1;0;0;0;0;0;0;0;0;0
5;Gemeentebelangen;;;1066;96;92;91;126;108;116;97;83;64;67;32;12;41;41
;;1;van den Berg, J;239;18;15;43;21;22;27;22;9;11;9;13;5;13;11
;;2;Hakvoort, H H;96;9;6;6;9;6;12;6;26;5;3;2;0;2;4
;;3;Zwaan-Hulst, K;29;2;1;1;3;2;4;3;1;7;1;0;0;2;2
;;4;de Boer, J;173;14;23;4;30;22;21;14;6;17;9;1;2;4;6
;;5;Oost, L;79;6;8;6;4;11;13;5;7;5;6;0;1;4;3
;;6;Schraal, J J;42;5;3;3;3;4;3;4;3;2;5;2;1;4;0
;;7;Koffeman, C F;9;1;0;1;0;1;0;1;1;0;3;0;0;1;0
;;8;Netel, C;22;3;2;0;2;4;3;2;2;0;1;1;0;1;1
;;9;Bakker-Woord, M;5;0;3;0;0;1;1;0;0;0;0;0;0;0;0
;;10;Hajji, E H;38;0;6;3;5;2;8;11;1;1;1;0;0;0;0
;;11;Hakvoort, E G;14;0;1;1;0;3;1;3;1;2;0;0;2;0;0
;;12;Gnodde, F J J;42;3;3;3;7;7;2;7;2;0;4;1;0;2;1
;;13;Nentjes-de Vries, N;14;0;1;0;1;0;1;3;4;1;1;0;0;0;2
;;14;Keuter, F J;27;5;0;2;7;2;0;1;3;1;2;2;0;2;0
;;15;de Boer, M;7;0;0;0;0;1;0;0;0;1;0;2;0;2;1
;;16;Bakker, R K;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;17;Kramer-Snoek, L;15;7;0;2;1;0;0;1;2;1;0;0;0;0;1
;;18;Snoek-Kramer, J;27;4;2;4;3;3;1;0;1;0;4;2;0;2;1
;;19;Keuter, J;177;18;18;11;30;17;19;11;13;7;16;6;1;2;8
;;20;Koffeman, K L;10;1;0;1;0;0;0;3;1;3;1;0;0;0;0
6;PVV (Partij voor de Vrijheid);;;654;60;58;58;55;63;47;78;51;46;32;17;22;25;42
;;1;Wakker, H.;452;45;42;39;38;46;29;58;36;31;21;13;14;13;27
;;2;Post, J.;82;6;12;10;12;1;5;4;3;8;5;0;2;6;8
;;3;de Boer, P.;37;3;1;3;1;10;1;0;5;4;0;4;3;2;0
;;4;van Urk, G.;15;2;3;1;0;1;1;2;1;1;0;0;1;0;2
;;5;Wakker, J.;5;0;0;0;0;0;2;0;1;0;0;0;0;0;2
;;6;Keuter, J.M.;63;4;0;5;4;5;9;14;5;2;6;0;2;4;3
7;Krachtig Urk;;;702;38;70;61;61;81;60;99;56;61;40;15;6;28;26
;;1;Hoekstra, D;186;12;16;15;13;31;19;26;13;8;7;4;0;11;11
;;2;Hakvoort, J;70;2;8;2;9;6;5;16;4;3;3;2;1;4;5
;;3;Brands, H. R.;19;3;1;1;1;0;0;9;1;1;0;0;0;2;0
;;4;ten Napel, P;91;2;13;12;6;5;5;13;5;10;9;5;3;1;2
;;5;Bakker, G;19;1;0;1;3;0;2;2;5;4;1;0;0;0;0
;;6;van den Berg, E.F.;6;0;1;0;0;0;3;2;0;0;0;0;0;0;0
;;7;Bakker, H;12;0;1;0;0;2;1;0;6;0;0;0;0;0;2
;;8;de Vries, A;13;0;2;7;1;1;0;0;0;1;0;0;0;1;0
;;9;Kramer, H;87;8;9;8;1;4;7;9;11;20;3;0;1;3;3
;;10;Bakker, D;13;0;2;0;2;3;3;1;0;1;0;1;0;0;0
;;11;Snijder, A. E.;23;2;1;1;2;6;1;0;0;2;4;0;0;1;3
;;12;Brouwer, J;19;2;3;1;1;2;2;0;3;2;3;0;0;0;0
;;13;Brouwer, G. S.;15;0;0;0;2;5;4;1;1;1;0;0;0;1;0
;;14;Snoek, J;5;0;0;0;2;1;0;0;0;0;0;2;0;0;0
;;15;Hoekstra, A;6;0;1;0;2;0;0;3;0;0;0;0;0;0;0
;;16;Lobbes, R;16;0;1;0;3;3;1;4;1;0;2;0;0;1;0
;;17;Pasterkamp, J;7;1;3;0;0;2;0;0;1;0;0;0;0;0;0
;;18;Bakker, H. E.;13;0;1;2;0;0;0;4;1;2;2;0;0;1;0
;;19;Hoekstra, P. L.;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0
;;20;Ras, K;13;0;1;6;2;0;1;0;1;0;2;0;0;0;0
;;21;Bakker, C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Hoekstra, H;7;2;0;1;0;1;2;0;0;0;0;0;1;0;0
;;23;de Boer, A;6;0;1;0;5;0;0;0;0;0;0;0;0;0;0
;;24;Geurts, E. W. J.;19;0;1;1;4;5;1;3;2;2;0;0;0;0;0
;;25;van Urk, T;3;0;0;0;1;1;0;0;0;1;0;0;0;0;0
;;26;Post, J;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0
;;27;Oost, G. E.;4;2;0;0;0;0;0;1;0;1;0;0;0;0;0
;;28;Bakker, W. J. J.;5;1;0;0;0;1;1;1;1;0;0;0;0;0;0
;;29;ter Beek, A;13;0;4;2;1;0;1;0;0;2;0;1;0;2;0
;;30;Baarssen, H;5;0;0;0;0;0;1;0;0;0;4;0;0;0;0
8;JEZUS LEEFT;;;216;26;27;33;14;15;16;18;14;16;13;3;8;5;8
;;1;Limburg, G.J.;216;26;27;33;14;15;16;18;14;16;13;3;8;5;8
9;Forum voor Democratie;;;310;25;37;37;37;26;24;41;21;19;17;5;7;6;8
;;1;van der Reest, J.;57;8;7;10;7;4;1;5;3;5;2;1;4;0;0
;;2;Post, L.;11;0;6;3;0;0;0;1;0;0;0;1;0;0;0
;;3;ten Napel, M.J.;39;1;2;3;5;1;2;6;7;2;6;1;0;2;1
;;4;Kramer, M.C.;61;7;7;6;9;3;12;6;4;4;2;0;1;0;0
;;5;ten Napel, P.;6;0;1;3;0;0;0;0;0;0;0;1;0;0;1
;;6;Schraal, L.;16;0;2;4;1;3;0;4;0;0;0;0;1;0;1
;;7;Romkes, D.;6;0;1;0;1;0;0;3;0;0;0;0;0;0;1
;;8;Bakker, F.;13;1;0;0;1;0;1;5;0;2;3;0;0;0;0
;;9;Bakker, P.;8;5;0;0;0;1;0;0;2;0;0;0;0;0;0
;;10;Baudet, T.H.P.;93;3;11;8;13;14;8;11;5;6;4;1;1;4;4
